date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Honeydew Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-11-01,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,100,0,93,0,65,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,57,0,0,0,53,0,0,0
2005-12-01,0,34,0,0,0,0,0,36,0,50,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0
2006-01-01,0,54,0,0,0,59,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,64,0,0,0,58,0,0,0,100,0,0,0,90,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
2006-02-01,0,30,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,100,0,0,61,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,59,0,0,26,0,0,100,55,0,0,61,100,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,0,25,0,100,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
2006-04-01,0,27,0,0,0,0,0,29,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,23,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
2006-05-01,0,25,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,45,0,0,0,0,0,0,0,71,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
2006-06-01,0,51,69,0,0,0,0,27,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,46,0,100,0,0,0,0,0,0,0,0,52,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,47,0,0,51,0,0,0,100,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
2006-07-01,0,23,0,93,0,43,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,42,0,0,100,0,0,0,0,64,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
2006-08-01,0,43,0,0,0,0,0,11,0,32,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,44,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,27,0,0,0,40,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,43,0,0,0
2006-09-01,0,21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,50,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
2006-10-01,0,22,0,0,0,0,0,19,0,0,0,0,0,0,0,0,40,0,0,0,0,51,0,0,0,0,0,0,0,0,0,43,64,0,0,0,0,51,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,52,0,27,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,40,0,39,0,0,0,32,66,0,0,29,0,0,0
2006-11-01,0,46,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,54,0,53,0,0,33,0,0,39,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,17,0,0,0,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,41,55,0,0,37,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,37,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,27,0,0,0
2007-01-01,0,29,0,0,0,32,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,35,0,0,41,0,0,92,0,0,56,0,0,0,0,41,0,0,32,0,0,0,0,0,15,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,44,0,0,0,0,0,23,0,0,0
2007-02-01,0,19,0,0,0,35,0,20,0,28,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,52,37,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,54,38,0,0,0,35,0,0,0,0,0,33,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,36,0,35,0,0,0,28,0,0,0,0,0,0,0
2007-03-01,0,48,39,0,0,26,0,19,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,18,0,30,0,0,28,42,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,34,0,18,0,0,0,0,0,0,41,58,34,0,0,40,0,0,0,0,0,31,0,0,0,27,0,0,58,0,0,0,0,0,0,100,0,0,0,0,0,36,43,0,0,26,0,0,0,21,0,0,0,19,0,0,0
2007-04-01,0,52,0,0,0,0,0,16,0,44,0,0,0,0,0,0,27,0,41,0,0,35,0,0,0,0,0,0,0,22,0,29,44,44,0,0,0,0,0,0,0,30,0,0,0,36,0,0,0,0,0,0,0,0,0,0,31,0,0,35,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,35,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,17,0,19,0,0,55,40,0,0,0,0,0,0,0,0,0,0,0,0,41,28,0,0,32,0,0,0,100,0,45,0,0,0,27,0,0,0,0,0,0,27,0,0,0,0,0,46,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,17,34,0,0,0,0,0,0,0,0,41,0,0,28,0,0,0
2007-06-01,0,23,0,0,81,25,0,22,40,20,0,0,0,0,100,0,0,0,55,0,0,0,0,34,0,0,0,0,0,20,0,0,0,0,0,0,0,0,38,0,0,27,0,0,78,49,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,17,0,0,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
2007-07-01,0,56,0,0,0,0,0,19,0,0,0,0,0,0,0,0,22,0,0,0,33,0,0,0,0,0,0,0,0,18,0,24,0,0,0,0,0,0,51,0,0,24,0,0,0,22,0,48,0,0,0,0,0,0,0,0,24,0,0,29,0,15,0,0,0,0,0,0,0,0,28,36,0,22,0,0,0,0,0,24,0,0,0,0,0,62,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,18,36,0,32,33,0,0,0
2007-08-01,0,26,0,0,0,0,0,24,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33,0,0,0,0,23,0,0,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,37,26,0,14,0,0,0,0,0,0,0,22,0,0,37,20,0,0,22,0,0,16,0,0,0,21,0,0,0,0,0,0,43,0,0,0,0,0,0,0,14,54,0,20,0,0,100,0,0,16,33,0,0,30,0,0,100
2007-09-01,0,17,0,45,0,0,0,21,0,16,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,16,30,22,33,32,0,0,0,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,100,22,0,0,22,0,0,0,20,0,0,0,0,0,0,44,100,0,0,0,0,0,0,0,27,0,20,0,0,0,0,0,16,0,0,0,20,0,0,0
2007-10-01,0,33,29,44,0,30,0,15,32,24,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,22,0,0,0,0,21,0,0,0,0,0,0,15,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,22,98,0,0,0,14,0,0,0,35,0,0,0,43,25,0,0,20,0,99,0,0,0,15,0,0,0,41,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,27,0,20,0,0,0,0,0,16,0,0,29,15,0,0,0
2007-11-01,0,21,28,0,0,0,0,20,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,26,0,0,0,14,0,0,41,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,24,0,0,19,0,0,20,0,0,9,0,0,0,19,0,0,21,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
2007-12-01,0,40,0,0,0,0,0,23,0,0,0,0,0,0,80,0,20,27,0,28,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,19,0,0,37,20,0,0,22,0,0,81,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,32,0,0,0,0,0,0,99
2008-01-01,0,30,27,0,29,18,0,12,0,0,0,0,100,0,0,0,18,0,27,0,26,0,0,16,0,0,20,0,0,0,0,0,0,0,0,0,12,23,0,0,0,20,0,0,0,35,0,39,0,30,0,0,0,0,0,0,100,0,0,23,0,0,0,0,0,32,0,0,0,20,23,0,33,0,0,0,19,0,100,25,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,19,24,0,0,0,0,0,0,0,14,0,0,0,13,0,0,0
2008-02-01,0,20,0,0,0,0,0,27,0,15,0,0,0,0,0,0,19,0,0,0,0,0,30,0,0,0,0,0,0,0,27,20,0,0,0,0,0,0,14,0,0,20,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,53,72,0,33,0,100,0,0,23,0,0,19,0,0,0,0,0,20,0,0,34,56,0,0,20,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,18,0,0,0,22,0,0,0,34,0,0,91
2008-03-01,0,31,0,0,0,0,0,19,0,25,0,0,0,0,63,0,16,0,0,0,23,20,0,0,0,0,0,0,0,13,23,0,0,0,0,0,0,20,18,0,0,17,0,0,0,0,0,0,0,26,0,0,0,0,0,0,17,0,0,20,0,0,0,0,0,28,0,0,0,0,20,0,0,16,0,76,0,0,85,22,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,11,0,0,0
2008-04-01,0,9,0,0,26,16,0,27,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,18,0,26,0,0,11,21,0,0,0,18,26,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,25,0,0,0,0,0,8,0,0,0,33,0,0,18,0,100,0,35,0,0,0,0,0,0,0,22,22,0,17,0,16,0,0,0,22,0,0,0,12,0,0,81
2008-05-01,0,40,0,0,27,27,0,25,0,27,0,0,0,0,0,0,49,0,24,0,0,0,0,0,0,0,35,0,0,0,24,35,0,26,0,0,11,0,12,0,22,18,0,0,0,16,0,0,0,0,0,0,0,0,100,0,18,0,0,0,33,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,17,0,0,11,0,0,0,0,0,0,27,0,0,0,35,0,100,0,0,0,0,0,11,22,0,16,0,48,0,0,0,13,0,0,0,24,0,0,0
2008-06-01,0,53,24,0,0,33,0,22,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,26,26,0,0,0,0,12,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,18,0,0,28,0,22,0,0,0,0,0,0,0,17,0,0,0,16,0,0,0,0,0,8,0,0,0,0,0,45,0,0,0,0,35,0,0,0,0,0,0,0,11,0,0,0,0,16,0,0,0,13,27,0,0,12,0,0,0
2008-07-01,0,27,0,32,0,0,0,20,0,12,0,0,0,0,0,0,0,0,43,0,0,0,24,13,0,0,0,0,0,12,0,16,23,0,20,0,0,0,17,0,0,0,23,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,26,0,0,0,0,19,0,0,15,0,0,0,58,0,17,0,14,0,29,0,41,0,0,0,0,0,0,89,0,0,0,0,0,10,0,0,0,0,15,0,0,0,27,24,0,0,11,0,0,0
2008-08-01,16,16,0,0,24,15,0,17,0,12,0,0,81,0,0,0,29,0,21,0,0,19,0,0,0,0,32,0,0,0,0,0,24,0,0,0,0,19,11,0,0,16,0,0,0,36,0,31,0,0,0,0,0,0,0,0,16,0,0,19,0,10,0,0,0,0,0,0,0,0,0,0,0,22,0,0,32,0,0,9,0,0,27,15,0,0,32,0,0,0,31,0,0,0,0,100,0,77,20,0,0,0,0,0,0,0,0,19,0,0,0,11,0,0,72
2008-09-01,0,37,0,0,0,22,0,24,0,12,0,0,0,0,0,0,15,0,0,20,0,0,24,0,0,0,0,0,0,0,0,15,0,0,0,0,0,19,11,0,0,16,0,0,0,28,0,0,0,0,0,0,0,0,0,0,16,0,0,37,30,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,16,0,0,17,0,14,0,29,0,40,32,0,0,0,0,0,90,0,0,0,0,0,10,19,0,0,0,14,0,0,0,12,23,0,0,11,0,0,0
2008-10-01,0,28,21,0,0,14,0,25,22,11,0,0,0,0,55,0,0,0,20,0,0,0,22,0,0,0,15,0,0,0,0,0,22,0,19,0,9,18,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,6,0,0,0,14,0,39,61,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,14,0,0,0,16,0,0,0,10,0,0,69
2008-11-01,0,29,0,0,23,14,0,22,0,17,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,32,0,0,0,21,0,23,47,0,0,10,19,11,0,0,31,0,0,0,14,0,0,0,0,0,0,0,0,0,23,16,0,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,22,0,0,16,0,0,13,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,24,14,0,22,0,0,0,11,0,0,0,14,0,0,0
2008-12-01,0,28,0,0,0,15,0,17,0,25,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,11,20,36,0,0,17,0,0,49,15,0,0,0,0,0,0,0,24,0,25,17,0,0,0,0,32,45,0,0,27,0,0,0,0,20,0,28,16,0,0,0,0,0,10,0,15,29,0,0,0,25,0,0,0,33,0,0,0,0,0,0,0,11,0,25,16,0,0,0,0,0,12,0,0,23,11,0,0,0
2009-01-01,0,43,0,0,0,0,0,13,24,12,0,0,0,0,0,0,15,20,0,0,22,19,0,0,0,0,0,0,0,0,22,0,0,0,20,0,0,0,23,0,0,16,0,0,0,15,0,0,0,0,61,0,0,0,0,0,0,73,0,0,0,0,43,0,0,27,0,0,0,0,38,0,0,15,0,0,16,0,81,14,0,0,0,15,0,0,24,0,0,0,33,0,0,0,0,0,0,0,10,0,0,15,0,29,0,0,0,24,24,0,0,0,0,0,0
2009-02-01,0,43,0,0,0,0,0,27,22,0,0,0,78,0,0,0,14,0,21,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,36,11,0,0,0,0,0,0,27,74,30,0,0,57,0,0,0,0,0,31,0,0,18,0,0,0,0,0,25,0,0,0,0,18,0,0,14,0,69,0,0,0,7,0,14,0,14,0,0,0,25,0,0,30,0,0,0,0,0,0,0,24,19,0,0,0,14,0,0,0,34,23,0,0,16,0,0,0
2009-03-01,0,44,0,0,0,49,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,18,13,0,40,0,0,0,0,9,0,16,13,20,0,38,20,0,0,0,21,100,0,0,19,0,0,14,0,22,0,0,8,0,0,0,22,0,0,0,0,16,0,0,25,0,0,13,0,0,14,0,12,22,19,0,34,13,0,0,48,27,62,0,0,0,0,0,64,17,0,40,12,0,12,0,0,0,10,20,0,0,27,0,0,0
2009-04-01,0,42,36,27,20,12,0,16,0,0,0,0,67,0,0,0,0,0,0,17,18,31,0,11,0,0,13,0,0,0,18,13,20,0,0,0,0,15,14,0,0,26,0,0,0,24,0,0,0,0,49,0,0,0,0,0,27,0,0,16,0,8,0,0,0,0,0,0,0,13,15,19,0,12,0,0,0,48,0,13,0,0,22,43,0,33,26,0,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,10,20,0,18,9,0,0,0
2009-05-01,0,33,0,0,19,12,0,16,0,15,0,0,0,0,0,0,24,0,18,0,0,0,20,0,0,0,13,0,0,0,0,0,0,29,0,0,0,0,0,0,0,13,19,0,0,12,0,0,0,0,0,100,0,0,0,19,13,0,0,15,0,16,0,0,0,21,0,0,0,13,15,0,0,12,0,0,26,0,0,8,0,0,0,18,0,33,26,0,0,0,26,0,0,0,0,0,0,0,16,0,0,0,0,12,0,0,0,13,20,0,0,12,0,0,0
