date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Bitter Melon,Blueberries,Bok Choy,Broccoli,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Chayote,Cherries,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Hominy,Kale,Kumquat,Lemons,Lettuce,Limes,Longan,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Raisins,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2005-11-01,64,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,0,0,0,0,0
2006-02-01,0,0,0,0,100,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2006-03-01,100,0,0,0,0,71,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,75,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,50,42,0,0,0,0,0
2006-04-01,0,0,0,0,0,39,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,100,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,100,0,42,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
2006-07-01,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,50,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
2006-09-01,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
2006-10-01,38,0,0,0,64,41,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,72,0,0,0,0,0,0,0,100,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
2007-01-01,0,0,0,0,0,24,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2007-02-01,0,0,0,0,0,24,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,32,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,0,0,0,0,0,0
2007-03-01,28,0,0,0,0,41,28,0,0,0,0,100,54,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,43,55,0,0,0,56,0,0,0,0,0,0,29,0,0,0,0,24,0,0,0,0,0
2007-04-01,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,53,0,53,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
2007-06-01,0,0,0,100,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,30,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2007-07-01,54,0,0,96,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,32,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,19,25,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,16,0,100,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
2007-11-01,63,0,0,0,0,15,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0
2007-12-01,0,0,0,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,25,36,23,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
2008-01-01,21,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,20,0,0,0,41,0,0,0,0,0,0,0,0,0,0,21,17,0,0,0,0,0
2008-02-01,20,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,71,0,0,0,0,0,0,19,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
2008-03-01,0,0,0,0,0,14,18,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,37,0,16,0,0,0,60,0,0,0,0,0,16,0,0,0,0,0
2008-04-01,18,0,0,0,0,13,0,0,0,0,0,0,34,0,63,0,0,0,0,0,0,0,0,0,35,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,34,0,0,0,35,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
2008-05-01,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,19,16,0,0,17,0,97
2008-06-01,19,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2008-07-01,18,0,0,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
2008-08-01,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,100,0,0,0,0,0,51,0,0,20,0,18,0,0,0,38,0,0,0,0,0,0,0,0,100,0,0,16,0,0,0,0,0
2008-09-01,17,0,0,0,0,12,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,18,0,16,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2008-10-01,30,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,28,0,0,0,13,0,0,0,0,15,0,77,0,0,13,0,0,0,0,0
2008-11-01,24,0,0,0,26,17,15,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,42,0,0,0,0,16,0,0,31,0,0,0,14,0,0,0,0,0
2008-12-01,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,27,0,0,0,0,35,0,0,0,0,0,0,0,48,0,0,0,100,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,0,0,0,0,0
2009-01-01,0,0,0,0,0,11,22,70,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,30,0,0,31,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,20,0,0,0,16,0,14,0,0,0,0,0,13,0,0,0,0,0,30,0,100,0,0,0,0,0,0,0
2009-02-01,16,0,0,0,0,17,15,0,0,0,0,0,0,0,83,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,13,0,31,0,50,0,0,0,0,0,13,0,0,0,0,0
2009-03-01,27,0,0,0,0,17,13,0,0,0,0,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,100,100,14,0,0,0,0,26,0,0,0,0,0,0,0,49,0,0,0,0,28,21,13,0,0,0,54,0,23,100,27,0,0,14,27,0,90,0,23,0,0,0,0,0
2009-04-01,21,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,12,0,0,13,0,0
2009-05-01,0,100,0,51,24,26,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,28,0,0,0,24,0,0,0,15,0,0,0,0,13,0,0,23,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,28,0,12,0,0,14,0,0,28,0,0,0,12,0,0,0,0,0
2009-06-01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,24,29,0,0,15,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,100,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,43,0
2009-07-01,0,0,0,0,24,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,82,0,0,21,0,0,100,0,37,0,0,0,0,14,0,0,0,0,0,0,0,0,0,45,0,0,0,0,14,12,0,0,0,0,0
2009-08-01,0,0,0,0,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,23,0,30,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,30,0,13,0,0,0,0,0,0,0,0,15,0,0,0,14,0,0
2009-09-01,14,0,0,0,23,10,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,23,0,0,0,21,0,0,0,0,13,0,0,0,0,0,0,0,48,18,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2009-10-01,26,0,0,0,0,22,0,0,0,0,0,0,24,0,45,0,0,74,0,0,0,22,0,0,25,0,13,26,0,0,0,0,13,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,12,0,24,0,26,0,0,0,0,0,41,0,0,0,0,0,0,0,0,12,0,0
2009-11-01,32,0,0,0,0,23,0,0,0,0,0,44,47,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,19,12,0,0,0,25,0,11,0,0,0,0,0,0,0,0,13,11,24,0,12,0,0
2009-12-01,14,0,0,0,0,10,13,0,0,0,0,0,0,0,47,0,0,0,33,0,11,0,21,0,0,0,0,27,0,0,0,0,0,0,0,0,0,13,100,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,57,54,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,40,0
2010-01-01,12,0,0,0,0,15,12,0,0,0,0,42,23,0,42,0,0,0,0,0,0,0,18,0,24,0,0,0,0,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,66,0,12,0,12,0,0,0,48,0,10,0,0,0,0,12,0,0,0,12,15,0,0,0,0,0
2010-02-01,25,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,32,25,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,44,0,0,0,89,0,19,24,0,23,0,25,100,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0,0
2010-03-01,16,0,0,0,0,18,21,50,0,0,0,0,0,0,0,0,0,0,26,0,0,18,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,38,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,22,0,0,11,9,0,0,0,0,0
2010-04-01,40,80,0,0,19,21,0,0,0,0,0,40,21,0,40,0,0,0,0,0,9,0,0,0,0,0,0,23,0,23,0,0,12,0,100,0,0,11,0,0,0,0,0,100,0,0,0,30,0,0,0,0,0,0,0,0,45,0,19,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0
2010-05-01,17,0,0,41,19,21,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,59,0,0,0,0,0,0,63,0,12,17,22,0,0,0,23,0,0,0,23,0,0,12,0,59,0,23,0,21,0,11,34,0
2010-06-01,0,0,0,0,0,22,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0
2010-07-01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,64,0,59,0,0,0,0,0,0,0,0,12,0,21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,18,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,24,0,0,0,0,0,0,12,0,0,0,24,10,0,0,0,0,0
2010-09-01,0,0,0,0,19,14,11,0,0,0,70,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,12,0,22,0,0,47,22,0,9,0,0,0,36,0,0,0,0,0,10,0,0,10,0,0
2010-10-01,22,0,0,0,0,8,0,0,0,0,0,38,20,0,0,0,0,0,0,0,9,0,17,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,21,0,9,0,0,11,35,0,0,56,0,22,0,0,0,0,32,0
2010-11-01,15,0,0,0,17,20,10,47,0,0,65,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,21,21,0,20,0,0,21,0,0,0,0,0,0,0,0,0,15,0,0,36,0,27,0,0,11,0,10,0,19,0,27,81,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
2010-12-01,11,0,0,0,0,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,100,0,0,0,84,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,23,0,10,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
2011-01-01,7,0,0,0,12,15,10,0,0,0,43,24,19,0,24,0,0,0,0,0,5,0,21,0,13,0,0,0,12,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,24,9,18,0,0,7,0,7,7,0,0,20,0,9,0,0,0,0,0,0,0,0,7,9,13,0,6,0,0
2011-02-01,21,0,0,0,0,7,7,0,0,0,0,0,20,0,24,0,0,0,0,0,5,0,0,0,0,0,0,0,12,14,0,0,7,0,0,0,0,20,0,0,7,0,0,0,0,24,0,18,0,0,14,0,7,0,0,0,21,55,6,0,14,0,22,0,0,0,0,7,6,0,0,0,0,36
2011-03-01,25,45,0,0,0,15,0,0,0,0,40,22,24,0,0,0,0,0,0,0,5,0,0,0,12,100,0,13,21,13,46,0,0,0,55,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,40,0,0,0,0,0,5,0,0,6,0,0
2011-04-01,17,0,0,0,0,8,0,0,0,0,42,0,0,0,0,60,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,59,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,7,10,0,0,0,0,0,53,11,0,0,0,0,0,13,35,0,14,6,0,0,0,0,0
2011-05-01,13,0,0,0,11,12,6,0,0,0,0,22,12,0,23,0,0,0,0,0,0,0,0,0,25,0,7,0,11,13,0,0,7,0,0,0,0,0,0,0,37,33,0,0,57,0,0,17,0,0,7,0,6,0,0,0,19,0,0,0,0,0,0,0,19,0,0,7,5,0,0,6,0,34
2011-06-01,10,48,0,0,11,13,6,0,0,0,0,23,12,0,0,0,0,0,16,0,5,0,0,0,13,0,0,0,0,13,0,0,7,0,0,0,0,6,0,39,21,35,0,0,0,24,0,18,0,0,0,0,6,0,0,0,13,0,6,0,26,0,21,7,0,0,44,7,6,0,0,0,0,0
2011-07-01,7,0,0,0,11,8,9,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,7,0,0,0,0,6,0,0,7,0,0,0,0,23,0,35,0,0,7,0,8,0,0,28,13,0,8,0,0,0,21,0,0,52,0,0,6,0,0,6,0,0
2011-08-01,13,0,0,0,10,12,12,0,0,0,0,0,12,81,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,46,0,7,0,0,0,0,6,0,0,0,0,9,0,0,0,0,17,0,0,0,0,6,0,0,0,19,0,5,0,12,0,0,0,0,0,0,10,5,0,0,0,0,0
2011-09-01,16,0,0,0,16,12,6,0,0,0,0,22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,7,0,0,0,0,0,8,33,0,0,0,0,8,0,0,26,12,0,5,0,12,0,20,0,0,0,41,6,5,0,0,6,0,0
2011-10-01,34,0,0,0,0,18,0,0,0,0,0,20,0,0,20,0,0,0,0,0,4,0,9,0,0,0,0,0,0,11,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,24,11,0,5,0,0,0,0,0,0,0,0,6,6,0,0,5,17,30
2011-11-01,29,41,0,0,10,11,8,0,0,0,0,20,11,75,0,52,0,0,0,0,5,0,9,0,11,0,0,12,0,0,0,0,15,0,0,0,100,8,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,0,0,0,17,46,5,0,0,0,19,6,11,0,0,8,5,11,0,0,17,0
2011-12-01,12,0,0,0,10,7,12,0,0,0,0,0,17,0,21,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,44,6,0,0,0,0,6,0,0,0,0,0,0,0,21,0,0,0,0,12,0,9,0,11,0,30,0,0,0,0,0,19,0,0,0,40,12,5,0,0,11,18,32
2012-01-01,18,0,100,19,0,19,0,0,79,0,33,36,10,0,0,0,8,0,0,0,4,9,0,0,0,0,0,10,9,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,0,5,0,0,0,17,42,4,0,10,0,0,0,0,0,0,16,7,0,0,5,0,0
