date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Belgian Endive,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Madarins,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Waxed Beans,Yams,Yellow Squash,Cassava,Zucchini Squash
2006-10-01,31,61,17,36,66,17,24,11,0,66,21,23,23,24,15,73,7,9,15,0,27,0,18,7,24,71,11,39,18,0,9,21,28,32,17,0,11,34,22,8,22,20,30,42,42,49,26,29,41,20,17,41,11,8,22,46,27,23,50,9,28,21,4,17,9,21,21,33,12,27,30,15,9,17,0,0,17,19,17,35,30,14,13,20,35,36,23,13,17,57,29,29,24,23,25,30,19,15,74,36,9,55,84,49,13,90,13,46,7,1,10,28,29,31,8,38,11,31,9,28,17,0,24,35,23,30,9,7,90,6,6,100,5
2006-11-01,61,56,26,59,58,17,24,9,35,61,29,33,22,48,13,36,4,12,15,41,27,44,43,27,19,30,4,50,22,42,14,29,14,34,23,27,26,11,63,6,25,40,18,52,46,65,35,21,64,0,35,37,37,66,25,42,40,35,32,9,35,24,5,17,5,31,32,36,5,42,37,17,15,14,0,0,39,28,17,47,27,5,13,37,54,27,51,12,13,75,29,24,60,36,0,19,40,42,15,27,46,9,98,28,13,68,19,35,7,1,36,40,24,42,15,39,15,64,52,37,49,0,18,39,18,98,20,7,0,67,10,0,5
2006-12-01,31,31,28,91,42,17,0,13,36,66,20,25,15,32,17,46,19,7,15,0,28,46,30,15,13,46,7,33,18,0,11,27,28,15,28,0,23,8,33,6,26,41,22,77,34,20,33,24,57,41,39,24,21,42,29,26,0,24,33,5,43,17,3,17,7,39,29,40,5,22,34,6,19,10,0,0,35,35,0,44,64,11,7,31,76,100,25,11,8,62,33,27,29,29,77,15,31,23,30,30,42,2,28,31,11,65,15,29,7,1,21,41,22,59,9,19,15,38,15,19,84,24,17,35,14,30,15,7,92,18,8,0,4
2007-01-01,41,23,22,38,44,16,32,15,63,68,40,22,18,43,23,49,12,11,31,0,24,0,23,5,27,0,11,38,20,0,10,24,25,17,20,0,17,6,11,7,16,27,26,49,60,26,37,24,40,18,44,31,13,15,20,25,40,0,64,9,19,24,5,25,19,40,42,48,6,31,33,37,29,12,0,0,39,39,0,42,37,22,8,19,78,88,17,10,10,63,41,23,8,28,22,19,19,15,13,24,52,1,47,14,11,61,22,38,8,1,21,20,47,34,9,14,20,31,6,42,73,32,19,24,32,26,22,7,0,5,7,30,2
2007-02-01,29,22,21,45,23,19,23,15,100,70,30,27,14,45,19,51,16,11,30,0,0,42,18,9,16,29,5,47,18,40,7,21,33,32,18,26,7,7,9,6,30,0,28,52,47,18,37,18,46,19,29,36,11,6,22,28,76,22,30,7,20,28,4,0,9,33,30,52,5,22,29,13,23,12,0,0,41,33,16,33,42,16,9,18,54,51,37,9,16,45,31,27,11,31,24,9,7,13,21,47,34,1,38,31,11,62,18,20,6,0,13,21,33,36,6,11,16,42,5,49,31,45,21,27,94,37,17,8,0,4,3,0,4
2007-03-01,43,24,20,33,56,28,0,16,30,70,27,19,19,20,23,53,17,11,11,0,46,0,17,5,28,26,6,32,18,0,8,27,18,33,18,23,13,6,10,7,21,34,24,42,42,16,32,13,38,17,100,49,9,7,20,41,34,0,24,6,24,30,3,14,9,44,34,31,7,31,26,9,45,11,0,0,26,40,15,44,50,25,13,18,42,30,29,13,20,45,34,27,15,31,64,22,10,13,37,36,22,1,21,48,15,48,27,21,18,1,15,16,27,35,6,8,32,21,5,20,24,20,23,23,69,22,27,10,0,4,4,28,3
2007-04-01,33,24,22,46,43,37,21,16,0,64,32,21,19,34,21,31,22,11,11,35,23,0,21,7,21,0,10,36,17,0,6,21,18,38,21,47,6,8,13,12,21,34,21,38,36,22,30,17,42,17,27,49,13,11,27,37,23,30,49,5,36,31,4,14,12,48,29,48,7,25,39,24,47,15,0,0,22,70,15,39,71,5,6,20,35,46,15,13,18,36,40,24,10,36,22,17,10,17,44,44,13,1,15,26,16,70,21,30,17,1,8,16,48,36,7,8,44,25,7,20,32,0,29,14,35,34,29,14,0,6,7,28,6
2007-05-01,28,22,30,39,32,24,37,18,27,70,33,21,19,37,28,28,33,17,32,32,0,0,16,3,18,23,11,30,17,0,8,19,27,21,30,63,6,13,10,15,14,16,21,42,26,65,29,17,32,23,27,50,12,10,24,25,21,27,99,6,32,49,6,13,16,36,35,37,7,37,30,14,31,15,0,0,37,76,20,46,28,17,18,24,27,69,7,13,20,28,32,31,6,40,20,25,10,12,17,40,7,1,21,28,21,68,30,27,52,1,8,12,27,34,6,9,48,19,4,40,13,36,43,13,17,15,29,22,0,3,14,51,5
2007-06-01,17,19,70,36,48,20,20,16,0,63,22,22,24,40,34,45,37,25,33,34,46,0,18,6,21,25,15,15,17,35,10,22,35,12,39,23,6,14,12,22,9,17,26,41,42,43,32,30,36,42,19,46,14,14,31,35,45,59,42,9,12,34,5,14,36,43,23,43,7,15,55,26,23,30,0,0,22,61,38,33,69,39,11,27,24,89,22,13,46,26,49,33,11,39,63,39,13,12,37,40,4,1,25,41,21,54,54,18,53,1,10,20,35,38,6,17,54,33,4,20,14,39,55,21,11,33,27,28,0,4,31,28,14
2007-07-01,12,20,78,37,39,16,19,18,28,68,31,30,37,38,38,21,47,48,28,32,32,0,17,3,20,60,22,22,14,100,9,19,50,12,57,22,18,23,14,35,25,32,49,35,26,62,35,51,41,64,26,46,20,8,33,24,35,37,51,6,44,47,6,13,38,23,20,29,6,42,34,21,16,33,0,0,27,47,27,41,61,41,31,34,20,49,16,14,39,26,48,42,7,37,20,68,13,12,46,37,6,1,26,29,25,55,57,20,27,1,8,19,61,38,5,28,33,41,5,11,39,19,58,18,18,16,19,37,0,3,50,26,25
2007-08-01,31,25,28,32,44,14,18,20,27,63,22,26,33,36,26,20,39,26,25,0,31,0,17,4,22,34,21,24,15,64,7,16,10,9,22,31,17,18,11,33,19,15,50,33,22,29,31,55,34,15,19,56,18,9,25,34,20,53,16,5,11,33,5,17,19,23,37,30,5,32,26,18,13,20,0,0,23,50,13,42,58,56,33,29,17,34,9,17,53,45,37,44,8,30,19,53,12,11,44,56,5,2,21,24,18,61,37,16,18,1,16,21,38,31,5,22,20,42,5,35,15,27,60,16,14,30,20,31,0,4,26,25,16
2007-09-01,42,47,15,33,81,11,18,14,27,69,34,22,28,42,28,47,19,11,27,31,20,0,19,4,25,57,13,62,19,32,7,21,26,22,18,20,11,18,12,19,27,38,46,39,28,22,39,40,38,23,12,61,14,11,21,37,40,23,75,5,31,27,5,25,12,25,36,45,7,32,40,28,11,13,0,0,10,28,13,40,58,39,23,21,28,54,16,14,34,69,31,46,9,30,76,36,14,14,55,51,8,10,49,12,17,68,34,35,17,1,8,21,30,32,6,27,20,23,5,18,25,18,39,23,24,54,19,15,0,4,15,0,8
2007-10-01,21,60,19,32,33,13,0,13,0,76,21,24,27,24,20,24,14,11,19,28,0,0,19,7,26,61,10,38,17,28,9,26,47,20,15,18,25,36,17,8,14,20,33,47,39,61,35,34,40,40,18,42,14,10,30,50,27,32,72,5,23,25,8,0,11,33,40,31,5,27,37,19,22,11,0,37,23,38,17,53,56,11,13,23,29,30,30,12,18,62,31,32,42,26,34,27,20,15,43,38,38,58,95,16,23,75,12,36,9,1,18,26,23,36,8,41,13,40,9,35,33,0,23,33,12,31,34,9,0,7,14,22,8
2007-11-01,28,57,24,55,50,20,16,14,0,71,30,38,31,43,21,18,10,7,16,55,18,30,41,27,25,31,7,36,26,0,13,34,19,12,18,37,20,14,59,7,22,41,25,49,45,61,46,24,63,40,27,30,33,53,31,65,54,0,29,7,42,26,8,57,10,36,39,43,5,37,33,14,18,14,0,36,53,32,15,48,36,9,11,34,52,54,40,9,10,66,42,25,64,43,17,22,35,44,36,55,36,9,85,37,14,75,15,38,13,1,41,49,23,50,16,46,17,55,54,32,64,16,21,52,21,57,28,6,0,71,10,34,4
2007-12-01,28,31,25,89,17,16,17,12,24,62,29,28,26,39,17,38,19,8,13,0,19,0,38,18,20,0,4,44,25,0,12,29,29,14,24,19,18,8,32,7,35,21,24,91,46,63,48,26,58,28,33,25,22,25,21,25,19,16,35,3,44,27,5,17,10,49,40,47,4,28,26,13,10,13,0,0,51,26,12,49,66,15,9,32,69,68,39,12,7,71,35,22,34,32,35,18,31,25,20,44,47,2,33,31,13,75,19,32,6,1,35,31,24,61,13,21,14,46,17,39,100,33,21,32,19,59,17,6,0,19,9,0,6
2008-01-01,62,24,18,39,45,16,15,17,43,68,46,28,28,44,24,50,26,12,27,25,17,0,23,12,30,18,6,44,24,26,8,24,17,18,16,33,23,7,16,9,35,25,33,91,54,40,40,20,42,19,31,33,13,3,25,32,33,14,35,6,30,34,6,14,12,48,41,58,5,36,30,15,15,12,0,0,27,41,11,46,44,12,11,26,67,55,24,9,12,50,40,23,11,30,23,9,13,15,32,44,44,1,23,32,8,58,14,46,7,1,21,14,28,39,10,17,16,24,7,72,70,15,24,30,58,12,21,7,0,6,6,20,3
2008-02-01,49,23,21,43,53,24,0,15,34,72,42,22,26,38,22,34,25,14,37,26,17,0,22,7,22,39,6,43,20,27,10,29,36,25,15,26,29,7,10,8,32,26,28,38,42,37,37,18,45,13,41,35,9,8,26,34,25,22,61,6,22,34,6,0,12,50,32,46,6,39,30,16,25,15,0,0,36,62,11,44,23,16,15,21,55,34,17,9,14,40,33,28,7,31,64,22,11,14,19,53,47,1,19,44,16,66,25,34,7,1,18,20,19,41,10,12,23,27,6,68,49,45,22,24,32,25,17,8,0,5,7,0,6
2008-03-01,28,26,24,38,31,39,0,15,22,77,36,27,27,45,20,33,16,15,37,25,17,28,26,10,37,37,10,37,22,0,9,27,43,26,15,26,12,7,8,9,16,19,29,63,41,52,37,16,44,12,43,46,16,13,29,33,25,29,22,7,52,36,7,10,9,61,36,48,6,28,34,11,38,19,0,34,48,33,11,43,44,24,16,23,49,61,31,11,17,44,40,29,8,35,0,25,13,20,12,46,36,1,26,38,24,58,25,42,6,1,22,23,36,43,9,10,31,35,8,49,36,15,30,29,34,37,28,9,0,8,10,52,5
2008-04-01,55,26,27,44,79,32,29,20,22,84,40,23,26,19,41,16,29,14,39,0,33,27,19,7,24,27,10,26,23,50,10,28,17,34,15,41,14,9,10,13,35,24,28,57,35,35,41,19,37,12,28,44,14,10,28,36,48,14,17,7,21,52,6,10,10,45,52,47,7,49,39,15,54,17,0,0,31,36,15,45,83,7,10,22,54,38,27,13,20,36,40,29,12,38,38,24,10,15,27,49,17,1,30,29,18,65,21,49,22,1,19,16,19,37,8,11,42,30,6,57,50,28,38,24,16,24,27,12,53,4,12,0,6
2008-05-01,43,23,35,42,35,32,15,18,36,81,35,25,23,44,29,27,34,17,34,0,28,0,19,7,20,19,14,41,19,26,9,25,30,27,22,17,14,15,10,16,31,12,29,68,15,43,36,22,37,37,24,45,12,9,27,36,24,24,13,8,42,53,7,10,12,57,35,37,8,34,35,16,47,18,0,0,37,69,21,52,36,20,24,31,28,65,15,15,26,27,37,29,14,40,46,17,13,15,24,32,16,1,20,27,21,56,30,30,34,1,13,20,34,39,8,10,48,28,5,23,22,36,49,22,30,28,25,23,0,4,14,20,7
2008-06-01,43,21,63,37,70,23,31,20,38,71,39,27,32,23,35,41,48,37,56,0,47,0,21,4,25,20,25,35,22,27,9,20,23,11,51,18,12,18,9,23,14,52,35,49,46,21,29,30,37,52,20,48,15,8,32,25,17,56,23,8,18,51,8,33,30,30,26,47,9,26,35,16,34,23,0,35,31,64,52,44,31,54,34,30,25,99,11,15,41,39,56,39,9,40,16,49,7,13,13,48,5,1,23,24,26,53,43,30,50,2,8,12,52,40,7,16,64,29,6,18,21,38,61,23,18,26,24,35,58,3,29,0,15
2008-07-01,50,21,85,34,41,18,20,22,22,68,42,33,49,44,35,17,49,56,37,25,17,28,20,5,28,19,20,40,18,52,6,24,21,23,43,0,21,22,9,35,22,25,43,48,36,36,41,53,41,56,14,45,24,12,40,37,33,29,33,7,22,43,9,10,37,16,18,41,8,34,45,23,15,24,0,0,24,60,39,38,44,59,43,39,20,55,20,15,60,32,54,46,6,42,16,75,13,14,27,42,6,2,22,33,28,50,68,24,36,1,10,19,44,40,7,29,38,40,5,9,35,22,66,21,8,20,22,61,0,3,49,0,30
2008-08-01,50,27,47,30,35,15,22,18,21,62,28,33,50,29,41,50,49,39,24,25,17,54,18,4,24,44,27,26,21,77,8,18,34,16,24,17,16,20,12,37,26,25,58,37,41,30,41,65,39,37,16,55,25,8,27,28,16,48,20,5,34,29,7,10,23,22,24,31,6,42,39,38,20,24,0,34,27,48,10,43,55,42,39,38,25,33,8,14,68,56,40,47,9,46,46,59,12,13,85,29,5,2,15,33,21,48,35,20,20,1,13,20,21,38,7,28,20,56,4,35,20,58,61,18,14,12,26,32,55,4,41,31,25
2008-09-01,40,52,23,28,62,17,35,17,0,59,18,28,35,28,33,16,15,18,25,0,24,0,22,6,24,17,15,37,19,48,8,24,24,17,16,16,13,19,11,18,23,12,46,43,36,45,35,47,35,0,21,62,18,10,26,33,31,20,25,7,28,26,6,0,17,30,39,33,6,38,40,26,18,15,0,0,25,35,15,43,38,35,31,26,29,72,17,14,33,74,35,44,17,30,36,62,14,14,59,65,6,9,61,19,19,54,28,33,12,1,8,18,32,31,7,29,15,34,7,24,24,34,45,21,26,15,17,17,0,4,19,19,11
