date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Watercress,Watermelon,Yams,Cassava,Zucchini Squash
2005-11-01,0,0,0,0,42,95,0,69,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,100,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,100,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,73,100,32,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
2005-12-01,60,0,0,0,83,46,0,67,0,0,0,0,0,0,0,19,0,0,0,65,0,0,68,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,67,0,0,0,49,0,0,0,0,0,0,30,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,83,0,0,0,68,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,52,0,57,0,100,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,45,0,0,55,0,0,0,0,60,0,0,100,0,0,0,0,0,0,0,0,0,0,57,91,0,0,41,0,0,0,26,0,0,25,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,100,0,0,0,0,58,0,0,0,33,0,65,0
2006-02-01,44,0,0,0,38,49,0,62,0,0,0,0,0,0,0,26,0,100,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,59,0,0,0,0,0,0,97,0,0,0,0,98,0,45,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,62,0,0,0,0,0,0,45
2006-03-01,37,0,51,0,32,36,0,52,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,83,51,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,53,39,0,0,0,0,0,0
2006-04-01,41,0,0,0,0,33,0,0,0,0,0,0,0,0,0,12,0,0,0,56,0,0,0,0,42,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,42,100,61,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
2006-05-01,28,0,0,0,32,24,0,0,0,0,0,0,0,0,0,7,0,0,0,50,0,0,52,0,38,0,0,0,0,0,0,0,56,0,100,0,0,0,0,0,0,0,0,0,85,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,38,0,0,0,36,0,0,0,0,0,0,56,0,0,51,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,30,0,0,0
2006-06-01,0,0,0,0,38,49,0,61,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,43,0,0,0,72,0,0,0,0,0,0,62,0,0,0,0,0,0,0,100,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,100,65,0,0,0,0,0,0,97,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
2006-07-01,23,0,63,0,59,52,0,0,0,0,0,100,0,0,0,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,100,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,86,0,63,100,0,0,0,0,0,0,30,0,0,29,0,0,0,70,0,0,0,0,0,0,0,0,68,44,0,0,0,0,0,0,0,47,0,0,37,0,0,0
2006-08-01,44,0,0,0,0,46,0,0,0,88,0,0,0,0,0,14,0,0,0,0,0,0,50,0,0,0,0,0,0,58,86,0,0,0,0,0,0,0,51,0,0,100,0,0,0,39,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,52,0,0,0,0,0,0,82,0,36,0,0,0,0,0,0,0,0,0,0,0,73,23,0,0,22,0,0,0,53,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,100,0,0,0,29,0,0,74
2006-09-01,16,0,44,0,28,53,0,46,0,0,0,0,0,0,0,19,0,0,0,44,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,46,0,47,0,0,31,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,49,0,100,0,0,0,0,72,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,49,64,0,0,0,0,0,0,0,0,0,0,27,0,0,34
2006-10-01,22,0,40,0,26,38,0,42,0,0,0,0,100,42,0,6,0,68,0,0,0,0,0,0,31,30,0,0,0,0,0,0,0,0,0,0,0,65,43,0,0,0,0,0,0,49,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,45,0,0,0,0,0,0,0,68,0,29,0,0,51,100,0,0,42,0,0,0,0,0,0,0
2006-11-01,15,41,40,0,25,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,100,44,0,0,0,0,0,42,0,0,0,0,0,0,32,0,0,100,0,0,0,0,34,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,64,0,0,91,0,86,0,28,0,0,18,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,24,100,0,0
2006-12-01,39,0,0,0,36,59,0,43,0,0,0,0,0,0,0,27,0,71,0,0,0,0,0,0,31,30,0,0,0,100,0,0,0,0,0,0,0,67,0,0,0,29,0,0,0,34,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,43,0,0,0,31,0,0,0,27,0,0,0,0,100,0,46,0,0,0,0,0,0,0,0,0,30,0,0,53,0,0,0,0,32,0,0,0,0,0,0
2007-01-01,0,0,35,0,22,49,0,36,95,0,0,0,0,0,0,7,0,0,0,0,100,0,0,0,0,25,0,0,0,0,0,0,0,0,0,21,0,0,36,0,100,0,0,0,0,28,0,0,0,0,0,0,0,29,100,0,34,0,0,0,0,38,0,0,0,0,0,0,57,0,0,0,0,0,0,0,56,0,0,26,0,38,0,16,0,0,0,0,0,0,76,0,0,35,0,0,0,0,58,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
2007-02-01,0,39,0,0,46,57,0,57,100,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,27,0,0,100,0,0,0,0,0,0,0,39,0,40,0,0,0,0,0,0,30,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,41,28,0,0,0,0,37,0,0,0,28,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,45,0,48,0,0,0,39,28,0,100,0,0,0,0
2007-03-01,25,0,0,0,22,69,0,0,0,0,0,0,85,0,0,20,0,0,0,34,0,0,0,0,0,0,0,0,0,0,61,0,38,0,0,0,0,0,0,0,49,0,52,0,0,46,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,25,0,0,0,0,35,0,0,0,0,0,0,0,16,0,0,16,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,21,0,0,0
2007-04-01,13,0,35,0,23,67,0,0,0,0,0,0,89,0,0,5,0,0,0,0,33,0,0,0,27,50,0,0,0,0,64,0,0,0,0,0,0,0,0,0,51,25,0,0,0,28,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,36,57,35,0,0,0,0,0,17,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,22,31,30,0,19,42,0,0,83,0,0,0,0,0,0,4,0,0,35,30,29,0,0,0,0,0,0,0,0,36,0,0,33,0,60,0,31,0,31,0,0,0,0,0,0,0,0,0,74,0,71,0,0,25,88,0,0,0,0,0,0,33,0,100,0,0,0,0,50,0,22,0,0,0,0,30,0,0,0,0,0,0,0,29,0,0,0,0,0,88,0,0,0,30,0,0,0,0,50,33,21,0,0,0,73,0,0,31,0,0,0,0,0,0,0
2007-06-01,26,0,0,0,46,46,0,0,0,0,0,0,0,0,0,5,0,0,0,35,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,39,26,0,0,50,0,37,57,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,0,0,0,0,0,0,0,0,0,21,0,0,0
2007-07-01,39,0,36,100,30,17,0,0,0,0,0,0,0,0,0,13,0,0,0,35,0,0,0,0,26,26,0,0,99,0,63,88,39,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,29,0,0,35,0,0,100,0,38,0,58,0,0,0,0,0,0,27,80,0,0,0,0,57,35,0,36,0,39,0,34,0,0,0,0,0,0,0,0,0,35,0,0,0,0,60,0,26,42,0,0,0,0,0,37,0,0,96,21,0,0,0
2007-08-01,17,0,0,0,26,50,0,63,0,55,0,0,76,0,0,9,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,32,0,44,21,47,0,0,25,0,0,0,0,0,0,0,0,88,0,0,0,0,85,0,33,0,50,0,30,0,0,0,34,0,0,0,0,0,0,49,30,0,23,0,33,0,15,0,0,0,0,0,0,34,0,0,30,0,0,93,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,21,0,28,79,24,36,0,29,0,0,0,45,0,0,0,15,0,0,0,28,27,0,0,0,21,20,0,0,0,0,50,0,0,0,0,17,0,44,0,0,0,0,43,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,46,0,28,0,0,0,31,0,0,86,0,100,0,45,0,0,21,0,0,0,13,0,0,13,0,0,0,0,31,0,0,0,0,0,63,47,0,47,0,0,0,0,0,100,0,0,0,0,17,0,0,21
2007-10-01,28,0,0,0,24,39,84,27,0,0,0,0,0,0,0,5,0,0,0,25,0,0,26,0,19,0,0,0,0,0,0,0,29,0,0,15,0,40,0,0,0,18,0,0,0,21,0,0,63,0,0,0,0,21,0,0,0,0,0,0,0,28,0,42,0,25,0,0,0,0,0,0,0,0,0,27,41,25,0,0,0,28,0,12,0,0,18,0,0,0,0,0,0,26,0,0,0,0,42,0,18,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2007-11-01,37,0,25,0,16,33,0,26,0,46,0,0,0,0,0,11,0,0,0,25,24,0,0,0,25,0,0,0,0,0,0,63,28,0,0,0,0,0,40,0,36,18,0,0,0,21,0,0,0,0,0,0,0,0,72,37,50,0,0,0,32,0,0,42,0,25,0,0,0,28,19,0,0,35,0,0,0,50,0,19,0,0,0,28,0,0,12,0,0,0,28,55,0,0,0,0,0,0,0,0,27,0,0,32,0,79,0,0,0,0,0,15,0,0,0
2007-12-01,20,0,0,0,0,42,88,28,0,0,0,0,0,28,0,12,0,0,0,27,26,0,0,0,51,0,0,0,76,0,0,0,0,45,0,0,0,0,29,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,21,0,0,0,17,0,100,13,0,0,0,60,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,28,0,0,0,16,70,32,21
2008-01-01,13,0,24,0,45,28,0,49,0,0,0,0,0,0,0,17,0,40,0,0,0,0,0,0,18,17,0,0,0,0,0,0,0,0,0,14,0,38,25,0,0,0,36,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,95,0,0,52,0,39,0,23,0,0,39,0,18,0,0,33,0,0,38,23,0,18,0,0,36,22,0,0,11,0,0,0,0,0,0,0,0,0,0,0,39,0,17,28,0,30,0,73,0,0,0,0,0,0,0,0,0
2008-02-01,23,0,49,0,47,44,0,25,0,0,0,0,61,0,0,16,0,41,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,26,39,26,0,35,34,0,0,0,20,0,0,0,0,0,0,0,61,0,0,24,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,24,0,28,0,27,0,0,0,90,23,0,0,0,27,0,0,0,0,0,0,0,82,0,35,0,0,31,0,77,0,26,19,0,0,15,0,0,0
2008-03-01,22,24,0,0,15,45,0,24,0,0,0,0,0,0,0,12,0,39,0,23,0,0,0,0,53,0,0,0,0,28,42,0,0,0,0,0,24,0,0,0,34,0,0,0,0,19,0,0,0,0,0,0,0,0,0,35,23,0,0,0,0,26,0,39,0,0,0,0,0,26,0,0,0,0,0,24,38,0,0,35,0,0,0,11,0,0,11,0,56,0,26,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0
2008-04-01,9,25,0,68,46,31,0,25,0,0,0,0,0,0,0,14,0,0,0,24,23,0,0,0,0,17,0,0,0,0,43,0,0,40,0,0,25,0,0,0,0,0,37,0,0,39,0,0,0,0,0,0,0,40,69,0,24,0,0,67,0,26,0,40,0,0,0,0,40,0,36,0,0,34,0,25,39,0,0,18,0,26,0,11,0,88,11,0,0,0,0,0,0,24,0,0,37,0,40,0,17,29,0,31,0,76,0,25,0,0,0,29,0,0,0
2008-05-01,26,0,0,67,20,78,0,24,0,0,0,0,0,0,0,9,0,0,0,24,0,0,0,0,0,0,0,0,64,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,29,0,0,46,0,0,0,0,25,0,0,0,0,0,0,0,0,17,0,0,0,0,24,38,0,0,29,0,0,0,17,0,0,22,0,0,0,0,26,0,23,0,0,0,0,40,25,34,0,0,0,0,0,0,0,0,0,0,14,0,28,0
2008-06-01,19,0,26,0,33,43,87,27,71,0,0,0,0,0,0,13,0,45,31,52,0,0,0,0,0,0,0,0,0,0,0,65,0,44,0,0,27,0,28,0,38,0,0,0,0,57,0,100,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,26,0,0,44,0,20,0,41,37,0,27,43,0,0,20,0,29,0,25,0,0,12,0,0,0,29,0,0,39,0,0,0,0,89,29,19,47,0,33,0,83,94,27,20,0,0,0,0,0,20
2008-07-01,21,29,56,0,27,17,0,29,0,0,0,0,70,29,0,11,0,0,0,28,27,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,44,45,0,0,0,43,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0,14,0,0,13,0,0,0,32,0,0,28,0,0,0,0,71,0,30,0,0,0,0,0,100,0,0,0,0,51,0,0,21
2008-08-01,9,0,0,66,30,42,0,0,0,0,0,0,0,0,0,17,0,39,0,0,0,0,24,0,0,17,0,0,0,0,0,0,26,0,0,0,0,0,37,0,0,0,0,0,0,29,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,25,0,0,0,23,0,0,0,26,18,0,36,0,84,48,38,0,0,18,0,0,0,34,0,0,11,0,0,0,0,0,0,0,0,0,0,0,39,0,67,0,0,0,0,0,0,41,0,0,0,28,0,0,36
2008-09-01,24,0,22,0,42,44,0,68,61,0,0,0,0,23,0,12,0,0,0,22,0,50,23,0,16,16,0,0,0,26,0,0,25,0,0,13,23,0,24,0,32,0,0,0,0,36,0,0,0,0,52,0,0,0,0,0,33,0,0,62,0,24,0,0,0,0,0,0,0,0,0,0,0,31,0,23,36,22,0,16,0,24,0,16,0,0,10,100,0,0,0,0,0,0,0,0,0,0,37,0,24,0,0,0,0,69,0,23,17,0,0,0,0,0,0
2008-10-01,22,0,0,55,19,35,0,41,0,0,0,0,50,0,0,15,0,0,0,0,19,0,0,0,0,14,0,0,55,24,35,0,0,0,0,12,21,32,0,0,28,20,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,22,0,0,0,0,0,0,0,0,15,0,0,0,0,20,32,0,0,15,0,22,0,14,0,0,14,0,0,0,0,0,0,0,0,45,0,0,33,0,19,24,0,0,0,0,0,0,0,0,0,18,0,0,15
2008-11-01,16,0,0,0,14,25,0,45,0,0,0,0,0,0,0,16,0,0,0,22,21,0,45,0,16,15,0,0,0,0,38,0,0,0,0,13,0,0,34,0,0,15,0,0,0,35,0,0,0,0,0,0,0,18,61,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,0,21,0,65,0,23,0,17,0,77,10,0,0,0,0,0,0,0,0,0,0,0,36,0,23,0,0,27,53,0,0,22,0,0,0,13,0,0,0
2008-12-01,24,22,22,61,23,23,0,45,59,0,0,0,0,0,0,20,0,0,0,0,0,100,0,0,33,16,0,0,0,26,0,0,0,36,0,13,0,0,23,0,0,15,0,0,37,30,0,0,0,0,52,0,0,18,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,24,0,0,33,31,0,0,35,0,0,33,0,24,0,31,0,0,0,0,0,0,24,0,0,0,0,0,0,0,36,0,0,26,40,28,53,0,0,0,16,0,0,13,0,0,0
2009-01-01,11,0,19,0,37,55,0,33,0,0,0,0,0,0,0,16,0,0,0,0,18,0,20,0,0,0,0,0,0,23,0,0,0,0,0,0,0,61,0,0,0,0,30,0,0,47,0,0,0,0,0,0,0,32,0,0,19,0,78,0,0,0,0,31,0,0,0,0,0,0,14,0,0,27,0,0,31,19,0,29,0,0,0,15,0,0,9,0,46,0,32,0,0,19,0,0,0,0,32,21,14,0,0,24,0,0,0,60,29,0,0,17,0,0,0
2009-02-01,8,0,20,58,26,27,0,21,0,0,100,0,0,0,0,32,0,34,24,21,0,0,0,0,15,30,0,0,0,0,0,0,23,0,0,12,0,0,22,0,29,14,0,0,0,25,0,0,0,0,0,0,0,17,0,0,40,0,0,0,0,22,0,34,0,20,0,0,0,0,16,0,0,0,0,0,0,0,0,23,0,33,31,16,0,0,0,93,0,0,23,0,0,0,0,0,0,0,34,22,15,24,0,52,0,64,0,28,0,100,0,12,0,0,16
2009-03-01,23,0,18,0,23,32,0,19,0,0,0,0,0,0,0,22,0,0,0,24,0,41,0,0,14,0,0,0,49,0,0,0,20,0,0,11,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,15,0,0,18,0,0,50,0,0,0,30,0,0,0,0,0,0,20,0,0,0,0,19,29,0,0,27,0,20,0,26,0,0,8,0,0,0,20,0,0,18,0,41,0,0,45,0,13,0,0,0,45,0,0,19,14,89,0,21,0,21,0
2009-04-01,0,21,0,0,26,24,0,21,0,0,0,0,51,0,0,9,0,34,24,20,0,0,0,0,0,15,0,0,0,25,0,0,23,0,0,0,0,0,22,0,29,0,0,0,34,22,0,0,0,0,0,0,0,17,0,30,0,0,0,57,0,44,0,33,0,20,0,0,34,22,0,0,0,0,0,0,33,0,0,23,0,0,0,10,0,0,9,0,0,0,23,0,0,20,0,0,0,0,34,0,15,24,0,0,0,0,0,21,15,0,0,24,0,0,16
2009-05-01,7,0,0,53,32,26,0,19,0,0,92,0,0,0,0,14,0,31,22,19,0,0,20,0,14,13,0,0,51,23,0,0,21,0,0,11,19,30,39,0,27,13,0,0,0,15,0,0,0,24,0,0,79,0,0,0,19,0,0,0,24,61,0,62,0,37,0,0,0,0,21,0,57,0,0,0,30,0,0,37,0,0,0,29,0,0,9,0,0,0,21,0,0,37,0,0,0,0,31,20,13,37,0,0,0,58,0,19,0,0,0,22,0,0,0
