date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Cauliflower,Chayote,Corn,Cranberries,Cucumber,Eggplant,Garlic,Grapes,Guava,Lettuce,Lychee,Onion,Oranges,Peas,Pineapple,Pomegranate,Potatoes,Pumpkin,Spinach,Squash,Tomato,Watermelon
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,13,0,0,0,0
2011-02-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2011-03-01,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,11,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,94,0,0,0,0,0
2011-06-01,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,83,0,0,0,7,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2012-04-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,63,0,0,0,6,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,6,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2012-08-01,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0
2012-09-01,0,0,0,0,0,82,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,7,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,63,0,0,100,6,0
2012-11-01,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,6,0
2012-12-01,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0
2013-01-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,4,0
2013-04-01,0,0,0,0,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2013-05-01,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2013-07-01,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,29,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
2013-09-01,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,39
2013-10-01,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,69,0,0,0
2013-11-01,5,0,0,62,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,0,31,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,30,52,26,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,26,0,0,37,0,0,0,3,35
2014-04-01,7,0,29,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0
2014-06-01,4,0,0,48,0,0,0,0,0,0,0,0,0,0,42,0,0,59,0,0,0,0,87,0,0,0,0,0,0,0
2014-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0,0,0
2014-08-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2014-09-01,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,81,35,0,0,0,0,0,0
2014-10-01,0,0,0,45,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,29
2014-11-01,0,0,0,100,25,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2014-12-01,6,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2015-01-01,4,56,0,0,23,0,0,0,0,0,0,100,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,91,42,2,0
2015-05-01,0,0,0,37,37,0,0,0,0,0,0,0,0,23,0,0,37,0,0,0,0,0,0,28,26,0,0,0,0,0
2015-06-01,7,0,0,0,20,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
2015-07-01,3,0,0,0,38,0,0,4,0,0,0,0,0,0,0,0,77,0,0,63,0,19,0,0,0,0,46,0,2,25
2015-08-01,3,0,20,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,3,0,0,37,28,33,0,0,0,0,0,0,0,0,0,0,37,46,0,0,0,0,0,0,0,0,0,0,2,0
2015-10-01,3,0,0,35,0,0,46,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,2,42,0,2,0
2015-11-01,0,0,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
2015-12-01,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
2016-01-01,2,0,0,0,14,25,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,20,28,0,0,0,0,0,0,0,0,2,0,0,0,19
2016-03-01,0,0,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,31,0,0,17
2016-04-01,0,0,0,26,13,22,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,2,0,14,35,29,20,32,0,0,0,0,0,0,0,0,0,47,0,45,0,0,0,41,0,0,0,0,0,0,0
2016-06-01,2,0,0,0,0,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
2016-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,29,0,0
2016-08-01,2,0,0,0,25,22,0,3,0,0,0,0,0,0,22,0,26,0,0,0,0,0,0,0,0,2,0,0,0,0
2016-09-01,2,0,0,25,19,0,0,3,0,0,0,0,0,15,0,0,26,0,0,0,0,0,0,0,18,0,0,0,0,17
2016-10-01,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,19,27,0,0,0,0,0,0,0,0,0,66,0,2,0
2016-11-01,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,27,0,0,0,0,0,49,0,0,0,0,0,0,18
2016-12-01,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
2017-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-02-01,2,0,0,0,13,23,0,0,54,0,0,0,0,33,0,0,27,0,0,0,0,0,0,0,0,2,0,30,0,18
2017-03-01,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,16,22,26,0,0,0,0,0,0,31,0,0,25,1,14
2017-04-01,2,0,13,0,0,19,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,15
2017-05-01,2,0,13,22,11,0,29,2,0,0,0,0,0,0,0,0,22,27,0,37,0,0,0,0,16,0,0,0,1,15
2017-06-01,0,0,0,55,21,0,0,0,0,0,0,0,0,17,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,0
2017-08-01,3,0,0,25,19,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
2017-09-01,5,34,0,28,0,0,0,0,0,0,0,0,53,0,24,0,28,0,0,0,0,0,0,0,20,0,0,0,0,0
2017-10-01,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0
2017-11-01,2,0,0,0,14,0,38,0,0,0,0,0,55,0,0,0,58,0,0,0,0,14,0,22,0,0,35,0,0,19
2017-12-01,5,33,0,27,27,24,0,0,0,0,0,0,0,0,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0,26,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0
2018-02-01,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,0,33,0,0
2018-03-01,6,0,14,24,12,21,0,0,0,19,0,0,47,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,33
2018-04-01,4,0,14,0,12,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18,2,0,0,0,17
2018-05-01,2,0,14,0,24,21,32,0,0,0,0,0,46,0,0,0,24,0,0,0,0,0,43,0,0,0,0,0,3,16
2018-06-01,3,29,13,0,12,21,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,12,0,0,0,0,0,0,2,0
2018-07-01,3,28,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,15
2018-08-01,2,0,0,0,11,19,44,0,0,0,0,0,42,0,0,0,0,27,0,37,0,0,0,0,31,0,27,0,1,0
2018-09-01,2,0,0,23,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,36,17,0,29,0,0,0
2018-10-01,3,0,0,0,12,21,63,0,0,0,0,0,0,0,21,0,48,0,0,0,0,23,0,0,0,0,0,0,2,16
2018-11-01,2,0,0,0,25,22,0,3,50,0,0,0,0,0,0,0,25,0,0,0,3,13,0,0,37,0,31,0,0,17
2018-12-01,4,0,0,0,13,0,34,0,0,0,0,0,0,0,0,0,0,0,0,43,0,12,0,0,18,0,0,29,2,0
