date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-11-01,0,35,42,0,0,0,0,4,0,47,0,49,0,0,0,0,95,0,0,0,23,0,28,0,0,0,0,0,0,31,0,100,0,0,0,0,0,56,0,0,99,40,72,50,0,22,0,74,0,0,0,0,0,0,0,0,0,0,0,9,26,0,0,0,0,0,72,0,33,0,0,0,36,0,0,0,100,0,57,0,27,60,67,100,0,0,17,0,0,79,51,0,100,80,16,79,0,0,0,0,82,0,0,0,0,72,0,0,0,0,0,38,0,0,0,36,0,0,0,18,0,0,0,0
2005-12-01,0,56,0,0,100,0,0,4,0,47,0,41,48,0,0,0,0,89,0,0,29,0,28,0,72,79,0,0,0,31,43,0,0,0,56,0,91,0,0,0,0,0,0,100,0,66,0,74,0,0,43,0,0,0,0,0,73,0,0,5,65,0,0,0,0,53,0,0,66,0,30,0,73,0,0,0,0,42,0,0,54,0,67,0,0,0,0,0,0,80,51,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,44,0,27,0,0,76,0,0,0,48,28,0,0,18,0,0,0,0
2006-01-01,0,49,0,0,0,0,0,15,0,64,0,20,40,0,65,0,0,0,0,0,28,0,0,0,59,65,0,0,0,13,31,0,0,0,0,0,0,46,0,0,0,33,0,82,0,36,60,62,0,60,71,0,0,0,0,0,0,0,0,11,25,0,0,34,0,0,0,0,55,0,0,0,0,0,0,0,62,35,0,0,22,0,55,0,51,0,14,0,0,0,26,0,0,66,10,0,34,0,33,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,40,23,0,0,0,71,0,0,0
2006-02-01,100,63,0,57,0,24,0,7,0,56,0,21,41,0,0,0,0,0,0,0,37,0,0,0,0,68,0,0,0,13,33,0,0,0,0,0,0,0,0,0,0,0,0,43,0,44,0,63,0,0,37,0,0,0,0,0,0,0,0,8,37,0,0,0,0,0,0,0,100,0,39,0,31,0,0,0,86,72,0,0,23,0,0,0,53,0,22,0,0,0,33,0,0,69,11,0,18,0,0,0,0,0,0,0,0,0,38,49,0,0,0,33,0,0,0,42,0,0,0,0,0,0,0,0
2006-03-01,0,68,0,50,0,21,0,7,0,36,0,18,0,0,60,0,71,0,0,0,49,0,0,0,0,59,76,84,0,23,36,0,100,0,0,0,0,0,0,0,0,30,0,0,0,49,0,0,0,0,32,0,0,0,0,0,0,0,0,11,23,0,0,31,0,39,54,0,50,0,22,0,36,0,0,0,37,31,42,0,20,0,50,0,0,0,12,0,47,0,24,0,74,0,8,0,31,0,29,78,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,27,0,0,0,14,64,0,0,0
2006-04-01,0,21,0,0,0,24,0,9,0,43,0,0,0,69,0,0,0,0,0,0,29,0,0,0,0,66,0,95,0,13,24,0,0,0,24,58,0,46,99,0,0,0,60,41,0,18,60,62,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,34,0,0,60,0,28,0,100,0,91,0,0,0,62,35,0,0,22,100,56,0,51,0,14,0,0,0,63,0,0,0,7,0,17,0,33,0,0,0,0,0,0,0,0,24,22,0,0,0,0,0,0,40,24,0,0,15,0,0,0,0
2006-05-01,0,34,32,100,0,43,0,6,0,54,0,28,0,0,0,0,0,0,0,0,19,0,32,13,0,59,0,0,0,12,64,0,0,0,21,0,0,42,0,0,74,0,54,37,0,16,0,0,0,0,32,0,0,0,0,0,0,0,0,14,32,0,0,31,0,0,54,0,0,0,68,0,27,0,0,50,75,32,0,0,40,45,100,38,61,0,13,0,0,0,14,0,0,0,9,0,16,100,0,0,0,62,0,0,0,0,66,0,20,32,0,0,0,0,0,18,21,0,0,0,0,0,0,0
2006-06-01,0,20,0,0,0,23,0,3,0,47,0,39,0,0,64,0,0,0,0,0,12,0,0,0,0,63,0,91,0,0,23,0,0,0,34,0,0,0,0,0,0,32,58,40,0,18,58,0,0,0,0,0,0,0,0,0,0,0,0,16,35,0,0,33,0,0,0,33,0,0,24,0,29,0,0,0,0,34,45,0,36,0,0,0,49,0,13,0,100,64,45,0,0,0,13,0,33,0,0,84,0,0,0,0,0,0,35,23,21,0,0,0,0,0,0,19,0,0,0,15,69,0,0,0
2006-07-01,0,16,32,51,0,0,0,8,0,47,0,19,0,0,0,0,73,68,0,0,22,0,0,13,55,0,0,0,0,12,65,0,0,61,54,53,0,42,0,0,75,0,0,38,0,17,0,0,0,0,33,0,0,0,0,0,0,0,0,12,15,0,0,32,0,0,0,0,38,0,23,0,55,0,0,100,0,32,0,0,20,46,0,0,0,0,19,0,47,0,43,0,0,0,10,0,16,0,30,0,0,0,0,0,0,0,67,22,20,32,0,0,0,0,0,18,0,0,0,14,65,0,56,100
2006-08-01,80,31,0,0,0,0,0,7,0,47,0,0,0,0,0,0,0,0,0,0,6,97,0,12,50,0,0,0,0,11,20,0,0,0,0,71,0,38,81,0,0,55,0,34,0,30,50,0,0,50,44,0,0,0,0,0,0,0,0,5,30,0,65,0,0,0,0,0,23,0,62,0,25,0,0,0,46,29,39,0,25,0,46,51,0,0,11,0,86,0,30,0,68,0,11,55,14,0,54,72,0,0,0,0,0,0,0,19,36,29,0,26,0,0,0,25,0,0,0,25,0,0,0,0
2006-09-01,0,37,30,0,0,0,0,6,0,43,0,26,0,0,0,100,0,0,0,0,26,0,0,0,0,55,71,0,100,15,20,0,0,0,20,0,0,0,0,100,69,0,51,35,0,31,0,52,0,0,60,0,0,0,0,0,0,0,0,6,18,0,0,29,51,0,0,29,47,0,32,0,0,0,0,0,35,29,40,0,0,0,0,0,0,0,12,0,44,0,20,0,0,0,19,0,15,0,28,0,0,0,0,0,0,0,0,0,19,30,0,27,0,0,61,0,20,0,0,13,0,0,0,0
2006-10-01,0,56,27,0,0,0,0,8,0,39,0,47,0,0,0,0,60,0,0,0,33,0,0,0,0,0,0,0,0,36,18,0,0,51,27,0,58,35,0,0,62,25,46,52,0,28,0,47,0,0,27,0,0,0,0,0,0,0,0,9,12,0,60,26,0,67,46,26,0,0,57,0,34,0,0,0,31,27,0,0,51,0,42,31,78,0,11,0,40,0,32,0,0,50,37,100,13,0,0,0,0,0,0,0,0,46,28,0,25,27,100,0,55,0,0,15,18,0,0,0,0,0,0,0
2006-11-01,0,50,25,0,0,17,0,7,0,40,0,19,0,0,0,0,0,0,0,0,25,84,17,10,0,0,0,0,0,15,25,0,79,47,50,41,54,33,69,0,58,24,0,30,0,26,43,0,0,0,25,0,0,0,0,0,0,35,0,13,15,0,0,0,0,31,0,0,20,0,44,0,53,0,0,0,29,25,34,0,16,36,39,0,0,0,10,0,37,0,37,0,0,47,5,94,18,0,0,0,0,0,0,100,0,0,26,17,16,0,0,67,0,0,51,14,17,0,0,22,51,0,0,0
2006-12-01,0,31,26,42,0,18,0,13,0,41,0,20,0,0,0,0,0,0,0,0,23,0,18,0,45,49,0,71,0,29,36,0,0,0,18,0,57,0,0,0,92,0,0,62,0,23,0,47,0,0,0,0,0,0,0,49,0,0,100,9,30,0,59,52,0,33,0,26,63,0,38,0,30,0,0,0,47,26,35,0,34,0,42,31,38,0,10,100,39,0,43,0,0,0,7,0,13,0,25,0,52,0,0,0,0,0,55,27,16,26,0,0,0,0,0,30,0,0,0,11,0,0,0,0
2007-01-01,0,38,0,34,0,29,0,6,0,38,0,33,0,0,0,0,0,45,0,0,34,72,14,0,37,0,52,0,0,8,15,51,0,0,14,35,0,28,0,0,50,0,37,26,0,30,0,0,0,37,22,0,0,0,0,0,0,0,0,8,18,0,0,21,0,0,37,0,59,0,0,0,46,0,0,0,0,0,29,0,14,0,34,38,31,0,0,0,0,0,13,0,0,82,14,0,0,0,20,0,0,0,0,0,0,0,22,19,14,21,0,0,0,80,0,16,43,0,0,9,0,0,0,0
2007-02-01,0,42,24,0,0,32,0,10,0,32,0,14,0,0,0,0,0,0,0,0,37,0,16,10,0,45,57,0,0,15,27,0,76,0,16,39,0,0,100,0,0,0,41,42,0,21,0,0,0,0,48,0,0,0,100,0,0,0,0,6,24,70,54,23,0,0,41,0,75,0,0,0,20,0,0,0,84,24,42,0,30,0,0,0,52,0,14,0,35,0,28,0,0,45,11,0,12,0,22,0,0,0,0,0,0,0,49,16,15,24,0,0,0,0,49,36,16,0,0,0,0,0,41,0
2007-03-01,0,35,0,51,0,14,0,6,0,45,0,12,0,0,0,0,0,0,0,0,29,0,0,9,0,80,0,0,0,16,22,0,68,0,14,0,0,28,0,0,100,0,0,38,0,17,73,0,0,0,43,0,0,0,0,0,0,0,0,14,44,0,48,21,0,0,0,0,25,0,38,0,18,0,0,33,0,0,28,40,27,31,34,0,0,0,8,0,63,0,25,0,0,0,4,0,10,0,0,53,0,0,0,0,0,0,0,0,13,36,0,19,44,79,44,20,0,0,0,9,0,0,0,0
2007-04-01,0,31,0,0,0,26,0,12,0,46,48,20,0,0,45,0,0,100,0,0,24,0,0,19,40,0,0,0,0,0,40,0,0,45,16,39,0,31,0,0,55,0,41,37,0,28,0,41,0,0,24,0,0,0,0,0,0,0,0,20,31,0,0,0,0,29,40,23,28,0,42,0,40,0,0,37,55,24,63,0,15,0,0,28,34,100,9,0,46,44,25,0,0,44,9,0,12,0,22,0,0,0,0,0,0,0,24,0,15,47,0,21,0,0,0,27,16,0,0,15,48,0,41,0
2007-05-01,0,27,20,94,0,13,0,7,0,45,0,23,0,0,0,0,0,0,0,0,20,0,13,8,0,0,0,0,0,7,36,0,0,38,27,33,43,26,56,0,62,0,0,35,0,10,34,0,0,34,0,0,0,0,84,0,0,0,0,13,20,0,90,19,0,100,0,0,24,0,28,0,0,0,0,31,23,40,54,0,19,0,0,47,58,0,16,0,30,0,15,0,47,0,8,0,15,0,19,0,0,0,0,0,0,0,0,13,13,50,0,0,0,0,41,23,13,0,0,17,0,0,0,0
2007-06-01,0,27,0,64,0,14,0,10,100,45,0,23,23,0,0,0,45,0,0,0,25,0,0,12,35,38,0,0,0,0,34,0,0,0,0,33,0,27,0,0,0,0,0,0,0,17,35,35,0,0,27,0,0,0,0,0,0,0,77,27,23,0,0,26,0,26,34,19,32,0,43,0,52,0,0,64,24,20,0,0,13,29,32,24,30,0,12,0,30,38,39,0,0,0,13,0,15,0,19,100,0,0,0,80,0,34,21,0,13,20,0,18,0,0,0,29,13,0,0,17,0,0,0,0
2007-07-01,0,31,0,0,0,19,0,7,0,39,0,23,0,0,0,0,0,0,0,0,26,0,0,24,0,36,0,52,66,14,33,0,0,0,13,32,0,25,0,0,0,0,0,0,0,15,33,34,0,0,20,0,0,0,0,0,0,0,0,11,9,0,0,19,0,24,66,0,30,0,14,0,17,0,0,30,23,19,0,0,25,0,30,23,42,83,15,0,0,36,17,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,40,0,0,19,0,34,40,0,40,22,0,0,0,30,0,0,0,0
2007-08-01,53,35,0,30,0,13,0,4,0,35,0,28,22,0,0,0,0,0,0,0,16,0,13,8,33,0,0,0,0,14,26,0,0,36,13,32,0,38,0,0,91,18,67,23,0,30,0,0,0,34,0,0,0,0,0,0,33,0,0,6,14,0,0,28,0,24,99,37,38,0,27,0,33,0,0,0,0,97,26,0,25,55,31,23,0,0,11,0,0,0,37,0,0,0,10,0,19,0,0,0,0,0,0,77,0,0,40,0,12,19,73,0,39,0,80,18,26,0,0,8,0,0,33,0
2007-09-01,0,30,0,40,0,0,0,6,0,34,0,18,22,0,36,0,43,0,0,0,21,0,38,0,32,0,45,51,0,14,13,0,0,0,13,31,41,0,54,0,45,18,49,30,0,26,0,0,0,0,19,0,0,0,0,0,33,0,73,11,12,0,43,37,32,0,33,0,30,0,41,0,22,0,0,30,22,19,25,0,36,0,30,34,0,0,8,0,85,36,37,0,45,0,13,54,19,0,18,0,0,0,0,0,0,0,30,13,24,57,0,17,0,0,0,11,0,0,0,8,0,0,0,0
2007-10-01,0,24,0,54,41,0,0,5,0,36,0,27,39,33,33,0,0,0,0,0,23,0,0,7,29,32,41,0,0,15,12,0,0,33,29,28,0,23,0,0,40,16,0,20,0,9,0,0,0,30,23,0,0,0,0,0,0,0,66,12,13,0,0,17,0,43,0,17,34,0,18,0,34,0,0,27,0,17,0,0,16,25,41,0,25,74,0,0,26,0,33,0,40,33,29,0,25,0,16,0,0,0,0,0,0,0,36,19,22,17,65,16,0,64,36,15,0,0,0,0,35,97,0,0
2007-11-01,0,46,16,25,0,0,0,7,0,41,0,12,18,0,0,0,0,34,0,0,36,54,22,7,0,30,0,43,0,18,11,0,0,61,36,26,0,21,0,0,57,0,28,25,0,25,0,28,0,0,16,0,0,0,0,30,0,23,0,8,17,0,0,16,28,20,28,16,19,0,46,0,14,0,0,0,0,27,22,61,17,0,25,19,47,69,10,0,24,0,72,0,0,31,10,0,16,0,23,0,31,0,0,0,0,0,34,11,37,0,0,29,0,0,0,9,11,0,0,7,33,0,0,0
2007-12-01,0,34,0,85,0,0,0,8,0,41,0,16,0,0,0,0,0,0,0,0,44,0,12,0,31,0,0,47,0,20,12,0,0,0,24,29,0,23,50,0,42,0,0,21,0,40,31,0,0,0,18,0,0,0,0,100,0,0,0,5,20,54,0,17,0,22,30,0,35,0,13,0,20,0,0,0,63,18,24,34,46,26,0,0,26,0,14,0,26,34,32,0,0,0,7,0,31,0,0,0,35,34,0,0,0,0,31,12,11,24,0,32,0,0,37,26,24,0,35,0,0,0,0,0
2008-01-01,0,26,0,25,0,10,0,9,0,35,31,23,18,30,0,0,35,33,0,0,29,52,31,6,40,29,0,42,53,9,14,0,0,0,17,25,34,0,0,0,36,15,27,55,0,40,0,36,0,54,16,0,0,0,0,0,0,0,0,9,17,0,0,15,0,0,35,15,49,0,39,0,33,0,0,24,37,16,21,0,17,0,24,18,34,0,6,0,23,29,19,0,37,0,7,0,11,0,14,0,0,30,0,0,0,0,16,10,10,16,0,14,0,0,0,12,16,0,0,0,0,0,0,0
2008-02-01,0,27,17,26,0,17,0,9,0,42,0,10,38,33,0,57,38,0,0,0,31,56,0,7,29,31,0,45,0,6,11,0,0,0,17,0,0,22,0,0,39,16,29,20,0,32,29,29,0,0,17,0,0,0,0,31,0,0,0,9,26,100,38,16,0,21,43,0,26,0,12,0,14,0,0,26,30,28,45,0,48,36,27,40,0,0,7,0,50,0,20,0,0,0,8,0,8,0,16,0,0,0,0,67,0,0,35,23,16,17,0,15,0,0,0,13,34,0,0,22,34,0,0,0
2008-03-01,44,34,16,25,0,21,0,13,0,43,0,9,18,31,30,0,36,0,0,0,32,53,0,6,0,30,0,42,0,12,0,0,0,30,16,52,0,21,45,0,0,15,27,19,0,16,55,28,0,27,16,0,94,0,0,29,0,0,0,14,16,0,0,46,0,0,27,0,31,0,17,0,34,0,0,0,19,21,0,0,13,23,25,0,23,0,16,0,47,0,28,0,37,0,8,0,8,0,29,0,0,0,0,0,0,0,16,11,0,16,0,14,0,0,66,15,26,0,0,17,0,0,0,49
2008-04-01,0,44,0,50,0,14,0,9,0,49,0,25,0,0,0,53,0,0,0,0,39,0,0,6,0,30,0,0,0,10,32,0,0,30,21,52,34,28,0,0,0,15,27,28,0,30,27,0,0,27,16,0,0,0,0,0,27,0,0,22,26,0,72,31,0,20,27,15,12,0,23,0,27,0,98,25,0,26,0,0,20,0,0,19,23,0,9,0,23,30,24,0,0,60,7,0,19,0,15,0,0,0,0,0,0,0,25,0,10,0,0,14,33,0,0,12,0,31,0,10,0,90,0,0
2008-05-01,0,42,17,35,0,26,0,10,0,46,0,26,0,0,0,0,0,35,0,0,25,0,11,13,29,63,0,0,0,0,0,0,0,31,17,27,36,44,47,0,0,0,29,26,0,26,29,29,0,29,17,0,100,0,0,31,0,23,0,17,27,0,0,0,0,0,57,16,13,0,30,0,29,0,0,26,29,17,0,0,16,0,26,20,0,0,13,0,50,31,15,0,40,0,7,0,0,0,16,0,0,0,0,0,0,0,52,11,0,17,0,15,0,0,0,28,0,0,0,7,0,0,0,0
2008-06-01,0,25,0,78,0,17,0,11,0,46,33,19,0,0,31,0,0,0,0,0,21,0,0,11,28,46,0,44,55,9,11,0,0,31,55,27,35,22,46,0,39,21,56,19,0,28,0,29,0,29,17,0,99,0,0,0,0,23,0,20,19,49,0,0,0,0,0,0,26,0,12,0,14,0,0,34,26,25,22,0,16,0,52,20,36,0,13,0,24,0,25,0,39,0,12,0,12,0,31,0,0,0,0,0,0,0,26,11,0,33,0,0,0,0,34,19,0,0,32,25,0,0,28,0
2008-07-01,0,37,16,38,0,11,0,9,0,41,0,18,0,31,0,54,0,0,0,0,27,0,16,6,81,0,38,0,0,9,16,0,0,30,21,65,34,21,0,0,37,15,27,37,0,22,27,28,0,27,16,0,0,0,0,0,0,0,0,12,6,0,36,31,0,20,81,15,25,0,0,0,27,0,0,25,28,16,21,0,37,23,25,28,34,0,0,0,24,0,24,0,37,0,12,0,8,0,15,0,0,0,0,0,0,0,33,11,15,32,0,21,0,59,33,36,11,0,0,24,0,0,0,0
2008-08-01,44,48,16,51,0,0,0,10,0,52,0,44,18,31,31,0,37,34,0,0,13,54,0,11,0,30,39,43,54,6,11,0,0,31,11,53,0,28,46,0,38,15,0,19,0,19,28,29,0,28,49,0,0,0,0,0,0,0,0,19,10,0,0,16,0,0,0,16,13,0,11,0,28,0,0,26,19,16,0,0,24,23,0,38,23,0,13,0,71,30,22,0,0,0,11,0,16,0,0,0,0,0,0,0,0,0,22,22,13,0,0,0,0,0,0,28,32,0,0,24,0,90,28,0
2008-09-01,0,37,0,48,0,10,0,6,0,42,31,15,17,0,0,0,0,0,0,0,22,0,10,6,43,0,37,0,0,6,0,0,0,29,17,25,33,20,0,0,72,0,65,27,0,24,52,0,0,26,31,0,0,0,0,0,26,0,0,16,19,0,34,15,26,19,0,29,18,0,22,0,26,0,95,24,24,15,41,0,10,22,24,45,22,0,21,0,0,29,27,0,0,0,20,29,37,48,28,0,0,0,0,0,32,0,16,10,34,30,0,0,0,0,0,22,10,0,0,17,0,0,26,0
2008-10-01,0,42,0,29,0,9,0,7,0,49,0,22,21,0,0,0,32,0,0,0,29,47,9,6,24,79,0,0,47,14,28,0,0,26,19,46,30,55,0,0,49,26,24,33,0,12,24,0,0,24,0,0,0,0,0,26,24,0,0,11,4,0,32,20,0,18,24,13,11,0,10,0,30,0,0,22,25,14,31,0,27,0,22,49,27,0,17,0,31,26,35,0,0,0,27,39,14,0,13,35,0,0,0,0,29,48,15,19,20,28,0,13,0,52,29,24,9,0,0,24,28,0,24,0
2008-11-01,0,44,29,34,0,10,100,12,0,44,29,17,0,0,0,0,33,0,0,0,28,0,10,0,25,0,35,0,0,11,30,0,0,27,16,35,0,0,40,0,0,14,25,17,0,42,0,51,94,25,19,0,0,0,0,0,25,0,0,7,18,42,0,14,0,0,25,0,11,0,15,0,25,0,0,22,25,22,0,27,28,20,23,17,21,0,11,0,0,40,62,0,0,0,15,0,14,0,13,0,0,0,0,0,0,25,37,10,33,14,0,60,0,54,30,27,13,0,28,12,29,0,50,44
2008-12-01,0,41,15,39,36,10,0,8,0,44,0,22,0,29,28,51,0,0,0,0,31,50,0,0,60,28,0,40,0,11,0,0,0,57,13,0,0,39,42,0,35,14,34,44,0,23,26,40,0,26,30,0,0,0,0,0,0,0,0,11,23,44,0,22,0,19,26,22,30,0,11,0,26,0,0,24,0,30,40,0,29,21,0,35,33,0,12,0,22,28,38,0,0,28,12,0,15,0,14,0,29,0,0,60,0,0,31,13,14,15,0,36,31,0,0,14,10,0,0,13,46,85,0,0
2009-01-01,0,34,0,31,0,9,0,9,0,54,0,36,15,0,25,0,30,0,0,0,37,44,9,5,0,0,64,0,0,5,22,0,0,25,12,65,0,26,50,0,46,17,34,31,0,37,23,23,0,23,20,0,0,0,0,0,0,56,0,12,15,0,0,39,0,17,23,13,52,0,24,0,11,0,0,21,21,27,36,0,25,19,21,31,19,0,5,0,39,0,42,100,0,25,6,0,16,0,12,0,0,0,0,0,0,0,35,9,19,13,0,24,27,49,0,10,9,0,0,6,0,0,23,0
