date,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-11-01,58,0,0,0,0,16,0,78,0,39,0,0,0,74,0,0,0,21,0,87,0,0,79,0,100,0,0,0,0,0,74,23,0,100,55,0,0,0,0,0,100,0,38,74,0,0,0,46,0,0,0,0,0,0,0,0,0,76,0,69,0,0,0,0,0,0,0,0,59,0,0,0,0,39,0,100,36,0,0,74,0,0,29,0,0,0,43,0,86,18,0,0,0,40,0,0,0,0,0,0,0,42,0,39,0,0,0,0,0,0,30,77,0,0,0,0,0,0,0
2005-12-01,0,0,74,0,0,12,0,41,0,0,0,0,0,0,0,0,0,19,0,0,32,35,80,73,0,0,35,49,0,0,0,22,58,0,0,73,0,68,72,0,0,0,37,0,0,0,0,45,0,0,0,79,0,77,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,100,0,0,0,0,0,0,73,0,0,29,0,0,0,63,0,0,27,0,0,0,0,0,0,0,0,96,0,0,42,36,0,37,0,45,0,0,0,60,76,0,0,100,18,0,0,0
2006-01-01,37,0,63,0,0,7,0,59,0,67,0,100,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,42,0,0,62,19,50,0,47,0,0,0,0,0,85,0,32,0,63,0,0,0,0,0,0,0,0,66,63,0,30,0,0,0,0,0,0,0,25,0,0,0,49,0,0,0,0,66,0,43,0,0,62,63,46,0,75,0,0,0,29,0,0,31,0,0,0,0,0,0,0,0,83,0,0,0,0,33,0,0,76,0,0,0,26,0,0,0,0,0,69,0,0
2006-02-01,39,79,0,0,0,7,0,56,75,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,50,67,0,0,0,68,0,0,34,0,0,0,73,0,0,0,0,0,0,70,0,0,31,0,0,83,0,0,0,67,27,0,0,0,53,0,0,0,0,35,100,0,32,79,66,0,49,0,0,0,0,0,39,0,0,24,0,0,0,36,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,55,0,0,0,0,16,0,0,0
2006-03-01,45,0,0,0,0,12,0,48,0,61,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,38,0,0,57,0,0,0,0,0,0,53,0,0,0,0,29,0,57,0,0,0,0,0,0,0,0,60,0,0,54,0,0,54,0,0,0,57,23,0,0,0,45,0,0,0,0,30,0,0,0,0,0,0,42,0,46,0,0,0,40,0,0,28,0,0,0,0,0,0,0,62,0,0,0,65,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,18,0,0,0,0,17,0,77,71,34,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,42,0,0,0,0,100,0,95,0,0,0,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,61,0,0,63,46,0,25,0,78,0,33,0,74,15,0,0,0,0,0,0,0,0,0,0,0,36,0,34,0,0,0,0,0,0,52,0,0,0,0,16,0,0,0
2006-05-01,28,0,59,0,100,19,0,29,65,42,0,93,0,0,0,0,0,15,0,69,0,28,0,58,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,29,59,0,0,0,0,0,0,0,0,0,62,0,0,28,0,0,55,0,0,0,59,0,0,61,0,0,0,0,65,40,30,0,0,57,0,0,59,42,0,46,0,0,0,21,0,69,14,0,100,0,32,0,0,0,0,0,0,0,0,30,31,29,0,36,0,0,0,24,0,0,0,0,14,0,0,0
2006-06-01,37,0,0,0,53,10,0,70,0,50,55,0,0,0,63,0,0,4,0,74,0,0,0,0,0,0,0,42,0,0,0,19,50,0,70,0,0,0,0,0,42,0,32,0,62,0,68,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,34,0,0,0,0,0,0,0,55,0,0,33,0,0,0,0,62,63,0,0,25,0,77,0,22,0,0,20,0,0,0,0,0,100,77,0,0,0,0,35,0,33,0,0,0,0,0,0,26,65,0,0,0,15,0,0,0
2006-07-01,40,80,0,0,57,0,0,49,0,0,60,0,0,0,0,0,0,4,0,0,0,0,0,67,91,0,0,45,0,0,0,0,0,0,100,0,0,0,0,0,68,0,0,68,0,0,0,42,0,0,0,0,0,0,0,0,32,0,0,63,0,0,0,68,13,0,70,0,0,0,0,73,46,35,0,0,32,0,0,0,100,0,27,0,83,0,69,0,0,17,0,0,0,37,0,0,0,0,0,0,0,39,34,35,0,0,0,0,0,0,27,0,0,0,0,0,0,100,0
2006-08-01,22,0,0,0,0,12,0,67,0,31,51,0,0,0,0,0,0,15,0,68,25,0,0,0,78,0,0,38,0,0,0,0,0,0,43,58,100,0,57,0,0,0,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,31,0,11,0,60,0,45,0,100,0,39,30,86,0,27,0,57,0,0,0,34,0,0,0,33,0,0,28,0,0,0,0,0,93,0,0,0,0,0,0,29,0,0,0,35,0,0,0,23,0,0,0,0,28,0,0,0
2006-09-01,40,0,54,0,46,8,0,48,0,0,48,0,0,0,55,0,0,12,0,0,0,26,0,0,0,0,0,0,0,0,0,33,43,0,40,0,0,50,0,55,91,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,50,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,36,0,0,0,54,0,0,43,0,0,72,47,0,63,20,0,94,0,29,0,0,0,0,0,100,64,30,27,0,27,0,0,0,0,0,22,56,0,0,0,40,0,0,0
2006-10-01,47,57,0,0,0,5,0,56,0,26,0,0,0,0,48,0,0,5,0,0,0,0,52,0,0,0,12,32,0,0,0,0,0,0,36,48,0,45,0,0,33,0,0,97,0,0,52,0,0,0,0,0,0,51,0,0,23,0,0,0,0,48,26,0,14,0,50,0,38,0,0,0,33,0,73,65,0,0,0,0,0,0,19,0,0,64,45,0,0,20,60,0,0,26,0,0,0,0,0,0,0,0,24,26,49,0,0,0,0,0,0,0,0,0,0,12,0,0,0
2006-11-01,32,0,0,0,0,20,0,55,0,0,41,0,100,0,0,0,0,19,0,0,0,0,0,0,0,0,0,63,0,0,0,29,37,0,35,0,82,44,0,0,64,0,24,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,44,0,0,0,0,9,0,0,0,37,0,41,0,0,25,0,0,23,56,47,0,0,0,19,0,0,0,22,0,0,12,0,0,0,25,47,0,0,51,0,0,0,0,0,25,0,0,28,0,0,0,0,0,100,0,0,12,0,0,0
2006-12-01,39,0,50,0,0,13,0,36,0,27,0,0,0,50,0,0,0,11,100,59,0,24,0,50,0,0,0,0,0,0,0,31,40,0,37,0,0,0,0,50,50,0,51,50,0,0,0,0,0,0,0,54,0,0,0,0,23,0,0,46,0,0,0,0,10,0,0,0,40,0,0,0,33,39,0,34,0,59,0,100,0,0,30,0,61,67,52,0,0,24,0,0,0,27,0,80,0,0,0,0,0,28,25,26,0,0,30,0,0,0,20,52,0,0,0,0,0,0,0
2007-01-01,20,49,42,0,0,12,0,39,0,0,37,0,0,0,0,0,0,14,0,49,0,0,45,0,0,0,0,56,0,0,0,13,0,0,31,0,0,0,0,42,0,0,63,42,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,78,0,0,0,0,21,0,0,0,0,100,0,0,28,22,0,28,20,0,0,42,0,0,25,0,0,55,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,22,21,0,0,91,0,0,17,43,88,0,0,10,0,62,45
2007-02-01,40,53,45,0,0,11,0,43,0,24,40,0,97,0,46,0,0,17,0,0,0,0,0,0,0,0,11,30,0,0,46,0,0,0,34,46,0,0,0,0,30,0,47,91,0,0,0,0,0,0,0,0,0,48,0,0,0,0,100,43,0,46,49,0,18,0,0,0,0,0,0,0,31,23,0,31,0,0,0,46,0,0,0,0,0,0,16,0,0,11,0,0,0,25,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,19,48,0,0,0,0,0,0,0
2007-03-01,20,0,0,0,0,7,0,27,0,22,0,0,0,0,0,0,0,6,0,0,0,20,0,41,0,0,0,0,0,0,41,13,33,0,46,0,0,0,0,0,28,0,21,62,41,0,0,0,0,0,0,0,100,0,0,0,0,0,0,38,0,0,0,0,12,0,0,0,65,0,0,45,0,0,61,0,0,0,81,41,45,0,16,0,0,0,14,0,0,10,0,0,0,0,41,0,0,0,0,0,48,23,21,22,0,0,0,0,0,0,17,0,0,0,0,0,45,0,0
2007-04-01,44,54,0,0,39,10,0,46,0,24,0,0,0,0,0,0,0,6,0,54,0,22,49,0,0,0,11,61,0,0,0,0,0,0,0,0,0,42,0,0,31,0,23,46,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,43,0,0,0,91,0,0,0,0,0,0,0,100,0,0,0,31,22,0,0,46,0,0,18,0,0,0,32,0,0,22,0,0,0,49,0,0,0,0,60,0,53,0,0,0,34,0,0,100,0,0,0,0,0,0,0,11,0,0,0
2007-05-01,29,0,38,0,32,6,0,38,0,40,0,0,0,0,0,0,0,11,0,0,16,0,40,0,51,0,14,25,0,0,0,12,30,0,28,0,0,0,37,0,0,100,19,38,0,0,0,0,0,0,67,0,0,40,0,0,0,0,85,0,0,38,0,0,8,0,0,0,45,0,0,0,0,59,0,0,18,0,37,76,55,0,23,0,47,50,26,0,44,12,0,0,0,20,38,0,0,0,0,0,0,21,19,20,29,0,0,0,0,0,16,0,0,0,0,9,0,0,0
2007-06-01,48,0,0,0,32,15,0,29,0,20,33,0,80,0,0,0,0,11,0,0,16,18,0,0,0,0,9,42,0,0,38,17,0,0,28,0,0,35,38,0,0,0,19,38,0,0,0,0,0,0,100,0,0,40,0,0,0,0,0,47,0,38,20,38,11,0,0,0,0,0,66,0,0,0,0,0,0,0,0,38,0,0,0,0,47,0,22,0,0,9,0,0,0,20,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,23,0,0,0,0,9,0,0,0
2007-07-01,48,48,41,0,35,4,0,32,0,22,0,0,87,0,41,0,0,8,0,0,0,20,0,41,0,0,0,27,0,0,0,13,32,0,30,0,0,0,0,41,55,0,21,41,0,0,44,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,42,0,64,0,36,45,0,21,61,28,0,48,40,41,0,0,16,0,0,0,24,0,0,20,0,0,0,22,0,0,0,0,0,0,48,0,0,43,0,0,25,0,54,0,17,42,0,0,0,30,0,0,0
2007-08-01,35,0,40,0,0,20,0,31,44,32,0,0,0,39,40,0,0,4,0,0,17,19,0,40,0,0,0,26,0,0,0,24,31,0,30,40,0,0,39,40,40,0,20,79,39,0,0,49,0,0,0,0,97,0,0,0,0,0,0,0,0,40,0,0,8,0,0,0,62,0,0,0,27,21,0,0,19,0,39,40,29,0,16,0,0,0,27,0,0,14,49,0,0,21,0,0,0,0,52,0,0,22,20,42,20,53,0,0,52,0,33,62,84,0,0,20,0,0,0
2007-09-01,42,0,36,0,31,5,0,40,41,38,64,0,0,0,0,0,0,11,0,0,31,0,39,0,49,0,0,0,0,0,72,0,0,0,54,36,0,100,36,37,37,0,18,36,36,0,39,22,0,0,0,0,0,0,0,41,17,0,0,56,0,0,19,0,11,0,0,0,29,0,0,0,24,28,0,0,17,0,71,54,0,0,43,0,44,0,33,0,42,12,0,0,0,19,0,0,0,0,0,0,0,31,18,19,0,48,22,0,0,0,15,0,0,0,73,9,0,0,0
2007-10-01,32,39,0,0,0,6,0,41,0,35,29,54,0,0,0,0,0,13,0,0,0,0,54,0,46,100,8,22,0,0,0,31,26,0,49,33,0,0,33,34,45,0,17,0,0,0,37,0,0,0,0,0,0,35,0,0,15,0,0,31,0,0,18,34,0,0,0,0,40,0,29,36,0,34,50,45,0,0,33,0,25,0,13,0,41,0,19,0,39,38,0,57,0,0,0,0,0,0,0,0,0,28,25,0,0,0,20,0,0,0,20,35,0,0,0,8,0,0,0
2007-11-01,40,0,0,0,0,10,0,40,0,17,42,0,0,0,32,0,0,10,0,37,0,0,34,32,43,0,8,21,0,0,0,10,0,0,47,32,0,29,0,48,0,0,16,0,0,0,34,19,0,0,0,0,0,100,0,36,15,0,0,44,0,0,17,0,0,0,0,0,25,0,27,0,21,33,47,21,0,0,0,32,23,0,34,0,39,0,26,0,0,18,0,0,0,17,0,0,0,0,42,0,0,18,16,17,16,0,19,0,42,0,20,44,0,0,0,8,35,0,0
2007-12-01,27,0,35,0,0,10,0,46,0,25,31,0,73,0,0,0,0,11,69,0,0,0,37,70,47,0,16,23,0,0,0,21,28,0,26,35,0,32,35,0,35,0,18,0,34,0,38,0,0,0,0,38,0,0,0,0,16,0,0,0,0,0,0,0,24,0,36,0,0,0,0,0,23,18,52,47,0,41,0,35,26,0,14,0,0,0,24,0,0,13,0,60,0,0,0,0,0,0,0,65,0,29,26,18,18,0,21,0,0,0,42,54,0,0,0,9,38,0,0
2008-01-01,23,0,45,0,0,6,0,40,0,32,0,0,0,0,0,0,0,15,0,35,0,14,0,30,40,0,0,0,0,0,30,0,0,0,0,0,0,28,0,0,40,0,20,30,0,0,0,18,0,0,0,0,0,0,0,0,0,30,0,28,0,0,16,0,9,0,0,0,24,0,26,33,20,16,0,40,0,0,0,30,22,0,30,0,0,0,21,0,0,18,0,0,0,0,30,0,0,0,0,0,0,17,15,24,15,40,0,0,40,0,12,31,0,0,0,7,0,0,0
2008-02-01,35,0,49,0,0,7,0,49,0,40,29,52,0,0,0,0,0,14,0,0,14,0,35,33,0,0,0,22,0,0,65,20,26,44,24,33,0,30,32,0,0,0,17,32,32,0,0,20,0,0,0,0,0,0,0,0,0,0,72,61,100,0,26,0,13,0,0,0,26,0,0,0,0,17,0,0,16,0,0,32,0,0,19,100,0,43,19,0,0,11,0,56,0,18,0,0,0,0,0,0,0,55,16,35,0,0,20,0,0,0,13,0,0,0,0,13,0,0,0
2008-03-01,34,0,30,0,0,9,0,26,0,23,0,47,0,0,30,71,0,13,0,35,0,14,0,0,0,0,7,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,45,29,0,0,32,0,0,0,0,0,0,0,0,0,14,0,0,28,0,0,16,0,6,0,0,0,0,0,0,0,40,15,0,20,14,0,0,29,0,0,12,90,0,0,24,0,0,17,0,0,0,16,0,0,0,0,0,0,34,33,15,16,30,0,27,0,0,0,12,0,0,0,0,21,32,0,0
2008-04-01,34,37,0,0,0,10,0,34,0,42,28,0,0,0,0,0,0,8,64,0,0,0,0,0,0,0,0,21,0,0,0,0,25,43,24,0,0,0,0,0,21,84,49,32,0,0,35,0,0,0,0,0,0,34,0,72,15,0,0,45,0,32,17,0,0,0,33,0,25,0,0,0,21,25,0,22,15,0,0,32,24,0,13,0,40,0,33,0,0,16,39,55,0,23,32,0,0,0,85,0,0,27,21,17,0,0,0,0,0,0,39,44,0,0,0,8,0,0,0
2008-05-01,28,57,64,0,54,9,0,41,0,26,28,0,0,0,0,0,0,12,0,0,14,0,34,0,86,0,8,0,0,100,48,0,25,0,24,48,0,29,0,0,0,0,16,0,32,0,35,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,34,0,0,0,0,0,25,0,28,0,0,33,0,0,0,38,32,0,24,0,25,0,0,0,26,0,0,8,0,56,0,17,0,0,39,0,0,0,0,27,0,0,16,0,0,70,42,0,26,33,0,0,43,0,0,0,0
2008-06-01,28,37,32,0,27,3,0,51,0,17,0,0,0,0,0,0,0,14,0,38,14,15,0,32,0,0,0,21,0,0,32,10,25,0,24,32,0,29,0,0,0,0,0,0,0,0,35,39,0,0,0,0,0,0,0,0,30,32,0,30,0,32,0,0,10,0,33,0,25,0,28,70,21,17,0,0,23,38,31,32,23,0,21,0,0,0,18,0,0,13,0,0,0,0,32,0,39,0,0,0,0,18,0,17,24,0,39,0,0,0,20,66,0,0,0,16,0,0,0
2008-07-01,26,0,34,0,0,5,0,30,0,24,0,0,0,0,34,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,34,21,0,0,0,34,0,31,33,0,0,0,0,0,0,0,37,21,0,0,0,0,0,0,34,0,16,0,0,31,0,0,18,0,7,0,0,0,0,0,69,37,0,0,0,0,16,0,0,0,25,0,36,0,41,0,27,0,0,12,0,58,0,0,0,54,0,0,0,0,0,19,17,0,17,45,20,0,0,0,28,70,0,0,45,12,0,0,0
2008-08-01,34,39,0,0,0,11,0,26,37,41,29,53,0,0,0,0,0,8,0,0,0,16,35,0,0,0,0,0,0,0,33,10,39,45,49,0,0,30,33,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,37,23,34,0,31,0,0,0,33,7,0,34,0,26,0,0,0,22,17,0,0,16,0,33,33,48,0,26,0,81,0,34,0,0,8,0,57,0,0,0,0,41,0,0,0,0,19,33,17,17,0,0,72,0,0,27,34,0,0,0,14,0,0,0
2008-09-01,61,0,0,0,26,15,0,32,0,32,27,48,0,0,30,0,0,15,0,35,13,15,32,0,0,0,7,20,0,0,30,18,0,40,34,30,0,41,30,46,20,0,26,30,0,0,0,18,0,0,0,0,0,32,0,0,14,0,0,28,0,0,0,0,9,0,31,0,39,0,26,0,20,0,0,0,14,0,30,30,33,0,12,0,37,0,49,0,35,29,0,0,0,0,0,0,0,0,0,0,0,17,15,32,45,0,18,0,0,100,43,31,0,0,0,7,33,0,0
2008-10-01,32,0,27,0,0,12,0,52,0,24,24,0,0,0,0,0,0,17,0,0,0,13,29,0,0,0,13,0,0,0,0,8,22,74,51,28,0,0,0,28,37,0,14,27,27,0,0,0,0,0,0,0,0,0,0,0,39,28,0,26,0,0,29,0,5,0,0,0,43,0,0,0,18,29,41,19,13,0,27,27,40,0,27,0,34,36,10,0,32,29,0,0,0,15,0,0,0,0,0,0,0,0,14,29,14,0,17,0,0,0,34,29,0,0,0,7,0,0,0
2008-11-01,37,34,0,0,0,4,0,63,0,23,26,47,0,0,29,0,0,13,0,0,0,14,31,29,79,0,7,19,0,0,0,18,0,39,22,58,0,27,29,30,0,0,15,29,0,0,32,0,0,0,0,0,0,31,0,0,27,0,0,27,0,0,0,29,6,0,0,0,23,0,0,64,20,30,0,59,0,0,0,29,21,29,19,0,0,39,35,0,0,28,0,0,0,16,29,0,0,0,77,0,0,16,34,15,15,0,41,64,77,0,24,30,62,0,0,0,32,0,0
2008-12-01,38,0,30,0,0,9,0,42,0,32,0,0,0,30,0,0,0,11,0,35,0,37,32,0,0,90,0,20,0,0,0,33,48,0,22,30,0,28,0,0,30,0,36,0,0,0,0,37,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,36,0,0,0,59,0,0,0,0,16,0,20,0,0,0,30,44,0,24,0,0,0,31,0,35,11,0,52,0,24,0,0,0,0,0,0,0,17,15,16,0,0,18,0,40,0,12,0,0,0,0,7,33,0,0
2009-01-01,34,32,27,0,0,3,0,36,0,14,24,0,56,0,0,0,0,17,0,32,0,13,29,54,36,0,0,18,0,0,0,8,0,0,20,27,0,25,40,0,36,0,21,27,27,0,30,33,0,0,0,0,0,0,0,30,38,27,0,34,82,0,14,80,24,0,0,0,21,0,0,0,18,28,40,0,0,0,26,27,20,0,37,0,0,36,25,0,0,7,0,46,0,29,27,0,0,0,0,0,0,15,20,14,13,0,16,0,0,0,34,28,0,0,0,0,0,0,0
2009-02-01,46,35,30,0,0,13,0,44,0,16,26,0,0,0,0,0,0,24,0,35,13,14,0,0,0,0,14,0,0,0,0,27,47,40,0,30,0,0,0,0,79,0,30,29,29,0,0,0,0,0,0,0,0,0,0,33,14,0,66,27,0,29,0,0,9,0,0,0,23,0,0,0,40,20,0,39,14,0,0,74,22,0,20,0,0,39,36,0,0,7,0,0,0,16,0,0,0,0,0,0,0,25,30,0,15,0,18,0,0,0,12,31,0,0,0,22,0,0,32
2009-03-01,41,0,26,0,0,7,0,46,0,14,35,0,0,0,0,0,0,21,52,0,11,0,0,26,35,0,0,35,0,0,26,0,0,35,26,0,0,24,26,27,18,0,20,0,0,0,0,0,0,0,0,28,0,27,0,0,18,0,58,0,0,0,14,0,5,0,0,0,21,0,0,43,0,20,0,17,12,0,0,78,19,0,24,0,0,0,54,0,30,8,32,0,0,28,0,42,32,0,0,0,31,29,13,21,0,0,16,0,35,0,27,27,55,0,0,16,0,0,0
