date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-11-01,0,77,0,0,0,0,0,0,34,0,44,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,84,67,0,100,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,54,0,0,0,45,0,0,0,0
2005-12-01,0,78,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,55,0,100,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,54,0,0,0,0,0,0,56,0,0,0,46,0,0,0,0
2006-01-01,0,64,0,0,70,0,0,82,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,94,0,0,58,0,0,0,32,0,0,0,0,0,0,0,0,0,98,52,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,100,0,0,0,0,16,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,69,0,0,0,0,0,85,0,0,100,35,0,0,0,0
2006-02-01,0,66,0,53,0,0,50,0,64,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,43,0,45,0,100,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,68,54,0,0,0,0,65,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,81,57,72,0,78,0,0,0,44,0,0,0,37,0,0,0,0
2006-03-01,0,24,0,0,0,0,45,0,30,0,32,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,38,0,40,0,0,0,78,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,60,48,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,23,0,0,0,46,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,39,0,0,0,32,0,0,0,0
2006-04-01,0,73,0,0,0,0,0,0,32,0,43,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,71,0,0,0,0,0,0,0,0,0,0,0,77,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
2006-05-01,0,28,0,0,0,0,0,0,29,0,76,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,100,0,57,74,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,18,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,77,0,0,38,0,0,0,0
2006-06-01,0,49,0,0,0,0,47,0,34,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,40,0,41,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,61,0,0,100,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,48,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,71,0,0,0,81,0,0,0,68,0,0,0,0
2006-07-01,0,57,100,0,0,0,40,0,55,0,29,0,0,100,0,0,0,0,0,0,0,0,0,54,0,0,100,0,0,0,0,0,0,34,0,36,0,0,0,0,0,0,0,0,49,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,61,0,0,0,0,0,0,0,0,0,14,0,0,0,42,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
2006-08-01,0,40,0,0,0,0,37,0,44,0,27,0,0,46,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,97,0,0,0,45,67,0,0,41,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,26,0,0,64,52,0,60,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,54,0,57,0,0,0,33,0,0,0,27,0,0,0,0
2006-09-01,0,62,0,0,0,0,39,0,53,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,51,0,0,0,34,0,0,0,0,100,76,0,67,47,0,0,95,51,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,100,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,33,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,33,55,0,59,0,0,0,69,0,0,0,28,0,0,0,0
2006-10-01,0,26,0,0,0,0,37,0,54,0,81,0,0,92,0,0,0,0,0,40,0,0,0,0,0,100,0,0,0,0,0,100,0,32,0,67,0,0,0,0,0,0,0,65,0,0,0,0,49,0,0,67,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,13,0,0,0,77,0,61,0,65,0,0,0,0,0,55,0,0,0,0,0,0,59,32,54,0,57,0,0,0,33,0,0,0,27,0,0,0,0
2006-11-01,0,44,0,0,0,0,0,0,45,0,34,51,0,88,0,0,0,0,0,26,0,0,0,0,100,0,0,0,72,0,0,47,0,0,0,64,0,0,0,0,0,46,0,0,43,0,0,0,23,0,0,0,0,0,0,0,0,0,0,39,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,31,52,52,0,0,0,0,32,0,0,0,0,0,0,0,0
2006-12-01,0,32,0,0,0,0,41,0,33,0,29,59,0,50,0,0,0,0,0,43,0,0,0,55,0,0,0,0,0,0,0,0,0,0,49,0,100,0,0,0,0,0,0,0,0,0,0,100,27,0,0,0,0,0,0,0,0,78,0,44,0,0,0,0,52,0,0,0,0,0,0,0,0,50,55,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
2007-01-01,0,64,20,0,0,0,49,55,50,0,24,0,0,0,0,0,0,47,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,29,0,0,0,0,0,42,0,0,39,0,0,80,65,0,0,0,0,0,0,0,43,0,45,36,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,98,0,22,0,0,0,67,0,0,0,57,0,0,0,44,0,0,0,0,0,0,0,82,0,28,0,0,0,0,0,0,58,0,0,67,47,0,0,0,0
2007-02-01,0,34,20,0,0,0,0,0,44,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,39,0,0,0,42,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,41,0,0,0,34,0,0,0,0,40,0,0,0,0,0,78,0,0,16,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,46,0,100,0,0,0,42,47,0,0,31,0,0,0,0
2007-03-01,0,34,0,29,40,0,28,0,28,100,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,74,0,0,0,0,0,0,0,24,0,25,68,0,0,49,0,36,0,0,33,0,0,0,36,0,100,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,100,41,0,0,0,24,0,0,67,0,0,14,0,0,0,29,0,45,0,48,0,0,0,0,0,0,0,0,0,0,0,68,44,24,0,0,43,0,0,0,49,0,0,0,20,0,0,0,0
2007-04-01,0,53,0,0,48,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,28,0,0,0,0,0,0,0,0,0,57,0,0,100,81,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,0,0,0,0,0,0,100,0,11,0,48,0,0,0,53,39,57,0,0,0,0,0,0,0,0,0,100,0,41,0,29,47,48,0,0,0,0,29,0,0,0,48,0,0,0,0
2007-05-01,0,35,18,30,41,100,28,0,13,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,49,0,0,0,0,68,0,0,0,18,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,36,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,0,43,0,0,0,25,0,0,0,20,0,0,0,0
2007-06-01,0,52,0,26,36,0,25,0,27,0,18,0,0,61,0,0,0,35,0,17,0,0,35,34,34,0,0,0,49,0,0,33,100,0,0,22,60,0,0,0,0,0,0,0,30,0,0,0,16,0,0,0,0,0,0,0,33,0,0,27,0,0,0,0,32,0,0,0,0,0,0,91,36,0,0,0,21,51,0,60,0,0,42,0,0,0,26,0,0,0,43,0,0,0,34,0,0,0,0,0,0,0,31,40,43,0,0,0,0,0,0,22,0,0,0,18,0,0,0,0
2007-07-01,0,50,0,0,0,0,29,0,71,0,32,0,0,27,0,0,0,32,0,0,0,0,0,30,30,59,0,0,44,0,0,29,0,19,0,29,0,0,0,0,56,28,0,38,79,39,0,0,29,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,28,0,0,0,23,0,0,81,0,0,31,0,19,0,0,0,0,0,41,0,31,0,0,0,0,0,37,100,0,0,30,0,0,0,46,0,66,0,0,0,31,31,0,34,0,0,0,39,0,0,0,27,0,0,38,0
2007-08-01,0,37,0,22,0,0,0,0,40,75,23,0,70,0,0,0,0,30,0,15,0,0,0,0,29,0,0,0,0,0,0,0,0,18,0,0,0,0,0,36,0,0,0,0,38,0,0,0,42,0,0,0,0,0,0,0,0,0,28,0,0,0,36,0,27,0,0,0,0,0,0,0,31,0,0,0,19,0,0,100,0,0,14,0,30,0,22,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,26,34,27,30,0,65,0,0,0,0,0,0,0,15,0,0,0,0
2007-09-01,0,47,0,0,30,0,21,0,62,0,15,0,0,26,0,100,0,30,0,15,0,0,0,0,0,0,51,0,0,0,0,0,83,0,0,55,0,0,0,0,0,40,0,0,38,37,0,0,32,0,0,0,0,95,0,0,0,0,28,22,0,0,36,0,27,0,35,0,32,0,0,0,63,0,29,0,18,0,0,50,0,0,14,0,0,0,0,0,0,25,36,0,0,0,28,0,0,0,0,0,0,0,26,0,18,30,30,0,0,0,0,24,31,0,0,22,0,100,0,0
2007-10-01,0,67,12,0,29,0,0,0,53,0,19,0,0,0,0,96,0,0,38,19,0,0,0,54,0,0,0,0,0,0,0,27,0,17,0,54,0,0,0,35,0,26,0,35,24,0,0,0,26,0,0,36,0,0,100,0,26,0,27,22,0,0,0,0,26,0,0,0,21,0,0,0,29,0,0,0,18,41,32,48,0,0,24,0,0,0,41,0,0,0,46,0,0,0,27,0,0,100,0,0,0,0,49,32,26,43,0,31,0,0,0,23,0,0,0,24,0,0,0,0
2007-11-01,0,44,0,0,0,0,0,0,48,0,22,59,0,0,100,99,100,0,0,15,0,0,0,42,0,0,0,0,0,0,0,27,82,35,0,18,0,0,0,0,53,27,0,0,25,0,0,0,41,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,26,0,0,0,0,0,0,0,30,52,28,36,18,0,33,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,25,0,35,0,0,32,0,0,0,18,0,0,0,45,0,0,0,0
2007-12-01,0,44,14,24,0,0,22,0,39,0,16,0,0,28,0,0,0,32,0,32,0,0,0,30,0,0,0,0,0,58,0,0,0,19,0,40,0,0,0,0,0,29,0,0,27,0,0,0,22,0,0,0,0,0,0,0,0,0,0,24,0,0,39,0,29,0,0,0,0,0,0,0,34,27,0,0,20,0,36,0,0,0,23,0,0,0,35,0,0,27,0,0,0,0,30,0,0,0,0,0,0,0,28,0,19,0,0,35,0,0,0,20,33,0,0,22,0,0,40,0
2008-01-01,0,40,12,20,0,66,19,32,44,0,18,27,0,23,0,0,0,0,0,14,0,0,0,0,26,0,0,0,0,0,0,25,0,0,0,17,0,0,0,0,0,24,0,33,22,0,0,45,31,0,0,0,0,0,0,0,0,0,0,0,26,0,32,0,0,0,0,0,0,0,0,0,0,23,0,0,16,0,0,0,0,0,22,0,0,0,39,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,46,0,32,27,0,29,0,0,0,16,0,0,0,14,0,0,0,0
2008-02-01,0,46,12,0,0,0,38,0,58,0,23,27,0,0,0,0,91,0,0,13,0,0,0,25,26,0,0,0,38,49,0,0,0,24,0,25,0,0,0,33,0,61,0,33,23,0,0,0,25,0,0,34,0,86,0,0,25,0,0,20,0,0,32,0,0,0,0,0,0,0,48,0,27,23,0,0,0,0,30,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,41,0,0,0,35,30,16,27,0,29,0,0,0,25,0,0,0,23,0,0,0,0
2008-03-01,100,65,0,19,0,0,0,0,43,0,27,0,0,23,0,0,0,0,0,13,0,0,0,0,26,0,0,0,0,0,0,49,0,16,0,33,0,0,0,0,0,48,0,0,0,0,0,45,28,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,41,22,0,0,27,0,0,0,0,0,16,0,0,0,38,0,0,0,32,0,0,0,0,0,0,0,0,100,0,0,23,29,24,27,0,0,0,0,0,38,0,0,0,18,0,0,33,0
2008-04-01,0,25,0,22,0,0,0,0,31,0,15,0,0,0,0,0,0,30,0,0,0,100,0,28,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,0,0,0,0,25,0,0,0,13,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,22,0,0,0,45,0,0,0,0,0,0,0,0,0,7,0,0,0,21,0,0,0,0,0,0,0,28,0,30,0,0,0,0,0,50,33,23,30,0,31,0,0,0,18,0,0,0,30,0,0,0,0
2008-05-01,0,30,0,0,0,0,29,33,41,0,28,0,0,0,0,0,0,56,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,33,0,17,46,0,0,0,49,25,0,33,23,0,0,0,12,0,0,34,0,0,0,0,0,0,0,21,0,0,0,0,25,0,0,0,20,0,0,0,0,0,0,0,0,0,0,46,0,0,6,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,24,0,16,0,0,0,0,0,0,17,0,0,0,21,0,0,0,0
2008-06-01,93,24,10,0,25,0,43,0,31,0,25,0,56,21,0,0,0,25,0,0,0,0,25,0,24,0,0,0,0,0,0,23,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,32,0,18,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,35,0,40,52,0,29,0,0,0,36,0,0,20,29,0,0,0,23,0,0,0,0,0,0,0,21,27,22,25,0,27,0,100,0,52,0,0,0,25,0,0,30,0
2008-07-01,0,50,18,16,43,0,25,25,46,0,39,43,0,18,0,0,0,32,0,11,0,0,22,40,0,0,37,0,0,0,0,20,59,25,18,22,0,0,0,0,38,29,0,0,54,53,0,36,39,0,0,0,0,0,0,0,0,28,0,32,0,0,0,0,57,0,0,0,15,0,0,55,33,18,0,0,38,0,24,53,0,0,28,0,0,0,20,0,0,0,25,0,0,0,50,0,0,0,0,0,0,0,18,0,25,21,32,23,0,0,0,39,22,0,0,43,0,0,0,0
2008-08-01,0,38,10,0,22,0,38,0,39,0,15,22,0,19,0,0,0,22,0,11,0,0,0,28,21,0,0,0,31,0,0,20,62,0,0,14,0,0,0,0,59,30,0,40,18,0,0,38,37,0,0,0,91,0,0,0,0,0,0,17,0,0,26,0,20,0,0,0,32,0,0,0,34,0,0,0,40,0,0,36,0,0,8,0,0,0,32,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,38,37,18,0,23,24,0,0,0,27,22,0,0,15,0,0,27,100
2008-09-01,0,43,0,0,22,0,15,0,45,0,18,22,0,38,0,0,0,22,29,11,0,0,0,34,0,41,0,0,61,40,0,31,0,13,0,21,0,0,0,0,0,50,0,0,37,27,0,0,40,0,0,0,0,0,0,0,0,29,0,39,0,25,0,0,0,0,0,0,16,0,0,57,22,37,0,0,27,0,24,0,46,0,32,0,0,0,32,0,0,0,26,0,0,0,0,0,0,0,66,83,0,90,0,24,39,0,0,23,0,89,0,18,23,0,0,22,0,0,0,0
2008-10-01,0,34,0,16,22,0,15,0,50,0,14,0,100,18,0,72,0,21,28,0,0,74,0,61,21,40,0,0,0,0,0,20,0,17,0,13,0,0,0,26,0,58,0,0,18,27,0,0,56,0,0,0,0,0,0,0,0,0,0,32,0,0,51,0,0,0,0,0,32,0,0,0,22,37,21,0,13,0,0,0,0,0,15,0,0,0,15,0,24,0,52,0,0,0,20,0,0,0,0,81,0,0,0,48,13,0,0,0,0,0,0,33,22,0,0,44,0,0,0,0
2008-11-01,0,45,0,0,0,0,0,0,49,0,28,0,0,0,0,0,0,0,0,0,0,0,0,21,0,42,39,0,0,0,0,0,0,0,0,28,0,0,0,0,40,0,0,27,19,0,0,38,21,0,0,0,0,0,0,42,0,0,0,17,0,0,0,0,0,0,0,0,16,0,0,0,23,19,22,0,14,0,0,38,0,0,19,0,0,27,33,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,20,25,20,22,0,24,0,91,0,41,24,0,32,35,0,0,0,0
2008-12-01,0,54,0,0,0,0,34,0,37,0,12,24,0,0,0,0,0,25,0,12,0,86,0,23,24,0,43,0,68,0,0,0,0,0,21,15,42,0,0,0,0,45,0,0,31,31,0,0,17,0,0,0,100,0,0,0,0,0,23,19,0,0,0,0,22,0,0,0,18,0,0,0,0,21,0,0,15,0,0,0,0,0,29,0,0,30,35,0,0,0,29,0,0,0,23,0,0,0,0,0,0,100,21,27,15,24,25,26,0,0,0,0,0,0,0,25,0,0,0,0
2009-01-01,0,35,0,15,0,0,14,0,88,0,35,30,0,0,0,0,0,20,0,10,0,0,20,19,19,0,0,0,0,0,0,19,0,12,17,13,34,0,0,0,0,36,0,0,17,0,0,34,32,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,18,0,0,0,30,0,0,0,21,18,0,0,12,0,22,33,0,0,14,0,0,0,22,0,0,0,61,0,0,100,19,0,0,0,0,0,0,0,17,22,36,20,0,0,0,0,0,29,21,0,29,24,0,66,0,0
2009-02-01,79,41,0,0,21,0,43,0,52,0,21,21,0,0,0,0,0,0,0,0,0,71,0,20,0,39,0,37,0,0,0,39,58,18,17,26,0,29,0,0,0,28,0,0,35,26,0,36,14,0,52,0,0,66,0,0,38,0,0,31,0,0,25,0,37,0,0,0,15,0,0,0,44,18,0,0,0,0,0,34,0,0,20,0,21,25,23,0,23,0,0,0,100,0,20,0,0,0,0,0,0,0,36,23,25,0,0,34,0,0,0,25,0,0,0,18,0,0,0,0
