date,Apple,Banana,Beans,Corn,Cranberries,Dates,Garlic,Kale,Oranges,Passion Fruit,Peas,Peppers,Pineapple,Pumpkin,Squash,Tomato
2012-09-01,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,24,0,0,86,0,0,0
2012-12-01,70,21,0,0,0,0,0,0,0,36,0,0,0,0,0,0
2013-01-01,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,18,0,0,0,0,0,82,0,0,0,0,0,0,0,0
2013-06-01,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,31,19,0,0,0,0,0,0,0,0,0,0,77,15,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2013-09-01,29,18,0,0,0,0,0,0,0,30,0,0,73,0,0,0
2013-10-01,0,0,11,0,0,0,0,0,0,0,93,0,68,26,0,0
2013-11-01,0,18,0,0,0,0,0,0,0,20,100,0,74,0,0,0
2013-12-01,0,0,0,0,76,100,0,0,0,20,0,0,0,0,0,0
2014-01-01,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
2014-02-01,0,18,0,0,0,0,0,0,0,0,0,0,0,14,0,0
2014-03-01,0,0,0,0,0,0,0,0,27,55,0,0,0,0,0,24
2014-04-01,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,0,17,0,0,0,0,0,0,28,19,0,0,69,0,0,0
2014-10-01,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2014-11-01,0,25,0,0,0,0,0,0,0,43,0,0,0,0,0,0
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0,0,0,0,0,86,0,22,0,0,0,0,0,0
2015-02-01,0,30,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2015-03-01,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
2015-04-01,0,21,0,0,0,0,0,0,0,23,0,0,0,0,0,31
2015-05-01,0,20,0,0,0,0,0,91,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,30
2015-07-01,0,17,0,0,0,0,0,0,0,0,0,0,72,0,0,0
2015-08-01,0,16,0,0,0,0,0,0,0,18,0,0,67,0,0,24
2015-09-01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
2015-10-01,0,16,0,0,0,0,0,0,0,18,89,0,0,0,0,23
2015-11-01,0,67,0,0,0,0,0,0,28,19,0,0,0,0,0,0
2015-12-01,0,18,0,0,0,0,0,0,0,31,0,0,75,0,40,0
2016-01-01,0,26,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2016-02-01,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,28,17,0,0,0,0,0,0,0,0,96,0,0,0,38,0
2016-04-01,0,25,0,0,71,0,0,0,0,19,0,0,69,0,0,0
2016-05-01,0,0,0,0,0,0,0,0,0,38,0,0,69,13,0,0
2016-06-01,0,17,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2016-07-01,0,38,0,0,0,0,0,0,0,0,0,0,78,0,0,0
2016-08-01,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2016-09-01,0,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,29,17,0,0,0,0,100,78,0,20,0,0,71,13,38,0
2016-11-01,0,0,12,0,0,0,0,81,0,0,0,0,0,0,0,0
2016-12-01,30,27,0,0,0,0,0,0,0,0,0,0,74,0,0,0
2017-01-01,0,34,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2017-02-01,0,36,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2017-03-01,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,0,18,0,0,0,0,0,81,0,21,0,0,0,0,0,0
2017-05-01,30,18,12,0,74,0,0,0,0,21,0,0,0,0,0,0
2017-06-01,0,39,0,0,0,0,0,0,0,22,0,0,79,0,0,0
2017-07-01,0,20,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2017-08-01,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,29,26,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2017-11-01,0,16,0,0,0,0,0,0,0,18,0,0,0,12,0,0
2017-12-01,29,17,0,0,0,0,0,0,0,30,0,0,0,0,0,0
2018-01-01,0,48,0,0,0,0,0,72,0,0,0,0,66,0,0,0
2018-02-01,0,33,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2018-03-01,0,16,0,0,65,0,0,0,0,0,0,0,0,0,0,23
2018-04-01,0,17,0,0,0,0,0,0,0,20,0,0,0,13,0,0
2018-05-01,29,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,0,18,0,0,0,0,0,0,0,0,0,0,74,0,0,0
2018-07-01,29,0,0,0,0,0,0,0,0,20,0,0,73,13,0,26
2018-08-01,28,26,0,0,0,0,0,0,0,0,0,0,0,0,38,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
2018-10-01,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2018-11-01,0,0,0,0,0,0,0,85,0,21,0,0,77,0,0,0
2018-12-01,0,41,0,0,0,0,0,0,0,23,0,0,0,0,0,0
