date,Apple,Apricot,Artichoke,Asparagus,Atemoya,Avocado,Banana,Bean Sprouts,Beans,Beets,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Honeydew Melon,Iceberg Lettuce,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-11-01,33,0,0,0,0,51,43,0,36,0,0,0,0,0,0,0,0,0,79,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,52,0,51,0,0,0,0,0,0,0,0,0,0,0,0,52,100,0,0,0,0,38,0,0,0,81,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,35,0,0,0,0,0,65,0,77,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,56,0,0,0,0,0,41,0,0,0,44,0,0,70,0,100,0,0,0,0,0,0,0,0,0,82,0,82,0,0,0,0,0,0,42,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,48,0,71,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
2006-02-01,100,0,0,0,42,0,41,0,36,0,0,0,0,0,0,77,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,49,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2006-03-01,25,0,0,0,31,39,50,0,27,0,0,0,76,0,0,0,0,50,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,100,0,31,0,0,0,0,71,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
2006-04-01,53,0,0,0,100,41,42,0,0,0,0,0,80,0,0,0,0,52,62,43,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,39,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
2006-05-01,23,94,0,0,28,0,45,0,24,0,0,0,0,0,0,0,0,0,0,55,36,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,37,49,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,23,0,100,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,28,0,0,0,100,64,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
2006-06-01,32,100,0,0,0,0,55,0,0,66,0,0,0,0,0,0,0,0,0,59,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,60,0,52,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,37,0,0,0
2006-07-01,24,0,0,0,0,0,49,0,26,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,71,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,20,0,0,0,37,0,0,38,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,37,0,0,0
2006-08-01,33,0,0,100,25,0,44,0,22,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,49,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,100,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,81,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,46,0,47,0,0,0,0,0,0,24,0,0,31,0,0,0
2006-09-01,20,0,0,0,0,30,51,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,22,0,0,0,0,0,49,0,0,31,0,0,20,0,0,0,0,0,0,0,0,0,0,0,31,0,0,62,95,0,23,0,0,0,24,0,0,0,0,56,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,37,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,58,0,0,28,0,0,42,0,72,0,22,0,41,73,0,51,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,21,0,0,0,0,0,0
2006-11-01,18,0,35,0,0,0,46,0,38,48,0,0,0,0,0,0,0,0,0,38,0,0,0,100,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,38,0,0,0,20,0,0,0,0,0,0,0,0,28,0,0,18,0,0,0,0,54,0,0,14,0,0,50,83,0,0,28,0,0,27,0,0,0,54,0,0,35,0,0,0,0,0,0,0,0,100,0,0,0,41,0,0,35,0,53,0,0,0,42,100,27,0,0,0
2006-12-01,19,80,38,0,0,30,31,0,21,0,0,0,0,0,0,44,0,0,0,47,30,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,30,0,0,84,0,0,0,0,0,0,0,0,0,30,0,0,91,0,0,22,0,0,0,47,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
2007-01-01,63,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,56,0,0,0,0,0,0,0,0,0,100,0,0,0,27,0,0,17,42,76,0,0,0,0,0,14,0,0,48,0,0,0,27,0,0,20,0,0,0,0,0,0,34,0,49,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,37,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,50,23,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,29,0,0,0
2007-03-01,86,0,0,0,0,0,53,0,16,0,0,0,0,0,0,0,0,0,34,74,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,21,0,43,0,0,31,0,0,40,17,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,12,0,0,0,23,0,0,23,0,0,0,0,0,0,18,0,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,17,0,0,22,0,0,0
2007-04-01,0,0,0,0,0,0,48,0,16,0,0,0,0,0,0,0,0,0,0,60,0,0,32,0,0,0,0,0,0,0,0,0,35,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,36,0,0,0,44,0,0,12,0,0,0,23,0,0,0,0,0,17,0,0,0,27,0,0,58,0,42,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,23,0,0,0
2007-05-01,12,49,24,0,15,18,55,0,0,0,0,0,0,0,0,27,0,24,0,45,0,0,0,67,0,0,0,0,29,0,0,0,0,0,0,0,9,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,19,0,100,0,0,0,27,0,47,0,15,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,14,0,0,0,0,0,0
2007-06-01,38,0,0,0,16,0,49,0,28,0,0,0,0,0,0,29,0,0,0,59,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,15,0,0,0,0,0,32,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,24,0,0,51,0,36,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,15,0,0,30,0,0,0
2007-07-01,30,0,0,0,0,37,46,0,13,33,0,0,0,0,0,0,0,0,29,73,0,0,0,68,0,26,0,0,0,0,0,0,0,0,0,18,0,0,0,20,0,0,0,0,14,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,29,0,0,19,0,0,19,0,0,0,22,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,100
2007-08-01,10,0,20,0,0,16,52,0,11,28,0,0,0,0,0,23,0,0,0,30,0,0,0,0,25,22,0,0,0,0,24,0,24,0,0,15,0,30,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,31,0,0,0,0,100,0,0,0,0,16,0,0,23,0,0,41,13,0,0,20,0,29,0,22,0,0,0,0,0,0,0,0,0,24,52,0,28,0,0,0,0,0,0,16,0,0,0
2007-09-01,42,0,0,0,0,16,51,0,0,0,100,0,0,100,0,0,0,0,0,26,0,0,0,0,0,45,0,0,0,31,0,0,25,0,0,0,0,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,0,0,0,31,0,0,0,9,44,0,0,22,31,0,16,0,0,12,0,0,0,13,0,0,21,0,30,0,23,32,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,12,0,0,16,0,0,0
2007-10-01,19,0,0,0,0,15,54,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,46,0,23,0,0,0,0,29,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,29,0,0,0,0,0,0,0,15,0,0,15,0,0,11,0,0,0,12,0,0,19,0,55,0,21,0,0,0,0,0,0,0,22,0,23,100,0,26,0,0,0,23,0,0,45,0,0,0
2007-11-01,38,0,0,0,0,0,45,0,10,0,0,100,29,0,0,22,0,19,22,16,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,28,0,0,0,16,0,0,0,0,11,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,29,0,0,0,0,0,0,0,15,0,0,0,47,0,11,0,0,0,12,0,22,29,0,0,0,0,29,0,0,0,0,0,0,22,0,0,50,0,26,0,0,0,11,0,0,15,0,0,0
2007-12-01,22,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,24,0,0,0,0,0,0,0,0,0,27,0,0,0,0,33,41,0,0,0,0,0,0,0,0,0,0,0,28,0,0,35,0,0,0,0,50,0,0,0,0,0,9,0,0,0,27,0,95,0,55,0,32,0,0,30,14,0,0,22,0,32,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,100,0,0
2008-01-01,20,42,0,0,13,16,47,0,11,28,0,0,0,0,0,0,0,0,24,44,16,0,0,0,0,0,0,0,0,0,24,0,24,0,0,15,0,30,0,0,0,20,0,0,12,0,100,0,0,0,0,0,0,32,0,0,10,25,0,0,0,0,0,0,0,0,0,0,16,0,0,0,98,0,0,0,0,0,19,0,0,40,45,0,0,0,30,0,45,0,0,0,0,23,0,24,52,0,0,0,0,0,0,0,57,16,0,0,0
2008-02-01,27,0,0,0,13,0,48,0,11,0,0,0,0,0,0,24,0,0,0,53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,100,0,10,0,0,0,31,0,0,0,0,43,50,0,22,0,0,0,100,0,12,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,25,0,12,0,0,16,0,0,0
2008-03-01,21,0,18,0,0,14,57,0,10,0,0,0,0,0,0,0,0,18,21,54,0,0,0,0,0,0,0,0,0,0,22,0,21,0,0,13,0,0,0,0,20,18,0,0,0,0,0,0,0,0,22,0,0,28,0,0,9,0,0,0,0,27,0,0,7,0,44,0,14,0,76,0,0,0,26,0,0,25,11,0,0,18,0,0,0,0,0,0,0,0,51,0,0,0,21,0,0,0,0,0,0,0,11,0,0,14,0,0,0
2008-04-01,18,0,0,44,11,0,51,0,10,0,0,0,0,0,0,20,0,18,0,75,0,0,0,0,0,19,0,0,22,0,0,0,21,0,0,13,0,0,64,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,9,0,0,0,0,0,100,0,7,74,0,0,14,0,0,0,43,0,10,0,0,0,11,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,0,0,14,0,0,0
2008-05-01,17,37,0,43,11,0,58,0,9,0,0,0,0,0,0,0,0,17,20,59,0,0,0,0,21,0,0,0,0,26,0,0,21,0,0,0,7,0,0,0,0,0,0,24,10,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26,26,0,99,0,0,0,25,55,0,0,0,0,0,30,0,0,0,32,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,10,0,0,13,0,0,0
2008-06-01,20,37,0,43,11,13,52,0,10,0,0,0,27,0,0,20,0,0,0,38,0,0,0,0,22,0,0,0,0,0,0,0,21,0,0,13,0,26,0,0,0,0,0,0,10,0,0,0,0,0,0,0,19,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,14,0,0,20,0,0,0,11,0,0,26,0,50,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,27,0,0,0
2008-07-01,21,0,0,44,11,0,53,0,10,25,0,0,0,0,0,21,0,0,21,66,0,0,0,0,22,19,0,0,0,26,43,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,18,0,0,0,0,27,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,11,21,0,21,0,0,0
2008-08-01,21,35,0,0,11,0,47,0,9,0,0,0,0,81,0,0,0,0,20,46,0,0,0,0,21,0,0,0,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,27,0,71,13,0,0,10,0,34,23,11,0,0,0,38,24,0,0,26,0,0,0,0,0,0,0,20,0,44,0,23,0,0,0,20,0,0,39,0,0,0
2008-09-01,25,51,0,0,0,0,55,0,9,0,79,0,0,0,0,0,0,16,0,33,0,0,0,0,0,0,0,0,0,24,0,0,19,0,0,12,0,24,30,13,18,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,20,73,0,0,25,0,92,0,0,0,0,19,0,0,0,40,0,14,0,0,22,10,0,0,16,0,23,0,0,0,0,36,0,0,0,0,19,0,0,0,0,0,0,20,0,14,0,0,13,0,0,0
2008-10-01,25,0,0,0,0,12,53,0,8,21,0,0,0,0,0,17,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,6,0,0,12,0,0,0,0,12,0,0,0,0,0,19,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,14,0,30,20,19,0,0,38,33,21,0,16,0,0,0,0,0,0,0,0,17,0,78,0,0,0,0,0,0,18,0,35,0,0,0
2008-11-01,14,0,0,0,11,0,55,0,27,23,0,0,0,0,0,19,0,17,0,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,12,7,0,0,14,0,17,0,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,10,100,0,22,10,0,0,66,0,24,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,10,0,0,19,0,0,0
2008-12-01,31,37,0,0,0,0,45,0,10,24,84,0,0,0,0,0,0,0,0,19,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,19,0,0,24,10,0,0,0,0,0,0,0,0,14,0,0,0,0,39,0,0,0,0,0,0,0,0,0,23,0,0,0,43,0,10,0,35,24,11,0,0,35,0,0,0,19,0,0,0,0,0,100,0,0,0,21,46,0,0,0,0,0,10,21,0,14,0,0,0
2009-01-01,35,0,0,0,0,13,45,0,0,23,0,0,0,0,0,0,0,0,19,38,0,0,18,0,0,17,0,0,0,0,0,0,0,0,0,12,0,0,0,13,0,0,0,0,19,0,0,0,0,48,0,100,0,26,0,0,0,0,0,0,0,0,0,0,7,0,0,0,19,0,69,0,0,0,9,0,0,0,10,0,0,0,0,23,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,10,0,0,38,0,0,0
2009-02-01,26,0,0,0,0,14,43,0,10,24,0,0,0,0,0,0,0,0,0,50,0,0,19,0,0,0,0,0,0,0,0,0,21,0,0,0,0,26,0,0,0,18,100,24,30,0,0,0,0,0,22,0,0,14,0,0,9,0,0,0,26,0,0,98,0,37,0,0,0,0,0,14,43,0,10,0,35,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,21,0,0,0,0,22,0,10,21,0,14,0,0,0
2009-03-01,21,0,14,0,0,0,45,0,8,29,0,0,0,0,0,32,0,0,0,57,0,0,15,0,0,15,0,0,0,20,17,0,17,0,0,10,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,84,0,11,0,0,7,0,0,0,0,0,0,0,0,29,0,0,11,0,0,15,0,0,8,0,0,0,17,0,16,14,0,20,0,15,0,0,0,0,0,0,0,16,0,16,0,0,19,0,0,0,21,0,39,11,0,0,0
2009-04-01,19,0,15,0,0,0,50,0,16,0,0,0,0,0,0,17,0,0,0,42,12,0,0,0,0,16,0,0,0,0,17,0,0,0,0,11,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,0,36,0,0,0,22,0,0,0,0,0,0,17,22,61,11,0,100,13,0,0,20,9,0,0,0,0,42,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,22,0,0,0,0,0,11,0,0,0
2009-05-01,23,29,0,0,9,0,45,0,7,19,0,0,0,0,0,16,0,14,0,54,0,20,0,39,0,15,0,0,0,0,0,0,0,0,100,10,0,0,0,11,0,14,0,19,16,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,29,0,0,11,0,0,11,0,0,16,0,27,0,8,0,0,0,0,19,46,15,0,0,0,0,0,0,0,0,31,0,36,0,0,0,0,0,8,0,39,21,0,0,0
2009-06-01,25,0,0,0,0,0,46,0,8,19,0,0,0,0,0,0,0,0,0,45,0,0,15,0,0,15,0,0,17,0,0,0,17,0,0,20,0,0,0,0,0,0,0,0,12,0,0,0,0,0,17,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,22,0,0,8,0,0,0,26,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,8,16,0,11,0,0,0
2009-07-01,11,0,0,0,8,21,54,0,7,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,17,0,0,0,0,0,0,0,16,0,0,20,0,0,24,11,0,14,0,0,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,20,0,0,0,28,0,0,32,0,56,0,33,0,0,0,0,0,8,0,0,14,0,0,0,0,20,0,0,0,0,0,0,15,16,0,35,0,0,0,0,0,8,0,0,10,0,0,0
2009-08-01,33,27,13,33,8,61,51,0,7,0,0,0,20,0,0,0,0,13,0,20,0,0,14,37,0,14,0,0,16,19,16,0,16,0,0,0,0,20,0,32,14,0,0,0,8,100,0,0,0,0,32,0,0,10,0,10,0,16,0,0,20,0,0,0,0,0,0,0,21,19,0,10,0,0,7,0,0,18,0,0,0,27,0,0,0,14,20,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,10,0,0,0
