date,Apple,Apricot,Artichoke,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Greens,Guava,Honeydew Melon,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Loquat,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangerines,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2006-08-01,73,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,64,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
2006-09-01,24,0,0,0,0,0,23,0,68,0,0,0,0,67,0,0,0,83,0,0,0,0,68,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,0,0,0,0,0,0,34,62,0,59,0,0
2006-10-01,35,0,0,0,0,0,29,0,65,0,0,70,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,71,0,44,0,0,0,0,0,0,0,0,0,0,45,0,100,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,67,64,0,0,100,0,69,0,0,47,0,0,35,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,50,69,0,0,52,0,33,0,0,57,0,0
2006-11-01,33,0,0,0,61,0,41,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,100,61,0,0,42,0,0,0,0,0,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,61,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,49,0,0,0,0,54,0,0
2006-12-01,62,0,87,0,0,0,44,0,65,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,68,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,65,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,100,0,0,0,0,0,0,0,0,0,0,69,0,0,52,0,49,0,0,0,0,0
2007-01-01,33,0,0,100,0,0,63,0,62,0,0,0,0,0,100,0,0,0,0,0,0,43,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,34,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2007-02-01,49,0,0,0,68,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,63,0,0,0,0
2007-03-01,19,0,0,0,0,0,27,0,80,0,0,58,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,59,0,59,0,37,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,47,0,0,0,54,0,0,0,0,0,54,0,0,0,0,0,0,0,39,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,100,100,47,0,0
2007-04-01,30,0,0,0,0,0,31,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,74,0,0,0,0,0,0,0,59,0,0,48,0,49,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,60,0,0,50,0,0,0,28,0,0,0,0,0
2007-05-01,17,0,0,0,0,0,72,0,0,63,0,0,0,0,0,54,0,0,0,51,0,0,0,0,0,50,0,0,43,52,0,0,0,0,47,0,47,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,24,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,51,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,83,0,0
2007-06-01,18,0,65,0,0,0,33,0,49,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,25,0,0,43,0,0
2007-07-01,34,0,0,58,0,0,21,0,0,0,0,0,0,0,76,0,0,0,58,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,73,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,24,0,0,83,0,0
2007-08-01,31,0,57,0,0,0,15,0,65,0,0,0,0,43,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,67,43,0,71,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,46,0,0,0,0,0,0,0,0,31,0,0,23,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,38,0,0
2007-09-01,27,0,59,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,31,0,0,0,0,0,48,0,0,39,0,40,0,0,0,0,0,0,0,0,67,0,0,30,0,0,0,32,0,0,24,0,0,39,0,0,0,0,0,0,0,0,0,0,0,48,0,47,0,0,36,0,0,42,0,0,0,0
2007-10-01,48,0,0,33,40,0,37,0,81,0,0,0,0,40,66,45,0,0,0,0,56,0,0,0,0,0,0,43,0,0,0,28,0,0,0,0,41,0,66,0,0,0,42,0,0,0,0,0,44,0,0,0,0,0,95,0,0,41,0,0,0,0,0,20,0,27,0,0,0,29,0,0,33,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,31,64,0,0,0,0,20,38,0,36,0,0
2007-11-01,48,0,0,0,0,0,22,0,40,0,0,0,0,0,0,0,0,0,49,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,40,0,0,54,0,61,0,0,0,0,100,0,35,0,35,93,80,0,0,0,0,0,40,0,0,0,0,0,0,0,29,0,0,32,0,0,35,0,0,0,0,0,0,0,0,0,0,0,64,0,42,0,0,43,0,0,37,74,0,0,0
2007-12-01,30,0,0,0,42,0,56,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,84,0,42,0,0,0,42,0,0,0,28,0,0,0,91,0,100,23,0,0,37,0,0,0,0,0,0,0,0,0,0,0,90,32,44,0,0,0,0,43,0,0,0,0,0
2008-01-01,19,0,0,0,0,0,35,0,39,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,42,53,0,0,0,61,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,34,90,0,0,0,0,0,0,0,0,20,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,20,37,0,0,0,0
2008-02-01,15,0,0,0,0,0,33,0,84,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,65,0,0,0,42,0,0,29,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,43,0,0,0,0,0
2008-03-01,33,0,0,0,36,0,37,0,36,49,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,36,0,59,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,37,0,0,38,0,0,0,0,24,0,0,0,0,0,0,20,0,28,0,0,0,0,0,0,0,0,74,0,0,0,39,0,0,0,0,30,0,19,0,0,32,0,0
2008-04-01,33,0,46,0,0,0,31,0,34,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,84,0,0,0,0,0,30,0,0,79,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,37,0,0,30,0,0,0,0,0,0,0,0,0,0,0,37,0,36,0,100,28,0,26,0,0,0,0,0
2008-05-01,28,0,89,28,0,0,34,0,0,0,0,0,0,0,0,0,0,42,0,0,46,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,55,0,0,0,23,0,0,0,100,0,0,0,34,29,0,29,79,33,69,34,0,100,35,0,0,0,0,0,36,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,26,0,0,0,27,0,51,0,0,29,0,0
2008-06-01,20,0,45,0,34,0,38,100,34,0,0,0,0,0,0,0,26,0,0,0,46,0,0,0,0,36,0,0,30,0,0,0,0,0,0,0,33,0,0,0,46,71,23,0,0,0,0,0,0,0,0,0,0,30,0,0,70,0,0,0,0,34,0,0,0,0,36,0,0,24,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,98,0,0,0,0,0,0,0,0
2008-07-01,17,0,0,0,32,0,25,0,32,0,0,0,0,0,0,36,0,0,40,0,0,0,32,0,0,0,0,34,0,35,0,22,0,0,0,100,32,0,0,32,43,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,34,0,0,0,0,0,35,80,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,25,34,0,0,26,0,0,0,0,28,0,0
2008-08-01,31,0,0,27,33,0,39,0,33,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,70,0,0,50,0,0,0,0,0,0,29,100,43,0,0,0,0,0,0,0,0,0,0,51,0,35,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
2008-09-01,11,0,42,0,63,0,46,0,63,0,0,0,0,0,52,0,24,79,0,0,0,0,48,0,0,0,0,0,0,35,34,21,0,0,0,0,32,100,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,28,0,32,0,32,0,0,0,32,0,16,0,0,0,79,0,46,31,0,17,0,24,56,0,0,0,0,0,99,0,65,0,0,0,69,24,34,0,0,25,0,24,0,59,28,0,0
2008-10-01,14,0,0,49,0,0,54,0,40,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,20,0,0,0,46,0,0,49,0,0,0,21,0,0,0,0,0,32,0,0,26,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,43,0,0,16,0,0,78,0,100,0,0,0,0,0,0,0,0,0,64,23,0,0,0,0,33,23,0,56,26,0,0
2008-11-01,38,0,64,0,0,0,40,0,64,0,0,0,0,0,0,0,0,0,40,0,0,0,32,0,0,0,0,35,0,0,34,44,0,0,31,0,0,0,53,0,0,0,44,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,23,0,0,35,0,0,0,0,0,0,34,0,0,0,0,0,0,0,52,0,34,0,0,26,0,16,0,0,28,0,0
2008-12-01,19,0,42,0,64,0,50,0,32,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,35,0,43,0,0,31,0,0,0,0,0,43,0,0,0,0,79,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,69,49,0,0,0,0,0,0,0,0,28,35,0
2009-01-01,35,0,43,0,0,0,40,0,32,0,0,0,0,0,0,36,0,0,0,0,44,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,32,0,53,0,0,68,22,0,0,0,0,0,0,0,0,29,0,0,0,0,0,33,0,0,0,0,0,16,0,100,34,0,0,0,0,0,44,0,25,28,0,0,0,0,0,0,0,66,0,0,0,0,49,34,0,0,26,36,0,61,0,28,0,100
2009-02-01,40,0,0,25,31,0,52,0,31,0,0,33,0,0,0,35,0,76,0,33,42,21,0,0,0,32,0,0,27,34,33,0,65,0,29,48,46,0,0,31,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,30,0,0,0,0,0,31,0,15,0,61,33,77,0,0,0,0,33,0,0,0,0,0,0,33,0,0,0,63,0,0,0,0,0,65,0,0,25,0,0,0,0,27,0,0
2009-03-01,23,27,37,0,27,0,59,0,41,0,0,30,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,43,0,0,0,0,37,0,31,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,27,0,0,0,18,29,0,0,20,0,0,0,0,21,0,0,0,0,30,0,0,0,0,0,0,0,59,0,0,0,0,0,0,14,26,0,0,0,0
2009-04-01,55,29,0,0,0,0,32,0,58,0,0,31,0,0,47,65,22,36,35,31,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,29,0,0,29,38,61,20,100,0,0,0,0,0,0,0,42,0,0,0,29,0,0,0,0,30,0,0,14,0,19,31,0,0,0,29,0,23,0,0,25,0,0,0,0,0,0,0,59,0,0,0,0,22,30,0,0,0,0,29,0,53,0,0,0
2009-05-01,39,27,72,22,27,0,34,0,36,0,0,0,0,0,0,31,21,34,0,0,0,0,0,0,0,0,0,29,0,0,0,37,0,0,0,0,27,0,0,0,0,0,19,0,0,67,81,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,14,0,18,0,0,0,20,0,65,15,0,0,24,0,0,0,59,0,0,0,0,0,0,0,29,31,29,50,0,22,30,14,0,0,48,0,0
2009-06-01,22,40,0,0,26,0,53,0,26,0,0,0,29,26,0,0,0,0,0,0,36,0,26,0,0,0,0,28,0,29,28,18,0,0,0,0,0,0,0,0,35,0,18,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,13,0,17,28,66,0,19,26,0,14,0,41,23,0,0,40,29,0,0,0,0,0,0,0,28,40,0,0,0,0,29,13,0,48,58,0,0
2009-07-01,27,26,34,0,26,0,12,0,26,0,0,0,0,0,0,43,0,0,0,0,0,0,26,0,0,0,0,0,0,28,0,17,0,0,0,80,26,0,42,26,0,0,26,0,0,0,0,0,0,0,0,23,0,22,0,0,0,0,0,77,0,26,0,0,0,17,41,0,0,19,26,60,21,0,0,0,0,0,0,28,0,0,0,0,0,0,0,28,20,0,0,75,21,0,0,0,0,23,0,0
2009-08-01,18,26,34,0,38,0,26,0,26,34,0,28,0,25,0,0,0,0,32,0,0,0,26,0,0,54,0,28,0,28,0,17,0,100,0,40,26,0,0,0,0,0,35,0,0,0,0,0,0,0,0,34,0,0,0,51,0,0,0,0,0,0,0,0,0,51,27,0,0,19,0,0,14,0,20,23,0,87,0,0,0,0,0,0,0,0,0,28,20,54,0,0,21,0,26,48,0,22,0,0
2009-09-01,18,25,0,0,0,0,23,75,51,0,100,0,0,25,0,0,0,31,0,27,0,0,25,0,0,0,0,0,0,0,27,34,0,0,0,77,25,0,41,75,0,0,26,0,0,0,0,0,0,0,0,22,0,0,59,0,0,0,0,0,0,0,0,13,0,0,0,63,0,27,25,0,20,0,0,22,0,0,0,27,0,0,0,0,0,0,0,0,19,0,0,0,20,0,13,0,0,44,0,0
2009-10-01,38,0,33,0,0,0,28,0,58,0,0,0,0,0,0,28,0,31,0,0,34,0,0,0,0,0,0,0,0,0,0,28,0,0,0,38,25,0,41,0,0,0,26,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,26,37,37,0,0,0,0,0,0,18,0,0,20,0,0,22,0,0,0,0,0,0,0,0,0,0,0,27,19,26,23,0,20,0,13,23,0,0,0,0
2009-11-01,42,0,50,21,0,0,39,0,25,0,0,0,0,0,0,28,0,31,0,0,51,0,25,0,0,26,0,0,23,0,0,17,0,0,0,39,38,0,0,0,0,0,0,0,0,0,0,38,0,0,0,44,0,0,0,0,0,0,0,0,0,25,0,12,0,33,27,0,100,36,25,0,20,0,0,22,0,0,0,0,0,0,0,0,0,0,0,27,0,26,23,0,20,0,13,0,0,0,27,0
2009-12-01,24,0,0,21,25,0,34,0,25,0,0,27,0,0,0,28,0,31,31,27,0,0,25,0,0,0,0,0,0,0,0,17,0,0,0,0,25,0,41,25,0,53,17,0,0,0,0,0,0,0,0,33,0,0,0,25,52,25,0,0,0,0,0,13,0,25,27,62,0,27,0,0,20,0,0,22,0,0,0,0,0,0,0,51,0,0,0,0,19,27,0,0,0,28,26,0,0,33,0,0
2010-01-01,34,23,31,0,35,0,27,70,0,0,0,0,26,0,0,27,0,29,0,0,32,0,0,0,100,0,0,0,0,0,0,16,0,0,23,56,47,0,39,47,0,0,33,0,0,0,0,0,0,60,23,21,0,0,0,0,0,0,0,0,0,0,0,0,37,16,51,59,0,17,0,0,13,0,0,21,0,0,0,26,0,0,0,0,0,0,88,51,19,50,21,0,0,0,0,45,44,42,0,0
2010-02-01,23,28,0,0,27,0,59,0,37,0,0,0,0,27,0,31,21,34,0,30,75,0,0,0,0,0,0,0,25,30,0,19,0,0,26,0,55,0,0,0,0,0,28,0,0,0,0,0,29,0,0,24,0,0,0,55,0,0,30,0,29,0,41,0,0,0,29,0,0,20,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,28,29,25,0,0,0,0,0,0,24,0,0
