date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Belgian Endive,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-11-01,67,23,12,37,0,4,0,5,0,67,24,20,0,0,0,80,10,9,56,0,0,0,13,8,7,0,62,67,11,0,6,9,0,0,22,0,0,13,28,13,44,0,39,0,0,0,16,7,22,0,23,26,16,0,41,40,0,0,0,0,63,0,5,0,22,24,20,47,14,0,25,0,50,11,0,0,34,0,45,0,0,71,25,49,0,18,12,24,33,16,19,51,55,0,7,11,19,0,28,67,4,13,0,0,39,15,0,8,22,58,0,58,8,5,25,12,0,8,0,35,0,15,29,46,0,19,6,86,88,0,0
2005-12-01,74,22,13,51,0,12,0,12,0,68,0,15,0,0,0,0,0,21,0,0,0,0,7,20,12,0,0,74,13,0,9,15,0,0,16,45,0,0,47,20,65,0,36,0,0,38,27,10,17,0,25,36,13,0,18,33,0,0,0,43,69,0,13,100,0,40,29,78,17,0,27,44,55,25,0,0,74,0,27,0,0,0,23,95,80,36,11,26,15,25,25,0,38,0,8,16,20,0,30,0,2,6,0,0,22,12,7,27,0,64,0,0,18,11,15,4,0,12,0,58,0,13,45,0,0,21,12,95,0,0,0
2006-01-01,86,21,11,34,0,6,0,9,0,62,62,27,0,56,35,68,8,20,49,0,0,0,10,27,15,0,0,58,13,0,4,15,0,52,18,35,0,26,14,6,38,0,39,62,0,44,44,7,39,20,33,24,17,0,0,34,0,0,0,0,27,0,6,0,0,10,22,71,19,60,21,0,0,29,0,100,58,0,47,0,0,0,28,48,0,23,8,31,41,31,18,0,63,0,12,28,24,0,48,0,3,8,45,0,39,14,3,10,0,100,45,100,20,3,19,11,0,9,0,30,0,20,37,53,0,16,4,0,0,0,0
2006-02-01,61,27,17,58,0,3,0,7,0,74,0,21,36,0,37,0,9,9,0,0,0,0,10,7,8,0,56,61,11,0,8,13,0,0,23,0,0,12,10,13,0,0,35,22,0,31,20,10,29,0,31,41,15,0,30,32,0,0,0,0,71,0,7,42,40,11,18,43,14,64,23,36,45,36,0,0,31,0,35,0,33,0,15,72,67,21,22,22,12,19,17,0,42,0,21,10,25,0,25,0,2,3,0,0,28,24,0,10,0,0,24,53,18,3,13,10,0,12,0,0,0,11,35,70,0,29,7,34,0,0,0
2006-03-01,52,23,9,31,0,7,0,11,0,71,19,22,0,51,32,0,8,11,44,0,0,0,11,6,4,0,0,0,9,0,5,14,0,47,28,32,62,20,9,10,34,0,41,19,0,0,26,4,28,0,18,24,9,0,0,35,0,0,0,0,25,0,4,36,43,19,28,55,37,55,38,31,0,13,0,92,26,0,30,95,0,55,12,56,57,14,19,50,15,25,24,0,60,0,8,11,22,0,65,0,1,9,0,19,53,26,4,10,18,0,21,45,12,2,11,9,0,7,28,0,0,13,19,24,0,15,7,29,0,0,0
2006-04-01,0,21,11,44,0,11,0,12,0,65,0,20,0,0,0,71,0,33,0,0,0,0,16,7,7,0,0,59,9,0,6,16,0,53,19,35,0,23,11,13,39,0,35,32,0,30,26,10,28,0,20,25,21,0,14,40,0,0,0,0,28,0,4,0,19,22,29,42,9,0,29,0,44,10,0,0,90,0,36,0,0,0,24,50,0,5,23,28,27,25,34,0,56,0,8,14,21,0,0,60,2,3,47,21,27,27,4,14,0,0,0,52,8,3,7,11,0,6,0,31,0,18,25,55,0,25,6,33,0,0,0
2006-05-01,52,23,38,23,0,18,0,13,0,68,19,27,31,0,0,0,7,18,0,0,0,0,5,6,10,0,0,0,6,0,8,14,0,0,28,31,0,10,6,7,34,91,52,0,0,27,24,9,29,0,35,25,15,0,25,39,0,0,0,0,0,0,6,0,17,28,8,55,17,0,19,31,0,26,0,0,0,0,48,0,42,55,10,58,0,4,17,19,20,29,23,0,53,0,8,8,17,0,22,0,0,5,41,0,31,13,0,13,17,0,0,45,13,2,7,14,0,5,27,27,0,24,20,36,0,22,6,29,0,0,0
2006-06-01,56,16,25,52,0,15,0,10,0,70,20,19,0,0,33,0,0,19,0,0,0,0,4,7,8,0,51,0,7,0,0,15,0,0,34,0,0,11,7,9,0,0,24,20,0,0,18,9,21,68,38,33,11,0,27,46,0,45,0,0,0,76,4,0,100,30,11,39,26,0,30,33,0,33,0,0,83,0,34,0,30,59,23,40,0,9,10,33,25,30,11,0,52,0,7,18,13,0,23,0,2,3,43,20,40,28,3,18,0,0,33,48,18,3,5,27,64,5,0,58,0,26,18,26,0,16,9,0,0,100,0
2006-07-01,81,20,35,35,55,9,0,12,0,59,39,20,32,0,33,64,15,8,45,0,0,0,8,6,7,0,66,54,8,0,7,14,0,0,64,65,0,10,6,20,48,0,24,0,26,83,23,15,23,44,46,40,7,0,18,33,0,44,0,31,13,0,4,0,53,30,8,58,41,57,40,32,61,23,0,0,27,0,37,0,29,0,18,49,59,5,25,49,16,28,21,0,53,0,17,13,15,0,90,0,2,4,42,19,25,30,0,13,0,0,21,47,16,4,8,19,0,4,29,0,0,30,19,25,0,31,13,0,0,0,0
2006-08-01,52,32,38,26,0,6,0,13,0,61,0,20,0,100,31,62,26,22,87,0,0,100,7,0,7,0,0,52,12,0,4,14,0,0,30,31,0,13,6,17,34,0,30,28,25,26,33,9,29,18,18,27,12,0,38,23,0,0,0,0,12,0,12,0,25,14,11,27,21,0,19,0,78,22,0,0,26,0,33,0,84,0,26,23,0,5,45,31,37,24,27,40,27,0,53,13,15,0,75,0,2,7,81,37,24,26,3,13,0,45,20,0,13,1,16,12,60,6,0,55,0,30,22,24,0,25,11,29,0,0,52
2006-09-01,100,47,18,15,50,8,0,10,0,62,36,20,0,0,0,0,25,17,0,0,100,0,10,0,6,0,0,50,7,0,5,13,0,0,25,30,0,14,9,20,32,0,29,18,0,0,31,25,29,0,22,29,18,0,20,30,0,40,0,58,0,68,5,0,41,36,12,18,23,52,18,29,0,21,0,87,75,0,40,0,27,0,25,58,54,15,54,54,49,23,20,0,71,0,42,16,15,0,61,0,3,21,78,18,29,28,14,12,16,43,20,0,16,2,18,10,58,9,0,52,0,28,28,45,0,14,9,27,0,0,100
2006-10-01,44,47,44,33,0,11,0,10,0,64,24,17,0,0,27,0,6,9,37,0,0,0,9,5,12,0,41,44,10,0,15,9,100,99,16,27,0,13,16,17,58,0,38,16,100,22,34,21,23,15,15,40,12,0,21,40,0,0,91,0,36,0,10,60,0,20,13,0,14,0,16,0,33,22,0,0,45,0,55,0,36,0,25,47,48,10,13,21,64,25,17,34,67,0,18,11,17,53,27,0,10,51,69,24,30,11,7,5,15,38,17,0,21,4,27,8,0,11,0,46,0,16,27,30,0,19,8,24,0,40,0
2006-11-01,43,37,19,40,0,7,0,11,0,64,15,19,50,0,0,51,0,12,72,0,86,0,9,10,11,0,65,43,11,0,4,8,0,96,26,64,0,19,29,11,75,0,19,0,31,22,30,20,31,0,22,46,13,100,16,61,0,34,0,25,40,59,11,0,14,39,23,45,18,0,23,51,80,14,100,0,22,44,62,0,0,45,23,62,0,22,18,15,50,36,26,33,53,100,12,18,18,51,18,43,3,26,100,0,14,7,2,10,0,74,25,0,12,6,33,11,49,17,0,22,0,19,29,39,0,18,9,55,0,0,43
2006-12-01,49,24,35,65,0,12,0,13,0,70,18,13,0,0,29,58,7,0,82,0,0,0,14,25,25,0,44,48,15,70,4,26,0,65,31,0,0,9,50,6,53,85,14,17,0,25,19,8,30,0,22,25,10,0,20,29,0,0,100,28,68,100,7,33,0,13,14,26,10,0,27,29,36,8,0,0,49,51,37,0,26,51,21,68,0,27,3,35,25,17,31,0,38,0,8,16,25,0,50,97,1,7,0,0,22,22,19,12,0,42,19,0,15,20,24,5,56,10,26,25,0,14,22,44,0,32,6,27,0,0,49
2007-01-01,38,26,27,71,0,8,0,8,0,64,14,23,22,0,0,0,8,16,0,0,76,0,13,9,14,0,52,57,12,54,7,22,0,51,12,45,0,7,14,21,25,0,11,41,18,19,38,9,38,20,32,36,12,0,15,28,0,0,0,22,66,0,10,26,25,34,31,60,12,40,28,22,0,25,0,0,19,39,58,69,21,40,28,68,0,20,12,23,44,32,15,29,49,0,8,9,20,0,62,76,2,5,30,14,30,11,7,11,0,99,0,0,25,4,25,14,0,12,20,40,45,17,31,26,0,38,6,21,49,34,0
2007-02-01,41,25,19,69,0,11,0,16,0,70,44,23,48,0,24,0,12,11,51,0,83,0,14,5,11,0,0,41,12,0,7,18,92,36,22,0,0,19,10,17,53,0,24,15,20,21,50,7,30,14,41,34,10,0,30,30,0,0,0,0,38,56,6,0,20,19,20,36,22,43,22,24,30,38,0,0,27,42,54,0,22,64,26,59,45,17,17,24,19,30,23,31,47,47,11,9,23,48,50,41,2,5,48,22,31,18,5,25,0,0,24,0,21,3,20,16,47,8,0,32,0,18,33,19,0,31,7,30,0,37,0
2007-03-01,36,27,13,56,37,5,0,8,38,68,26,29,0,0,0,0,10,8,61,0,0,0,11,4,12,100,68,37,9,0,9,14,0,49,27,0,43,7,9,14,48,0,37,13,18,37,44,9,28,0,17,28,18,0,21,25,0,0,0,21,26,50,8,0,24,13,29,26,27,0,22,43,68,15,0,0,49,0,43,0,20,64,32,47,100,17,8,13,46,31,25,0,42,43,16,16,22,0,23,0,1,5,43,0,22,22,4,16,12,32,29,32,19,2,16,22,0,8,29,19,0,16,38,50,0,24,7,40,0,33,0
2007-04-01,40,21,22,41,40,17,0,14,0,66,36,21,23,0,24,47,0,8,0,0,0,76,8,0,7,0,0,59,7,0,6,23,0,0,18,24,0,11,12,14,52,0,40,14,0,40,39,7,29,0,22,33,6,0,32,24,0,32,0,23,14,0,6,0,39,25,23,35,26,0,24,35,44,20,0,0,33,41,43,0,21,42,27,35,0,11,8,19,31,24,23,30,58,0,11,11,20,47,0,0,2,5,0,14,27,24,6,26,13,0,15,69,15,3,15,20,45,6,0,31,0,29,15,100,0,30,11,22,0,0,0
2007-05-01,50,21,9,43,0,30,0,13,0,62,0,23,0,0,0,0,5,7,0,0,68,0,13,4,5,0,30,100,10,0,8,13,0,30,22,0,0,13,7,16,43,0,29,24,0,50,31,7,25,12,41,22,7,0,28,19,0,0,0,29,8,0,4,23,22,24,13,41,33,0,20,20,62,11,0,0,67,0,32,60,36,88,20,50,0,6,11,32,33,25,20,26,64,0,7,13,17,0,28,33,1,2,0,16,25,13,3,8,0,29,26,0,23,2,9,16,0,6,17,17,40,29,12,0,0,50,7,18,0,0,0
2007-06-01,34,20,19,51,0,18,0,12,0,66,0,24,0,0,0,0,7,14,0,0,0,0,8,4,11,0,47,0,7,0,4,9,0,31,39,0,0,15,14,17,34,0,23,24,0,17,31,11,27,24,39,42,11,0,11,33,0,27,0,20,8,47,3,0,73,16,20,36,34,0,13,30,51,11,0,0,23,36,36,0,18,0,25,44,0,6,13,45,49,29,27,0,54,0,9,6,16,0,21,0,2,3,27,49,26,25,2,21,11,0,0,0,18,2,11,27,39,8,0,36,41,35,17,26,0,39,8,19,0,31,35
2007-07-01,34,20,21,33,0,5,0,12,0,61,0,23,20,33,60,40,10,12,56,0,0,0,7,4,9,0,31,33,5,0,5,15,0,30,39,20,0,6,7,17,22,0,23,42,32,17,24,8,23,31,26,29,4,0,16,33,0,0,0,20,0,0,5,0,17,24,7,24,24,70,25,20,25,25,0,0,28,0,30,61,36,71,24,26,36,6,23,48,22,27,25,0,49,0,17,16,19,0,48,0,1,6,52,12,38,43,4,30,11,29,20,0,20,2,10,23,39,5,18,0,0,30,11,31,62,44,11,18,0,30,0
2007-08-01,0,36,22,31,0,7,0,12,0,66,12,25,41,33,21,41,15,24,0,0,0,0,8,0,6,0,32,0,5,0,6,20,0,0,17,21,0,15,4,19,23,61,23,12,0,26,33,17,26,36,23,24,18,0,8,21,0,0,0,0,8,48,5,71,34,22,17,30,15,0,25,27,26,12,0,0,41,72,41,0,47,0,26,25,0,5,26,29,29,32,20,26,41,0,42,14,16,0,50,0,1,11,27,12,32,15,3,8,11,30,14,30,19,3,15,11,0,4,0,18,0,29,17,0,0,30,12,29,45,0,70
2007-09-01,66,48,18,34,33,9,0,9,0,63,12,23,29,0,20,0,23,5,28,0,0,0,8,0,9,0,46,50,10,0,8,22,0,30,15,20,0,13,9,11,36,0,26,18,16,34,40,25,28,11,30,37,11,0,13,32,0,27,68,0,16,68,5,0,16,18,8,53,12,0,32,39,25,28,0,0,67,35,48,0,18,47,39,50,0,8,30,44,69,34,31,0,47,0,33,9,15,39,21,100,2,36,0,23,32,26,2,17,0,38,13,0,18,2,21,13,57,12,17,17,0,22,24,41,0,41,8,27,0,0,33
2007-10-01,29,43,19,28,29,6,0,6,0,66,16,20,35,28,18,0,12,6,25,0,0,0,8,3,13,0,27,29,11,0,8,19,0,53,18,0,0,21,13,15,19,51,25,32,0,15,42,23,26,10,53,32,13,0,7,37,0,24,0,0,21,40,9,0,39,13,15,46,31,0,38,29,22,15,0,0,88,0,34,53,16,62,25,48,0,15,21,42,36,27,25,0,49,0,10,21,18,52,24,59,10,53,23,21,32,16,7,12,0,38,12,25,18,2,29,10,0,10,0,0,35,18,36,31,0,28,7,16,39,27,59
2007-11-01,28,32,28,50,28,7,53,10,29,75,20,22,16,0,0,33,10,16,23,0,56,0,10,10,10,0,25,0,15,0,9,9,0,62,14,25,0,9,14,8,46,0,30,20,13,21,18,9,23,10,28,36,10,65,20,37,0,0,0,0,39,38,12,0,14,10,28,54,20,29,20,16,83,26,65,0,42,29,36,0,0,59,31,56,0,24,11,13,31,24,23,42,45,0,12,9,20,49,40,56,3,17,22,20,37,17,7,6,0,24,22,48,15,4,20,9,0,12,0,19,0,18,40,13,0,13,7,41,0,25,28
2007-12-01,33,25,15,47,33,8,0,12,0,71,0,15,0,0,0,39,5,9,28,0,0,0,12,20,26,0,0,33,19,0,9,13,0,44,14,0,0,19,37,17,29,0,26,12,32,0,22,10,36,23,37,26,8,0,21,12,0,53,0,19,31,45,7,23,11,21,21,17,12,0,18,0,49,11,0,0,50,0,35,0,0,0,29,48,0,40,13,16,37,26,20,25,36,0,8,5,23,39,48,33,2,9,0,23,42,13,17,4,0,29,52,0,17,23,18,5,0,9,0,17,0,12,27,15,0,31,5,0,0,0,0
2008-01-01,40,26,24,84,27,7,0,17,0,63,24,26,16,0,16,0,8,19,34,0,54,0,14,6,12,0,25,27,15,0,7,16,0,24,20,32,32,13,10,15,47,47,31,10,13,13,30,8,27,0,57,35,11,63,19,36,0,0,0,0,50,37,11,0,26,24,23,47,19,28,26,16,20,40,0,0,49,28,41,49,14,57,25,60,0,22,13,29,19,24,31,20,50,0,11,13,25,32,33,54,2,4,21,0,35,18,6,10,0,35,26,23,21,4,19,16,31,12,0,37,0,18,41,24,100,28,10,0,0,24,27
2008-02-01,0,29,21,70,29,13,0,16,0,68,15,30,17,0,35,0,6,12,24,0,0,0,14,0,12,0,39,58,13,0,13,16,64,26,20,17,34,16,6,18,0,0,33,10,14,15,41,6,25,20,36,38,15,0,26,39,0,23,0,25,61,99,11,0,42,10,20,41,23,30,16,17,43,43,0,50,34,30,45,0,62,45,40,56,31,15,12,10,24,21,29,22,48,0,8,12,26,0,53,29,1,5,22,0,43,16,6,10,0,25,17,25,25,3,17,16,33,11,0,30,0,21,26,40,0,46,7,32,0,26,29
2008-03-01,28,26,15,47,0,6,0,14,0,64,20,28,16,0,17,33,6,12,23,0,0,0,10,5,9,0,25,65,11,0,9,9,0,25,23,17,0,16,7,11,24,49,32,10,0,21,40,11,39,10,34,25,7,65,11,41,0,22,57,16,29,38,13,0,32,18,31,54,27,0,20,16,41,14,0,49,23,0,47,0,15,0,35,53,30,19,17,15,33,31,27,0,49,0,13,15,26,0,11,28,1,6,32,0,38,16,3,16,9,24,11,48,20,3,17,17,32,11,15,29,0,22,33,25,0,37,5,30,36,25,0
2008-04-01,27,21,17,37,0,11,0,16,0,66,39,24,0,26,17,0,8,19,23,0,56,0,14,3,10,0,25,0,7,0,5,14,0,24,22,33,32,14,15,21,27,48,34,30,13,28,36,8,21,24,47,35,12,0,22,35,0,22,56,16,16,38,5,0,14,25,21,58,24,29,27,16,31,9,0,48,21,0,51,0,15,58,35,38,0,15,12,20,34,30,25,0,53,0,12,18,20,49,34,55,1,3,0,19,43,17,2,14,9,36,11,24,18,3,11,14,32,10,0,22,0,31,19,31,0,52,9,15,0,25,28
2008-05-01,27,20,17,41,28,25,0,16,0,65,15,25,16,0,16,33,4,8,23,0,0,0,9,0,8,0,25,0,10,0,5,17,0,25,24,16,0,9,7,19,72,0,24,20,13,21,25,8,27,19,22,32,15,0,22,37,0,0,0,16,6,0,2,0,23,5,19,24,35,0,20,0,72,23,0,0,32,29,52,100,30,29,21,51,30,6,12,20,29,24,30,21,41,0,9,13,21,0,23,28,1,2,28,10,29,11,2,23,9,24,16,0,21,1,13,17,0,5,0,14,0,39,9,25,0,60,10,15,36,0,0
2008-06-01,28,19,26,29,0,23,0,13,0,65,20,27,33,0,0,0,8,14,23,0,56,0,8,0,7,0,26,0,12,0,4,18,0,0,17,33,33,11,4,25,19,0,35,15,13,28,24,10,42,29,60,20,18,0,25,34,0,0,0,24,7,39,3,0,18,26,12,20,34,0,14,0,41,21,0,0,38,29,36,0,30,0,19,35,0,5,17,20,31,33,34,0,60,0,9,11,21,0,23,0,1,4,0,40,28,17,2,19,14,0,22,0,22,2,12,29,32,9,22,29,34,39,27,26,0,36,9,15,36,25,28
2008-07-01,37,18,30,27,0,13,0,11,0,60,10,27,32,27,41,0,10,13,23,100,0,0,11,3,7,0,25,41,8,0,6,13,0,0,34,0,0,14,5,15,18,48,24,10,0,14,25,7,26,29,19,17,7,65,20,18,0,22,0,16,0,0,8,0,27,20,11,29,27,0,10,16,21,12,0,48,37,0,42,0,35,29,36,31,0,4,15,23,29,36,26,21,44,0,12,15,20,0,11,0,1,4,43,20,38,29,6,14,14,24,22,24,22,2,12,19,47,7,0,29,0,31,20,13,0,21,16,20,0,25,0
2008-08-01,29,30,29,31,0,9,0,10,0,54,10,30,17,0,17,34,12,20,0,0,0,0,8,3,8,0,26,86,7,83,7,13,0,0,18,17,0,11,8,18,28,50,28,31,14,22,34,12,28,10,16,30,13,0,23,32,0,0,0,0,13,0,4,0,38,13,17,15,23,30,17,25,64,19,0,0,43,30,45,0,15,61,32,24,31,6,10,31,36,29,25,22,45,0,18,9,20,0,23,0,1,3,22,15,25,16,6,23,9,25,34,25,16,2,18,13,0,8,0,0,0,37,14,27,0,24,7,0,0,0,0
2008-09-01,40,46,7,23,0,7,100,12,28,72,19,26,16,0,16,31,15,11,22,0,0,0,11,3,7,72,24,53,15,0,8,21,0,0,21,16,0,8,4,18,52,46,25,38,13,13,18,20,27,28,21,30,12,0,26,35,0,32,0,0,12,36,6,0,0,24,21,28,21,0,19,16,19,15,0,0,26,0,35,0,28,28,29,38,0,9,32,9,45,24,30,0,55,61,16,7,20,31,27,0,2,16,0,9,32,16,5,18,9,0,15,23,20,2,23,7,30,10,14,14,0,35,22,18,0,32,7,14,34,0,0
2008-10-01,47,48,39,28,0,10,0,10,24,72,21,24,21,46,0,0,13,13,30,0,0,0,11,6,13,0,43,24,13,0,4,13,0,21,18,43,28,7,8,16,26,0,30,17,11,48,36,18,36,12,20,32,12,0,19,25,0,19,0,0,11,0,12,32,8,13,30,29,17,0,13,14,18,14,0,0,20,0,36,0,13,25,43,30,25,20,11,17,46,20,32,0,44,28,14,8,19,28,34,24,10,26,37,8,39,21,9,8,10,20,28,20,22,3,33,10,27,13,0,19,28,25,40,16,44,36,7,0,31,21,24
