date,Apple,Apricot,Artichoke,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Honeydew Melon,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-11-01,78,0,35,0,0,28,0,30,0,38,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,12,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,93,76,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,20,0,0,0,0,0,100,0,38,0,41,0,0,0,0,0,100,0,0,0,64,0,66,70,0,100,0,0,0,0,0,0,0,95,0,0
2005-12-01,27,0,36,0,0,17,0,25,0,0,0,0,0,0,0,100,0,12,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,28,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,26,100,0,73,0,0,0,0,0,79,37,0,0,0,39,100,63,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,35,0,0,0
2006-01-01,34,0,0,70,0,24,0,25,0,0,0,0,0,0,0,0,0,10,0,100,0,40,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,62,0,0,17,0,0,0,32,0,0,0,33,0,27,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,85,0,0,30,84,0,0
2006-02-01,34,68,0,0,0,15,0,20,0,0,0,0,0,0,0,0,0,11,0,0,0,20,0,100,0,0,0,0,0,0,0,90,0,0,0,0,0,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,47,0,69,0,0,20,0,0,0,0,0,0,0,0,18,0,0,67,48,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,30,0,0,0
2006-03-01,50,0,27,0,0,13,0,37,0,29,0,0,0,0,0,0,0,6,0,0,0,27,55,0,0,0,0,0,0,0,0,0,54,0,57,0,0,9,0,42,0,0,98,100,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,34,0,0,0,0,0,55,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
2006-04-01,33,0,0,69,0,29,0,36,0,32,0,0,0,0,0,0,0,4,0,0,0,30,0,0,57,0,0,0,0,0,0,44,60,0,0,0,0,10,0,24,56,0,0,55,0,0,0,30,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,65,0,100,0,0,33,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,58,0,29,0,0,0
2006-05-01,19,56,26,0,0,25,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,23,0,0,0,0,0,35,0,0,0,0,0,0,55,0,0,0,0,31,0,0,0,48,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,52,0,0,15,0,58,56,30,0,74,0,28,0,23,0,0,100,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,36,0,0,100,0,0,0
2006-06-01,31,0,0,0,0,13,0,38,0,30,0,0,0,0,0,0,0,2,0,0,0,37,0,0,53,0,0,0,0,0,0,0,0,0,58,0,0,0,0,22,0,0,100,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,100,0,0,62,0,0,0,0,0,0,0,0,18,0,0,20,77,0,56,0,0,0,0,62,0,21,0,0,0,30,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,27,0,0,0
2006-07-01,32,63,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,10,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,100,0,0,0,81,42,18,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,31,0,38,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,28,0,0,0
2006-08-01,57,0,34,0,0,16,0,33,0,36,0,0,0,0,0,0,0,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,52,62,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,48,21,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,100,0,0,0,0,0,0,0,73,0,0,0,0,0,0,63,0,0,0,0,0,0,0,64,0,64,0,0,0
2006-09-01,53,0,0,0,0,11,0,31,0,26,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,22,0,0,0,35,0,0,100,0,0,8,0,31,0,0,0,44,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,37,0,68,0,0,0,21,0,0,0,0,0,0,0,0,0,43,0,0,48,0,0,0,0,0,33,0,0,23,0,0,0
2006-10-01,27,48,0,0,0,11,0,28,0,24,0,0,0,0,0,0,0,6,0,0,0,34,44,0,0,0,51,20,0,0,0,0,0,0,46,0,0,19,0,29,0,0,0,81,0,0,0,22,0,0,0,0,0,0,21,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,32,14,0,0,16,0,0,0,0,0,0,0,0,0,17,0,0,0,36,0,39,0,73,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,100,31,0,0,21,0,0,0
2006-11-01,43,0,22,0,0,10,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,29,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,11,51,28,0,0,78,0,0,0,0,43,0,0,0,0,0,0,21,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,14,0,0,31,0,0,0,51,0,12,39,0,47,17,0,0,0,24,0,28,0,72,0,0,0,0,0,0,0,0,0,41,87,0,0,0,0,0,30,41,0,62,0,0,0
2006-12-01,34,0,24,0,0,41,0,26,0,25,0,0,0,0,0,65,0,10,0,0,0,36,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8,55,18,0,0,0,0,0,0,0,35,0,0,0,0,0,0,22,0,62,0,0,85,0,0,0,0,62,0,0,0,51,0,0,15,0,0,0,0,0,0,55,0,13,0,0,0,27,0,0,0,25,0,41,0,0,0,0,0,0,0,0,0,43,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0
2007-01-01,23,0,0,0,0,18,0,21,0,0,34,0,0,0,0,0,0,13,0,0,0,37,0,0,0,0,44,35,0,0,0,0,0,0,0,50,0,6,45,30,35,0,0,0,0,0,0,19,0,0,0,0,0,0,18,0,0,41,0,0,0,0,0,0,0,0,28,0,0,0,27,12,0,0,0,0,0,38,44,0,11,0,0,41,15,0,0,57,21,0,33,0,0,0,0,0,0,0,0,0,35,0,36,0,0,0,0,0,0,52,0,0,54,0,0,0
2007-02-01,29,0,19,0,0,19,0,26,0,0,0,0,0,0,39,0,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,30,0,0,0,36,0,0,84,19,0,0,0,0,100,0,56,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,24,0,0,27,0,37,39,0,0,16,0,0,0,15,0,0,0,21,0,28,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,27,0,0,18,0,0,0
2007-03-01,31,37,17,0,0,8,0,23,0,18,0,0,0,0,0,0,0,6,0,56,0,30,0,55,0,0,0,0,0,0,0,25,0,0,36,0,0,0,0,13,0,0,0,32,55,0,0,17,0,0,0,0,0,0,66,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,37,26,0,0,0,19,0,37,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,23,0,0,16,0,0,0
2007-04-01,23,0,0,43,0,18,0,22,0,20,0,0,0,0,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,35,0,0,0,0,0,0,19,0,0,0,0,0,0,72,0,50,0,0,0,0,0,42,0,0,0,28,0,0,0,27,0,0,0,0,0,0,38,0,0,0,0,42,0,0,0,0,0,20,0,16,0,63,0,0,0,0,0,0,0,0,52,0,37,0,0,100,0,0,26,0,0,27,0,0,0
2007-05-01,34,0,16,0,0,29,0,30,0,17,0,0,0,0,0,0,0,4,0,0,0,27,0,49,0,0,0,14,0,0,33,0,0,0,32,0,0,5,0,20,29,0,0,0,100,0,0,23,0,0,0,0,0,0,29,0,41,0,0,0,30,33,34,0,0,0,0,0,0,0,0,0,0,0,11,43,58,62,0,0,9,0,0,0,24,0,0,0,33,0,13,0,0,0,0,34,0,0,0,0,0,0,0,31,0,0,0,0,0,32,0,0,22,0,0,0
2007-06-01,29,68,0,36,0,0,0,33,0,0,29,0,0,0,0,0,0,2,0,0,96,38,0,0,0,0,0,0,0,0,0,23,0,0,0,42,0,5,74,37,30,0,57,29,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,24,0,0,0,23,0,0,0,11,44,0,32,37,0,9,0,35,0,12,0,0,0,17,0,0,0,53,0,0,0,0,100,0,0,0,0,30,32,0,0,0,0,0,22,30,29,15,43,0,0
2007-07-01,36,0,17,0,0,15,0,26,0,29,30,0,0,0,0,0,0,3,0,0,100,21,33,0,0,0,0,0,0,0,0,24,32,0,0,42,100,0,0,0,0,0,0,30,0,0,0,33,0,63,0,94,82,0,0,0,44,0,0,0,31,0,0,0,43,0,0,0,0,45,35,10,0,0,29,0,0,33,0,0,9,0,36,0,25,0,0,0,24,0,14,0,0,0,0,0,0,0,0,0,0,46,30,0,0,0,0,0,0,89,31,29,31,0,0,0
2007-08-01,33,0,0,0,0,9,0,23,0,30,0,0,50,0,0,0,0,2,0,0,0,21,0,0,0,0,0,17,0,0,0,27,38,0,40,0,0,6,44,15,0,0,0,0,61,0,0,0,0,0,0,0,0,0,18,0,0,0,0,69,0,0,0,0,0,0,28,0,0,0,68,12,0,0,13,0,0,57,44,0,11,0,42,0,24,0,0,0,21,0,17,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,52,0,0,36,0,0,0
2007-09-01,28,30,0,0,0,11,0,33,0,30,0,0,0,0,0,0,0,4,0,47,0,23,0,0,0,100,0,26,0,0,30,20,28,0,29,0,0,0,0,15,0,0,0,26,0,0,61,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,42,0,0,0,41,9,0,0,15,39,27,28,0,0,12,0,0,0,22,0,0,42,46,0,0,0,0,0,0,0,0,0,100,0,0,0,27,0,0,0,75,0,0,19,0,0,34,38,0,0
2007-10-01,37,0,25,29,0,18,0,23,0,27,23,0,0,0,26,0,0,13,0,0,0,28,25,0,0,0,29,0,0,0,28,0,0,100,53,0,0,6,30,15,36,0,0,35,41,0,0,25,0,0,0,0,0,0,0,0,34,0,0,0,24,0,0,0,0,0,0,0,0,0,45,8,0,0,0,0,0,0,0,0,7,0,0,28,10,0,0,39,41,35,11,0,42,0,0,0,0,0,0,0,0,35,97,25,0,0,0,0,0,17,25,0,12,0,0,0
2007-11-01,33,0,12,0,0,8,0,28,0,26,0,0,0,0,0,0,0,18,0,40,75,16,0,0,0,0,0,11,0,0,0,18,0,0,52,0,0,14,43,22,35,0,0,23,0,0,0,31,0,0,0,0,63,0,12,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0,9,0,0,0,0,0,7,0,0,27,35,0,0,0,31,0,29,0,61,0,0,0,0,0,0,0,34,0,23,0,0,23,0,0,0,34,47,0,12,100,0,0
2007-12-01,30,0,14,0,0,13,0,28,0,15,0,0,0,100,27,0,0,15,0,0,0,84,28,0,26,0,0,0,0,0,0,20,28,0,29,0,0,5,0,27,26,0,0,0,0,0,59,14,0,52,0,0,0,0,0,0,0,60,0,0,0,0,0,0,36,0,21,0,0,0,39,9,0,0,10,0,0,0,0,0,8,0,30,30,18,0,0,0,0,0,44,0,46,0,100,0,0,86,0,0,25,0,0,0,26,0,0,0,0,0,26,0,26,37,0,0
2008-01-01,28,0,12,0,0,11,0,23,0,18,0,0,0,0,23,0,0,15,0,0,0,20,0,37,0,0,0,10,0,0,0,0,0,0,0,30,0,0,0,31,0,0,0,0,0,0,0,23,100,0,0,66,0,0,22,0,0,0,0,41,22,0,25,0,0,0,0,0,0,0,49,7,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,0,0,0,0,0,0
2008-02-01,37,0,12,0,0,7,0,42,0,0,0,0,0,0,23,0,0,16,0,0,71,23,0,0,22,0,0,0,0,0,0,17,0,0,0,0,0,4,0,18,0,0,0,22,0,0,100,12,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,13,0,14,0,0,0,0,26,0,0,0,0,43,32,0,23,0,0,0,0,0,32,0,0,11,0,0,0
2008-03-01,24,24,22,25,0,18,0,32,0,12,0,0,29,0,0,0,0,9,0,0,0,22,0,0,21,0,25,15,0,0,0,0,22,0,0,0,0,6,26,17,41,0,0,0,35,0,47,11,0,0,0,0,0,0,16,0,0,24,100,0,0,0,0,0,29,0,0,0,0,0,87,7,0,92,12,0,0,22,26,0,6,0,24,0,20,0,0,33,18,0,23,0,0,0,0,0,0,0,0,100,40,31,0,0,0,0,58,0,0,15,0,0,11,0,0,0
2008-04-01,18,0,21,74,0,7,0,27,0,11,0,0,28,0,0,0,0,6,0,0,0,31,0,0,0,76,0,0,0,0,0,16,0,0,23,0,0,4,25,31,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0,0,23,0,0,0,0,24,0,29,0,0,0,0,0,100,0,0,89,8,30,0,22,0,0,6,19,0,0,17,0,0,33,12,0,14,0,36,0,0,0,0,0,0,0,39,0,0,22,0,0,0,0,0,15,0,0,17,0,0,0
2008-05-01,15,0,10,36,0,12,0,33,0,0,0,0,0,0,0,29,0,4,0,0,0,25,21,0,0,0,0,9,0,0,67,15,21,0,0,0,0,3,24,27,0,0,0,19,0,0,0,21,0,0,0,0,0,0,20,0,0,22,0,0,0,22,0,0,27,0,15,0,23,0,22,7,0,0,22,0,0,35,0,0,0,0,0,22,12,0,0,0,19,0,0,0,0,0,0,0,0,0,0,94,19,0,0,21,0,0,0,0,47,28,20,0,15,0,0,0
2008-06-01,41,36,0,0,0,8,0,30,100,12,0,0,0,80,0,0,0,3,0,0,0,19,22,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,25,0,79,7,0,0,8,31,0,45,0,0,9,0,24,0,9,0,31,33,0,0,13,0,36,0,0,0,0,0,0,0,0,31,0,22,0,0,0,0,0,30,43,0,16,0,0,0
2008-07-01,50,0,11,0,0,7,0,22,0,12,0,30,0,0,0,0,0,2,0,0,0,33,0,0,0,0,0,21,0,0,25,0,45,0,24,30,71,4,0,18,21,0,0,21,0,0,0,11,0,0,0,0,58,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,49,7,0,0,8,32,21,23,27,0,6,0,0,0,12,0,0,0,12,0,10,0,75,0,0,0,0,0,0,0,0,0,21,23,0,22,0,0,0,31,0,0,54,0,0,0
2008-08-01,21,31,28,0,0,14,0,32,0,15,26,0,38,0,0,0,0,2,0,0,0,31,0,0,27,0,0,13,0,0,0,0,28,0,61,0,0,5,34,22,27,0,51,27,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,27,31,31,0,0,0,0,0,0,0,20,18,0,0,20,40,0,29,0,0,0,0,32,0,33,0,0,0,16,0,12,0,47,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0,20,0,26,34,0,0,100
2008-09-01,44,0,10,23,0,5,0,27,0,11,0,0,0,0,0,0,0,4,0,0,0,40,20,0,0,72,0,18,0,0,0,22,20,0,21,26,0,0,24,12,0,0,36,28,0,0,0,10,0,0,0,0,52,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,0,0,0,0,0,24,0,6,0,0,0,13,0,0,0,18,0,18,0,34,0,0,22,29,0,0,0,18,28,19,0,0,0,53,0,0,18,0,0,10,0,0,0
2008-10-01,40,0,0,21,0,12,0,26,0,10,0,24,0,0,0,0,0,16,0,30,0,26,0,0,0,0,21,16,0,0,0,0,0,0,38,0,0,12,0,17,0,99,33,0,0,0,39,27,0,0,0,52,0,0,9,100,0,0,0,33,0,20,0,0,0,0,0,0,0,0,52,9,0,76,6,0,17,0,0,100,5,0,20,0,16,0,0,0,33,25,21,0,30,0,66,0,0,58,0,0,25,38,17,0,0,0,0,0,0,13,17,0,12,0,0,0
2008-11-01,35,0,0,0,0,6,0,51,0,15,0,0,0,0,0,0,0,18,100,0,58,27,19,31,28,0,0,0,0,0,0,42,0,0,20,0,0,13,0,28,18,0,0,0,31,0,42,29,0,0,0,55,0,0,28,0,0,0,0,0,0,0,0,0,26,0,14,0,0,0,83,0,0,0,10,0,36,19,23,0,5,0,21,21,25,0,0,0,17,0,17,0,0,0,0,0,0,61,0,0,18,27,18,0,0,37,0,0,0,33,37,0,9,0,0,0
2008-12-01,27,0,15,22,0,25,0,30,0,16,0,0,0,0,0,0,0,14,0,32,0,41,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,3,0,13,0,0,0,18,0,0,0,10,0,0,0,0,0,84,14,0,0,0,0,0,0,0,43,0,26,0,0,0,0,0,28,6,0,81,7,27,0,20,23,0,0,0,0,21,20,0,0,29,16,0,29,0,0,0,0,0,0,62,0,0,0,27,28,0,0,0,0,0,0,27,19,0,9,0,0,0
2009-01-01,31,0,9,20,0,14,0,29,79,18,0,0,0,0,0,0,0,18,0,28,51,36,0,0,0,0,0,12,0,0,0,12,0,0,18,22,53,4,20,13,0,0,0,16,28,0,0,25,0,0,0,0,0,0,20,0,0,0,0,31,16,0,19,0,0,0,0,0,0,24,31,11,0,0,12,0,32,26,20,0,8,0,19,0,13,0,24,0,28,0,40,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,16,0,8,0,0,60
2009-02-01,37,38,13,0,0,6,0,35,0,19,0,0,0,0,0,0,0,16,0,29,0,27,0,0,17,0,0,0,0,0,19,13,0,0,18,0,0,3,0,17,17,0,0,16,0,0,0,9,0,34,0,0,0,0,25,96,0,19,0,0,0,19,19,0,24,0,0,0,0,0,51,11,0,73,6,0,17,18,0,0,7,0,0,19,21,0,0,0,19,0,18,0,30,0,0,0,0,0,0,0,16,24,25,0,0,17,0,0,0,28,23,0,13,0,0,0
2009-03-01,28,17,8,0,0,5,0,32,0,12,0,0,22,0,0,0,0,14,0,27,0,30,16,0,15,0,19,0,0,0,0,12,0,0,17,0,0,3,0,13,15,0,0,0,0,0,0,8,0,0,0,0,0,69,19,0,22,0,0,29,0,0,0,0,0,0,0,0,0,23,23,5,100,0,0,23,0,16,19,0,5,0,0,0,6,0,0,0,18,0,18,0,0,0,0,18,0,0,0,0,0,22,0,0,0,0,0,0,0,17,0,0,0,0,0,0
2009-04-01,23,20,9,0,100,6,0,30,0,10,17,0,0,0,0,0,0,6,0,30,0,32,18,30,0,0,0,8,0,0,0,13,18,0,19,24,0,6,0,11,17,0,33,17,0,0,0,9,0,0,0,0,0,0,26,0,0,0,84,0,0,0,20,0,0,0,14,0,0,0,53,6,0,0,7,26,0,19,22,0,5,0,21,20,18,0,0,28,10,0,13,0,0,0,0,0,0,0,0,0,0,26,0,19,0,0,49,0,0,13,0,0,18,0,0,0
