date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Bok Choy,Broccoli,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2006-10-01,33,0,0,0,0,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,27,0,0,46,0,81,0,53,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,35,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,55,0,0,46,0,0,0,0,0,0,89,0,45,44,0,46,0,0,0,0,0,97,0,100,100,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,21,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,24,94,0,0,0,14,0,0,59,29,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,88,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2007-02-01,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,36,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,31,0,0,0,0,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,55,0,0,0,43,0,55,0,0,0,26,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
2007-04-01,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,52,0,0,0,0,0,0,0,56,0,25,0,0,41,0,73,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
2007-05-01,17,66,0,0,0,29,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,49,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,49,0,41,0,0,0,0,0,0,40,0,0,34,0,0,34,100,0,100,0,0,0,0,75,57,0,76,0,35,0,0,0,0,0,0,0,0,0
2007-06-01,35,0,0,0,0,25,26,0,0,22,0,0,0,0,44,0,0,43,100,0,42,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,23,0,0,46,0,0,0,36,0,23,0,0,48,44,0,0,0,22,0,0,41,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
2007-07-01,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,46,0,0,0,0,0,24,0,50,0,0,0,0,0,0,0,0,0,0,0,35,0,0,35,0,36,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,31,0,45,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,21,0,0,0,19,0,0,0,0,0,0,0,20,0,31,0,0,0,0,0,0,0,0,0,0,0,53,70,0,0,0,0,0,0,91,0,21,0,0,0
2007-09-01,17,0,49,41,0,21,0,0,0,0,0,0,85,0,0,100,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,40,0,0,0,100,0,0,0,0,0,40,0,0,0,0,0,45,0,0,0,0,0,23,0,0,0,21,0,0,0,0,62,0,40,0,0,0,0,0,0,0,0,0,41,0,0,0,75,0,0,0,0,0,100,0,100,100,0,0,0,0,0
2007-10-01,29,0,0,0,19,11,0,0,0,0,0,0,0,0,0,0,0,35,0,100,35,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,34,0,0,0,0,0,39,0,36,0,30,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,64,49,0,0,0,0,0,0,0,86,0,0,0,0,0
2007-11-01,14,0,41,0,19,20,0,0,0,0,0,30,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,51,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,0,0,18,0,0,0,0,53,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,64,0,0,0,100,0,0,0,0,0,0,20,0,0,0
2007-12-01,0,0,0,0,21,17,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,43,0,0,0,0,0,0,0,38,0,0,0,0,0,32,0,0,0,0,0,0,0,71,0,72,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,17,64,0,0,0,14,25,0,0,20,0,0,0,0,0,98,0,40,0,0,60,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,39,0,97,0,0,0,0,0,41,0,0,0,0,0,0,0,30,0,0,0,21,60,0,39,0,0,0,0,0,33,0,0,0,0,0,0,100,73,0,73,0,0,0,0,0,49,0,0,22,0,0,0
2008-02-01,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,47,0,39,0,0,0,0,0,0,0,0,40,0,0,0,0,24,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,25,0,0,0
2008-03-01,22,0,0,0,0,18,22,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
2008-04-01,18,0,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,34,0,0,0,0,12,0,0,33,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,18,100,39,0,0,0,0,0,0,0,0,0,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2008-05-01,23,0,0,0,0,11,20,0,33,16,0,0,67,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,19,0,39,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,17,0,0,0,0,50,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
2008-06-01,18,54,0,0,0,13,0,0,0,0,0,0,0,0,35,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,50,0,32,0,0,28,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2008-07-01,27,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,100,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,17,0,0,0,0,0,0,0,0,18,0,0,0,16,0,0,0,0,49,52,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,78,0,0,0,0,0,0,0,0
2008-08-01,19,0,37,0,0,17,0,0,0,0,100,0,0,0,0,75,99,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,34,0,0,0,0,0,17,0,0,0,16,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,58,0,0,0,77,0,76,76,0,18,0,0,0
2008-09-01,27,0,39,0,35,20,20,0,0,0,0,0,0,0,0,0,0,33,0,0,33,0,0,0,36,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,36,25,0,0,0,0,100,0,0,35,0,0,0,0,27,0,0,40,0,0,0,0,0,45,0,0,0,0,0,0,0,79,0,0,0,0,0
2008-10-01,16,0,0,0,0,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,31,50,0,0,10,0,0,0,0,18,0,0,0,0,0,0,0,28,0,0,0,0,0,47,0,0,0,0,0,16,0,0,0,14,0,0,0,0,0,0,0,15,0,23,0,0,23,0,0,34,28,0,0,0,0,0,0,79,0,0,68,0,0,0,0,16,0,0,0
2008-11-01,26,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,34,0,0,0,0,0,0,31,0,20,0,0,0,0,0,0,0,60,0,0,0,0,0,34,0,0,0,0,0,0,0,36,35,32,0,0,0,0,0,0,30,16,0,0,0,0,26,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
2008-12-01,13,0,0,0,0,11,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,18,0,0,0
2009-01-01,14,56,0,0,0,6,0,0,0,0,0,29,0,0,36,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,37,22,0,0,0,0,0,0,0,34,0,82,0,0,0,38,0,0,0,0,0,37,0,0,0,18,0,37,0,0,0,0,0,18,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,16,0,0,0,0,6,25,0,0,0,0,33,0,100,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,100,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2009-03-01,18,0,35,0,0,11,0,24,0,15,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,16,0,35,33,30,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,36,0,0,0,0,0,0,55,0,0,0,0,100,0,0,0,17,0,0,0
2009-04-01,18,0,33,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,41,10,0,34,0,0,18,0,0,34,0,0,0,0,0,0,0,15,0,0,31,0,29,0,0,0,15,0,0,0,29,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,34,0,0,0,0,0,0
2009-05-01,17,0,32,0,0,12,17,0,27,0,0,23,0,0,0,0,0,0,0,0,27,0,0,0,30,48,0,0,49,0,0,0,0,0,0,0,33,0,0,0,0,26,0,0,0,0,0,30,0,0,0,0,0,15,0,0,30,0,0,0,0,0,0,0,26,0,0,45,0,23,0,0,47,33,0,87,0,0,0,0,50,0,0,23,0,0,0,0,0,0,0,0,0
2009-06-01,17,43,0,0,0,11,0,0,0,27,0,0,0,0,0,0,0,0,64,0,0,0,0,0,30,0,0,0,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,27,0,0,0,22,0,0,0,20,0,0,23,0,0,0,26,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,32,0,0,0,0,0,0
2009-07-01,15,44,0,0,0,10,17,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,34,0,0,24,0,0,0,39,0,0,22,0,0,0,0,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
2009-08-01,18,0,0,0,14,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,27,0,28,0,0,39,0,0,0,0,0,0,0,21,0,22,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,14,0,0,0
2009-09-01,19,0,32,0,15,19,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,27,0,18,0,0,0,0,0,0,0,27,0,0,0,0,0,30,0,0,0,24,100,15,0,0,0,56,0,0,0,0,0,0,0,0,100,0,0,23,0,0,0,0,0,0,0,0,100,0,51,0,0,0,0,0,33,0,0,0,0,0,0
2009-10-01,18,0,30,0,0,8,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,22,0,14,0,0,0,13,0,0,0,0,39,0,25,0,94,21,0,0,21,0,0,0,0,0,0,0,0,0,0,48,0,44,0,0,32,0,0,14,0,0,0
2009-11-01,21,0,0,0,0,12,0,0,0,13,0,0,0,0,27,0,0,0,0,0,26,0,0,0,28,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,32,100,28,22,14,39,0,0,0,93,21,0,0,21,0,0,31,0,0,0,0,46,0,47,0,0,0,62,0,31,0,0,14,0,0,0
2009-12-01,0,0,0,0,0,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,40,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,15,0,0,0,42,0,0,0,0,0,0,26,0,0,0,0,0,22,0,0,33,0,0,0,0,0,0,0,52,0,0,0,0,33,0,0,15,0,0,0
2010-01-01,24,0,0,0,0,5,0,0,29,14,0,0,0,0,30,0,0,0,68,0,29,0,0,29,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,56,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,35,0,0,32,0,0,0
2010-02-01,14,0,0,0,18,14,42,0,0,17,0,29,0,0,0,0,0,0,0,0,0,0,0,0,38,60,0,0,0,0,0,33,0,22,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,27,0,0,0,0,9,16,0,0,0,0,22,54,0,0,63,0,26,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,26,0,56,22,0,39,0,0,14,0,43,0,0,0,0,22,31,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,15,0,0,0
2010-04-01,11,0,30,0,0,9,16,0,26,0,0,22,53,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,9,0,0,0,0,33,0,62,30,0,0,0,0,0,0,0,14,0,0,28,0,26,0,22,0,0,0,0,28,26,0,84,0,0,0,0,0,0,92,21,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,14,0,0,0
2010-05-01,20,0,29,25,0,12,30,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,53,0,0,0,24,0,0,26,0,0,41,0,0,0,0,0,0,0,0,0,13,0,27,0,0,0,0,24,0,0,21,0,0,0,0,0,0,0,0,0,0,44,0,45,46,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,17,0,0,0,0,7,0,20,0,0,0,21,0,0,26,0,0,0,0,0,38,0,0,0,0,0,0,0,9,0,29,24,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,25,0,0,91,14,0,0,0,13,98,27,0,0,38,0,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0,46,92,0,0,0,0,0,0,0,14,0,0,0
2010-07-01,13,0,28,0,13,8,0,0,0,12,0,0,0,0,25,0,0,0,0,0,24,0,0,0,0,0,100,0,0,0,0,24,0,0,0,0,0,50,0,0,0,23,0,0,0,0,0,0,0,24,0,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,57,0,0,0,0,43,0,44,0,0,0,58,0,29,0,0,13,0,0,0
