date,Apple,Avocado,Banana,Beans,Broccoli,Corn,Cranberries,Cucumber,Garlic,Guava,Lettuce,Limes,Onion,Peas,Pineapple,Potatoes,Pumpkin,Tomato,Watermelon
2009-03-01,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2009-07-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,100,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2009-10-01,0,0,0,78,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,92,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,54,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,17,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
2011-05-01,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,55,63,0,0,0,0,0,0,0,0,0,0,0,0,0,18,88
2011-08-01,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,66,0,0,0,0,55,0,0,0,0,0,0,0,0,0,89
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,50,0,0,100,0,42,0,0,0,100,0,0,13,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
2013-02-01,0,57,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,27,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,42,0,0,0,0
2013-05-01,25,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,11,0
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,10,0
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
2014-01-01,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,21,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,49
2014-06-01,0,0,33,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,10,0
2014-09-01,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2014-10-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2014-11-01,0,0,29,35,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
2014-12-01,0,41,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,23,0,0,36,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2015-03-01,0,0,27,0,11,0,0,0,0,13,0,0,0,0,0,0,25,0,45
2015-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,41,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,28,0,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2016-01-01,40,0,0,32,0,0,63,0,0,0,0,0,0,0,0,0,0,0,44
2016-02-01,20,0,0,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,19,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,0,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
2016-05-01,18,0,23,29,10,0,0,0,0,0,0,0,0,0,28,0,0,0,40
2016-06-01,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,30,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,0,0,0,31,0,0,0,0,26,12,0,0,0,0,31,8,0,0,0
2016-10-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,20,0,26,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,43
2016-12-01,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2017-01-01,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41
2017-03-01,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0
2017-04-01,19,0,24,0,0,0,0,0,0,0,30,0,0,0,0,0,23,0,0
2017-05-01,0,0,0,31,0,19,0,0,0,0,30,0,0,0,30,0,0,0,0
2017-06-01,0,0,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2017-07-01,21,0,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,0,0,0,30,0,0,0,0,0,0,0,0,0,39,0,8,0,0,0
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,23,0,0,0,0,0,0,0,0,0,0,0,28,0,0,8,0
2017-11-01,18,0,0,0,9,0,0,0,24,0,0,0,0,0,0,0,22,0,39
2017-12-01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,24,0,0,0,0,0,0,0,30,0,0,0,0,0,0,8,39
2018-02-01,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0
2018-04-01,20,0,24,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
2018-05-01,38,0,24,0,0,0,0,82,0,0,31,0,0,0,0,0,0,0,0
2018-06-01,0,0,0,0,0,22,0,0,0,0,35,0,0,0,0,0,0,0,0
2018-07-01,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
2018-08-01,0,0,0,31,0,0,0,0,0,0,32,0,0,0,0,8,0,8,43
2018-09-01,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,0,0,0,0,0,0,0,0,0,17,43,0,0,0,41,0,0,0,0
