date,Apple,Artichoke,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Beans,Beets,Bitter Melon,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Jicama,Kiwifruit,Kohlrabi,Leeks,Lemons,Lettuce,Limes,Longan,Loquat,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Shallots,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2006-05-01,57,0,0,100,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,72,100,0,0,0,0,0,0,0,0,0,80,100,0,100,0,100,78,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,42,0,0,0,0,57,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,77,0,76,0,0
2006-06-01,0,0,100,0,0,0,26,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,100,79,0,0
2006-07-01,41,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,83,61,0,0,0,0,88,85,0,0,0,0,0,84,0,0,0,86,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,81,0,0,0,0,0
2006-08-01,39,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,80,0,75,0,0,0,0,82,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,79,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
2006-10-01,55,0,0,0,70,0,56,56,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,96,0,0,0,0,0,0,0,56,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,35,0,0,0,68,0,38,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,53,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,69,0,0,0,0,72,0,0,0,0,0,73,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0
2007-01-01,34,0,0,0,0,0,43,50,0,0,0,0,0,0,0,0,0,68,0,0,100,0,0,0,0,0,64,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,66,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,64,0,0,0,0,0,0,0,0,92,0,83,0,0,0,0,0,88,89,0,0,0,0
2007-03-01,46,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
2007-04-01,63,78,0,0,0,0,81,0,0,69,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,83,86,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
2007-05-01,53,67,0,0,0,0,17,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,55,0,0,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
2007-06-01,28,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,58,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,55,56,0,55,0,0
2007-07-01,27,0,0,0,52,0,18,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,100,0,0,0,52,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,56,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,62,0,40,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,55,0,0,0,0
2007-08-01,26,0,0,0,0,0,22,0,0,56,0,0,0,0,0,0,0,51,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,55,80,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
2007-09-01,55,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,72,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66,0,0,68,0,0,0,57,0,0,0,0,0,30,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
2007-10-01,24,0,0,0,0,0,46,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,36,0,0,0,0,0,75,0,0,0,0,0,49,0,0,0,50,0,0,0,0,0,50,0,0,49,0,0,0,0,0,0,0,0,0,0,36,100,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
2007-11-01,48,0,0,0,0,0,61,71,81,0,0,0,58,0,0,0,0,0,59,0,0,0,0,0,48,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,49,0,46,0,0,44,0,0,0,0,0,0,0,50,0,0,48,0,0,39,0,0,0,0,35,0,0,0,0,70,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,46,35,0,0,0,0,0,0,0,0,0,0,0,0,71,0,87,0,48,0,0,0,100,0,0,0,0,0,0,0,52,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,26,0,0,54,0,0,0,100,0,0,0,0,0,0,50,0,0,0,0,48,0,0,0,48,0,47,100,0
2008-01-01,62,0,0,0,47,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,57,0,36,0,0,0,51,0,0,62,0,0,0,47,0,0,0,0,0,50,49,0,0,0,0
2008-02-01,0,72,0,0,0,0,28,43,100,0,0,0,0,100,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,60,0,0,0,0,0,0,58,0,0,0,0,0
2008-03-01,48,59,0,0,46,0,15,0,0,0,0,60,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,49,0,46,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,26,0,0,54,0,36,0,0,0,0,0,0,61,0,50,0,0,0,0,0,0,0,48,0,0,0,0,0
2008-04-01,36,0,0,0,0,0,16,35,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,49,100,0,0,0,0,0,0,0,0,0,0,0,46,0,44,0,0,100,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,49,0,48,0,0
2008-05-01,46,0,0,0,0,0,0,34,0,0,0,0,0,0,37,0,0,46,0,0,0,0,84,0,46,0,43,0,0,95,0,0,0,0,95,0,49,0,0,84,0,0,0,47,0,0,0,0,83,0,0,0,56,0,0,0,48,0,0,0,0,0,38,0,0,52,0,0,0,0,0,0,0,0,0,58,47,0,0,44,0,0,0,100,91,46,0,0,0,0
2008-06-01,47,0,0,0,0,0,38,34,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,49,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,35,0,0,0,0,0,40,0,0,0,0,0,0,0,38,0,0,0,0,0,70,0,0,0,47,0,45,0,0,0,0,70,0,0,0,0,0,49,0,0,0,0,0,48,0,0,0,100,0,0,0,0,0,0,0,0,49,0,0,0,0,0,26,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,45,0,0,48,0,0,0,0,0,0,0,0
2008-08-01,48,0,0,0,0,0,31,0,0,0,100,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,46,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,52,0,35,0,0,0,0,0,0,58,0,0,0,0,0,0,47,0,0,46,47,0,46,0,0
2008-10-01,21,0,0,0,41,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,53,0,0,48,0,44,0,100,23,0,0,0,0,63,92,0,0,0,0,0,0,0,45,0,0,0,0,43,0,0,0,86,0,43,0,0
2008-11-01,47,0,0,0,0,0,31,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,45,44,50,0,0,0,0,0,0,0,0,49,0,0,48,0,0,0,0,0,53,0,35,0,0,0,49,0,0,0,0,99,0,46,0,0,0,0,0,47,0,0,0,0,0
2008-12-01,44,0,0,0,42,0,19,0,0,0,0,0,53,0,0,0,0,0,0,0,65,0,0,0,0,0,41,58,47,0,0,33,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,100,100,88,0,0,0,0,0,0,0,0,0,69,45,42,0,0,44,0,0,44,0,0,0,0,0
2009-01-01,50,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,50,0,0,0,93,0,0,100,37,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,34,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,60,0,0,0,0,0,0,0,0,44,0,95,0,0,0,0,0,0,0,0,71,0,43,0,0,0,55,0,0,0,0,0,94,0,0,0,0,0,0,26,0,0,53,0,35,0,0,0,0,0,0,0,0,48,0,0,0,50,0,0,0,46,0,0,0,0,0
2009-03-01,39,0,0,0,0,0,32,0,0,0,0,0,48,0,0,82,0,40,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,52,0,0,0,0,0,0,42,0,0,0,0,0,42,0,0,42,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,81,0,0,0,0
2009-04-01,41,0,0,0,0,0,53,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,39,0,0,0,0,64,0,0,0,0,0,41,0,0,0,43,0,0,0,0,0,0,0,0,42,0,0,82,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,43,42,0,0,0,41,0,0,0,0,0,41,0,0
2009-05-01,51,51,0,0,0,0,18,0,0,0,0,0,49,0,0,0,0,0,0,0,0,43,0,0,41,0,0,53,43,0,0,0,39,61,0,0,0,43,0,0,0,0,0,0,0,0,0,43,0,49,0,0,0,0,0,0,0,45,0,42,0,0,0,76,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,41,0,0
2009-06-01,48,0,0,0,37,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,81,0,29,0,0,0,0,0,0,0,0,0,0,0,39,37,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,77,29,0,0,0,0,0,0,0,0,0,40,37,0,0,52,0,0,39,39,0,39,0,100
2009-07-01,39,0,0,0,37,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,78,0,0,0,41,0,0,0,0,0,0,0,37,0,41,0,47,0,0,0,0,0,0,40,0,0,0,0,0,32,0,0,0,0,29,81,0,0,40,0,0,49,0,0,40,0,0,0,39,0,0,39,0,0,39,0,0
2009-08-01,49,49,0,0,38,0,42,29,0,0,0,0,48,0,0,0,0,0,0,0,58,0,0,0,40,0,0,0,0,0,41,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,37,0,22,0,0,45,0,29,0,0,0,0,0,0,0,0,41,0,0,0,0,80,0,0,0,0,0,0,0,0
2009-09-01,38,49,0,0,0,0,46,29,0,0,0,0,95,67,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,0,41,0,0,0,0,0,40,0,0,37,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,89,45,79,0,83,0,0,40,0,100,0,0,41,40,0,0,0,39,0,0,78,40,0,0,0,0
2009-10-01,55,0,0,0,36,0,16,27,0,0,0,0,0,0,60,76,0,37,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,0,0,0,39,34,45,0,0,0,0,0,0,39,41,0,0,0,0,20,0,84,42,74,69,0,0,0,38,0,0,0,0,0,0,0,0,0,37,0,0,0,37,0,0,0,0
2009-11-01,93,0,0,0,36,0,24,28,64,0,78,0,0,0,0,0,0,0,0,0,0,39,0,0,38,0,0,0,39,0,0,0,0,0,0,0,0,39,0,69,0,0,0,0,0,0,70,39,34,0,0,0,0,0,0,0,39,0,0,0,0,87,20,0,0,42,0,28,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,81,56,0,0,74,0,0
2009-12-01,36,0,0,0,0,0,19,27,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,34,0,38,76,0,27,0,36,0,0,0,37,0,0,0,0,0,37,0,0,0,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,30,67,82,41,0,27,0,0,0,37,0,0,0,0,56,37,0,0,0,36,0,0,54,0,0,0,0,0
2010-01-01,46,0,0,0,35,0,35,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,54,0,0,0,38,0,0,0,0,38,38,0,0,0,37,0,0,37,37,0,36,0,95
2010-02-01,55,55,0,0,42,0,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,33,0,0,0,0,0,46,0,0,0,48,0,45,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,50,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,44,0,0
2010-03-01,33,41,0,0,0,0,28,25,0,35,0,0,0,0,27,0,39,0,0,0,0,35,60,0,0,0,31,0,0,0,33,24,0,0,0,0,0,0,0,0,0,0,0,33,0,0,31,0,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,37,0,24,0,0,0,34,0,0,42,0,34,0,0,0,0,34,0,0,33,50,0,0,0,0
2010-04-01,42,0,0,0,32,0,26,25,0,37,0,0,0,0,27,0,0,0,0,0,0,0,62,0,34,0,32,0,36,0,0,0,0,34,70,0,0,71,0,0,0,37,0,0,0,0,32,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,38,0,25,0,0,0,35,100,0,0,43,53,0,33,0,0,34,0,0,0,0,0,51,0,0
2010-05-01,16,41,0,0,32,0,18,0,56,0,0,41,40,0,40,0,40,66,0,0,0,35,0,0,0,0,0,0,0,0,68,25,0,33,68,0,0,35,0,0,0,0,0,67,0,0,0,35,0,0,0,0,40,35,0,0,34,0,0,0,0,0,36,62,0,37,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,33,0,0,66,0,0,33,0,0
2010-06-01,17,0,0,0,48,0,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,31,0,0,0,0,25,0,33,0,0,36,70,0,0,0,0,0,34,0,0,32,35,0,0,0,0,0,35,0,0,0,0,0,0,0,0,18,0,0,38,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,34,33,0,34,0,0
2010-07-01,24,0,0,0,31,0,53,24,0,36,0,41,0,56,0,0,0,33,0,0,0,0,0,0,0,0,31,0,0,0,0,24,0,33,67,0,35,34,0,0,0,0,0,0,0,0,31,0,59,0,0,0,0,34,0,0,34,0,46,50,0,0,0,0,0,56,0,0,0,0,0,33,0,0,41,0,0,33,0,0,0,0,0,0,32,33,0,33,0,84
2010-08-01,24,0,0,0,30,0,24,0,0,34,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,100,30,0,0,0,32,0,0,0,0,0,0,33,0,0,0,0,0,32,0,30,30,0,0,0,0,0,0,0,0,0,0,0,39,32,0,0,17,59,0,0,0,23,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,31,32,0,31,0,0
2010-09-01,39,0,0,0,30,0,23,34,0,34,0,0,0,0,0,0,0,0,38,0,45,0,0,0,31,0,0,0,0,0,0,23,0,62,64,0,0,48,0,0,0,0,0,0,0,0,0,33,0,37,0,0,38,0,0,0,64,0,29,0,0,0,17,0,0,35,0,23,0,0,0,32,0,0,0,0,32,0,59,0,0,31,0,0,0,0,0,77,0,0
