date,Apple,Asparagus,Avocado,Banana,Beans,Beets,Broccoli,Cabbage,Carambola,Carrots,Cauliflower,Corn,Cranberries,Cucumber,Eggplant,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lettuce,Mangos,Mushrooms,Onion,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Sprouts,Squash,Sweet Potato,Tomato,Watermelon,Yams
2010-07-01,34,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,60,68,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,100,0,0,100,0,0,0,0,0,70,0,0,0,0,46,0,0,0,0
2010-10-01,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,29,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,64,0,0,100
2011-02-01,23,100,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,41,0,0,0,0,0,0,0
2011-03-01,21,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,43,0,0,0,0,0,0,0,0,0
2011-04-01,0,94,0,0,0,0,0,0,25,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
2011-05-01,0,96,0,0,0,0,0,0,0,21,0,0,0,0,0,31,0,0,0,22,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,24,0
2011-06-01,26,0,0,0,0,0,0,0,29,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,48,55,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,23,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,51,0,0,0,0,0,0,0,0,0,0
2011-08-01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,22,0,0,18,46,0,0,0,0,22,0,30,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,47,0,0,0,0,31,0,23,0,0
2011-10-01,46,0,18,18,0,0,0,0,0,0,0,0,0,0,32,0,0,0,56,0,0,0,0,0,0,0,0,100,42,0,100,0,0,0,0,0,0,0,0
2011-11-01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,34,0,25,0,0
2011-12-01,0,0,18,20,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,23,0,0,0,0,36,0,0,0,0,50,0,0,0,0,0,69,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,24,0,49,0,0,0,0,0,0,100,53,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,29,0,0,23,0
2012-02-01,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,31,0,0,0,0
2012-03-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,37,0,31,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,75,0,0,0
2012-05-01,30,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,32,0,0
2012-06-01,36,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,37,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
2012-08-01,59,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2012-10-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,63,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,25,0,0,0,0,0,24,0,0,0,0,34,76,32,0,0,0,20,32,0,0,0,0,78
2013-04-01,21,0,0,16,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,28,0,21,0,0
2013-05-01,17,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,30,35,73,0,0,30,0,0,0,18,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2013-07-01,16,0,25,0,0,0,0,95,0,0,37,0,0,0,0,23,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,17,0,0
2013-08-01,17,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,52,23,0,0,0,0,0,0,0,36,0,0,0,0,0,0,18,19,0
2013-09-01,25,0,26,26,23,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,47,17,0,0
2013-10-01,14,0,0,0,40,0,0,0,16,0,0,0,0,40,20,0,0,0,0,14,0,0,0,0,22,0,0,0,26,30,62,0,0,0,0,0,0,15,0
2013-11-01,22,0,11,12,20,0,34,0,0,14,0,0,0,0,21,20,0,0,35,14,0,0,0,0,0,0,0,0,0,31,64,0,0,56,0,42,0,16,65
2013-12-01,13,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,25,0,35,0,0,0,0,23,0,35,0,13,55
2014-01-01,11,0,9,9,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,32,0,12,0
2014-02-01,12,0,0,10,0,14,14,74,0,0,0,0,0,0,17,0,0,0,30,24,0,0,0,0,0,0,0,0,0,52,0,0,0,0,17,0,13,0,0
2014-03-01,11,0,9,9,16,0,0,0,0,0,0,0,0,0,0,0,0,27,0,11,0,15,22,0,0,0,0,0,21,24,0,0,0,0,0,0,12,12,0
2014-04-01,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,35,13,0,0
2014-05-01,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,25,0,0,0,0,0,0,0,18,0,13,0,0
2014-06-01,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,26,0,62,0,0,0,0,0,0,0,0
2014-07-01,0,54,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,12,38,0,0,0,18,0,0,0,0,25,0,0,0,0,17,0,0,0,0
2014-08-01,0,0,9,15,17,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,25,0,0,0,0,0,14,0,17,0,0,0,0
2014-09-01,28,0,10,11,0,0,0,0,0,0,0,0,0,40,0,0,10,0,33,0,42,0,0,0,0,0,0,0,0,28,60,0,16,0,0,0,14,0,0
2014-10-01,0,0,10,0,17,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,26,0,0,14,0,0,0,0,14,0
2014-11-01,0,0,0,10,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,24,0,72,0,0,58
2014-12-01,28,0,0,11,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,25,0,0,0,0,51,0,40,0,0,0
2015-01-01,12,0,0,0,18,0,0,0,27,0,0,0,0,0,0,17,0,0,30,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,35,0,0,56
2015-02-01,0,0,0,0,19,0,16,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,25,29,0,0,16,0,0,0,0,0,0
2015-03-01,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,14,0,0,54,0,0,0
2015-04-01,14,0,11,0,19,0,0,81,0,0,0,0,0,39,0,19,0,0,0,0,42,18,0,0,0,0,27,0,0,43,0,0,0,0,0,0,0,15,0
2015-05-01,0,0,0,0,0,0,0,0,17,14,35,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,85,0,0,0
2015-06-01,15,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2015-07-01,15,0,0,12,0,0,0,0,0,0,35,0,0,0,22,0,0,0,36,0,0,0,31,0,23,0,0,0,0,32,0,0,17,0,42,0,0,16,0
2015-08-01,0,0,0,27,23,0,19,0,0,0,0,22,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,18,0
2015-09-01,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,24,0,0,0,0
2015-10-01,15,63,11,12,0,0,0,0,0,14,0,20,0,0,21,0,0,0,0,0,0,0,0,47,23,0,0,0,0,0,0,0,17,0,20,0,15,0,0
2015-11-01,19,0,0,10,17,0,14,0,0,0,0,0,0,0,0,34,10,0,0,0,37,16,0,0,0,0,0,0,0,26,0,0,0,0,0,35,12,0,0
2015-12-01,11,0,8,9,15,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,17,0,0,0,20,69,0,0,0,0,15,31,11,12,0
2016-01-01,9,0,7,8,0,17,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,14,0,0,0,0,40,0,0,11,0,13,54,0,10,0
2016-02-01,0,42,15,15,20,0,22,0,0,9,45,0,0,0,0,0,7,23,0,9,0,0,0,31,0,0,19,0,0,21,0,0,0,18,0,0,0,10,0
2016-03-01,9,0,0,14,25,0,10,54,0,0,21,0,0,0,13,0,0,0,0,9,0,0,0,0,0,0,0,0,17,19,0,0,0,17,0,0,0,0,0
2016-04-01,0,0,7,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,30,0,100,0,0,0,20,0,0,11,0,13,0,0,0,0
2016-05-01,0,0,0,0,0,0,11,0,0,0,0,0,0,0,41,14,0,0,24,0,30,0,0,0,0,0,0,0,18,21,0,0,0,0,20,28,0,0,0
2016-06-01,0,0,8,0,0,0,0,0,11,0,0,0,12,0,0,14,0,0,0,0,0,0,20,0,0,0,19,0,18,34,0,0,0,0,0,28,0,0,0
2016-07-01,16,0,0,9,0,0,0,0,12,0,0,0,0,0,15,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,11,49
2016-08-01,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,16,0,0,0,11,0,0,0,0,0,0,0,0,21,24,0,0,0,0,16,0,11,0,0
2016-09-01,11,0,9,9,0,0,13,68,13,0,26,0,0,0,16,0,0,0,28,22,69,0,0,0,0,0,23,0,0,0,0,0,13,0,16,0,0,12,0
2016-10-01,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,21,0,0,22,68,0,12,0,14,0,11,0,0
2016-11-01,15,0,8,8,0,0,12,0,0,0,0,0,13,0,15,15,0,25,25,10,31,0,0,0,0,0,0,0,19,22,0,0,0,19,0,0,0,11,0
2016-12-01,14,0,0,0,13,0,11,0,0,9,22,13,0,27,13,0,0,23,0,9,29,0,0,0,0,0,0,0,18,20,41,0,11,0,0,27,10,0,0
2017-01-01,9,0,0,7,12,0,10,0,10,0,0,0,0,0,12,0,0,0,0,9,0,12,0,0,0,0,17,0,0,0,0,0,10,0,0,24,9,0,0
2017-02-01,9,41,7,7,13,0,21,0,14,0,22,0,0,0,13,13,0,0,0,9,28,13,0,0,0,0,0,0,17,39,41,0,0,0,13,27,9,10,0
2017-03-01,8,0,6,7,12,10,9,0,0,0,0,0,0,35,11,0,0,0,0,8,0,0,0,0,0,0,16,0,0,17,36,0,9,30,11,23,8,0,0
2017-04-01,9,0,7,7,13,0,0,0,0,9,21,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,26,0,0,10,17,0,26,9,20,0
2017-05-01,0,0,7,7,0,11,0,54,10,0,0,0,0,0,0,13,0,0,23,9,28,0,0,29,0,0,0,0,0,39,0,0,0,18,13,0,0,10,0
2017-06-01,15,0,0,12,0,0,11,0,11,0,0,0,0,0,13,0,0,0,0,9,0,13,0,31,0,0,19,0,18,0,0,16,0,36,0,0,0,0,0
2017-07-01,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,24,10,0,0,0,0,0,0,0,43,18,21,0,0,0,0,14,28,0,11,0
2017-08-01,24,0,7,0,0,0,11,0,11,0,23,0,0,0,0,0,0,0,0,0,0,13,0,0,15,0,0,0,18,0,0,0,11,0,0,0,0,10,0
2017-09-01,0,0,20,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-01,15,0,0,12,21,17,17,88,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2018-01-01,0,51,0,10,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,12,0,16,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
2018-02-01,12,0,9,9,16,0,14,0,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,50,0,24,0,0,0,21,16,0,0,0,0
2018-03-01,0,0,8,8,0,12,0,0,11,0,0,0,0,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,44,0,11,18,28,0,0,0,46
