date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Water Chestnuts,Watercress,Watermelon,Yams,Cassava
2005-12-01,0,27,0,0,0,0,0,32,0,36,0,0,0,0,0,0,0,0,0,100,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,96,0,42,0,100,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,72,0,65,50,0,0,0,0,0,0,60,0,0,54,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,61,0,0,0,0,0,0,42,50,0,0
2006-01-01,0,50,0,0,80,0,0,38,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,93,0,0,0,0,0,100,0,0,0,0,89,59,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,68,67,0,61,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,100,0,0,0,48,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,62,0,0,0,47,0,0
2006-02-01,0,32,100,75,0,0,0,36,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,39,66,67,0,57,0,0,0,87,38,0,0,64,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,65,0,45,0,0,0,0,0,0,0,0,58,0,0,0,0,0,45,0,0,53,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,39,61,0,0,0,0,0,0,0,60,0,0,0,0,0,0
2006-03-01,0,21,0,0,0,0,0,32,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,100,0,0,0,75,33,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,57,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,58,0,0,42,0,0,0,0,0,0,0,0,0,76,0,34,0,0,0,0,47,0,0,0,52,0,0,0,39,0,0
2006-04-01,0,51,0,0,0,47,0,33,0,29,0,0,0,0,0,0,30,0,0,0,0,0,0,60,0,0,0,0,0,35,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,41,79,0,49,0,0,0,37,0,0,0,0,100,0,0,0,0,0,100,0,0,0,35,56,0,0,0,0,0,0,0,54,0,0,0,41,0,0
2006-05-01,0,75,0,0,0,43,0,37,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,32,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,39,0,0,0,0,38,0,0,0,0,0,0,0,0,49,0,100,54,0,50,0,0,0,45,0,0,93,68,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,38,0,0
2006-06-01,0,0,0,0,0,0,0,19,54,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,100,0,0,99,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,39,0,0,0,0,0,0,0,76,76,0,0,0,0,0,0,0,66,47,0,0,0,35,0,58,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,52,0,0,0,0,0,0
2006-07-01,0,52,0,0,0,41,0,53,100,52,0,0,0,0,0,0,0,84,100,0,0,52,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,51,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,66,0,0,0,70,47,0,0,0,0,0,36,0,0,43,0,100,0,65,0,0,39,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,88,0,0,0,97,0,0,0,37,0,0
2006-08-01,0,30,0,0,0,37,0,43,0,24,100,0,64,0,0,0,49,76,0,0,0,47,49,0,0,0,66,0,0,0,49,0,0,42,0,0,0,0,56,0,0,48,56,0,0,28,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,100,0,0,43,100,0,0,0,0,0,0,0,39,0,0,80,89,0,0,36,0,0,0,0,0,0,0,80,0,0,0,57,45,64,0,0,0,0,0,0,0,100,0,0,100,0,0
2006-09-01,0,70,0,0,57,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,62,63,28,0,65,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,33,0,0,0,0,0,0,0,64,0,0,86,0,0,0,0,0,0,39,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,62,55,0,0,0,0,0,43,0,0,0,33,0,0
2006-10-01,0,44,0,52,0,35,0,55,0,22,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,26,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,45,44,0,0,0,0,0,0,0,0,0,40,94,0,0,0,40,0,0,0,0,0,0,0,56,0,0,33,0,0,0,32,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,41,0,0,0,31,0,0
2006-11-01,0,32,0,0,0,34,0,48,0,21,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,59,0,0,0,44,0,0,57,0,0,0,58,25,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,44,43,30,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,35,0,83,0,0,0,44,32,0,0,0,0,0,0,0,0,0,0,0,26,41,0,100,0,36,0,0,0,40,0,0,0,30,0,0
2006-12-01,0,58,0,0,0,37,0,24,0,23,0,100,0,0,0,0,0,0,91,0,0,46,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,27,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,59,0,0,0,63,0,98,85,0,0,0,32,62,0,39,0,0,0,29,0,0,70,0,0,0,0,0,0,0,0,0,0,0,42,44,0,54,0,39,0,0,0,0,0,0,0,49,0,0
2007-01-01,0,30,0,47,0,32,0,32,0,20,0,0,0,0,0,0,0,64,0,0,0,80,0,0,0,0,56,0,0,0,41,42,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,28,0,0,33,0,0,0,0,100,0,30,0,0,0,29,0,0,0,0,0,0,0,0,57,54,0,0,34,0,0,0,37,0,0,23,0,0,0
2007-02-01,0,28,0,0,0,0,0,31,0,22,0,0,0,0,0,0,0,0,88,0,0,0,0,47,0,0,0,0,0,27,0,0,0,0,0,0,0,0,26,0,63,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,41,0,0,0,0,0,31,0,0,0,0,0,77,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,38,0,0,0,56,0,0,0,32,0,0
2007-03-01,0,40,0,42,0,0,100,41,0,36,0,0,0,0,0,0,0,58,0,25,0,72,0,37,0,0,0,0,0,22,37,0,0,0,0,0,0,48,21,0,50,0,0,0,0,22,0,0,0,0,0,0,0,76,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,76,66,36,0,33,25,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,76,0,21,25,0,0
2007-04-01,0,61,0,0,0,0,0,49,0,27,0,0,0,0,0,0,19,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,48,0,0,0,0,0,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,36,0,0,0,0,46,0,0,0,0,33,0,0,0,0,0,25,0,0,30,0,0,0,23,0,0,27,0,0,0,26,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,34,0,0,0,42,0,0
2007-05-01,0,49,0,0,39,52,0,52,31,16,0,70,0,0,0,0,17,0,0,0,0,33,0,34,0,0,45,0,0,40,0,0,0,30,0,0,0,0,0,0,46,33,0,0,46,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,46,0,0,0,41,0,0,0,0,29,69,0,65,0,0,0,44,0,0,0,0,0,20,0,34,25,0,0,100,23,0,0,0,0,0,0,0,20,62,66,0,0,28,0,0,0,0,0,0,19,23,0,0
2007-06-01,0,44,0,0,0,27,0,31,0,17,0,0,0,0,0,0,18,0,0,24,0,0,0,35,0,0,47,0,0,0,35,0,51,0,34,0,0,0,20,0,0,34,0,0,0,41,0,0,0,0,0,0,0,0,0,34,0,100,24,0,0,34,0,36,0,0,0,0,0,71,0,46,0,0,0,0,48,0,0,0,0,42,0,0,57,0,0,0,25,0,0,0,0,0,0,0,0,0,46,0,30,54,46,40,0,29,0,0,0,31,0,0,0,39,0,0
2007-07-01,0,39,0,36,37,24,0,35,0,31,0,0,0,0,0,0,0,100,60,22,0,0,32,0,0,0,0,0,0,19,0,32,0,28,31,0,42,42,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,42,0,22,0,0,0,39,0,0,0,0,28,0,0,31,0,0,0,41,0,39,0,0,0,29,0,0,23,0,0,0,0,0,0,0,52,0,0,0,19,30,42,36,0,0,0,100,0,57,65,0,18,22,0,0
2007-08-01,0,30,0,0,36,24,0,37,0,30,63,0,0,0,36,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,31,0,0,0,0,0,40,17,0,0,60,35,0,0,24,0,0,0,0,0,100,0,0,0,0,64,0,21,0,0,45,0,0,0,0,0,38,0,0,0,0,0,0,0,0,42,0,21,0,0,25,0,0,0,31,0,31,22,0,0,90,21,0,0,0,50,0,0,41,18,28,40,35,0,25,0,0,0,55,62,0,0,28,0,0
2007-09-01,0,45,0,70,0,48,0,24,0,15,63,0,0,0,0,53,15,48,0,0,0,30,0,0,0,0,0,0,0,0,0,31,0,27,30,0,0,60,18,30,42,0,0,0,41,36,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,21,0,0,100,0,0,50,37,0,31,34,0,0,0,21,0,0,0,0,0,0,0,18,28,0,0,0,0,0,0,0,28,0,0,0,31,0,0
2007-10-01,0,46,0,0,0,22,0,40,0,27,0,0,0,0,0,49,0,0,53,0,0,0,28,0,0,0,38,0,0,0,28,28,0,49,0,0,0,37,32,0,38,27,32,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,19,0,0,28,0,19,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,45,0,53,0,68,0,28,21,0,0,0,0,0,53,0,0,0,0,38,16,52,0,32,0,46,0,0,0,38,86,0,0,0,0,0
2007-11-01,0,30,0,0,0,21,0,31,26,34,0,0,37,0,0,48,14,44,0,0,0,0,55,0,0,0,0,0,0,16,0,0,0,24,0,0,0,37,16,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,19,0,29,0,34,0,0,0,37,0,0,0,27,0,0,0,36,0,45,0,52,46,17,0,0,40,0,0,0,19,0,0,0,0,0,0,0,27,43,0,31,0,38,0,0,0,25,0,0,0,19,0,0
2007-12-01,0,63,0,0,0,23,0,33,0,15,0,0,0,0,36,0,0,0,0,0,0,30,0,0,0,0,0,0,0,18,31,0,0,26,0,0,0,0,17,30,0,0,35,0,0,0,0,0,0,0,0,0,62,0,0,29,64,0,32,0,0,0,0,21,0,0,0,37,0,0,0,40,27,0,0,59,0,27,21,0,0,24,0,0,100,37,0,0,44,0,0,0,21,0,0,0,0,0,0,0,62,28,40,34,0,25,0,0,0,27,62,0,0,21,0,0
2008-01-01,0,55,41,0,0,42,0,35,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,32,27,0,0,23,0,0,0,0,15,26,37,53,31,100,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,24,0,49,39,0,24,36,0,0,22,0,0,45,81,0,0,29,0,0,0,19,0,0,0,0,0,0,0,21,25,35,0,0,33,0,84,0,24,56,0,0,24,0,0
2008-02-01,0,24,0,0,33,0,0,31,0,14,0,0,0,0,0,49,0,0,54,0,0,28,0,0,0,0,0,0,0,17,0,57,0,0,28,0,0,0,33,0,39,28,0,0,39,17,0,0,0,100,0,0,0,0,0,0,0,0,20,0,100,29,0,20,25,0,0,0,0,0,0,38,0,0,0,56,40,0,39,0,0,23,0,54,48,23,0,0,21,0,0,0,0,0,0,0,0,0,38,38,33,35,0,0,0,24,0,0,0,34,0,0,0,39,0,0
2008-03-01,0,36,0,28,0,19,0,54,0,16,0,0,32,0,29,0,12,0,47,0,0,24,25,24,0,0,33,0,0,14,25,0,0,21,0,0,0,32,14,0,34,24,42,0,67,14,0,0,0,0,0,0,0,0,0,0,0,0,17,32,0,0,0,0,22,0,0,30,0,0,0,32,21,0,0,24,0,43,0,0,0,20,0,0,0,50,59,0,0,0,0,0,0,50,47,0,0,0,0,0,21,46,0,28,34,20,0,0,0,37,0,0,0,17,0,0
2008-04-01,0,44,0,0,0,19,0,62,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,42,0,0,0,0,19,0,33,24,0,0,33,24,0,0,0,86,0,0,0,0,0,0,51,0,34,0,0,24,24,16,22,25,0,30,0,0,100,32,0,50,0,35,0,0,41,0,0,19,0,46,0,30,0,25,27,0,0,0,17,100,0,0,0,0,0,33,0,45,32,41,0,20,0,0,0,33,0,0,14,33,0,0
2008-05-01,0,41,36,0,0,55,0,29,0,35,0,0,0,0,28,0,12,0,0,0,0,23,0,0,0,0,32,0,0,0,0,0,0,35,0,0,0,0,20,24,0,23,0,0,0,28,0,0,0,0,0,78,49,0,0,23,0,0,17,0,0,24,0,32,0,25,0,29,0,0,0,0,42,0,0,46,0,21,16,0,0,29,0,0,0,29,0,0,0,0,0,0,17,0,0,0,0,0,0,0,28,0,31,0,0,0,0,0,0,21,97,0,0,43,0,0
2008-06-01,0,43,0,27,0,18,65,34,22,12,0,0,0,0,28,83,0,0,45,0,0,0,0,0,0,0,0,0,0,14,0,24,0,62,0,0,0,31,14,0,0,23,0,0,0,14,0,0,0,0,0,78,0,0,0,23,0,0,17,0,0,24,0,24,0,0,0,29,100,0,0,0,21,0,0,46,0,21,16,0,0,19,0,45,39,22,0,24,17,0,0,0,17,0,0,0,0,0,0,32,35,55,0,0,0,20,0,0,0,86,0,0,14,43,0,0
2008-07-01,0,51,33,0,0,17,0,46,0,14,0,0,0,100,26,0,17,0,42,0,0,0,0,22,0,0,30,0,100,13,0,0,0,19,0,0,0,0,29,0,30,29,38,0,30,26,0,0,0,0,0,0,0,90,0,0,0,0,15,0,0,55,0,30,0,23,0,27,0,0,0,29,0,0,39,21,0,0,22,29,0,18,0,0,36,31,0,0,16,0,0,0,0,0,0,0,0,0,29,0,17,0,29,50,0,36,0,69,0,0,45,0,0,30,0,0
2008-08-01,25,34,0,0,0,25,0,43,20,18,44,0,0,0,25,0,0,34,41,15,0,21,0,22,0,0,88,0,0,0,22,0,0,19,0,0,0,28,12,0,0,21,25,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,15,0,0,22,0,15,0,0,0,27,0,0,0,29,38,0,0,32,0,19,30,0,0,35,0,0,0,18,0,0,16,0,0,0,0,45,0,0,0,0,0,0,13,41,0,50,0,18,0,0,0,39,0,0,0,20,0,0
2008-09-01,0,48,0,24,0,16,0,51,0,10,0,0,0,0,0,0,11,33,40,0,26,31,21,0,0,0,0,0,0,12,0,0,0,24,0,0,0,0,12,0,28,34,0,0,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,42,0,0,38,41,0,37,29,0,24,0,0,39,0,17,0,21,31,0,0,0,15,0,0,0,0,0,28,0,12,26,27,24,0,17,0,0,0,31,43,0,0,29,0,0
2008-10-01,0,43,0,22,0,15,53,65,0,16,0,0,26,0,0,0,0,0,0,0,0,0,20,40,0,91,0,0,0,0,0,0,29,26,0,0,0,0,17,0,27,19,22,0,0,11,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,52,0,0,0,38,27,0,0,0,0,48,0,0,32,24,0,20,21,0,0,0,20,0,0,0,0,100,0,0,11,27,26,22,0,0,91,0,0,47,40,0,11,36,0,0
2008-11-01,0,64,0,0,0,16,0,49,19,20,0,0,0,0,24,0,10,0,0,0,0,0,0,0,0,0,27,0,0,0,20,0,0,0,0,0,53,26,12,0,28,20,23,0,0,24,0,0,0,0,0,0,0,0,100,20,0,0,14,0,0,20,0,14,0,0,0,0,0,0,0,27,0,0,0,20,0,0,0,0,0,16,0,0,0,25,0,0,30,0,0,60,29,0,0,0,0,0,0,0,12,19,0,0,0,17,0,0,0,37,42,0,0,23,0,0
2008-12-01,0,48,0,0,26,17,0,41,0,14,0,0,0,0,25,0,11,0,0,0,0,0,0,22,0,0,0,0,0,0,22,22,0,19,0,0,28,57,25,0,30,21,25,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,43,0,0,0,0,0,0,0,0,0,29,19,0,39,0,0,19,15,0,0,0,0,0,0,27,0,0,32,0,0,0,15,0,0,0,0,0,0,0,13,30,0,0,0,36,0,69,0,59,0,0,0,20,0,0
2009-01-01,0,49,34,0,26,17,0,77,0,22,0,0,0,0,26,39,11,0,0,0,0,22,0,23,0,0,0,0,0,13,23,0,0,39,0,0,0,29,26,0,0,22,26,0,31,20,0,55,0,0,100,0,0,0,0,22,0,0,0,0,0,22,22,15,0,0,0,0,0,0,0,45,20,0,0,22,0,0,31,0,0,0,0,0,0,21,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,31,30,0,0,18,0,0,0,20,46,0,13,23,0,0
2009-02-01,0,34,33,25,0,50,0,47,0,17,0,0,0,0,0,0,11,0,82,15,0,0,0,22,0,0,0,0,0,0,22,33,0,19,21,38,28,28,25,0,0,0,25,0,29,13,0,0,100,76,0,71,0,0,0,21,0,62,25,0,0,43,21,15,0,0,0,0,0,0,0,28,19,0,0,42,0,0,44,0,0,17,0,41,36,40,0,0,32,0,0,0,0,0,0,0,0,0,57,0,31,40,28,25,0,18,100,68,0,39,44,0,0,22,0,0
2009-03-01,0,44,0,44,22,15,0,36,36,22,0,0,0,0,0,0,10,0,36,13,0,38,19,58,0,0,26,0,0,11,0,19,28,22,0,0,0,25,17,0,0,19,22,0,0,19,0,0,0,0,85,0,0,0,0,0,0,0,13,0,0,0,19,13,0,0,0,24,0,0,0,0,17,0,34,0,27,17,0,0,0,0,0,0,63,35,0,0,42,0,0,0,27,0,0,0,31,0,26,26,28,18,0,22,0,39,0,0,0,26,40,0,11,31,100,0
2009-04-01,0,44,29,0,0,44,0,42,18,16,0,0,0,0,0,0,19,30,37,0,0,0,19,0,0,90,0,0,0,17,0,39,0,22,0,33,0,50,11,0,0,25,22,0,26,23,0,0,0,0,0,0,0,0,0,0,0,56,20,0,0,0,19,0,0,20,0,24,0,0,0,51,17,0,0,19,0,17,26,0,0,16,0,0,0,20,0,19,28,0,0,0,13,0,0,0,0,0,0,0,22,36,25,22,0,16,0,0,0,17,40,100,0,18,0,0
