date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Cassava
2006-01-01,0,10,52,66,25,28,0,69,0,28,0,0,0,0,45,0,0,0,32,0,71,100,0,53,40,0,0,0,32,0,0,0,0,46,0,47,0,0,6,0,0,29,0,0,33,0,0,0,0,0,0,0,0,0,0,69,44,87,67,0,64,35,0,0,0,49,0,0,0,0,0,0,0,49,51,0,49,0,0,0,0,0,46,0,100,37,20,0,0,0,34,0,0,0,64,0,0,0,0,0,64,0,60,0,52,68,0,0,0,0,0,43,0,0,0,0,0,0,0
2006-02-01,0,21,59,66,0,28,0,25,0,28,0,0,0,0,0,0,0,0,0,0,71,0,0,0,40,0,0,0,0,0,0,38,0,0,0,42,0,0,3,0,62,0,0,65,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,47,0,0,0,49,0,0,0,60,0,0,0,0,0,0,0,0,58,80,0,50,68,0,50,0,18,0,84,0,34,0,0,0,0,0,0,0,0,0,0,0,30,46,0,0,0,0,0,0,0,43,0,0,0,51,51,0,0
2006-03-01,0,47,47,0,0,0,0,60,0,23,0,0,0,0,36,0,0,0,26,0,57,0,0,42,0,0,0,0,25,0,0,30,100,0,0,100,0,0,5,0,66,23,0,52,27,0,0,0,34,0,0,0,0,0,0,0,35,0,0,78,0,28,0,0,0,0,79,0,0,32,0,0,39,0,0,51,40,51,0,32,0,40,0,0,27,0,27,0,0,0,42,37,0,75,0,53,0,0,0,0,0,0,36,37,42,36,0,0,0,0,0,38,0,0,0,40,30,0,0
2006-04-01,0,32,0,0,21,24,0,38,0,48,0,0,70,0,39,0,0,0,42,0,61,0,58,45,0,0,0,0,27,0,0,66,0,0,0,54,0,100,58,0,35,100,0,55,0,0,0,0,100,0,0,0,0,57,0,0,0,0,0,84,0,30,0,0,0,0,0,0,0,34,0,0,0,43,65,55,0,0,100,34,0,0,77,0,28,0,29,100,71,0,20,30,0,0,0,57,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,27,0,0,0,0,22,0,0
2006-05-01,0,35,29,48,0,21,0,64,0,20,0,0,0,0,33,69,0,0,24,0,52,0,0,0,29,0,0,0,46,0,0,0,46,0,64,23,0,0,15,39,0,21,0,47,48,66,0,0,32,0,0,0,0,0,0,51,48,0,0,0,47,51,0,48,0,0,0,100,0,44,0,0,0,0,0,0,36,0,0,44,35,0,50,0,24,0,40,0,0,0,58,25,0,68,47,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,12,0,0,0,37,0,37,0
2006-06-01,0,34,31,0,0,23,0,100,0,0,0,0,0,0,0,0,0,0,26,0,57,0,0,42,32,0,0,51,0,0,0,0,0,0,0,25,0,0,5,42,0,70,80,52,27,0,0,0,0,0,0,0,0,53,0,0,70,0,0,0,52,37,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,0,0,36,0,27,0,29,0,66,0,27,14,0,0,52,0,0,41,0,0,0,0,48,0,42,0,0,0,0,0,0,19,0,0,0,0,20,0,0
2006-07-01,75,24,29,50,38,32,0,76,0,21,0,0,0,0,35,0,0,0,25,0,0,0,0,0,0,0,0,0,36,0,0,0,47,0,0,24,0,0,2,40,0,22,76,48,0,0,0,0,0,0,0,0,0,100,100,53,66,0,0,0,49,26,0,0,0,0,0,0,0,30,0,0,0,0,0,48,0,0,44,0,36,0,69,0,25,0,28,0,0,0,34,0,98,0,0,51,0,0,0,0,0,0,45,0,0,0,0,58,0,0,0,12,0,100,0,0,29,38,76
2006-08-01,0,32,0,45,25,37,0,44,0,28,0,0,0,0,0,0,67,0,22,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,0,3,0,0,39,0,86,30,0,0,0,19,0,0,0,0,0,0,0,29,0,45,66,43,35,55,0,44,0,0,91,0,27,0,0,0,0,51,0,100,0,39,27,0,0,0,0,0,0,24,0,0,0,35,0,0,0,43,0,0,0,0,0,0,0,20,31,0,0,0,51,0,67,0,21,50,0,0,34,17,34,0
2006-09-01,70,41,27,0,17,30,0,57,50,59,0,0,0,0,32,0,0,0,35,0,0,0,0,50,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,29,31,0,0,23,64,0,0,20,0,0,0,100,0,0,0,46,0,0,69,0,49,58,0,0,0,70,0,0,70,0,0,0,35,0,0,0,45,41,28,0,0,32,0,0,0,24,0,58,0,32,12,0,0,45,47,62,35,0,0,0,96,32,32,0,32,0,0,0,0,0,11,35,0,0,0,0,36,71
2006-10-01,0,35,25,43,33,0,0,43,0,46,0,100,0,0,0,62,0,0,0,0,47,0,0,35,0,0,0,42,21,0,0,0,0,0,0,0,65,0,2,35,0,19,0,0,22,0,0,55,19,0,0,0,0,0,0,0,58,0,0,0,42,23,0,0,0,0,65,0,0,26,0,0,0,65,33,42,0,0,38,52,0,0,60,0,0,0,30,76,0,0,15,0,0,0,0,0,0,33,0,0,0,0,20,30,0,30,0,50,0,0,0,16,0,0,0,0,33,0,65
2006-11-01,0,31,51,43,24,18,0,20,0,18,0,0,0,42,0,0,0,0,0,0,46,65,0,52,0,100,0,42,21,0,0,0,0,0,57,27,0,0,3,0,27,19,64,84,33,0,0,0,19,0,100,0,0,0,0,0,28,0,0,0,42,23,53,0,0,32,64,0,0,52,0,0,0,0,33,42,0,0,38,26,0,0,0,0,0,24,22,0,0,0,34,11,0,0,42,0,0,33,0,0,0,0,39,60,34,73,0,0,65,0,0,17,0,0,0,33,17,33,0
2006-12-01,0,12,51,51,29,0,0,29,0,22,64,0,0,0,0,0,0,0,0,0,0,0,0,41,0,60,0,0,100,0,0,29,49,36,0,24,0,0,2,0,0,23,0,50,35,0,0,65,23,0,0,0,0,0,0,0,0,67,0,0,50,28,0,0,0,38,0,0,0,92,0,0,0,0,39,50,0,100,46,31,37,0,72,0,51,58,32,0,0,0,35,0,100,0,50,0,0,0,0,0,0,0,35,0,0,36,0,60,0,0,0,29,0,0,0,0,20,0,0
2007-01-01,0,35,78,44,17,55,0,66,0,37,0,0,0,42,30,0,0,0,43,0,0,0,0,0,0,0,0,0,21,0,0,0,0,93,58,31,65,0,3,0,27,19,65,43,22,59,0,0,19,0,0,0,0,0,0,0,29,0,44,0,43,23,0,0,0,0,0,0,100,40,0,58,0,32,0,0,0,43,38,53,31,0,45,0,99,24,23,0,55,0,30,11,0,0,43,44,0,0,0,0,0,89,40,30,35,30,0,51,65,0,0,46,0,0,0,100,0,0,0
2007-02-01,0,28,79,0,0,19,0,29,0,28,0,0,0,0,61,63,0,0,22,0,0,0,0,0,0,0,0,0,21,0,0,51,0,0,0,21,0,0,4,0,42,20,0,43,22,60,0,0,19,0,0,0,0,0,0,0,59,0,45,0,0,47,0,0,0,0,0,0,0,54,0,59,0,0,0,43,0,43,39,0,0,0,31,0,22,0,23,0,0,0,15,12,86,63,0,0,0,34,0,0,0,0,40,31,47,0,0,52,0,0,0,25,0,0,0,51,23,0,0
2007-03-01,0,38,43,37,0,16,0,52,40,39,0,0,0,35,0,0,56,0,18,0,39,0,0,59,22,28,0,35,18,0,0,21,35,0,0,35,0,0,4,44,62,49,0,0,28,51,0,47,16,0,0,0,0,0,0,0,49,0,37,0,36,29,0,37,0,0,0,0,0,33,0,0,0,0,0,0,28,71,65,22,26,0,76,0,19,21,25,0,0,0,51,26,71,0,36,0,0,28,0,0,0,0,42,38,29,25,0,43,0,0,0,62,0,0,0,0,14,0,0
2007-04-01,0,74,23,39,15,0,0,51,0,17,0,0,0,0,27,0,0,0,19,0,62,0,0,0,24,0,0,0,18,0,0,0,37,0,0,18,0,0,24,31,57,26,0,38,0,0,0,49,25,0,0,0,0,39,0,0,64,0,0,0,38,31,0,39,0,0,58,0,0,47,0,0,0,0,0,37,0,75,0,23,28,0,26,0,0,22,32,0,0,100,31,30,0,0,0,0,51,30,0,0,0,0,26,27,30,0,0,45,0,0,0,28,29,0,0,0,30,0,0
2007-05-01,0,56,19,32,0,14,0,30,35,41,0,0,40,0,22,92,0,0,16,0,35,49,0,26,20,0,0,0,15,0,0,0,0,0,43,23,0,0,27,0,51,21,48,0,32,0,0,0,28,0,0,0,0,0,0,0,57,0,0,48,32,0,0,0,0,0,0,0,0,32,0,0,24,60,0,0,36,0,28,32,0,0,22,0,0,0,31,0,40,0,26,14,0,0,0,0,0,25,0,0,0,0,39,30,51,22,0,37,49,0,0,16,0,65,0,0,12,0,0
2007-06-01,0,30,20,34,0,29,0,45,0,15,0,0,0,0,0,49,0,0,0,46,0,0,0,27,21,26,0,0,16,0,0,0,32,0,0,24,0,0,8,0,21,38,0,33,17,0,0,43,15,0,0,100,0,34,67,0,60,0,0,0,67,27,0,0,0,0,0,0,0,31,0,0,0,38,52,33,0,33,30,21,24,26,23,0,17,19,31,60,0,0,35,0,0,48,33,34,0,26,0,37,0,0,16,0,0,23,0,0,0,0,0,16,26,0,0,0,0,0,0
2007-07-01,0,38,25,33,12,14,0,46,0,20,0,0,0,0,45,0,49,0,16,0,0,0,0,26,0,25,0,31,15,0,0,0,0,23,0,15,0,0,4,26,0,21,0,31,25,44,0,40,28,0,0,0,0,0,0,0,43,42,33,95,31,0,0,0,0,0,0,0,0,19,0,43,0,49,49,31,0,31,28,19,0,0,65,0,0,18,24,0,40,0,27,8,0,0,0,0,0,0,0,0,0,0,29,44,38,22,0,38,0,0,0,20,0,0,0,0,12,37,0
2007-08-01,0,38,35,30,22,19,0,34,32,25,0,0,0,0,41,0,0,0,22,0,32,0,30,24,18,0,0,0,14,0,99,17,0,0,0,14,0,0,3,24,0,26,0,29,23,0,0,37,26,0,0,0,0,30,59,0,40,0,0,0,58,21,0,30,0,0,44,0,0,72,0,0,0,22,23,29,0,29,0,18,0,0,31,0,0,17,33,0,0,0,51,8,0,0,0,0,0,0,0,0,0,0,27,21,0,20,0,0,0,0,0,10,23,0,0,0,11,45,0
2007-09-01,47,20,24,31,0,18,0,38,0,20,39,0,0,0,0,0,0,0,31,0,33,0,0,0,19,0,0,30,22,0,0,36,29,0,0,0,0,0,3,0,20,14,0,30,24,42,0,0,0,0,0,0,0,0,0,0,41,0,0,0,30,17,0,0,0,0,46,64,0,25,0,41,0,46,0,30,23,0,0,28,22,0,21,0,16,26,30,0,0,0,68,8,0,0,61,0,0,24,0,0,0,63,28,43,0,0,0,0,0,0,0,28,23,0,0,0,36,24,0
2007-10-01,0,28,17,29,55,37,0,41,0,19,0,68,0,0,0,0,0,0,0,0,61,0,0,23,0,22,0,28,14,0,0,17,42,0,0,20,0,51,4,0,18,13,44,0,15,0,0,0,0,0,0,0,0,0,58,0,29,0,0,43,56,36,0,0,0,63,0,0,0,17,0,0,0,22,22,56,22,28,25,26,0,0,50,0,15,0,30,0,0,0,43,8,0,0,57,29,38,22,0,0,0,0,18,20,23,30,0,33,0,43,0,35,0,0,0,22,11,0,0
2007-11-01,0,38,18,59,28,34,0,48,0,76,0,0,0,29,0,0,0,0,15,0,48,0,0,48,18,0,0,0,14,0,0,17,0,21,0,28,45,0,2,24,25,0,0,0,0,0,0,0,13,0,0,0,0,30,0,0,30,0,0,44,0,31,0,30,0,55,0,0,0,36,0,0,0,33,0,29,0,29,26,36,21,0,34,0,15,0,23,0,37,0,34,0,58,0,29,0,0,23,0,0,0,0,32,41,23,51,0,34,0,0,0,43,22,0,0,23,23,0,0
2007-12-01,0,26,31,54,20,45,0,74,38,46,0,0,0,0,0,0,0,0,17,0,57,53,0,28,0,55,0,34,43,0,0,0,34,0,0,17,53,0,3,28,0,23,0,35,18,0,0,45,31,0,0,0,0,36,0,37,48,0,36,53,0,19,45,36,0,78,0,0,0,43,0,0,0,44,27,34,26,0,31,21,0,0,57,0,27,20,37,0,0,0,57,0,0,100,35,36,0,27,0,39,0,73,73,50,28,48,0,0,53,0,0,20,27,0,0,27,32,0,0
2008-01-01,0,15,50,0,24,14,0,33,0,55,40,0,0,0,22,46,0,0,16,0,0,0,0,26,20,0,0,31,46,0,0,18,31,23,0,40,0,0,4,0,40,19,0,0,24,66,0,0,0,0,0,0,0,0,64,0,28,0,0,0,52,51,40,0,0,24,0,0,0,45,0,0,0,0,25,47,48,0,56,19,0,0,33,0,40,27,29,0,40,0,40,0,0,0,31,32,0,0,49,0,0,66,34,22,51,33,0,37,0,0,0,34,24,0,100,24,25,0,0
2008-02-01,94,43,49,0,0,20,0,48,0,20,39,0,0,0,0,0,0,0,0,0,34,47,0,0,0,0,0,0,15,0,0,18,30,0,0,25,47,0,2,0,20,28,0,30,26,43,0,40,14,0,0,0,0,0,0,0,21,0,0,0,62,50,0,63,0,23,95,0,0,28,0,41,24,47,24,31,24,30,27,19,22,0,22,0,26,18,28,0,0,0,32,0,0,0,0,0,0,36,0,0,31,0,29,29,62,32,0,0,48,0,0,58,0,0,0,24,36,0,0
2008-03-01,0,50,28,57,0,36,0,30,31,30,35,0,0,0,20,0,0,0,14,39,0,0,29,23,17,0,0,0,20,0,0,16,0,20,0,13,0,0,11,23,54,13,0,0,34,0,0,0,25,0,0,0,0,0,0,0,57,37,0,42,28,30,0,43,0,21,0,0,0,40,0,38,21,28,22,28,43,55,75,51,20,0,20,0,14,16,41,0,36,74,29,25,0,0,0,29,0,0,0,0,0,0,22,20,45,20,0,0,0,0,0,46,0,0,0,22,0,0,0
2008-04-01,0,51,33,42,10,18,0,37,0,48,35,0,0,0,0,40,42,0,14,0,30,0,0,33,17,43,0,27,13,0,0,16,26,0,0,26,0,0,44,0,41,12,0,0,23,0,0,0,30,0,0,82,30,28,0,0,37,0,28,41,27,30,0,28,0,0,42,57,0,34,0,37,0,42,22,27,21,27,49,25,33,21,57,0,21,0,27,0,35,0,35,39,0,0,27,0,0,21,0,0,0,0,25,26,44,19,0,0,0,0,0,27,0,0,0,0,11,0,0
2008-05-01,0,41,16,41,0,0,0,44,0,29,34,63,0,0,19,78,0,0,0,0,73,0,0,22,33,42,0,26,20,38,0,16,26,19,36,0,0,0,25,22,17,18,0,26,28,0,0,0,18,0,0,0,0,27,0,0,54,0,0,40,27,50,0,0,0,20,0,0,0,16,0,0,0,34,21,26,31,0,24,33,20,0,19,0,0,0,32,0,0,0,28,17,0,0,53,0,0,0,0,0,0,0,25,28,21,19,0,0,0,0,0,13,20,55,0,21,0,21,0
2008-06-01,0,38,17,85,11,18,0,45,0,42,0,0,0,0,0,40,0,0,14,38,0,0,0,45,0,0,0,0,27,0,0,0,27,0,37,13,0,0,10,0,18,25,0,27,28,0,0,0,18,0,0,0,0,56,0,0,93,0,0,42,83,22,0,28,0,21,0,0,0,34,0,0,0,42,22,27,21,0,49,51,0,0,45,0,0,0,39,0,0,0,42,15,0,0,27,0,0,0,0,0,0,0,30,39,33,19,0,32,42,42,0,11,42,0,0,0,11,21,0
2008-07-01,0,45,37,41,10,12,0,59,0,17,0,0,0,26,0,39,0,0,13,0,29,0,0,0,16,21,0,0,13,0,0,0,0,19,36,13,41,0,3,32,0,16,0,40,14,0,0,0,0,0,0,0,0,27,0,0,54,0,28,0,35,14,0,54,0,0,40,56,0,24,0,0,20,20,0,0,0,0,32,16,19,0,19,0,14,15,30,0,0,0,22,7,0,0,0,27,36,42,0,0,0,0,33,56,21,37,0,0,41,0,0,28,20,0,0,41,17,0,0
2008-08-01,0,50,15,26,10,28,0,39,0,28,0,0,0,0,0,0,0,0,13,0,56,0,0,21,16,20,0,50,12,0,0,15,0,0,0,12,0,0,3,21,0,19,0,38,39,36,0,33,34,0,0,0,0,26,0,0,17,34,0,39,25,21,0,0,0,19,39,0,0,16,0,35,0,0,60,76,20,0,34,24,0,0,18,0,13,0,31,0,0,0,24,0,0,0,26,0,34,0,0,28,0,0,32,18,21,30,100,30,0,39,0,21,0,0,0,0,10,20,0
2008-09-01,0,34,46,26,20,17,0,45,0,34,33,0,0,25,36,0,0,0,13,70,56,0,27,21,16,0,0,51,12,0,0,0,25,0,35,29,0,0,2,0,17,17,40,38,20,36,0,0,11,0,0,0,0,0,0,56,23,69,0,58,34,28,0,26,26,19,0,0,0,48,100,35,0,33,0,25,0,25,23,24,19,0,55,0,13,0,36,0,33,68,42,7,0,0,26,0,35,0,0,0,0,0,30,27,0,54,0,31,39,0,0,17,20,0,0,20,20,20,0
2008-10-01,0,36,15,42,25,21,0,79,0,65,31,0,0,0,17,0,0,0,19,0,45,0,0,20,15,0,0,37,24,0,0,29,0,35,0,20,75,0,2,20,0,30,38,25,25,0,100,32,22,0,0,0,27,25,0,40,17,33,25,37,37,40,0,0,25,19,0,0,58,25,0,0,0,0,0,24,28,24,44,30,18,0,23,0,0,14,49,0,32,0,35,0,49,0,25,0,0,19,39,0,0,0,61,35,0,26,0,0,38,38,0,28,0,51,0,39,10,19,0
2008-11-01,0,24,16,36,36,17,0,59,0,35,0,0,0,0,0,0,0,0,20,0,29,0,0,22,0,0,0,26,19,0,0,16,26,19,0,26,41,0,2,22,0,40,0,27,27,37,0,0,24,0,0,0,0,27,0,0,36,0,0,0,0,38,0,0,0,20,40,0,0,33,0,0,20,20,42,26,51,26,24,44,0,0,28,0,14,0,38,0,0,0,34,7,0,58,40,0,0,21,41,0,27,0,49,19,64,19,0,95,82,0,0,33,0,0,0,0,21,21,0
2008-12-01,0,40,29,30,22,38,0,48,0,19,0,0,0,0,20,43,90,0,39,0,48,45,0,0,24,23,0,29,24,0,100,17,0,32,40,23,0,0,4,24,19,20,0,72,23,41,0,38,0,0,0,0,0,0,0,0,20,0,30,0,0,47,0,0,0,55,0,0,0,18,0,79,0,44,0,29,30,29,0,24,21,0,31,0,20,17,49,0,38,0,68,8,0,0,29,30,0,23,0,0,29,0,36,21,23,54,0,35,0,0,0,48,34,0,0,23,23,0,0
2009-01-01,0,27,54,41,10,24,0,44,29,35,69,64,0,0,19,0,42,0,14,0,0,0,0,44,17,43,0,0,31,0,0,26,0,19,37,30,41,0,5,45,41,20,42,0,14,50,0,0,16,0,0,0,0,28,55,0,27,36,0,41,36,22,34,0,0,41,42,0,0,33,0,36,0,48,21,53,31,40,24,22,20,0,19,0,37,0,46,0,0,0,57,7,0,0,40,37,37,21,0,0,27,0,33,26,36,19,0,64,0,0,0,49,21,0,0,0,37,0,0
2009-02-01,0,34,37,27,0,29,0,38,0,23,34,0,0,0,0,58,0,0,40,0,48,0,0,22,0,0,0,26,13,37,0,15,26,19,0,21,0,48,4,22,17,18,40,52,34,49,0,34,24,0,0,0,0,27,0,0,36,0,0,0,26,36,0,27,0,20,0,0,0,16,0,48,0,100,21,26,20,52,35,24,19,0,0,100,36,15,28,0,0,0,46,14,0,0,53,27,0,21,0,0,0,55,29,25,21,0,0,0,0,0,0,61,0,0,0,0,21,0,41
2009-03-01,0,74,18,69,9,26,0,37,0,44,0,54,0,22,0,100,35,0,27,0,25,0,0,0,0,18,0,22,11,0,0,13,66,16,31,22,52,0,11,56,53,10,0,68,23,32,0,0,15,0,0,0,0,0,0,24,31,0,23,0,57,24,0,23,0,17,0,0,0,23,0,31,17,17,36,22,17,34,20,28,33,18,24,0,12,13,34,0,0,0,37,34,0,0,38,0,0,0,0,0,22,0,42,16,36,16,0,27,0,0,100,39,35,0,0,0,27,0,0
