date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-11-01,0,34,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,100,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,88,0,72,0,0,0,0,0,0,0,0,0,31,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,53,0,0,78,0,0,0,0,0,0,0,0,0,0,0,34,0,0,61,0,80,0,0,0,58,0,0,0,0,0,0,0
2005-12-01,0,43,50,0,0,0,77,0,39,0,39,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,100,0,0,0,0,0,0,0,0,0,0,77,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,30,0,0,0,0,0,0,35,0,28,0,0,0,0,0,0,68,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,100,0,0,0,65,55,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,28,0,0,0,0,0,0,0,55,0,0,89,60,0,0,0,48,0,0,0,0,0,0,64,0,0,0,0,0,0,0,30,0,49,55,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,38,100,61,100,50,0,0,35,0,26,0,0,0,0,0,0,64,100,0,0,0,0,0,68,0,0,0,28,0,0,0,0,0,0,0,81,0,0,0,47,85,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,52,0,64,0,0,0,0,0,0,90,100,0,67,0,0,0,61,0,0,68,100,0,57,0,28,72,0,0,0,67,0,0,0,49,52,0,0,52,0,0,0
2006-03-01,0,100,0,0,0,0,45,0,17,0,23,0,0,0,0,0,100,0,0,100,0,0,0,0,59,63,0,0,25,0,0,0,100,0,0,0,71,0,0,0,41,0,0,0,80,0,0,49,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,100,0,45,0,0,0,0,0,0,91,0,0,0,73,0,0,0,0,39,0,0,0,0,0,100,53,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,29,0,0,0,0,51,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,28,0,0,0,0,0,0,0,81,84,0,0,0,0,0,0,61,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,64,52,0,0,0,64,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,100,28,0,46,51,0,67,0,0,0,49,0,0,0,0,0,0,0
2006-05-01,0,60,0,0,0,0,80,0,20,0,40,0,0,0,0,71,0,50,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,50,47,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,100,0,0,0,0,0,40,0,0,0,0,40,0,61,0,0,0,0,22,0,0,0,47,0,0,51,0,0,0,0,0,0,0,0,0,0,0,33,56,0,0,0,52,0,0,0,0,0,0,68,0,0,0,0
2006-06-01,100,50,29,0,0,0,45,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,43,0,0,0,0,0,0,0,0,100,65,0,53,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,59,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,63,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,41,0,17,0,21,0,0,0,0,0,0,51,0,61,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,68,0,0,0,45,0,0,48,41,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,31,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,36,0,0,53,0,0,0,48,0,0,54,0,0,0,0,0,0,0,41,0,0,0,0,0,79,41,0,0,0,0,0,0
2006-08-01,0,53,0,0,0,0,36,0,31,0,18,0,0,0,0,0,0,0,0,52,0,0,0,0,0,50,0,100,0,0,0,0,0,0,0,0,0,0,0,64,0,40,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36,0,0,36,0,0,0,20,0,44,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,32,0,0,0,0,0,0,51,0,0,0,0,0,0,0
2006-09-01,0,53,0,0,0,36,38,0,29,0,38,0,0,0,0,0,85,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,51,0,0,0,0,0,35,42,0,0,0,38,0,0,37,0,0,0,49,0,0,0,0,0,0,0,46,100,0,0,0,0,0,0,0,0,19,0,0,0,0,39,0,39,0,47,38,0,0,0,0,0,33,0,0,0,0,0,0,0,100,0,0,0,0,0,0,21,53,34,39,0,0,0,0,0,73,39,0,0,0,0,0,0
2006-10-01,0,31,0,0,0,32,34,0,21,0,17,0,0,0,0,0,0,83,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,37,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,40,44,0,0,0,62,100,0,0,0,17,0,0,0,0,0,0,0,34,84,0,0,19,0,42,34,69,0,0,43,0,0,0,39,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,34,0,0,17,0,0,0
2006-11-01,0,39,23,0,0,100,35,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,41,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,78,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,100,0,0,0,0,0,39,0,0,35,0,0,0,0,0,34,0,0,0,0,0,0,0
2006-12-01,0,64,30,0,0,0,46,0,12,0,23,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,0,51,0,0,55,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,89,0,0,0,54,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
2007-01-01,0,44,0,0,0,0,64,0,28,0,32,0,0,0,0,0,0,40,0,0,0,0,0,42,0,45,0,0,0,100,0,0,71,69,0,0,100,0,0,0,0,35,0,0,38,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,38,42,0,0,0,0,95,0,0,0,21,0,0,0,83,0,0,48,0,0,32,0,0,0,39,0,84,0,0,41,0,0,0,0,0,0,0,0,0,0,62,18,45,85,0,0,42,0,0,0,61,0,0,0,16,0,0,0
2007-02-01,0,52,20,0,0,0,31,0,10,0,48,0,0,0,0,56,0,39,0,0,0,0,0,82,0,44,100,0,0,0,0,100,0,0,0,0,50,0,0,0,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,45,0,0,41,0,0,78,0,0,0,0,0,21,0,0,0,0,31,0,0,63,39,0,0,34,0,0,0,55,0,0,40,100,0,0,37,0,0,0,0,0,35,0,17,44,28,31,0,0,0,0,0,0,0,0,0,31,0,0,0
2007-03-01,0,36,0,0,0,0,42,0,14,0,21,0,0,0,0,49,0,34,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,37,0,88,0,0,33,51,0,0,0,33,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,56,28,34,0,0,30,0,34,0,24,0,0,71,0,0,0,65,0,0,36,0,0,0,0,0,0,25,0,0,36,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,17,0,0,0,29,46,0,15,0,31,0,0,0,0,0,0,38,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,59,0,0,0,0,0,0,0,0,0,88,0,0,40,0,0,0,0,0,0,0,0,26,0,0,0,40,31,0,31,0,0,30,0,17,0,0,0,62,0,0,39,0,0,0,36,0,87,0,0,0,0,0,17,0,27,30,0,0,0,100,0,29,0,0,0,15,0,0,0
2007-05-01,0,39,15,28,0,0,23,0,15,94,17,0,0,0,0,0,0,29,45,34,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,26,0,0,0,0,0,25,45,0,0,0,0,0,0,73,0,0,0,0,27,0,0,0,0,0,0,0,51,0,23,0,0,100,0,0,0,23,23,29,23,0,13,0,0,0,61,0,0,60,0,0,52,27,0,66,0,0,0,0,0,13,32,21,0,0,30,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,28,16,0,0,0,26,0,13,0,39,0,100,0,0,45,0,0,0,38,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,40,0,0,30,0,0,0,32,45,26,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,26,41,0,0,0,0,45,0,0,33,80,0,0,0,66,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
2007-07-01,0,77,0,55,0,0,69,0,11,0,29,0,0,0,100,0,0,57,0,0,0,0,0,60,30,0,0,64,0,0,0,0,51,0,0,0,36,0,0,0,21,25,0,0,0,23,0,0,0,0,0,0,0,0,0,73,0,51,0,0,0,30,0,0,0,42,0,0,0,0,23,0,0,0,30,0,0,23,0,57,0,0,19,0,0,0,60,0,0,30,0,0,0,27,0,0,0,0,0,0,0,19,0,0,0,100,0,0,0,0,66,0,0,0,12,0,0,0
2007-08-01,0,30,26,0,0,0,20,100,31,0,21,0,0,0,0,73,0,0,0,30,0,0,0,27,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,28,45,0,0,24,0,0,0,20,0,0,0,0,0,0,0,0,46,0,0,24,27,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,20,50,20,0,11,0,0,0,53,0,0,26,0,0,0,0,53,0,0,0,0,0,0,17,0,0,41,0,27,0,0,0,39,21,0,0,10,0,0,94
2007-09-01,49,12,0,26,0,0,22,0,24,0,33,0,0,0,0,0,0,27,0,0,0,0,0,28,0,0,0,0,0,0,0,69,48,0,0,0,34,36,0,26,0,24,0,27,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,26,28,0,0,0,40,0,0,0,0,33,0,0,0,28,0,30,0,0,27,22,0,24,0,27,22,51,0,32,37,0,0,0,0,0,0,0,0,0,0,0,18,61,20,43,0,28,0,0,0,52,0,0,0,11,0,0,0
2007-10-01,0,41,0,33,0,18,37,0,15,75,14,0,0,0,0,0,0,23,0,27,0,26,0,24,0,26,0,0,10,0,0,0,0,80,0,0,0,0,0,44,17,31,0,23,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,22,0,24,0,57,0,34,0,0,0,0,15,0,100,0,24,19,0,19,18,34,18,0,20,0,0,0,65,0,0,59,0,0,0,21,0,0,0,0,0,0,0,20,26,0,28,80,0,0,0,0,35,37,0,0,9,0,0,0
2007-11-01,0,18,21,23,0,18,19,0,5,0,29,100,74,25,0,0,0,24,0,28,0,0,0,25,0,0,0,0,10,0,100,62,0,0,0,0,0,0,0,0,17,21,0,24,23,20,0,0,18,0,0,0,0,0,100,0,0,0,42,23,0,0,0,59,0,0,0,0,0,0,10,0,0,0,0,0,0,19,19,24,19,0,0,0,36,38,34,0,28,0,0,0,0,34,0,0,0,0,0,0,0,21,27,17,0,0,25,0,0,0,28,0,0,32,14,0,0,0
2007-12-01,0,23,0,32,0,26,27,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,15,0,0,0,0,58,0,0,0,0,0,32,49,30,0,0,32,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,14,0,0,0,35,0,0,27,0,0,0,0,15,0,0,0,47,53,0,35,0,0,0,32,70,0,0,0,0,0,0,15,38,0,0,0,35,0,0,0,26,0,0,0,14,0,0,0
2008-01-01,0,16,12,0,0,0,19,0,17,0,33,0,0,0,0,0,0,23,0,28,0,0,0,0,0,26,0,0,0,0,0,0,42,0,0,0,29,0,0,22,52,21,0,0,55,19,0,0,18,0,0,0,0,0,0,0,0,0,27,0,0,25,0,0,0,0,56,0,0,0,28,0,0,81,0,0,0,0,0,35,37,0,10,0,0,0,33,0,0,24,0,0,0,22,49,0,0,0,0,0,0,10,0,17,19,0,25,0,0,0,54,0,0,0,9,0,0,0
2008-02-01,0,19,11,0,0,0,44,0,18,0,18,0,0,0,0,0,0,29,34,26,0,0,0,0,0,0,0,0,10,0,0,0,0,0,23,0,27,29,31,21,0,39,0,44,21,18,0,0,17,0,0,0,22,0,0,0,0,39,0,0,21,92,0,0,0,0,0,0,39,0,15,0,0,0,23,18,0,0,0,0,18,0,10,0,33,0,41,0,25,22,0,0,0,21,0,0,0,0,0,0,0,0,25,16,0,0,23,0,0,0,42,0,0,0,0,0,0,0
2008-03-01,0,36,11,0,0,0,36,87,11,72,27,0,0,0,0,31,40,22,0,26,0,0,0,0,0,25,0,0,0,0,0,0,0,38,0,0,28,0,0,0,0,20,0,0,21,0,0,0,51,0,0,0,0,0,0,0,0,0,25,0,42,23,0,0,0,32,0,0,39,0,13,0,0,0,23,27,0,0,0,0,0,0,10,0,0,36,36,0,0,23,0,0,0,0,0,0,0,0,0,0,0,20,50,16,0,0,23,0,0,0,42,0,0,0,0,0,0,0
2008-04-01,0,32,11,21,0,0,17,0,19,71,18,0,0,0,0,0,0,0,0,26,0,25,0,45,0,24,0,0,10,0,0,0,77,38,0,0,0,0,0,0,24,19,0,22,42,36,0,19,42,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,18,17,43,17,0,14,0,0,17,41,0,25,0,55,0,0,61,0,0,0,0,0,0,0,19,24,16,18,0,0,0,0,0,59,18,0,29,9,29,0,0
2008-05-01,0,45,0,0,0,16,16,0,8,0,21,0,0,0,0,0,37,0,0,36,0,0,0,21,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,29,0,18,0,20,39,17,0,0,39,0,56,0,0,0,0,0,0,0,0,0,19,32,97,51,0,30,0,0,0,0,16,0,0,0,32,25,0,0,0,0,16,26,9,0,20,16,33,0,23,49,52,0,0,0,0,0,21,0,0,0,0,36,23,15,0,0,43,0,0,0,47,0,0,0,0,0,0,0
2008-06-01,0,49,11,0,0,0,26,87,6,72,22,0,0,0,0,0,0,0,0,26,0,0,0,23,0,0,0,0,10,0,0,0,0,0,23,0,0,0,0,21,16,0,0,0,0,36,0,0,51,0,0,0,0,0,0,0,19,0,25,21,21,0,0,0,44,0,0,0,0,0,9,0,0,0,23,18,0,18,0,22,18,0,24,0,0,18,31,0,0,34,56,0,39,0,0,0,0,0,0,0,0,29,25,0,0,0,46,0,0,0,34,36,0,0,9,0,0,0
2008-07-01,0,48,0,20,0,0,25,0,11,0,16,85,0,0,71,0,0,0,0,24,0,23,0,0,21,0,0,0,0,0,0,0,0,0,22,0,0,0,0,19,15,27,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,29,21,0,0,0,0,0,0,0,0,16,0,0,0,21,33,0,16,16,20,0,26,0,0,0,0,24,0,0,21,52,0,0,19,0,0,0,0,0,0,0,9,46,15,0,0,21,100,0,0,16,0,0,0,8,0,0,0
2008-08-01,0,24,10,29,0,16,16,0,15,66,8,0,0,0,0,0,0,40,0,0,0,23,0,21,0,0,51,0,9,0,0,0,0,0,22,0,0,0,0,19,15,24,0,20,19,0,100,0,16,0,55,0,0,0,0,0,0,0,0,0,19,21,0,0,0,0,0,0,0,0,20,0,0,0,21,16,0,16,16,0,16,0,9,0,20,0,38,0,23,31,0,0,0,0,0,0,0,0,0,18,0,13,34,22,16,0,0,0,0,0,62,0,0,27,8,0,0,0
2008-09-01,0,36,15,38,0,0,22,0,12,64,24,0,0,0,0,0,35,0,0,48,0,23,0,21,21,0,50,0,0,0,0,51,35,0,0,0,0,0,0,19,0,18,0,20,0,0,0,0,39,0,0,0,0,0,0,0,0,36,0,0,19,21,0,0,0,0,0,0,0,0,11,0,0,0,0,49,23,0,32,20,24,0,9,0,20,16,66,0,24,42,0,0,0,19,0,0,0,0,0,0,0,18,0,14,16,71,0,0,0,0,54,16,0,0,8,0,0,75
2008-10-01,32,34,18,0,0,14,29,0,11,0,22,0,0,0,0,25,0,18,0,21,0,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,17,20,24,0,27,42,0,0,0,28,0,0,0,0,100,74,0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,17,0,77,0,19,22,20,0,14,27,29,0,16,0,0,14,37,0,0,46,0,0,0,17,0,0,0,0,0,0,28,8,30,32,21,63,37,0,0,0,48,0,0,0,14,23,0,0
2008-11-01,0,19,0,20,0,16,42,0,13,68,21,0,0,0,0,0,0,21,0,25,0,0,0,22,0,24,0,0,28,0,0,0,37,0,0,0,26,28,0,40,23,55,0,0,40,0,0,18,16,0,57,0,0,0,0,0,0,0,0,0,0,44,100,52,42,0,50,0,37,0,25,0,0,0,22,34,0,17,17,21,17,0,9,0,42,0,39,0,0,29,0,0,0,20,44,0,0,0,0,0,0,14,0,15,17,73,22,0,0,0,24,0,0,0,17,0,0,0
2008-12-01,48,18,14,0,0,0,32,0,11,0,33,0,0,0,0,38,0,26,0,0,0,0,0,28,0,0,0,0,12,0,0,68,48,0,0,0,34,0,0,25,0,32,100,0,25,22,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,56,0,0,0,0,0,0,0,0,22,0,0,0,28,0,0,22,21,0,43,0,12,0,26,0,28,0,0,56,0,0,0,25,0,0,28,0,0,0,0,0,30,29,43,0,28,0,0,0,21,22,0,0,22,0,0,100
2009-01-01,0,15,10,19,0,30,0,0,14,0,32,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,50,0,51,0,0,0,0,0,28,14,0,0,0,19,32,0,0,15,0,0,0,20,0,0,0,0,35,0,19,0,41,0,49,0,0,0,0,0,0,12,0,0,0,21,0,0,16,31,0,0,0,9,0,0,0,18,31,0,30,50,0,0,19,41,0,0,31,0,0,0,13,22,21,16,0,20,0,0,0,46,0,0,0,16,0,0,0
2009-02-01,34,40,15,0,0,0,15,0,13,0,15,0,0,0,0,0,0,32,0,0,0,0,0,40,20,21,0,0,8,0,0,0,34,0,0,0,0,0,27,18,14,0,0,0,27,15,0,17,15,0,0,0,0,0,0,0,0,0,0,0,18,50,0,0,0,0,0,0,0,0,10,0,0,0,0,31,21,15,15,0,15,0,8,0,19,0,31,0,22,59,0,0,0,18,0,0,20,0,0,0,0,25,21,14,23,0,20,0,0,0,22,15,0,0,8,0,0,0
2009-03-01,0,28,0,17,0,0,49,0,17,0,14,0,54,0,0,0,0,26,0,21,0,0,0,0,18,19,0,0,15,0,0,44,30,45,0,0,22,0,24,0,25,0,0,17,33,14,0,15,36,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,41,0,31,0,7,0,0,0,18,0,19,14,0,17,28,22,11,0,17,0,40,0,0,45,0,0,0,24,0,0,0,0,0,0,0,8,29,12,14,0,18,0,0,0,40,0,0,0,28,22,0,0
