date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-11-01,73,37,0,0,54,61,0,50,0,0,0,0,0,0,0,41,0,83,0,0,0,0,0,100,82,0,0,0,0,0,70,69,81,49,0,16,0,0,0,0,0,82,0,0,66,40,0,0,0,100,0,0,0,15,100,0,0,0,65,0,0,48,0,0,0,80,0,0,0,0,30,0,100,10,0,0,66,0,0,19,0,0,0,54,0,0,20,53,66,0,27,80,0,65,0,27,0,0,0,100,34,0,0,0,0,0,0,58,78,0,0,0,0,0,0
2005-12-01,39,35,0,0,0,46,0,47,0,0,100,0,0,0,0,58,0,0,0,0,0,0,0,0,0,44,0,0,0,33,67,66,0,34,0,0,0,0,60,0,67,0,0,0,0,0,0,0,0,0,0,0,100,32,0,0,86,0,0,0,0,90,0,0,0,0,0,48,0,0,60,0,0,19,0,0,0,0,0,18,0,62,0,41,0,0,0,50,0,0,44,0,0,0,0,25,0,0,0,47,32,0,0,0,0,0,0,53,0,0,0,0,0,0,0
2006-01-01,42,0,0,0,0,61,100,40,0,0,0,0,98,0,0,49,0,100,80,0,0,0,66,0,0,0,0,0,0,28,0,56,0,20,0,13,0,0,0,0,58,66,0,0,0,0,0,0,0,0,0,0,85,29,80,0,36,0,0,35,0,38,0,56,0,99,0,0,0,0,32,0,81,16,98,0,53,0,0,0,0,0,0,28,0,9,16,0,0,0,38,0,0,0,0,32,100,0,46,0,28,28,0,0,0,0,0,23,0,0,0,25,0,0,0
2006-02-01,27,0,0,61,0,62,0,64,0,0,0,0,0,0,0,71,0,72,0,0,61,0,70,0,0,41,0,0,57,45,61,0,0,63,0,14,0,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,86,0,39,0,0,38,0,62,100,60,0,0,0,0,0,0,17,0,0,0,0,42,0,0,0,17,0,0,0,30,0,0,18,0,0,0,26,0,100,0,0,23,0,0,0,44,0,0,0,0,0,0,0,25,68,0,0,26,0,0,0
2006-03-01,53,27,0,50,40,39,88,36,0,0,0,0,87,0,100,39,0,0,0,25,0,0,0,72,0,34,100,0,0,25,0,0,0,35,0,23,0,0,0,0,0,59,0,0,47,29,0,0,0,0,0,0,0,35,0,0,0,0,46,0,0,35,0,50,0,0,0,37,0,95,14,0,0,7,0,0,47,58,0,0,0,0,51,11,0,8,0,0,0,0,19,0,0,0,0,19,0,0,0,72,25,0,0,0,0,50,0,21,0,0,0,0,0,0,0
2006-04-01,29,30,51,0,0,64,0,53,0,100,0,0,0,0,0,33,0,65,0,28,0,0,0,0,66,0,0,0,52,0,56,55,32,29,0,13,0,0,50,0,57,0,97,0,0,32,0,0,0,0,0,66,0,23,0,0,72,0,0,0,0,0,0,55,0,0,0,40,0,0,16,0,0,8,0,39,0,63,0,0,0,0,0,41,0,0,0,0,0,0,32,0,0,52,0,21,0,0,0,0,0,28,0,51,0,0,0,23,63,0,0,24,0,0,0
2006-05-01,22,0,0,50,0,72,0,36,43,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,68,0,0,0,25,0,100,0,35,0,23,47,43,0,0,0,59,0,0,47,29,0,0,0,0,0,0,0,17,0,0,0,0,0,31,100,0,0,0,0,0,0,36,0,47,23,0,0,7,0,0,0,57,0,0,0,0,0,27,0,8,14,0,47,0,36,0,0,0,0,19,0,0,0,0,0,0,0,0,51,0,0,51,57,0,0,22,50,0,0
2006-06-01,42,27,0,0,40,63,0,36,44,0,0,0,0,0,0,30,0,0,0,26,0,0,0,0,0,35,0,0,0,0,52,50,29,18,0,12,48,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,33,0,0,31,51,0,0,51,0,0,0,0,0,0,17,0,0,14,0,35,96,0,0,0,0,47,0,36,0,8,0,0,48,0,29,0,0,0,0,39,0,0,42,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,52
2006-07-01,12,44,51,0,43,73,0,39,0,0,0,0,96,0,0,0,0,0,0,28,0,0,0,0,0,37,0,0,0,0,0,0,32,19,0,13,0,0,100,0,0,65,0,0,0,0,0,0,0,0,0,0,0,11,0,0,71,0,0,0,0,0,0,0,0,0,0,40,0,0,19,100,0,12,0,0,52,0,0,0,0,51,0,23,0,9,24,41,0,0,16,0,0,0,0,21,0,0,91,0,0,0,0,51,0,0,56,23,0,0,0,24,0,0,0
2006-08-01,53,0,0,0,0,57,0,76,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,50,26,0,53,0,18,0,37,50,23,47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,54,0,0,0,0,0,57,0,0,15,0,0,15,0,0,50,60,0,15,0,49,54,22,0,44,15,0,0,0,45,0,0,0,0,20,0,0,0,0,35,0,0,49,0,0,0,54,0,0,0,23,0,0,0
2006-09-01,43,0,0,0,0,47,0,47,0,0,0,0,78,100,0,26,0,0,0,0,88,38,0,0,0,30,0,0,42,22,0,44,25,23,0,10,0,19,0,0,46,52,0,0,41,0,0,0,0,0,7,53,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,18,0,0,6,0,0,42,51,0,12,0,41,45,19,0,10,13,100,0,0,55,50,0,42,0,25,0,0,0,0,22,22,0,0,0,0,0,55,100,0,0,19,0,0,0
2006-10-01,45,0,0,0,0,59,0,58,0,0,0,0,0,92,0,24,0,0,0,0,40,0,0,0,0,28,0,0,0,20,0,0,23,28,0,19,0,0,37,0,0,48,0,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,28,0,0,11,0,0,38,0,0,17,0,0,0,17,0,10,35,92,38,0,50,0,67,0,100,16,0,0,100,29,0,20,0,0,0,0,0,0,46,0,0,36,41,0,0
2006-11-01,46,21,36,0,0,45,0,28,0,0,0,0,0,88,0,23,0,46,0,0,0,0,45,0,0,26,0,0,0,29,0,0,22,13,0,36,0,0,35,0,0,92,0,0,36,22,0,0,0,0,0,0,0,16,0,0,25,0,0,0,0,27,0,39,0,45,0,28,0,0,38,0,0,0,0,55,37,0,0,11,0,0,0,27,0,12,15,29,0,0,30,44,0,0,0,22,0,0,32,0,26,0,0,54,0,0,0,0,44,0,0,0,39,0,0
2006-12-01,29,0,36,0,0,43,70,28,100,0,0,0,69,0,0,58,0,0,0,0,78,34,0,0,0,27,0,0,0,20,0,0,0,14,0,18,37,17,36,0,40,47,0,0,37,0,0,0,0,0,0,0,0,27,56,100,0,0,0,49,0,54,0,39,0,0,0,0,0,0,49,0,0,11,0,28,37,45,0,0,0,0,0,25,0,6,11,0,0,0,15,0,0,0,0,15,0,0,0,57,19,0,0,0,0,0,0,0,0,40,0,17,39,0,0
2007-01-01,38,18,0,34,26,52,0,24,0,0,0,0,59,0,0,20,0,0,0,17,0,0,0,48,0,34,0,0,0,50,0,0,29,23,0,19,0,15,31,0,52,40,59,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,31,0,54,0,34,0,78,0,0,100,32,37,0,0,10,59,0,32,0,0,0,0,0,0,14,0,11,23,0,32,0,14,0,0,0,0,13,0,0,28,0,50,0,0,0,0,0,0,14,0,0,0,15,0,0,0
2007-02-01,51,19,33,0,0,58,0,26,0,0,0,0,0,81,0,42,0,42,0,0,0,0,0,0,0,25,0,0,0,18,0,36,31,25,0,8,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,23,0,0,22,0,25,0,0,0,41,0,0,0,0,35,66,0,10,0,0,34,0,0,10,0,0,0,28,0,0,14,0,34,0,17,0,0,0,0,14,0,0,44,39,35,0,0,33,0,35,0,15,0,0,37,16,0,0,0
2007-03-01,28,0,0,32,25,41,56,23,0,0,0,0,0,0,0,28,0,38,45,0,32,0,74,45,0,22,0,0,30,16,32,32,18,33,0,11,30,14,0,0,0,37,0,0,0,18,0,0,80,0,0,0,0,18,0,0,21,0,0,20,0,36,0,0,0,37,41,23,0,0,20,0,0,7,0,0,91,36,0,12,0,29,0,18,0,0,23,0,0,0,42,0,0,0,0,18,0,0,53,0,16,16,0,0,0,0,0,17,36,0,0,0,0,0,0
2007-04-01,30,18,0,67,27,39,0,32,0,0,0,0,0,0,0,33,0,0,0,0,0,29,0,0,0,23,0,0,0,0,34,33,29,12,0,8,0,15,31,0,35,0,58,0,0,20,0,0,0,0,0,40,52,19,0,86,22,0,0,21,0,23,0,34,0,0,0,48,0,0,29,0,0,7,0,0,32,58,100,18,0,0,34,26,0,0,16,25,0,0,10,0,0,0,0,13,0,0,42,0,17,25,0,31,0,0,0,14,0,0,0,0,0,0,0
2007-05-01,30,0,0,0,45,53,0,61,0,52,0,54,100,64,0,33,30,0,0,29,43,0,33,41,0,39,0,0,0,14,58,57,16,10,0,7,0,12,39,0,0,0,50,0,0,0,0,0,0,0,0,0,0,12,0,0,18,0,26,18,0,0,0,28,0,0,0,0,0,27,34,0,0,12,0,40,27,32,0,12,0,27,0,22,0,7,25,0,0,0,33,32,0,0,0,16,0,0,24,0,14,0,0,0,0,28,0,12,0,0,0,0,57,0,0
2007-06-01,22,31,27,0,45,50,0,0,24,0,0,54,100,65,0,17,0,0,0,0,0,0,0,0,0,20,0,0,0,57,0,29,0,13,0,13,27,12,26,0,29,34,0,0,0,17,0,0,0,0,0,0,0,10,0,73,28,0,0,18,0,20,0,0,0,0,0,21,0,0,25,0,41,12,100,0,27,100,0,12,17,0,0,16,0,9,22,0,0,0,16,0,0,0,0,0,0,100,0,21,0,14,0,0,30,0,0,20,32,0,0,13,0,0,0
2007-07-01,37,16,28,0,24,55,0,33,26,0,0,0,54,0,0,36,0,0,43,0,0,0,36,0,37,21,0,0,0,15,0,31,18,0,0,7,0,0,28,0,32,36,53,0,0,18,0,0,0,0,0,0,0,13,0,0,40,0,0,19,0,35,0,30,0,0,0,100,0,29,47,56,45,13,0,0,29,35,0,8,0,29,31,26,0,29,15,0,0,95,9,34,0,29,0,24,0,0,25,0,0,15,0,0,0,0,0,21,0,0,0,0,0,0,0
2007-08-01,24,0,0,0,25,50,0,23,27,0,0,0,56,0,0,19,0,38,0,16,48,0,0,0,0,0,0,0,0,32,33,32,18,0,0,7,0,14,58,0,0,0,0,0,0,18,0,0,0,0,0,0,49,7,0,0,21,0,0,20,0,0,0,0,0,0,0,58,0,0,62,0,0,14,56,0,30,0,0,9,0,50,33,24,0,44,19,0,0,100,28,0,0,0,0,19,0,0,26,0,16,0,0,0,0,0,0,27,0,0,0,14,0,0,0
2007-09-01,40,0,0,0,0,54,0,20,0,0,0,0,49,64,0,25,0,0,0,0,0,24,0,0,34,0,0,0,27,28,0,28,0,10,0,0,26,78,26,0,58,0,0,0,0,16,0,0,0,0,0,0,0,18,0,0,18,0,0,18,28,39,0,28,0,0,0,41,0,27,58,0,0,12,49,20,27,32,84,0,0,27,29,14,0,6,30,0,0,0,56,0,0,0,0,11,0,0,94,0,28,14,0,26,29,28,0,35,32,0,0,0,28,0,0
2007-10-01,61,13,0,0,20,28,0,66,22,0,0,0,45,0,50,67,27,30,36,0,25,22,0,0,0,26,0,0,0,25,26,25,22,21,0,26,0,22,0,0,26,30,0,0,0,0,0,0,0,0,0,0,0,16,36,0,0,0,0,0,0,17,0,25,0,44,0,0,0,24,78,0,0,9,0,0,24,29,0,14,0,24,0,25,0,6,19,19,0,79,31,0,0,0,0,16,0,0,21,0,19,0,0,24,0,0,0,10,0,0,26,11,25,0,0
2007-11-01,36,13,33,0,0,35,0,28,21,0,0,0,41,0,0,61,0,0,0,0,24,0,0,0,29,49,47,0,0,16,24,0,27,14,0,30,0,10,43,0,50,28,84,0,0,14,0,0,61,0,0,0,0,12,0,60,46,0,0,0,0,17,0,23,0,28,0,0,0,23,91,0,0,12,0,17,23,41,0,7,0,0,0,40,0,0,30,18,0,0,17,0,0,0,0,12,43,0,40,17,27,12,0,22,24,0,25,10,0,0,0,11,0,0,0
2007-12-01,36,0,23,0,0,51,0,36,21,0,0,0,44,0,0,44,27,29,0,0,25,0,44,0,30,17,0,0,0,12,25,0,14,38,0,9,23,0,23,0,0,0,44,0,0,0,0,0,63,0,0,0,0,24,0,0,16,0,0,16,0,43,0,0,0,0,0,0,0,24,100,0,0,5,44,0,0,29,74,14,0,0,26,25,0,6,10,0,0,0,26,0,0,0,0,14,0,0,0,36,25,0,0,46,0,0,0,10,29,0,26,22,0,0,0
2008-01-01,37,0,63,23,18,47,40,24,0,0,0,0,40,0,0,44,0,27,0,0,23,0,26,0,0,31,0,0,0,11,0,0,13,24,0,10,21,0,27,0,23,0,0,0,21,13,0,0,57,0,3,0,0,20,0,0,0,0,42,14,23,39,0,23,0,26,0,16,0,21,74,0,49,10,0,0,0,0,0,10,0,0,0,29,0,4,16,0,0,0,30,0,0,0,0,9,0,0,19,0,22,0,0,0,0,23,0,9,64,0,0,0,0,0,0
2008-02-01,39,0,22,0,19,34,0,34,0,0,0,45,0,54,0,19,0,0,34,12,0,21,0,0,0,0,0,0,23,24,0,0,18,30,0,6,22,0,0,0,25,28,42,0,0,0,0,0,0,0,0,0,0,8,0,0,31,0,0,15,0,22,0,0,0,28,0,17,0,22,87,0,0,15,0,17,22,27,0,10,0,22,0,24,0,6,11,0,0,0,16,27,0,0,0,9,0,0,0,17,12,0,0,22,0,0,0,10,27,24,49,0,0,0,0
2008-03-01,32,0,40,43,17,51,0,23,0,0,0,0,37,49,0,19,0,0,0,11,43,0,0,0,0,15,0,0,20,11,22,0,12,12,0,10,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,0,14,0,0,13,0,24,0,32,0,75,0,31,0,20,76,0,0,12,0,0,20,0,0,14,0,0,22,20,0,7,6,0,0,0,16,0,0,20,0,14,0,0,18,0,11,16,0,27,0,21,0,9,73,22,0,9,21,0,0
2008-04-01,54,18,21,22,18,51,0,27,0,0,0,0,40,51,0,48,0,27,0,0,44,19,26,0,54,0,0,0,0,22,23,22,17,21,0,10,21,10,20,0,35,26,0,0,21,0,0,99,0,32,0,0,0,16,0,0,15,0,21,21,23,31,0,0,0,26,29,0,0,21,80,0,33,10,0,0,42,0,67,6,0,21,0,21,0,0,19,0,0,0,19,25,37,0,0,13,0,0,28,0,11,17,0,21,0,0,0,9,0,0,23,15,22,0,0
2008-05-01,40,12,21,22,17,49,0,16,19,0,0,0,39,50,0,30,0,26,0,0,22,19,26,0,0,23,0,0,0,11,0,30,13,21,0,13,0,0,40,0,0,65,0,0,0,17,0,0,0,0,0,0,0,28,0,0,14,0,0,0,0,15,0,0,0,52,0,0,0,0,56,0,0,3,0,0,21,25,0,9,0,0,0,22,0,7,11,0,0,0,27,25,0,0,0,0,0,0,36,24,11,0,0,0,0,44,0,23,25,0,0,19,0,0,0
2008-06-01,24,0,0,23,27,41,0,32,0,0,0,0,0,0,0,27,0,27,0,0,45,0,0,0,0,31,0,0,0,22,23,0,26,8,0,10,21,0,0,0,23,27,0,0,0,13,0,0,0,0,3,0,0,16,0,0,29,100,0,0,0,41,0,45,0,26,0,16,0,21,57,0,0,8,0,0,21,26,0,9,0,0,0,26,0,5,15,17,0,0,34,0,0,21,0,0,0,0,25,0,0,17,100,0,0,0,0,22,26,0,0,30,0,0,0
2008-07-01,18,33,34,0,19,51,0,18,0,0,0,46,43,55,0,14,0,29,0,0,25,0,29,0,0,17,0,0,0,18,0,0,14,23,0,17,23,11,22,0,0,0,0,0,23,14,0,0,0,0,0,0,0,5,35,0,0,0,0,15,0,17,0,0,0,29,0,35,0,0,54,0,0,17,0,0,23,42,0,9,0,46,0,24,0,5,11,0,0,0,16,0,0,0,0,9,0,0,27,0,36,12,0,0,0,0,0,27,0,0,0,32,0,0,0
2008-08-01,33,0,0,0,21,42,0,44,0,0,0,100,0,0,0,36,0,31,37,0,26,0,0,0,0,18,0,0,0,13,0,26,22,18,0,6,24,11,24,0,0,31,46,100,0,15,0,0,0,0,0,0,40,22,0,0,17,0,0,16,0,27,0,0,0,30,0,19,78,0,51,0,38,22,0,19,37,30,0,7,0,0,0,22,0,15,10,0,0,0,40,0,0,0,0,0,0,0,22,19,13,0,0,25,0,0,0,18,60,0,0,23,0,0,0
2008-09-01,49,0,20,0,26,42,0,26,0,0,0,0,0,0,0,26,0,0,0,0,22,0,0,0,0,15,0,0,21,0,0,22,25,0,0,8,0,24,20,0,23,26,58,0,20,13,0,0,0,0,0,0,33,17,0,0,14,0,0,14,22,15,0,44,0,51,0,0,0,0,55,0,0,14,0,0,34,25,0,6,0,20,22,29,0,7,11,0,0,0,58,0,0,21,0,13,0,0,0,16,18,0,96,20,0,22,0,18,25,0,0,10,0,0,0
2008-10-01,49,0,18,0,30,49,0,37,0,0,0,0,0,0,0,30,21,23,0,0,19,0,0,28,0,20,39,0,36,29,0,19,17,18,0,13,18,20,18,0,20,30,0,0,0,11,0,0,0,0,3,0,0,15,27,0,13,0,0,12,0,27,0,0,0,23,0,14,0,0,57,0,28,4,0,27,30,0,0,5,0,0,0,29,0,8,30,15,0,0,41,0,0,0,0,17,0,0,24,14,19,0,0,18,0,19,0,8,22,19,0,8,0,0,0
2008-11-01,51,0,0,0,0,40,0,24,0,0,31,0,35,0,0,16,0,24,0,0,20,17,24,0,24,14,0,0,25,30,0,0,23,26,0,37,19,13,18,0,0,0,0,0,19,12,0,0,0,0,3,0,0,13,0,0,13,89,0,13,0,21,0,0,0,35,0,15,0,19,59,0,29,7,0,28,19,46,60,11,0,19,0,28,0,5,16,0,0,0,40,23,0,19,0,21,0,0,28,15,10,0,0,38,0,40,0,8,0,0,21,44,0,0,0
2008-12-01,30,11,19,20,16,35,0,22,0,0,0,0,35,0,0,12,22,47,0,0,20,0,23,0,24,14,0,0,28,20,0,20,12,37,0,14,19,12,18,0,0,0,35,0,0,12,0,0,0,0,3,24,0,28,28,0,0,0,0,19,0,35,0,20,0,24,0,15,0,19,90,0,29,14,0,0,19,23,0,9,0,0,21,14,0,8,14,0,0,0,31,23,33,19,0,15,0,0,17,22,20,0,0,28,0,20,0,8,0,0,0,18,0,0,0
2009-01-01,46,0,0,0,22,42,0,31,0,0,0,0,0,0,0,36,0,22,0,0,18,16,22,26,0,25,36,0,0,31,19,0,16,32,0,4,17,8,33,36,38,22,0,0,17,10,0,0,0,0,3,0,0,28,0,47,18,0,17,12,18,17,0,19,0,22,0,13,0,18,71,0,27,7,0,0,35,21,0,10,0,17,0,16,0,6,14,0,18,0,23,0,0,0,0,24,0,64,31,40,12,0,0,17,0,0,0,20,28,0,0,20,19,0,0
2009-02-01,34,11,37,20,16,41,0,28,0,36,0,0,0,45,0,55,21,24,28,0,20,0,0,0,0,14,0,0,38,15,20,40,23,25,0,12,19,9,18,0,20,0,35,0,0,0,0,0,100,0,0,0,60,18,28,51,13,88,18,13,20,27,33,0,0,23,0,0,0,0,75,0,29,11,35,14,19,45,0,16,0,19,0,20,0,0,9,0,0,0,25,23,0,0,0,26,35,0,0,0,15,10,0,0,0,0,0,8,23,0,0,9,0,0,0
2009-03-01,51,10,33,18,28,46,32,43,0,0,0,0,0,0,0,28,0,0,25,0,0,16,21,25,21,12,0,0,0,15,18,0,10,25,0,10,17,8,16,0,0,21,0,0,0,41,0,0,45,0,0,0,27,19,0,46,0,0,17,0,0,49,0,27,0,42,0,0,53,26,65,0,26,0,0,0,28,0,0,10,0,0,0,29,0,7,8,0,0,0,19,0,0,0,0,18,0,0,20,39,9,9,0,17,0,0,0,7,20,0,0,8,0,0,0
2009-04-01,39,0,36,26,23,49,0,41,17,0,0,36,0,0,0,34,0,23,0,0,19,0,45,28,0,0,38,0,0,29,0,19,11,18,100,11,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,0,50,19,0,18,12,0,39,0,19,0,45,0,14,0,0,50,0,0,4,34,0,24,44,0,11,0,18,20,31,18,6,11,0,0,61,17,22,0,18,0,7,0,67,48,0,9,14,0,18,20,0,0,11,22,20,0,8,0,0,0
2009-05-01,29,0,52,28,52,41,33,20,16,34,0,0,33,0,0,29,0,22,0,0,19,16,22,27,0,19,0,0,0,23,19,0,11,13,0,17,18,8,17,0,38,0,0,0,0,11,0,83,47,0,3,0,57,17,0,0,0,0,0,18,19,19,0,19,0,0,0,27,0,0,60,0,0,7,32,0,27,21,0,15,0,17,0,9,0,6,9,0,0,0,23,0,0,18,0,11,0,0,31,0,9,14,82,17,0,37,0,15,0,0,0,16,0,0,0
