date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Belgian Endive,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Madarins,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2005-11-01,61,42,26,57,0,27,18,0,42,50,25,84,0,100,0,0,0,42,0,0,0,8,70,0,0,0,0,24,0,12,30,0,0,28,0,0,17,36,27,0,0,22,0,0,8,17,10,30,0,90,37,0,0,72,42,0,0,0,64,0,0,0,0,49,69,51,25,0,61,35,23,59,0,0,0,74,0,50,0,35,0,10,57,0,25,19,33,27,48,0,0,29,0,38,0,24,0,64,0,8,12,0,0,100,34,0,52,49,0,64,51,20,14,28,19,0,15,0,0,0,34,20,0,0,92,21,49,0,0,0
2005-12-01,0,14,43,32,0,14,27,0,53,0,20,0,0,0,0,0,18,0,0,0,0,9,0,0,0,0,72,18,0,8,34,0,0,36,0,0,24,27,31,0,0,23,72,0,15,20,31,23,100,0,35,21,100,41,0,0,0,0,0,90,0,0,0,28,0,58,23,0,23,39,0,17,0,0,0,100,0,97,100,40,0,20,28,100,0,22,0,0,35,37,0,41,0,32,7,19,0,72,0,16,13,0,0,50,0,77,60,0,0,71,0,16,10,43,11,0,10,0,0,0,33,23,0,0,78,22,56,90,0,0
2006-01-01,0,31,39,55,0,9,9,0,61,100,15,41,0,0,0,0,15,0,0,100,0,8,0,0,68,87,0,15,0,7,59,0,0,21,0,0,12,0,27,62,0,12,0,0,8,8,20,31,85,87,70,18,0,0,26,0,0,0,0,0,11,41,0,24,0,44,15,0,19,33,43,29,0,0,0,29,0,52,0,69,0,20,47,0,24,33,32,52,42,32,44,19,0,61,6,18,0,61,0,14,11,0,0,0,17,66,100,0,82,0,0,23,12,37,13,0,16,0,0,0,33,20,0,0,44,23,0,0,0,94
2006-02-01,58,21,21,27,0,9,17,0,59,0,22,0,0,95,0,0,30,20,0,0,0,10,0,0,0,0,0,15,0,7,38,0,0,10,0,0,0,0,17,0,0,21,0,100,10,0,23,54,0,42,58,18,0,0,28,0,0,0,0,76,0,41,46,0,65,0,19,0,19,32,32,42,0,0,0,83,93,34,0,33,0,16,38,83,23,24,61,76,45,31,0,46,0,53,6,28,0,61,0,11,11,97,0,62,16,0,0,0,0,60,0,9,27,27,11,0,14,0,0,0,44,0,0,0,87,16,0,73,0,93
2006-03-01,95,33,14,0,0,11,14,0,72,40,18,0,0,79,0,88,12,25,0,0,100,9,54,16,0,0,0,21,0,8,71,0,47,12,0,0,20,19,25,50,0,25,0,0,6,10,46,28,0,35,29,20,69,0,42,0,67,0,0,0,0,34,38,19,0,36,23,0,24,0,35,35,0,0,0,46,76,39,0,83,62,24,57,0,29,10,76,74,17,26,0,36,0,22,5,21,0,50,0,17,25,0,0,26,18,0,41,0,0,0,40,17,27,30,10,100,8,0,0,0,20,24,0,0,36,13,0,61,67,0
2006-04-01,0,52,12,32,0,15,11,0,63,43,22,0,0,86,68,48,0,27,0,0,0,11,0,43,0,0,0,27,0,9,34,84,51,9,0,0,16,0,12,54,0,21,0,0,31,15,23,51,0,38,39,24,0,31,66,0,72,0,0,0,0,36,0,21,58,78,23,0,17,0,38,13,0,0,0,25,0,45,0,0,68,26,34,0,52,22,27,23,29,41,57,33,0,27,0,22,54,53,0,22,47,0,66,28,14,0,44,0,0,0,65,21,22,16,12,0,11,27,0,0,34,17,0,0,39,8,0,0,0,0
2006-05-01,43,45,21,51,65,13,20,0,69,0,25,0,0,0,0,41,11,30,0,0,0,9,0,30,0,64,0,38,0,11,22,0,0,15,0,0,18,17,25,0,0,14,46,0,26,13,10,17,0,32,57,20,0,26,34,0,62,0,46,0,8,0,0,45,0,100,23,64,44,0,32,16,0,0,0,0,0,51,0,0,57,19,53,0,18,28,47,20,28,0,0,33,0,14,0,28,0,0,0,17,63,73,56,48,0,0,0,35,0,46,73,20,14,23,12,0,13,23,0,0,31,15,0,0,0,13,0,0,0,0
2006-06-01,0,52,24,65,0,7,16,0,68,39,26,32,0,77,0,0,12,16,0,0,0,15,0,16,0,68,0,20,0,11,31,0,0,27,0,0,19,0,0,49,0,17,49,0,12,13,8,49,0,69,28,14,0,0,64,0,0,0,0,0,13,33,37,44,53,47,14,0,16,0,17,17,0,0,100,0,0,60,0,27,0,16,56,0,37,23,25,0,40,50,52,30,0,15,0,20,0,0,60,22,25,0,0,38,13,0,40,0,65,0,39,25,11,15,4,0,11,0,0,0,31,23,0,0,35,3,0,0,0,74
2006-07-01,89,65,13,48,0,10,21,0,68,75,23,31,0,0,59,0,0,31,0,0,0,17,0,0,0,0,69,35,0,7,0,0,44,8,0,0,14,18,15,0,0,27,0,0,8,26,18,24,0,33,27,23,0,26,22,0,62,0,0,58,8,31,0,72,50,45,21,65,30,100,16,22,0,0,96,0,72,41,0,0,0,18,24,0,18,9,24,20,35,48,33,19,0,14,9,23,47,47,0,22,9,0,0,24,19,0,38,0,62,0,56,22,31,28,10,0,14,31,0,0,20,0,0,0,34,8,36,0,62,0
2006-08-01,39,45,11,31,0,9,8,0,70,33,25,0,0,0,0,0,10,14,0,0,0,19,0,40,0,0,41,21,0,5,79,0,0,11,0,0,14,23,18,41,0,28,41,0,10,20,11,18,0,29,44,33,0,23,27,100,0,0,42,0,0,0,32,21,0,20,25,0,18,0,22,10,0,0,0,38,0,60,0,23,52,22,100,0,21,17,21,18,40,0,29,34,0,12,0,20,0,62,0,18,8,66,0,22,11,0,34,0,55,41,66,25,22,25,15,0,6,42,0,0,19,39,0,0,30,10,32,0,56,0
2006-09-01,0,41,12,51,0,18,10,0,74,34,14,0,0,0,0,0,11,21,0,0,0,11,48,41,0,0,42,14,0,5,20,0,0,21,0,0,13,24,14,0,0,24,0,0,0,12,7,24,0,31,41,13,0,49,20,0,0,0,85,0,8,0,65,25,0,48,21,0,14,24,15,15,0,0,0,20,67,72,0,0,53,14,66,0,33,17,33,45,32,44,0,24,0,21,4,24,0,65,0,18,16,69,52,44,11,0,0,34,0,42,35,16,17,17,13,0,12,22,0,0,29,34,0,0,31,8,0,0,0,0
2006-10-01,0,36,15,18,0,27,26,100,60,32,17,0,0,0,0,0,10,27,0,0,0,13,44,32,0,0,40,17,0,11,32,0,38,20,0,0,21,0,9,40,57,20,40,0,5,28,19,36,0,85,50,12,0,0,23,0,54,0,40,0,0,0,31,16,0,39,33,56,13,22,57,19,0,0,0,18,62,40,0,22,50,36,31,0,23,16,20,34,44,62,0,41,0,12,4,19,0,60,49,20,15,64,0,21,16,0,33,0,53,0,32,34,19,24,23,0,8,20,0,0,34,13,54,0,29,20,0,0,0,62
2006-11-01,0,35,27,36,0,25,18,100,57,0,24,0,0,0,0,35,0,20,0,0,0,17,44,0,0,0,0,10,0,6,29,0,0,24,0,0,11,30,26,40,57,16,0,66,5,8,17,36,0,75,23,12,0,23,17,0,0,0,0,0,7,0,31,16,0,39,25,56,13,22,47,33,0,0,0,37,61,40,0,22,50,26,15,56,15,16,20,34,19,41,0,25,0,18,0,19,0,40,0,16,8,0,0,21,0,0,49,31,0,0,0,22,9,20,8,0,8,20,0,0,34,13,53,0,29,16,31,0,0,0
2006-12-01,44,26,67,31,0,23,29,0,69,0,19,0,0,73,0,0,17,15,0,0,0,11,0,30,0,0,46,23,0,5,44,0,0,28,0,0,18,18,15,0,0,11,46,0,8,6,22,32,0,49,31,27,64,26,26,0,0,0,46,0,8,0,0,27,0,22,24,0,29,50,16,70,0,0,0,64,0,31,0,25,0,30,35,0,18,22,36,39,32,24,0,39,0,32,9,18,0,46,0,17,0,73,0,36,31,0,38,0,0,0,37,27,10,27,7,94,15,0,100,0,46,22,0,0,0,15,35,0,0,0
2007-01-01,38,28,32,26,0,8,16,0,55,63,24,0,0,0,0,35,10,13,0,0,0,13,0,13,0,0,0,20,0,5,28,0,0,15,0,0,13,15,17,79,0,26,65,65,7,16,17,35,55,28,26,12,0,22,22,0,0,0,0,49,7,0,30,38,0,25,17,0,31,0,21,32,100,0,0,42,0,57,0,44,49,21,35,0,15,12,60,100,32,20,0,30,0,35,4,14,0,39,0,14,7,63,0,41,25,42,32,30,0,39,32,24,11,27,7,0,11,20,0,0,33,19,0,0,0,15,0,0,0,60
2007-02-01,56,26,13,47,0,15,13,0,55,32,22,0,0,63,0,0,0,17,0,0,0,6,0,13,0,0,39,15,0,0,28,0,37,17,0,0,31,0,11,39,0,29,0,0,5,11,51,28,0,28,49,0,0,22,41,0,53,0,40,0,7,0,30,15,65,44,15,0,25,21,14,28,0,0,0,18,0,26,0,44,0,26,15,55,15,21,20,34,30,20,0,32,0,27,4,23,40,0,0,13,7,63,0,21,21,0,32,31,0,0,48,30,14,20,5,0,8,0,0,0,40,13,0,0,28,20,0,0,0,60
2007-03-01,32,36,11,30,0,5,11,0,71,54,15,33,0,0,43,0,8,11,0,0,0,7,0,22,0,0,33,25,0,5,16,0,0,9,0,0,18,13,29,34,48,36,51,56,8,7,29,26,0,48,42,17,47,19,57,0,0,0,0,0,6,23,51,13,37,60,17,0,14,18,18,16,0,0,0,31,0,30,0,19,42,22,32,0,0,14,26,29,28,0,0,35,0,20,7,24,0,56,0,14,25,53,0,26,14,36,0,0,0,67,41,14,18,40,9,0,10,0,0,0,33,21,0,0,24,17,0,62,0,51
2007-04-01,0,36,17,26,49,10,19,0,64,28,23,46,0,55,44,0,9,12,0,0,0,13,57,0,0,48,34,12,0,8,33,0,0,12,0,0,12,20,15,35,0,30,35,57,11,7,21,33,0,37,23,15,0,20,59,0,0,0,0,43,6,23,0,14,0,17,15,48,15,57,18,16,0,0,0,32,0,35,0,19,0,15,31,48,26,21,36,29,38,18,0,20,0,10,9,21,0,34,0,18,46,0,0,18,19,0,72,0,45,0,0,20,9,17,11,70,15,0,0,0,25,0,46,0,25,8,0,84,46,53
2007-05-01,56,47,8,43,41,14,15,0,58,23,28,0,0,47,74,26,0,10,0,0,0,14,0,38,0,0,0,19,0,7,14,0,28,13,44,63,17,16,16,0,41,25,29,0,20,14,16,24,0,31,34,17,0,17,37,0,0,0,30,0,5,0,30,19,32,61,16,0,34,16,21,14,0,0,0,20,0,16,0,0,36,16,52,41,11,14,45,19,52,23,52,30,0,14,6,22,0,29,0,21,31,0,36,30,12,31,48,23,0,58,47,24,22,12,5,0,8,29,62,0,30,23,0,0,21,12,0,53,0,0
2007-06-01,0,49,14,42,0,9,21,0,62,50,25,21,0,50,0,0,23,17,0,0,0,6,34,25,0,0,62,23,0,5,20,0,0,10,0,0,15,20,14,31,45,18,0,52,8,19,10,48,44,0,39,31,0,27,15,0,0,0,32,39,6,21,24,25,51,25,11,0,20,34,11,37,0,0,64,15,0,49,0,17,0,17,24,0,12,13,49,66,37,16,33,24,0,19,3,25,0,94,0,19,12,50,38,16,11,0,26,0,0,42,25,22,15,9,11,63,13,16,68,0,20,15,0,0,45,12,0,0,0,0
2007-07-01,29,42,15,36,0,6,14,0,57,24,23,0,0,0,76,0,15,20,0,49,0,11,33,15,0,0,30,18,0,9,19,0,0,10,47,0,18,11,13,0,43,21,61,0,6,27,5,33,42,75,44,18,0,17,26,0,41,0,31,38,5,41,0,28,33,39,14,43,29,16,16,21,0,0,0,14,0,41,0,17,38,18,23,0,35,10,0,51,25,23,0,23,0,18,3,23,0,61,0,17,11,0,0,31,8,32,50,0,0,30,50,27,12,18,7,0,13,15,0,0,30,19,0,0,43,11,46,0,0,0
2007-08-01,26,45,11,33,0,8,18,0,48,22,18,30,0,0,0,24,7,12,0,0,0,7,30,9,0,38,27,18,0,6,20,0,0,11,0,59,11,10,18,27,0,19,0,0,10,34,9,26,0,39,31,20,0,23,28,0,0,62,41,0,0,28,21,32,0,35,26,0,20,0,10,13,0,0,56,17,42,34,0,15,0,9,59,0,18,15,28,17,22,14,39,24,0,16,6,22,28,41,33,17,12,44,33,29,12,0,23,21,72,36,66,17,21,12,5,0,11,0,0,0,22,30,0,0,0,14,21,0,0,0
2007-09-01,0,41,8,35,41,16,16,0,66,23,18,0,0,46,0,0,11,22,0,0,0,14,0,28,0,0,29,19,0,10,21,0,0,19,45,0,17,11,10,29,0,27,58,0,7,32,8,24,40,27,50,17,0,17,21,0,0,0,29,0,0,20,0,27,32,19,27,0,12,16,17,24,0,0,0,13,45,39,0,16,0,24,37,40,15,14,22,37,48,30,20,27,0,14,3,27,0,0,0,26,5,0,35,31,13,31,24,22,0,0,58,32,13,9,20,59,14,15,62,0,30,23,0,0,42,11,0,0,0,44
2007-10-01,25,34,7,48,0,25,18,0,49,32,24,18,0,0,34,24,13,22,0,0,0,9,0,17,0,0,27,16,0,5,42,0,0,12,0,0,13,0,14,0,0,21,27,0,8,17,10,37,0,38,28,24,0,23,34,0,36,0,27,34,10,27,20,28,58,30,14,0,20,14,57,6,0,0,0,12,41,30,0,30,34,22,34,0,10,14,27,34,27,21,38,30,0,19,4,21,0,54,33,22,5,0,0,23,14,0,22,21,0,0,21,22,19,11,11,0,10,0,0,0,35,13,36,0,19,15,21,33,0,0
2007-11-01,0,25,16,100,0,24,23,0,60,22,20,18,0,0,0,24,13,18,0,0,0,15,0,13,0,0,27,7,0,5,30,0,25,25,0,0,14,10,14,27,38,22,27,0,10,9,10,27,38,28,28,16,37,31,23,0,36,0,41,0,5,18,0,21,29,35,25,0,9,15,47,19,0,0,0,19,0,39,0,25,34,15,38,0,10,13,28,17,13,14,0,37,0,13,3,28,54,36,0,21,5,43,0,42,11,0,22,0,36,27,0,23,7,16,12,0,10,13,0,0,25,17,36,0,26,18,21,0,0,41
2007-12-01,0,32,56,24,0,26,27,0,52,0,19,21,0,0,0,42,12,32,0,0,0,6,0,20,0,0,0,12,0,11,25,0,0,48,0,68,11,12,30,0,0,32,32,52,0,13,31,32,44,30,21,19,44,18,27,0,0,0,32,40,6,21,0,25,35,46,17,45,20,35,30,19,0,0,0,0,0,39,0,35,0,28,49,88,12,19,16,27,28,25,0,21,0,32,5,28,0,48,0,30,10,50,0,49,14,34,52,0,0,32,51,30,11,19,10,0,23,24,68,0,47,10,0,0,0,18,0,39,43,48
2008-01-01,27,21,45,25,0,19,22,0,60,34,22,19,0,0,0,25,11,13,0,47,0,13,31,18,0,40,0,18,0,9,27,0,0,14,0,61,19,11,27,28,0,45,28,0,8,18,23,34,39,30,35,17,0,16,27,0,0,0,29,0,0,0,0,11,31,55,26,0,39,46,15,43,0,0,0,26,0,25,40,53,36,23,33,0,11,8,51,24,37,44,20,23,0,40,3,20,29,38,0,25,5,0,0,15,27,30,70,22,0,56,23,28,26,25,5,0,12,14,0,0,41,18,0,0,20,22,22,35,38,43
2008-02-01,54,36,15,31,0,15,18,0,55,34,25,0,0,0,0,25,10,15,0,0,0,21,0,27,0,0,0,19,0,4,40,0,0,16,43,61,11,16,26,28,0,30,28,0,9,12,43,34,39,30,38,17,0,32,45,0,0,0,28,35,8,19,21,16,31,54,26,0,27,30,10,20,0,0,0,20,0,25,0,26,0,15,29,0,18,17,29,30,27,36,0,30,0,36,0,21,0,37,0,19,12,0,34,15,8,0,35,0,0,70,23,26,19,64,17,0,13,28,0,0,43,9,37,0,20,22,0,0,38,0
2008-03-01,50,42,12,19,0,13,22,0,60,28,25,17,0,41,49,23,19,26,0,0,0,11,28,13,0,0,26,17,0,9,19,0,0,11,0,0,10,20,17,26,37,22,65,0,11,7,31,39,0,27,37,15,36,30,44,0,35,0,26,32,9,17,20,13,28,46,23,0,33,14,9,15,0,0,53,12,0,43,36,19,0,22,36,0,10,21,40,33,30,13,18,32,0,10,5,21,26,39,0,19,34,41,31,20,28,0,21,0,34,0,21,25,16,18,10,52,9,0,0,0,36,0,35,0,28,13,0,48,0,0
2008-04-01,0,45,12,61,36,15,20,0,58,20,27,17,0,0,33,0,6,25,0,0,0,12,28,33,0,0,25,16,0,3,18,0,0,4,0,0,19,10,11,26,0,27,26,0,22,10,25,57,36,55,42,20,0,44,36,0,0,0,26,0,0,26,0,10,42,25,25,35,27,14,9,15,0,0,0,12,40,34,0,21,0,24,42,0,20,15,39,32,51,13,18,20,0,10,7,29,0,64,31,19,35,0,31,47,10,27,42,20,0,26,21,31,22,27,5,51,8,13,54,0,33,12,0,0,28,11,0,63,0,39
2008-05-01,23,50,12,36,0,16,10,0,63,19,23,16,0,0,30,21,12,19,0,0,0,20,0,23,0,34,0,24,0,3,19,0,0,12,0,52,11,9,7,0,34,25,36,40,18,13,18,32,0,17,16,19,0,41,66,0,0,0,0,30,13,16,18,9,52,54,19,34,11,20,38,8,61,0,49,28,0,30,0,27,0,22,46,67,28,18,0,26,35,0,17,23,0,7,7,33,24,36,0,22,38,38,59,25,11,26,40,0,0,24,29,22,19,22,10,0,11,12,52,0,24,54,0,0,17,9,18,30,0,0
2008-06-01,0,48,10,37,0,8,22,0,68,50,28,17,0,0,0,0,6,12,0,0,0,8,0,12,0,35,0,17,0,12,44,0,23,11,38,0,13,14,11,0,0,26,25,41,13,22,13,47,0,59,45,17,0,0,28,0,0,0,25,31,9,25,19,29,55,60,13,35,29,0,12,17,0,0,0,0,76,56,0,14,0,27,41,35,26,18,19,37,46,19,18,23,0,11,5,30,25,42,31,18,14,40,0,26,7,0,41,0,33,49,54,32,25,37,9,50,8,38,0,0,35,32,0,0,18,13,0,31,0,38
2008-07-01,23,48,16,44,0,12,19,0,46,40,30,16,0,39,31,0,9,14,0,0,0,17,0,28,0,35,0,22,0,8,18,0,0,7,37,0,23,9,9,25,0,28,37,0,6,12,13,36,0,35,31,19,0,42,23,0,0,0,25,0,9,28,19,29,27,52,15,0,18,13,26,23,0,0,0,23,38,49,0,14,0,31,53,34,29,10,50,57,35,25,0,28,0,7,4,27,50,25,30,22,6,79,0,32,7,26,60,0,0,49,20,29,21,10,18,0,12,19,0,0,31,19,0,0,18,18,0,60,0,0
2008-08-01,0,43,13,31,0,13,19,0,52,75,19,31,0,0,0,21,14,21,0,0,0,13,26,30,0,33,0,27,0,4,33,0,22,12,0,100,11,9,12,23,0,19,23,38,7,26,11,27,0,27,29,10,33,33,22,0,31,0,35,0,8,0,0,18,25,60,20,0,17,25,25,27,0,0,48,11,0,49,32,19,0,18,51,0,36,8,0,30,41,24,0,25,100,0,5,32,0,58,0,17,12,0,0,20,15,25,38,36,0,31,28,33,17,17,15,0,18,23,0,100,21,18,0,0,17,16,0,29,0,0
2008-09-01,22,36,11,46,0,14,16,0,58,19,35,23,0,37,30,21,12,31,0,0,0,15,0,26,0,0,24,18,0,14,26,0,0,9,0,0,13,22,19,0,34,22,24,0,6,19,6,34,33,28,20,17,0,27,24,0,0,0,24,30,4,16,18,18,26,52,29,0,10,26,22,14,0,0,48,18,73,53,0,13,30,28,42,33,27,11,18,15,35,24,0,31,0,12,7,23,23,31,0,21,15,56,0,25,9,25,32,18,0,31,57,32,6,14,24,47,12,12,0,0,39,8,0,0,17,17,18,0,0,0
2008-10-01,32,36,15,79,0,17,26,0,88,35,24,15,0,0,55,20,22,19,0,0,0,18,24,11,0,31,33,11,0,6,49,0,21,17,0,0,15,11,25,0,0,29,22,0,8,18,10,38,0,26,27,13,0,38,27,0,0,0,22,0,4,0,17,22,24,53,31,31,21,12,31,21,0,0,0,20,34,42,0,12,0,19,28,0,17,13,23,19,39,23,0,29,0,7,4,28,22,22,0,25,10,0,41,29,10,47,30,0,0,33,45,39,8,13,11,0,9,0,0,0,37,25,0,0,16,20,0,54,30,0
