date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asian Pear,Asparagus,Atemoya,Avocado,Bamboo Shoots,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Boysenberries,Broccoflower,Broccoli,Brussels Sprouts,Cabbage,Cactus Pear,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Dried Plums,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Horned Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mandarin Oranges,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava,Zucchini Squash
2006-02-01,0,19,0,0,0,64,0,0,0,41,0,100,0,0,0,0,0,0,0,0,0,58,0,63,0,0,0,74,0,73,0,0,0,0,0,0,100,0,100,0,0,62,0,0,0,0,36,79,0,0,57,0,0,62,23,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,73,0,0,0,42,0,0,0,0,75,0,28,0,0,24,0,0,57,42,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,28,0,0,0,0,63,0,0,0,73,31,0,0,0,24,0,0,0,0
2006-03-01,0,45,47,0,0,0,0,0,0,42,0,21,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,74,88,0,0,43,0,0,0,0,52,0,0,0,0,0,27,0,100,37,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,70,61,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,71,0,54,47,0,0,42,0,0,0,48,0,0,0,5,0,0,0,0,100,0,0,0,0,0,100,24,37,0,26,0,54,0,0,0,62,0,0,0,0,30,0,0,0,0
2006-04-01,100,43,0,0,0,0,0,24,0,47,0,22,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,46,0,0,0,0,0,44,0,0,0,0,0,0,0,0,100,32,83,0,0,50,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,36,0,0,0,0,0,43,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,24,38,0,0,0,0,0,0,0,21,0,0,0,0,56,0,0,0,0
2006-05-01,0,35,44,0,0,0,0,22,0,13,0,20,65,0,0,48,0,0,0,0,0,45,0,0,0,0,34,0,0,57,0,0,0,0,0,0,39,61,39,0,0,0,0,0,0,0,29,50,0,0,45,68,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,63,0,0,0,0,57,0,0,0,33,0,66,0,33,0,0,44,0,0,19,0,58,45,33,0,41,100,4,0,0,0,65,0,0,100,0,0,0,0,33,34,0,49,0,0,0,0,0,57,0,0,0,0,74,0,0,0,0
2006-06-01,0,41,43,0,0,49,0,0,0,32,0,19,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,100,0,0,0,42,24,0,0,45,0,0,0,12,0,0,0,0,0,0,100,0,0,0,0,0,28,0,0,0,0,63,0,0,0,0,42,0,0,100,33,38,0,0,32,0,0,22,0,0,19,0,0,44,33,0,0,98,11,0,0,0,0,0,100,99,0,0,0,0,22,0,0,0,0,0,0,0,0,28,0,0,0,0,46,57,0,0,0
2006-07-01,0,62,41,0,0,47,0,0,0,37,0,18,0,0,56,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,64,0,0,0,37,0,0,0,0,45,97,0,0,0,0,47,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,60,0,0,0,0,0,0,0,0,0,37,0,0,61,56,47,21,0,0,24,0,0,42,31,0,39,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,27,23,0,0,0,29,0,0,0,0
2006-08-01,81,43,0,0,100,0,0,0,0,47,0,53,58,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,52,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,26,34,0,0,20,0,0,43,11,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,57,0,0,0,0,0,0,0,0,59,35,0,0,0,0,45,0,0,100,0,0,0,41,0,0,0,90,4,0,0,0,29,0,0,0,0,0,0,0,39,31,0,0,0,45,0,0,0,52,0,0,0,0,17,0,0,0,0
2006-09-01,0,50,0,43,0,0,0,29,0,57,0,17,0,0,0,0,0,0,0,0,0,40,0,44,0,0,0,26,0,50,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,80,0,22,0,0,60,61,0,0,16,0,100,0,0,0,0,0,0,100,0,0,0,25,92,0,0,100,0,0,51,0,0,38,0,0,0,29,34,0,0,29,52,44,19,0,0,22,0,0,0,39,0,36,0,4,0,0,0,29,0,0,0,0,0,0,81,29,0,0,22,100,44,0,0,0,68,66,100,0,44,33,0,0,0,0
2006-10-01,0,54,60,0,0,0,0,20,0,29,0,18,0,0,0,0,0,0,0,0,0,41,0,45,0,45,0,0,0,0,0,0,62,0,0,0,36,0,36,0,0,44,0,0,0,0,52,45,100,0,41,62,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,26,0,100,0,0,0,0,0,0,0,26,0,70,0,0,35,0,0,50,0,45,20,0,0,23,0,0,41,0,0,37,0,9,0,0,0,0,0,0,0,0,0,0,0,20,62,36,22,0,45,0,0,0,0,0,0,0,45,42,0,0,0,0
2006-11-01,0,54,36,0,0,0,0,18,0,24,0,16,0,0,48,0,0,0,0,0,0,37,0,41,0,40,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,31,34,91,0,28,0,0,0,35,0,0,0,55,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,81,63,0,0,27,0,0,18,0,0,26,0,0,38,0,0,66,0,4,0,0,0,54,0,0,0,0,0,0,0,27,0,0,0,0,40,0,0,0,0,20,0,0,40,25,0,0,0,0
2006-12-01,0,40,71,0,0,40,0,18,0,34,0,24,0,0,0,0,0,0,0,0,0,36,50,40,0,0,0,0,0,46,100,0,0,33,0,0,0,0,32,0,0,39,0,0,0,0,46,20,0,0,30,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,71,0,0,0,0,0,0,23,0,0,0,40,0,0,0,0,0,0,26,26,0,31,0,47,73,27,0,33,0,5,0,0,0,26,74,0,0,0,0,0,0,41,27,31,19,91,0,0,100,0,46,40,0,0,0,23,0,0,100,0
2007-01-01,0,30,66,36,0,37,0,16,0,36,0,22,0,0,0,0,0,0,0,0,0,34,0,37,0,0,0,22,0,43,31,0,0,0,0,0,0,0,29,0,0,36,0,0,0,0,0,28,0,0,34,0,0,36,32,0,0,0,0,0,0,0,0,84,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,24,28,0,0,33,0,37,22,0,0,21,0,0,0,0,0,0,0,6,0,0,0,49,0,0,75,0,0,0,0,33,25,0,18,0,37,0,0,0,28,19,0,0,0,23,0,0,0,0
2007-02-01,0,36,0,37,0,38,0,17,0,32,0,38,0,44,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,44,31,0,0,31,100,0,90,0,30,0,0,0,0,0,0,0,22,28,0,0,34,52,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,67,0,0,0,0,0,0,44,0,58,0,75,44,0,0,25,0,38,17,25,0,36,0,0,52,38,0,0,0,3,0,0,0,0,70,0,0,0,0,0,0,33,26,0,19,0,0,0,0,0,15,0,0,0,38,38,0,0,0,0
2007-03-01,0,61,39,32,0,66,0,14,0,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,26,39,0,32,67,100,0,0,29,16,0,61,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,38,0,0,0,0,51,0,0,22,0,33,15,0,0,21,0,0,30,22,0,27,0,0,0,0,0,22,0,0,0,0,0,0,0,34,45,39,16,75,33,0,0,0,13,0,0,0,0,45,0,0,0,0
2007-04-01,0,24,30,33,0,0,0,0,0,22,0,27,0,39,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,28,0,0,28,0,0,0,0,53,40,0,33,69,0,0,0,26,25,0,63,69,46,0,0,8,0,0,0,47,0,0,0,0,0,0,100,44,29,0,0,0,0,43,0,0,33,0,19,0,0,0,0,26,44,0,33,0,33,45,22,0,39,0,0,0,23,0,28,0,3,0,0,0,0,0,0,0,53,0,0,0,15,46,0,17,0,34,0,0,0,52,17,0,0,0,50,0,0,0,0
2007-05-01,0,33,25,0,0,28,0,16,0,31,36,28,0,0,0,27,62,0,0,0,0,38,35,0,0,28,0,0,0,32,0,0,0,0,0,0,22,0,29,0,0,27,0,0,0,0,33,19,0,52,30,38,0,0,17,0,0,0,0,0,0,0,46,0,0,0,0,48,0,0,50,0,36,0,0,14,0,16,0,0,0,0,22,0,0,37,34,28,31,0,0,21,0,32,0,38,0,46,0,0,0,0,0,18,52,0,0,0,0,0,0,18,58,33,14,0,0,0,0,0,32,14,0,0,28,35,0,0,0,0
2007-06-01,0,43,32,0,62,28,0,18,0,34,0,22,0,32,0,0,0,0,0,0,0,25,0,28,0,27,0,16,0,0,0,0,0,0,0,0,22,0,22,0,0,27,56,0,0,0,32,37,0,51,38,0,0,0,7,0,63,0,38,0,0,56,0,0,0,0,0,16,58,0,0,0,35,0,0,14,0,16,0,0,56,36,43,0,0,18,33,0,24,18,0,21,0,0,25,37,0,23,0,4,0,0,0,36,0,56,0,0,0,0,51,16,19,0,0,0,28,0,0,0,11,0,0,0,0,24,0,0,0,0
2007-07-01,0,38,38,25,0,26,0,15,0,33,34,36,0,0,0,0,0,0,0,0,0,59,32,26,0,25,0,15,0,30,0,0,0,0,0,0,71,0,0,0,100,0,0,0,0,47,15,32,0,0,35,0,0,0,9,0,0,0,35,0,0,52,0,0,0,0,0,20,54,0,0,0,0,0,0,13,0,0,0,40,0,34,40,0,0,0,31,26,27,17,0,26,0,0,23,26,0,0,0,2,0,0,100,17,0,0,0,0,0,0,0,28,26,20,0,59,26,0,0,0,54,26,0,0,0,13,0,100,0,0
2007-08-01,0,50,44,24,0,0,0,22,0,37,0,49,0,0,0,24,0,0,0,0,0,0,0,25,0,0,0,0,0,0,41,0,0,20,0,0,20,31,20,0,0,0,0,0,0,0,14,25,0,0,19,0,0,0,24,0,0,0,34,0,0,0,0,0,0,74,0,21,51,54,0,0,0,0,0,12,0,29,0,0,0,16,38,0,0,24,0,99,11,16,0,10,0,0,34,17,0,20,50,4,0,0,0,33,0,50,0,0,0,0,0,18,34,20,0,0,25,0,0,0,29,18,0,0,24,19,0,0,0,0
2007-09-01,46,49,23,50,0,26,0,17,0,45,0,20,34,0,0,0,57,25,0,0,0,0,0,26,0,25,0,0,0,0,43,0,0,0,0,0,20,0,51,31,0,25,52,0,0,0,0,17,0,48,23,0,0,0,25,0,0,0,0,0,0,0,0,0,100,0,0,25,54,0,0,0,0,0,30,13,0,0,0,0,52,34,30,0,0,23,0,26,34,17,0,15,0,0,0,17,0,42,52,3,0,0,0,25,0,0,0,0,0,0,0,26,53,20,13,0,0,0,0,0,39,0,0,0,0,14,0,0,0,0
2007-10-01,0,42,35,0,0,24,0,11,0,39,32,10,0,0,0,0,53,24,0,0,0,0,0,0,0,24,0,0,0,42,20,0,0,20,0,0,29,0,32,0,94,0,0,0,0,44,21,42,0,45,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,14,0,0,0,40,19,0,0,16,0,24,28,0,0,23,0,0,22,24,0,20,0,4,32,0,0,16,0,0,49,0,0,0,0,14,25,19,12,55,0,0,0,0,14,12,0,0,0,27,0,0,0,0
2007-11-01,45,51,29,0,0,0,0,16,0,48,0,39,0,29,0,0,55,0,0,0,0,23,0,0,0,25,0,15,0,29,20,0,0,0,66,0,20,31,0,0,0,49,0,0,0,0,22,37,0,46,38,34,0,0,18,0,0,0,0,0,0,0,0,0,0,75,0,14,53,0,0,0,32,0,0,12,0,14,0,0,51,22,38,33,0,33,30,25,11,0,0,10,0,58,23,42,0,31,51,4,0,0,0,16,0,51,0,0,0,0,0,18,60,20,0,0,25,0,62,0,24,25,0,0,0,19,0,0,0,0
2007-12-01,0,42,21,0,0,0,0,18,0,22,0,33,0,28,0,0,0,0,0,0,0,44,30,0,0,0,0,28,0,42,0,0,0,0,0,0,48,0,38,0,0,0,0,0,0,0,19,20,53,0,11,0,0,0,27,0,0,0,33,0,0,0,0,0,0,0,32,18,0,0,43,0,0,0,0,12,0,14,0,0,49,0,47,0,0,0,0,24,14,32,0,19,0,0,44,49,0,0,0,2,0,0,0,16,45,0,0,0,0,0,0,21,25,0,0,0,0,0,0,0,14,24,0,0,0,9,0,0,0,0
2008-01-01,0,39,0,22,0,0,0,20,0,28,30,13,0,26,27,22,74,0,0,0,0,41,0,0,0,33,0,13,0,52,19,0,0,18,0,0,36,0,30,0,0,0,46,0,0,41,20,15,0,42,24,0,0,22,14,0,0,0,31,0,0,46,0,0,90,0,0,30,0,0,0,52,29,0,0,0,0,20,0,34,0,45,23,30,0,15,27,34,20,0,0,20,0,26,21,20,0,18,0,3,0,96,0,30,42,47,91,35,0,40,0,27,31,18,0,0,23,0,0,0,17,0,0,0,22,28,0,0,0,0
2008-02-01,0,40,41,46,0,35,0,10,0,36,30,32,0,27,28,0,0,0,0,0,0,42,29,23,0,23,0,14,0,27,19,0,0,19,0,0,18,28,18,0,89,23,0,0,0,42,22,23,0,86,32,32,0,23,17,0,0,0,32,0,100,0,0,0,0,69,30,22,0,0,0,0,29,0,0,0,0,13,0,0,47,20,36,0,0,15,0,0,24,15,0,18,0,27,0,31,0,0,0,5,0,100,0,15,0,47,0,37,0,41,0,36,32,18,11,0,23,0,0,0,13,12,0,0,0,35,0,0,0,0
2008-03-01,39,45,29,21,0,0,0,14,0,32,0,17,0,25,0,0,0,0,0,0,0,39,0,0,0,21,0,13,100,25,0,0,30,0,0,0,17,26,23,0,0,0,0,0,0,0,12,32,48,0,23,30,0,21,16,0,0,0,30,0,0,44,0,0,0,0,28,12,0,0,0,0,0,0,0,0,0,25,0,0,0,21,33,0,0,28,26,22,24,14,0,11,0,25,59,29,0,18,0,4,0,0,0,14,0,44,44,0,0,0,0,16,15,0,11,0,22,0,0,0,17,11,0,0,0,35,25,0,0,0
2008-04-01,0,38,19,0,0,22,0,0,0,35,0,26,28,0,0,0,0,0,0,0,0,60,27,22,0,43,0,0,0,25,18,0,0,18,0,0,17,27,26,0,0,43,0,0,0,40,0,29,0,0,17,0,0,32,11,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,39,0,28,0,0,11,0,37,0,0,0,15,17,0,98,19,0,44,14,0,0,22,0,0,40,34,0,18,0,4,0,0,0,21,40,0,0,35,0,39,0,16,30,17,0,0,22,0,0,0,46,16,0,0,0,35,0,0,0,0
2008-05-01,0,31,29,19,0,40,0,15,0,44,0,24,0,23,0,0,0,0,0,0,0,18,0,20,0,20,14,12,0,23,0,0,0,0,0,0,16,24,16,47,0,19,0,0,0,36,15,17,44,37,41,0,0,20,19,0,0,0,0,0,0,0,0,0,78,0,0,31,0,0,0,45,50,0,0,10,19,0,0,0,0,13,15,0,0,35,24,0,13,0,0,31,0,0,18,22,0,17,0,4,27,0,0,13,0,0,0,0,0,35,0,29,27,31,10,0,0,0,0,0,38,10,0,0,20,27,0,0,0,0
2008-06-01,0,40,58,0,0,20,0,9,0,37,0,31,0,0,0,0,88,19,0,0,0,0,0,0,0,26,0,23,0,23,16,0,0,0,0,0,16,0,31,0,0,0,0,60,0,72,17,15,0,37,30,27,0,0,17,0,0,0,0,0,0,0,0,0,78,59,26,34,0,0,35,0,50,0,0,10,0,11,0,0,40,26,0,0,0,26,47,29,26,13,0,15,0,46,18,40,0,24,0,6,0,0,0,13,0,40,0,0,0,0,0,12,34,31,0,0,20,0,0,0,34,10,0,0,0,12,0,0,0,0
2008-07-01,33,51,25,0,0,19,0,16,0,36,24,52,24,21,0,0,0,0,0,0,0,17,23,0,0,0,13,11,0,0,31,0,0,0,0,0,44,0,20,22,72,0,0,0,0,0,18,28,41,34,25,26,0,0,29,0,0,0,0,0,0,0,30,42,0,0,0,18,0,0,67,0,24,0,0,9,0,27,0,0,0,12,14,0,84,37,22,19,16,18,0,14,0,54,34,50,0,15,0,7,0,0,0,37,34,0,0,0,0,0,0,16,57,44,9,42,19,0,0,0,18,0,42,0,37,37,0,0,0,0
2008-08-01,0,60,17,0,0,0,0,14,0,44,0,34,0,0,23,19,63,0,0,0,0,35,0,76,0,0,0,22,0,33,16,0,0,0,0,0,23,35,30,0,0,0,39,0,0,34,26,19,0,35,32,0,100,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,24,0,22,0,0,11,0,0,0,19,29,0,85,0,0,57,17,0,0,22,0,33,0,25,0,0,0,5,0,0,0,19,35,0,38,0,0,0,0,44,39,15,14,0,19,0,47,0,11,0,43,0,19,12,0,0,0,0
2008-09-01,0,74,0,0,0,19,0,29,0,41,49,15,0,0,0,18,62,0,0,0,0,69,24,0,0,55,0,22,0,22,15,0,0,0,0,0,30,23,20,0,0,37,0,0,0,0,25,9,0,35,43,26,0,18,25,0,0,0,0,0,0,0,0,0,74,0,0,27,0,0,0,43,0,0,0,9,0,11,0,0,0,62,15,0,0,12,22,28,8,25,0,29,0,22,43,29,0,15,0,3,0,0,0,12,0,0,0,0,0,0,0,27,38,15,9,0,19,0,0,0,18,14,0,0,0,21,0,0,0,24
2008-10-01,34,56,25,19,0,19,0,8,0,37,0,26,50,0,0,0,0,19,0,0,0,26,0,38,0,38,0,34,0,0,32,0,0,0,0,0,60,23,15,0,74,19,0,0,0,35,22,13,0,0,17,26,0,19,19,0,0,100,0,0,0,0,31,0,74,0,0,33,41,0,0,0,36,0,0,0,0,0,0,0,0,19,0,0,0,13,0,38,20,0,43,15,0,67,35,43,0,31,0,3,25,0,0,19,0,0,38,0,0,0,0,34,20,0,0,0,19,0,0,0,26,9,0,0,0,11,0,0,0,0
