date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Casaba Melon,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Spinach,Sprouts,Strawberries,Sweet Potato,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-11-01,65,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,85,0,100,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,63,0,0,63,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,63,0,0,46,65,0,0,46,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,26,26,0,99,100,22,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,52,38,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,18,0,0,56,0,0,0
2006-01-01,65,0,0,100,0,66,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,26,0,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,100,37,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,18,0,0,0,0,0,0
2006-02-01,32,24,24,0,0,21,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,56,0,0,100,0,0,24,0,36,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,17,0,0,0,0,0,0
2006-03-01,39,40,0,0,0,59,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,52,0,0,0,20,0,0,0,0,100,0,0,28,0,0,100,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,100,39,0,0,0,0,38,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,100,0,0,0,0,0
2006-04-01,27,20,20,0,0,29,100,46,0,0,0,100,0,78,0,0,0,28,0,0,40,0,0,0,0,0,0,0,0,0,0,100,0,0,30,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,29,39,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,87,0,0,0
2006-05-01,18,28,0,0,0,40,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,27,0,0,93,100,0,0,0,0,0,100,0,36,0,0,0,0,0,0,36,0,0,0,57,0,0,0,0,0,0,37,43,0,0,0,35,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
2006-06-01,19,29,0,0,37,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,19,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,41,0,0,0
2006-07-01,0,19,0,0,0,64,0,43,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,44,100,0,0,0,0,0,0,0,0,0,95,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,43,0,0,0,0,0,0,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,61,0,0,0
2006-08-01,17,18,0,0,0,50,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,30,0,0,92,0,0,54,0,0,0,26,0,0,89,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,38,0,0,0
2006-09-01,16,0,0,0,0,42,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,48,33,32,0,0,0,23,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,23,0,0,0,0,0,0
2006-10-01,15,15,0,0,0,25,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,32,0,0,0
2006-11-01,14,14,0,0,0,31,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,27,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,27,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,21,13,0,0,0,28,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,32,25,0,24,0,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,48,100,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,11,0,22,0,0,42,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,57,60,0,0,0,0,56,0,0,0,0,29,22,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,19,0,0,0,0,23,0,26,0,0,0,0,0,22,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,100,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,100,0,0,0,0,0,0,0,0,44,0,61,0,0,0,16,58,0,25,0,0,0
2007-03-01,10,15,0,0,0,17,0,22,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,49,0,0,0,0,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,7,0,0,35,0,0,0
2007-04-01,19,10,0,38,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,14,0,0,0,0,0,0,37,0,52,0,0,0,14,0,0,21,0,0,0
2007-05-01,8,9,26,0,0,27,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,22,0,0,0,13,0,12,17,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,12,16,0,0,0,0,0,100,0,0,0,43,0,19,0,0,0,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,68,0,0,0,0,6,43,0,18,0,0,0
2007-06-01,13,9,0,0,0,20,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,15,0,0,0,23,0,27,0,9,0,13,0,0,0,0,0,12,0,0,0,0,0,17,0,23,17,0,0,0,17,0,0,0,27,0,0,0,0,0,0,17,0,22,17,0,0,0,43,12,0,0,0,25,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2007-07-01,12,8,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,33,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,0,0,0,18,0,0,0,0,21,0,0,0,0,0,0,33,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,6,0,0,18,0,0,0
2007-08-01,13,8,0,0,0,32,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,43,21,0,0,0,0,0,12,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,25,0,0,0,16,0,0,16,0,15,0,0,0,16,100,0,0,60,0,100,0,100,0,0,0,0,0,31,0,43,0,0,0,6,0,0,0,0,0,0
2007-09-01,16,11,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,16,0,0,0,0,40,0,0,11,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,20,0,0,0,0,0,0,16,0,0,11,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,17,0,0,0
2007-10-01,11,7,0,0,0,21,0,17,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,29,0,0,15,0,0,0,38,0,16,0,0,0
2007-11-01,12,0,11,0,14,21,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,7,0,0,15,0,37,0,36,20,0,0,0,0,0,14,0,0,28,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0,100,28,0,0,0,0,0,10,0,0,0,0,0,0
2007-12-01,7,0,0,0,14,12,0,0,0,0,0,0,0,14,0,57,0,10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,63,0,0,0,0,0,0,0,14,0,0,0,22,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,53,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,5,73,0,16,0,0,0
2008-01-01,16,0,0,0,0,25,0,15,0,0,0,0,0,13,100,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,13,0,34,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,21,14,0,34,13,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,11,0,0,0,0,22,0,16,0,0,0,0,0,14,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2008-03-01,16,0,0,0,0,24,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,78,0,0,15,0,0,0,20,0,10,0,0,13,0,67,35,0,9,0,0,0,0,0,13,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,100,0,26,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,25,0,0,0,0,0,5,0,0,14,0,0,0
2008-04-01,9,7,7,0,0,24,0,16,0,100,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2008-05-01,13,7,7,0,0,36,0,0,0,0,0,33,0,0,0,52,0,0,0,0,0,17,0,0,0,0,0,0,17,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,33,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,0,0,0
2008-06-01,21,22,0,28,14,21,0,16,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,22,0,7,0,0,0,0,36,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,14,0,0,20,0,0,0,10,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,15,0,0,0
2008-07-01,14,7,0,0,0,28,0,0,0,0,0,0,0,0,0,0,39,0,74,0,0,0,0,0,12,0,0,0,0,0,22,0,7,0,11,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,22,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,15,53,0,0,10,0,0,0,0,0,0,55,0,0,0,0,0,5,0,0,15,0,0,0
2008-08-01,11,7,0,0,0,21,0,17,0,0,100,0,0,0,0,0,0,10,75,0,0,0,0,0,0,0,0,0,19,0,22,36,0,0,0,15,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,28,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,28,14,0,27,0,22,0,16,0,0,0,0,100,14,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,53,0,35,10,0,0,0,0,62,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,0,0
2008-10-01,21,10,6,25,0,27,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,35,0,9,0,0,0,0,0,0,0,0,12,0,78,0,12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,26,0,0,9,47,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,33,0,14,0,0,0
2008-11-01,20,7,0,0,0,13,0,0,0,95,0,0,0,0,0,53,0,0,0,0,0,0,0,0,12,0,16,0,0,0,41,0,0,0,0,0,13,0,0,33,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,9,22,0,0,9,49,0,0,10,0,0,100,0,0,0,0,0,36,26,0,0,5,0,0,19,0,0,0
2008-12-01,20,13,7,0,0,17,0,0,0,0,0,0,0,13,0,53,0,0,0,0,0,26,0,0,12,0,0,0,0,0,20,0,10,14,0,0,0,34,0,0,0,0,0,0,0,0,0,100,17,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,13,0,0,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,0,0,0,0
2009-01-01,20,6,6,0,11,20,0,14,0,0,0,29,0,11,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,30,0,30,8,0,0,0,0,0,11,0,0,11,0,0,0,17,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,6,0,0,0,0,0,0
2009-02-01,11,0,0,25,0,32,0,20,0,0,0,0,94,0,0,0,0,0,0,0,0,17,0,0,11,0,0,0,0,27,0,33,0,0,0,0,0,33,35,0,18,0,0,0,0,0,13,0,0,13,0,0,0,13,0,0,0,20,0,0,0,0,0,0,13,0,0,13,0,12,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,0,14,0,9,0
2009-03-01,16,6,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,0,71,0,11,0,43,0,18,0,0,0,13,0,0,12,0,0,0,0,11,0,0,0,12,0,0,8,0,0,0,8,0,0,0,100,0,0,23,47,31,0,0,0,4,0,0,13,0,0,0
2009-04-01,18,0,6,0,12,18,0,21,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,13,0,0,0,32,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,25,0,16,0,0,0,0,0,0,0,0,0,18,0,55,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0
2009-05-01,15,6,0,0,0,24,0,14,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,32,0,0,19,0,12,0,0,0,12,31,0,30,9,0,0,0,0,0,12,0,0,0,100,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,17,45,0,0,17,0,0,0,0,0,0,23,0,32,0,0,0,6,0,0,13,0,0,0
2009-06-01,13,9,0,0,0,14,0,15,0,0,86,0,0,12,0,51,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,6,0,9,13,12,0,0,0,18,0,0,32,0,0,12,0,0,12,0,0,0,12,0,0,0,0,0,75,0,0,0,0,13,0,0,0,0,18,0,31,9,13,0,0,9,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,4,32,0,21,0,0,0
2009-07-01,11,7,7,0,0,19,0,15,0,0,0,32,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,70,0,0,40,0,0,0,10,13,0,33,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,40,0,0,0,13,0,0,0,0,0,0,33,0,13,0,0,9,0,58,0,0,0,0,0,0,0,0,25,0,0,0,0,0,9,0,99,14,0,0,0
2009-08-01,19,6,0,24,0,16,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,15,0,0,26,19,0,0,0,9,13,0,32,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,25,15,0,0,0,12,0,0,9,13,0,0,9,0,0,0,0,79,0,95,0,0,0,24,0,0,0,0,0,0,32,0,0,100,0,0
2009-09-01,8,13,0,0,0,9,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,13,12,0,0,0,13,0,0,0,0,0,0,0,0,0,0,78,0,19,0,0,100,0,0,0,20,0,0,0,30,0,0,0,0,18,100,0,0,13,0,0,9,0,0,0,9,0,0,94,0,0,0,0,0,0,0,0,0,5,32,0,14,0,0,0
2009-10-01,18,6,6,0,23,29,0,23,18,0,0,30,0,12,0,0,0,0,0,0,0,15,0,0,0,0,0,32,16,0,25,0,6,0,9,12,0,30,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,19,0,0,0,32,0,0,0,0,12,0,0,8,24,0,0,26,0,0,0,9,0,0,90,0,0,0,23,0,0,12,0,0,4,0,0,13,0,0,0
2009-11-01,23,6,0,24,0,20,0,0,0,0,0,31,0,24,0,50,0,0,0,0,0,0,0,0,0,0,0,83,17,0,0,0,0,0,9,13,0,0,0,31,9,0,0,0,0,0,12,0,0,12,0,76,0,12,0,0,0,29,0,0,0,13,0,0,17,0,16,0,0,12,0,0,0,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,99,0,0
2009-12-01,19,6,0,0,0,17,0,13,0,0,0,0,0,21,0,0,0,0,0,0,11,28,100,0,0,0,0,29,0,0,17,0,0,0,8,11,0,0,30,0,15,0,0,28,0,0,0,0,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,16,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,44,0,0,0,0,4,0,0,12,0,0,0
2010-01-01,16,0,5,0,0,17,0,12,0,0,73,27,0,10,0,43,0,0,0,0,0,14,0,0,0,0,0,28,0,0,16,0,5,11,8,11,0,27,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,17,12,0,0,42,0,0,11,0,20,0,0,0,11,0,0,0,0,0,0,0,0,0,79,0,0,0,20,0,0,0,0,0,4,0,0,23,0,0,100
2010-02-01,14,6,0,0,0,20,0,13,18,0,0,0,0,0,0,46,0,0,0,0,12,0,0,0,0,0,0,51,15,0,0,29,6,12,0,0,0,44,0,0,16,0,0,0,0,51,11,0,0,0,0,0,0,11,0,42,0,0,0,0,0,12,0,0,19,0,15,0,0,11,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,67,0,0,0,0,0,6,0,0,31,0,0,0
