date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lettuce,Longan,Lychee,Mushrooms,Onion,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Spinach,Sprouts,Squash,Tomato,Turnip,Watermelon
2005-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
2009-02-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,17,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2009-09-01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,27,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,74,0,0,0,0,0,0,0,98,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,70,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,18,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0
2010-04-01,0,0,0,0,0,18,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,15,0,100,0,0,19,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,20,0,0,0,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,19,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
2010-09-01,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2010-11-01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,18,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,61,61,0,0,0,0,0,0,0,0,0,0,46,60,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,10,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2011-05-01,8,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
2011-06-01,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,88,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0
2011-10-01,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,38,0,68,0,0,0,31
2011-11-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,80,0,0,68,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,39,0,0,37,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,93,0,0,0,0,38,0,0,0,31,0,0
2012-01-01,6,0,0,0,0,8,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0
2012-03-01,5,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,15,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,25,0,0
2012-04-01,11,0,0,0,0,7,0,0,0,0,0,0,0,33,0,0,0,15,0,66,0,24,0,0,0,0,0,0,0,0,0,26,0,68,0,0,0,0,0,0,0
2012-05-01,10,0,0,0,0,0,19,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,73,64,0,0,64,30,0,0,100,24,0,0
2012-06-01,10,100,0,0,0,6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,64,0,15,0,0,24,0,24
2012-07-01,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,50,91,0,0,0
2012-08-01,0,0,31,0,0,6,18,94,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,22
2012-09-01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,29,0,0,0,23,0,0
2012-10-01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,26,0,0,0,0,0,0
2012-11-01,4,0,0,0,0,0,0,0,29,27,0,0,25,0,0,0,13,0,0,54,0,0,0,0,0,20,0,28,0,0,0,0,0,55,0,13,0,0,0,0,0
2012-12-01,5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,8,0,21,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,45,5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,27,0,0,0,0,0,0,0,0,0,81,20,0,0
2013-02-01,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,58,0,0,49,0,0,0,0
2013-03-01,0,0,0,25,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,4,76,0,0,42,7,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,17,0,0,0,0,0,25,0,0,0,37,0,49,23,12,0,0,0,0,0
2013-05-01,8,0,0,0,0,5,14,0,24,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,0,0,26
2013-06-01,0,0,0,0,0,5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,11,0,0,0,24,0
2013-07-01,5,0,0,0,39,15,0,0,23,0,0,0,0,0,19,0,0,0,0,43,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,69,0,0,17
2013-08-01,4,69,23,0,38,6,13,0,0,21,0,0,20,0,0,0,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
2013-09-01,0,70,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,47,0,0,0,0,0,0,0,0,0,0,45,0,0,38,69,0,22,0
2013-10-01,4,0,0,0,39,7,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,21,0,37,0,17,0,0
2013-11-01,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,17,0,0,0,0,0,0,34,0,0
2013-12-01,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,100,0,0,11,0,0,0,0,0
2014-01-01,0,0,0,0,39,5,14,70,23,0,20,0,0,0,0,0,10,0,95,0,0,0,0,6,0,0,0,23,0,0,0,0,0,44,0,0,37,0,34,22,0
2014-02-01,4,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,100,46,0,0,0,7,0,0,0,0,0,0,0,0,0,47,22,0,40,0,0,0,0
2014-03-01,3,0,0,0,0,4,12,0,0,0,17,0,18,0,0,0,9,9,0,0,0,0,42,6,0,0,0,0,0,45,0,30,0,39,0,14,100,0,15,0,0
2014-04-01,3,65,0,0,0,4,13,0,22,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,88,41,0,0,0,0,16,21,16
2014-05-01,3,0,0,21,0,5,0,64,0,0,0,0,0,0,0,0,9,9,0,40,0,0,42,6,0,0,0,21,0,45,0,0,0,41,0,0,0,0,15,0,15
2014-06-01,4,0,0,0,0,9,0,0,0,0,20,45,21,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,34,0,0,0,11,0,0,17,0,0
2014-07-01,3,0,0,21,0,7,0,0,21,20,0,40,18,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,45,0,15,0,40,19,0,0,0,15,20,15
2014-08-01,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,21,0,0,0,0,0,0,15,0,0,19,20,0,0,15,0,0
2014-09-01,3,0,0,0,34,8,12,0,0,19,0,39,0,0,17,0,9,0,0,0,0,14,0,0,20,0,0,20,0,0,0,0,0,0,0,0,33,0,15,0,0
2014-10-01,5,0,0,29,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,14,0,0,0,0,38,0,0,38,18,9,32,0,0,19,14
2014-11-01,5,0,0,0,34,4,12,0,0,19,0,0,0,0,17,0,9,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,38,0,0,33,0,0,0,15
2014-12-01,5,64,0,0,36,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,41,0,0,34,0,0,0,15
2015-01-01,4,0,0,0,0,4,0,0,0,0,0,0,16,0,16,0,0,8,78,0,0,0,0,0,0,0,0,19,0,42,0,0,0,37,17,0,0,0,21,18,0
2015-02-01,3,0,0,0,0,4,13,0,22,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,22,0,0,0,0,48,0,0,0,43,0,0,36,0,0,32,16
2015-03-01,0,0,0,0,0,4,10,0,0,0,15,0,0,0,0,0,8,0,0,0,18,12,36,0,0,0,0,0,0,39,0,13,0,69,0,0,0,0,13,17,0
2015-04-01,3,0,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,56,0,18,14
2015-05-01,3,0,18,0,0,7,0,0,0,0,46,0,16,0,0,0,0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,13,75,0,16,0,30,55,13,0,13
2015-06-01,4,0,19,0,0,6,0,58,0,0,0,0,0,18,0,0,0,8,0,36,0,0,0,0,19,20,0,0,0,0,37,14,79,0,0,9,31,0,14,0,14
2015-07-01,5,0,0,0,31,7,21,0,0,0,0,35,0,0,0,0,8,8,75,0,0,12,37,0,18,13,0,0,0,0,0,0,0,0,0,0,29,0,13,17,27
2015-08-01,6,0,0,0,31,5,0,0,0,17,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,78,0,0,14,0,36,0,9,0,56,0,18,0
2015-09-01,3,0,0,18,0,5,11,0,19,0,0,36,0,0,0,0,0,0,76,0,0,12,0,5,18,0,0,0,0,0,0,0,0,36,17,0,0,56,27,0,14
2015-10-01,6,0,18,0,30,0,0,55,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,13,73,34,33,0,0,53,26,0,13
2015-11-01,0,0,0,0,0,10,11,0,0,0,0,0,16,17,0,0,8,8,0,0,0,12,0,5,0,0,0,18,0,0,0,13,0,0,17,0,30,0,0,18,0
2015-12-01,3,0,19,0,32,19,23,0,19,0,0,0,17,0,0,0,0,0,0,72,0,0,0,5,0,14,0,0,0,42,0,0,0,0,0,9,31,0,14,19,0
2016-01-01,7,0,0,0,36,4,19,0,21,0,0,41,0,0,0,0,10,0,0,0,0,14,0,6,0,15,0,21,0,0,0,0,87,41,0,25,0,0,16,0,0
2016-02-01,4,0,0,0,39,0,20,71,23,22,19,0,20,0,0,0,21,10,0,0,0,0,0,0,0,17,0,23,0,0,0,17,0,0,0,11,0,0,0,22,17
2016-03-01,3,0,0,0,0,4,11,59,19,0,0,0,17,18,0,0,0,0,0,0,0,0,0,10,19,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,14
2016-04-01,3,0,0,0,0,6,0,0,0,0,0,39,18,0,17,0,0,0,0,0,0,0,42,0,20,0,0,0,0,45,0,0,85,40,19,10,0,0,30,20,15
2016-05-01,3,0,0,0,0,0,12,61,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,15,82,38,0,9,0,0,0,0,0
2016-06-01,5,0,21,0,0,4,0,0,21,0,18,0,0,20,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0
2016-07-01,0,72,0,0,40,9,0,74,0,23,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,39,0,0,0,53
2016-08-01,0,0,0,0,0,5,0,0,0,23,0,0,0,0,0,0,11,11,0,0,0,17,0,0,25,0,0,25,0,0,0,0,0,48,0,12,0,0,0,0,0
2016-09-01,0,0,0,0,0,7,14,0,25,23,0,0,0,0,0,0,11,0,0,0,25,16,49,0,0,0,0,0,0,0,0,27,0,47,22,0,0,0,0,0,18
2016-10-01,4,0,0,0,40,7,0,72,0,0,0,0,0,0,0,24,10,10,96,0,0,0,0,6,47,0,0,23,100,51,0,0,0,0,22,0,0,0,17,0,17
2016-11-01,4,0,0,0,0,5,0,0,24,0,0,0,0,0,0,0,22,10,0,45,0,0,0,0,0,0,0,24,0,53,0,17,0,0,0,11,0,0,18,23,0
2016-12-01,4,0,24,0,0,5,14,73,0,0,0,0,0,0,0,24,11,0,97,45,0,0,0,0,0,0,0,0,0,0,0,0,0,46,22,11,39,0,17,0,0
2017-01-01,0,0,0,0,0,5,0,74,49,23,0,46,21,0,0,0,0,10,0,0,0,16,49,7,0,0,0,0,0,0,0,18,0,0,0,0,39,0,18,0,0
2017-02-01,4,0,0,0,41,0,14,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,18,0,47,0,12,0,0,0,24,0
2017-03-01,6,0,0,0,36,0,0,66,0,0,0,0,36,0,18,0,9,0,88,0,0,0,0,0,0,15,0,0,0,47,0,0,0,0,0,10,0,64,0,21,0
2017-04-01,4,0,23,22,38,0,0,0,23,22,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,50,0,16,0,87,0,11,0,0,17,0,33
2017-05-01,3,0,0,0,37,9,0,68,0,21,0,42,19,0,0,0,10,14,90,0,0,15,44,9,0,16,0,0,0,0,0,0,0,0,20,0,36,0,16,0,16
2017-06-01,7,69,0,0,77,9,0,69,23,0,0,0,20,0,19,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,44,0,11,0,0,34,0,0
2017-07-01,8,0,0,0,39,4,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,47,6,0,16,0,0,0,0,0,0,0,0,0,0,0,69,17,0,0
2017-08-01,4,0,0,0,81,7,28,73,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,52,0,17,0,46,22,0,0,0,17,23,26
