date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Bok Choy,Broccoli,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Kale,Kiwifruit,Kumquat,Lemons,Lettuce,Longan,Loquat,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2009-10-01,5,3,0,3,1,5,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,1,3,3,1,9,0,0,0,1,0,7,1,0,0,1,0,0,1,0,4,2,4,5,0,2,0,0,0,0,1,2,2,1,1,1,0,3,0,0
2009-11-01,7,0,0,3,0,5,1,0,0,0,0,3,0,0,0,1,0,0,0,1,1,2,1,2,0,3,1,3,0,0,1,0,3,0,4,0,1,0,1,0,0,0,0,1,3,0,2,0,0,1,2,0,2,2,4,3,0,7,0,3,0,0,0,1,1,2,0,1,1,1,0,2,0,0
2009-12-01,5,3,0,0,1,10,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,2,1,0,0,1,3,1,0,1,1,0,1,0,0,0,0,1,3,6,3,0,0,0,0,0,1,0,3,3,4,1,0,2,7,6,0,0,3,4,0,1,1,1,0,1,0,0
2010-01-01,4,3,0,3,0,3,2,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,2,0,1,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,2,0,0,1,0,1,0,0,0,6,0,1,1,3,2,0,2,0,4,1,0,0
2010-02-01,2,0,0,0,3,7,1,0,0,2,0,2,4,0,0,0,2,2,0,0,0,0,3,2,0,0,2,0,2,0,0,0,3,2,0,1,2,2,3,5,3,0,0,3,2,0,2,5,0,2,0,0,1,3,0,2,0,3,0,4,0,0,0,2,2,2,0,1,2,2,5,2,0,0
2010-03-01,5,0,0,0,0,5,3,0,0,2,3,1,6,0,2,0,0,2,1,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,0,1,1,1,0,0,3,0,0,1,0,0,4,0,0,3,2,0,2,2,0,2,4,1,0,2,7,6,0,1,1,2,2,0,2,1,4,1,0,0
2010-04-01,5,0,2,7,0,7,2,0,0,4,0,3,0,3,0,2,0,0,2,1,0,0,2,0,0,1,0,0,2,0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,2,0,2,0,3,8,0,4,3,1,0,0,1,1,2,0,3,0,0
2010-05-01,4,4,2,4,1,6,3,0,0,0,0,5,3,3,0,2,0,5,2,0,0,0,3,0,0,2,2,0,0,2,0,0,0,2,0,1,2,3,2,0,3,0,0,2,2,0,2,0,3,0,0,0,2,2,4,3,0,3,0,0,0,0,4,3,0,0,2,0,1,2,0,2,0,0
2010-06-01,3,5,2,0,2,5,2,0,0,0,0,2,4,0,0,0,2,2,0,2,2,0,3,0,0,1,0,0,0,2,1,0,0,0,4,1,2,3,3,5,0,0,0,3,2,8,2,0,3,2,0,0,0,0,4,4,0,3,0,0,0,0,0,2,0,0,0,0,1,2,0,4,0,0
2010-07-01,2,4,0,4,2,7,2,0,4,0,0,0,0,0,2,0,0,2,0,0,2,0,2,2,2,1,2,4,2,0,0,0,0,0,4,1,2,0,3,0,0,0,4,0,2,0,2,5,3,3,0,0,3,2,0,2,0,2,0,2,0,0,0,2,0,2,2,1,2,2,0,3,0,0
2010-08-01,5,4,0,7,0,5,1,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0,1,0,3,2,0,1,0,0,0,4,1,2,2,5,5,0,0,0,0,2,0,3,0,3,2,0,0,1,0,0,2,0,3,0,2,0,0,4,3,0,0,0,0,1,0,0,2,0,0
2010-09-01,9,4,0,0,0,5,2,3,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,2,3,2,3,2,0,1,0,0,2,0,0,2,2,0,6,0,0,0,0,0,0,2,0,3,4,0,0,2,0,0,4,0,4,0,0,0,0,0,2,0,3,2,1,1,3,0,2,0,0
2010-10-01,7,4,2,4,0,7,4,3,0,0,0,4,8,4,0,0,3,3,2,5,0,0,4,0,0,4,4,7,0,0,1,0,0,0,0,2,4,0,2,6,0,0,0,2,2,0,2,0,0,4,0,0,3,2,5,2,0,8,0,3,0,0,0,2,0,6,0,0,2,2,0,1,0,0
2010-11-01,10,0,0,0,0,11,3,0,0,0,0,2,4,0,3,2,3,3,0,2,4,0,3,0,2,5,2,3,0,0,1,0,0,2,0,2,0,2,2,0,0,0,0,2,3,0,2,6,4,4,3,0,3,5,0,3,6,5,0,2,0,0,0,0,2,5,0,2,3,2,0,5,0,0
2010-12-01,9,0,8,0,0,9,5,0,0,3,0,2,0,0,0,2,0,3,0,2,0,0,3,0,0,2,0,4,2,0,1,0,0,0,0,2,9,2,2,7,5,0,0,2,0,11,0,0,4,2,0,0,3,0,0,6,0,5,0,3,0,0,0,2,0,0,3,1,1,0,0,3,7,90
2011-01-01,4,0,3,7,1,8,5,0,0,2,4,3,3,0,0,0,0,4,0,0,2,0,3,0,0,4,0,3,0,0,2,0,0,2,0,1,0,2,2,5,0,0,0,0,0,0,2,0,3,2,0,0,1,2,4,3,5,4,0,2,0,0,0,2,3,4,0,1,2,2,5,3,0,0
2011-02-01,7,0,2,8,0,7,3,3,0,2,0,2,4,0,2,2,3,2,2,0,2,0,0,0,2,1,0,6,0,0,1,2,4,2,0,2,0,2,3,5,3,0,0,0,0,8,3,0,3,4,0,0,1,0,4,3,0,2,0,2,9,0,0,2,3,0,0,1,2,2,0,2,0,0
2011-03-01,4,0,2,6,2,7,4,0,0,0,0,1,4,0,0,1,4,2,3,1,1,0,2,2,0,2,0,2,1,1,1,1,0,1,0,1,3,1,1,0,3,0,0,1,0,0,0,0,3,6,4,0,3,0,4,3,0,2,0,2,0,0,0,1,1,0,2,1,2,2,0,3,0,0
2011-04-01,7,3,2,3,2,7,2,3,4,2,4,1,5,3,2,0,2,2,2,1,2,0,2,0,1,1,0,3,0,0,1,0,0,2,4,1,2,0,2,0,0,0,0,2,5,7,2,0,3,5,0,0,2,0,4,4,0,2,0,0,0,7,0,4,0,0,0,1,2,2,0,2,0,0
2011-05-01,8,0,2,3,0,7,2,0,0,0,4,1,3,0,2,1,2,2,2,4,1,0,4,0,0,3,2,3,3,0,0,0,0,0,0,2,1,2,2,5,0,0,0,3,2,0,1,0,0,1,2,0,5,3,4,1,0,3,3,2,0,7,0,1,0,0,2,1,2,2,5,2,0,0
2011-06-01,4,6,0,3,4,7,3,0,0,0,7,0,0,3,2,3,0,2,2,4,2,2,3,2,0,1,0,3,2,0,1,0,3,1,4,1,1,2,6,0,6,0,0,0,0,0,3,0,0,3,2,0,4,0,4,1,5,4,3,2,7,7,0,1,1,2,0,0,2,0,0,4,0,0
2011-07-01,4,3,2,0,1,7,3,0,0,0,3,1,3,0,0,1,3,2,1,2,4,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,0,2,4,0,0,4,1,3,0,3,0,5,4,0,22,2,2,0,3,0,3,0,3,0,0,0,3,3,2,2,0,1,1,0,7,0,0
2011-08-01,4,0,1,3,1,5,2,2,0,1,0,1,3,3,2,0,2,0,0,1,1,0,1,0,1,1,1,2,1,0,1,0,2,0,3,1,2,2,2,4,2,0,0,1,0,0,1,4,0,1,0,0,2,0,0,3,0,2,0,0,0,0,0,1,1,2,2,1,1,1,0,2,0,0
2011-09-01,10,4,1,0,1,7,2,2,0,1,3,0,5,3,2,1,0,2,0,2,1,0,2,0,2,1,1,0,1,0,1,0,4,0,3,1,2,1,4,4,0,0,0,1,0,0,2,0,2,2,2,0,3,0,0,2,0,2,2,1,0,0,0,1,2,4,2,1,1,1,0,2,0,0
2011-10-01,7,3,3,3,2,8,3,0,0,1,0,2,5,3,2,1,0,2,0,1,2,0,2,1,0,2,0,3,1,1,1,0,0,1,0,1,2,0,4,0,0,42,0,1,0,0,3,0,2,0,2,0,2,1,0,2,0,4,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0
2011-11-01,7,5,0,3,1,7,3,0,0,0,3,2,3,0,2,0,2,2,1,0,0,1,1,0,2,1,2,0,0,1,1,1,2,1,0,1,4,1,2,4,0,0,0,2,2,0,2,7,0,2,0,0,1,1,3,3,4,2,0,1,0,0,0,2,2,2,2,1,2,4,0,3,0,0
2011-12-01,6,0,0,0,1,3,1,2,0,0,3,2,2,2,1,1,0,2,0,0,0,0,1,0,1,1,1,2,0,0,1,0,2,0,0,1,1,2,1,4,2,0,0,1,3,5,2,0,0,1,0,0,1,1,3,3,4,2,0,1,0,0,0,1,1,0,2,1,1,1,0,2,0,0
2012-01-01,4,3,1,3,1,5,2,2,0,3,0,2,3,3,0,0,0,2,1,1,0,0,1,0,0,1,1,0,1,0,1,2,0,1,0,1,1,0,2,0,0,0,0,1,1,0,2,0,2,1,0,0,2,0,3,1,0,3,0,2,0,0,0,2,1,2,2,0,1,3,0,1,0,0
