date,Alfalfa Sprouts,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Bell Peppers,Bitter Melon,Blackberries,Blueberries,Bok Choy,Boniato,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Honeydew Melon,Iceberg Lettuce,Jerusalem Artichoke,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pummelo,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Snow Peas,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Water Chestnuts,Watercress,Watermelon,Yams,Yellow Squash,Cassava
2005-11-01,0,28,0,0,0,0,23,0,100,0,0,0,0,0,0,0,48,0,0,0,15,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,44,100,0,0,0,0,0,0,0,0,0,0,0,23,0,0,68,0,100,69,0,0,0,0,0,0,0,0,100,0,100,49,0,53,74,0,0,0,0,0,0,0,100,75,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,65,81,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
2005-12-01,0,0,0,35,0,0,24,0,34,0,0,0,0,0,0,0,0,0,0,0,15,0,91,0,0,0,73,0,0,0,0,0,0,74,0,0,0,0,0,42,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,100,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,22,0,0,0,33,0,0,0,30,69,74,0,0,0,0,0,0,100,0,0,65,0,56,0,0,56,0,0,0,45,0,0,0,23,0,0,0
2006-01-01,0,32,0,0,0,49,29,0,29,0,0,0,0,0,0,20,0,0,0,0,13,0,0,61,0,0,32,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,88,0,0,59,0,0,0,0,0,0,0,0,20,100,0,59,0,0,0,0,0,60,0,0,64,0,0,0,63,44,0,0,0,0,78,35,0,0,19,0,0,0,28,0,0,0,26,0,0,0,0,100,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,39,0,0,0,20,0,0,0
2006-02-01,0,49,0,0,62,50,23,0,30,0,100,0,0,0,0,0,0,0,62,0,0,0,80,62,0,0,0,0,0,0,0,0,0,0,89,100,22,0,0,37,0,100,0,0,0,0,61,0,0,61,0,0,0,0,0,21,0,0,61,0,0,0,0,0,0,100,0,0,0,0,91,0,68,44,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,27,0,0,0,87,0,62,0,0,0,0,0,0,0,0,74,0,0,0,0,0,100,0,0,0,20,0,0,0
2006-03-01,0,28,0,26,0,0,16,0,39,0,0,0,100,0,0,0,38,0,53,0,0,0,0,0,0,0,57,0,0,0,0,0,53,0,0,0,19,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,52,0,0,54,0,0,0,0,0,0,0,0,0,56,0,0,0,41,0,0,31,0,0,17,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,65,0,0,0,0,0,51,72,0,0,17,0,0,0
2006-04-01,0,21,0,0,60,0,38,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,86,0,21,0,0,36,0,0,0,0,0,100,59,0,0,0,0,0,0,0,0,20,0,0,59,0,0,0,94,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,52,59,63,0,0,0,86,55,0,59,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,39,0,0,0,0,0,0,0
2006-05-01,0,14,0,0,51,41,31,0,0,0,0,0,0,0,0,17,54,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,51,0,73,0,0,0,0,31,0,82,33,0,0,0,50,0,0,0,0,60,0,0,0,17,0,73,0,0,0,0,59,0,0,0,0,0,0,0,0,53,37,0,0,0,0,0,30,0,0,16,0,56,0,36,0,51,0,22,0,0,0,0,0,0,0,0,0,0,0,0,60,41,61,0,0,0,0,0,33,0,0,0,33,0,0,0
2006-06-01,0,29,0,0,53,0,28,0,26,0,0,0,100,0,0,18,0,0,0,0,12,0,0,0,0,0,28,0,0,0,100,0,0,57,0,0,37,0,59,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,27,0,0,53,0,0,54,0,54,0,0,0,57,0,100,0,0,0,38,0,41,57,0,0,52,0,17,0,0,0,50,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,63,43,65,0,0,0,0,0,68,0,0,0,17,0,0,0
2006-07-01,0,36,0,0,0,0,42,0,28,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,61,0,0,0,0,0,58,0,0,0,21,0,0,35,0,0,38,85,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,25,0,0,0,81,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,38,80,0,0,0,0,0,0
2006-08-01,0,38,0,0,0,0,32,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,62,0,0,0,0,0,65,0,69,0,65,87,0,0,100,68,37,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,50,0,0,0,0,0,64,67,0,0,0,0,0,71,0,0,19,0,66,89,43,0,61,0,27,0,0,0,0,0,0,61,0,0,0,0,0,0,49,74,0,49,0,0,0,59,0,0,0,26,0,0,0
2006-09-01,0,31,54,25,50,0,34,0,48,0,0,0,0,0,0,0,35,0,50,0,11,0,0,51,0,0,0,0,0,0,0,0,0,53,0,0,0,0,55,91,0,0,32,72,0,0,0,0,100,0,100,0,26,0,0,0,83,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,29,49,0,0,0,0,0,23,0,0,50,44,0,0,0,69,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,68,0,0,16,0,0,0
2006-10-01,0,32,0,0,90,0,34,0,22,0,0,0,0,0,0,15,32,0,0,0,10,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,24,0,0,27,0,0,0,0,0,0,44,0,0,0,0,53,0,0,0,30,0,0,0,0,0,0,35,0,0,37,0,48,0,83,0,47,33,0,0,0,48,59,39,0,0,14,0,0,66,42,0,44,0,46,44,0,0,0,0,0,44,0,0,0,0,42,0,36,0,0,0,0,0,0,43,0,0,0,15,0,0,0
2006-11-01,0,19,0,21,0,0,37,0,21,51,0,0,0,0,0,21,30,0,0,0,9,0,0,44,61,0,23,0,0,45,40,95,0,0,0,0,15,0,47,0,0,0,28,0,100,0,42,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,43,0,34,0,0,0,0,0,0,0,0,0,33,92,55,25,42,0,0,0,0,0,20,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,42,34,0,0,0,28,58,0,0,0,0,0,0
2006-12-01,0,61,0,23,0,37,43,0,22,0,0,0,0,0,0,0,32,0,46,0,20,0,0,47,65,0,24,0,0,0,0,0,0,0,0,0,16,0,0,28,0,74,29,0,0,0,0,0,0,0,0,0,0,0,0,15,0,66,0,0,0,0,0,46,0,0,0,49,0,0,0,0,0,0,0,0,49,0,27,45,0,0,0,0,0,21,0,0,0,20,45,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,15,0,0,0
2007-01-01,0,14,0,29,39,32,19,0,38,0,0,0,0,0,0,13,27,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,41,0,0,14,64,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,41,57,0,81,0,0,0,23,38,0,12,0,0,0,27,0,39,0,23,0,0,0,55,0,0,0,0,0,0,0,74,0,0,47,0,31,44,100,0,34,54,0,0,13,0,0,0
2007-02-01,0,22,43,20,40,0,27,0,20,0,0,0,0,0,0,0,28,0,0,0,9,0,0,41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,13,68,0,40,0,0,0,31,0,0,33,0,43,0,0,58,42,89,29,0,31,0,0,24,0,0,13,0,0,58,19,0,0,41,35,0,0,0,56,0,0,40,0,0,0,0,38,0,32,0,0,0,0,0,0,26,0,0,0,13,0,0,0
2007-03-01,100,16,0,0,72,0,42,0,17,43,0,0,0,0,0,0,25,0,0,44,16,0,0,37,51,37,19,0,0,39,0,40,0,38,0,0,13,59,0,22,0,0,23,52,0,0,0,0,0,0,0,0,0,0,85,12,0,0,36,0,0,0,0,0,0,44,0,0,0,0,0,38,0,26,0,0,0,47,0,0,0,17,0,0,0,17,0,0,0,16,35,0,0,0,0,0,0,0,52,0,0,34,85,0,43,0,0,0,0,0,31,0,0,74,23,0,0,0
2007-04-01,0,30,41,19,38,61,19,0,0,0,0,0,0,0,0,13,26,100,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,23,0,0,25,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,38,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,39,12,0,0,0,18,0,0,0,33,0,80,0,0,0,0,0,0,0,0,0,36,45,0,0,0,0,0,0,0,37,0,0,0,18,0,0,0
2007-05-01,0,23,34,31,32,25,32,0,46,0,0,0,0,0,0,0,0,0,0,38,7,0,0,32,0,32,17,0,0,0,29,35,0,0,0,0,17,51,0,0,0,0,31,0,0,0,31,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,25,0,31,26,0,0,0,0,0,0,23,0,0,24,0,0,0,31,33,10,0,34,0,37,0,31,0,28,0,0,89,0,0,32,0,0,0,100,0,30,0,0,38,0,0,0,0,0,27,0,0,0,14,0,0,0
2007-06-01,0,21,0,16,0,0,31,0,0,0,0,0,0,33,0,11,23,0,0,0,18,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,12,0,0,0,0,54,0,48,0,0,33,0,0,0,0,0,0,0,0,11,55,47,33,0,0,0,26,0,0,0,0,35,0,62,0,35,24,48,69,0,35,0,29,0,0,16,0,72,48,26,0,0,0,15,33,0,0,0,0,0,0,0,0,0,0,31,0,0,40,0,0,0,0,0,43,0,0,0,22,0,0,0
2007-07-01,0,31,0,0,0,28,22,0,17,0,0,0,0,0,0,0,25,92,35,43,0,0,0,36,0,0,19,0,0,37,33,78,0,56,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,12,0,0,0,0,51,0,0,0,0,28,0,74,0,0,0,37,0,25,0,0,0,0,20,0,0,11,0,38,0,16,0,35,0,23,35,0,0,49,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,34,48,0,0,11,0,0,0
2007-08-01,0,30,0,0,0,30,48,0,36,0,0,0,71,0,0,0,0,0,38,46,8,0,0,38,0,0,20,0,0,0,0,42,0,40,0,0,0,0,84,34,0,60,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,54,37,100,55,0,0,38,0,31,0,40,0,0,0,0,0,0,0,0,0,0,22,74,0,0,0,0,0,44,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,36,44,0,45,0,30,0,0,0,41,0,0,0,12,0,0,0
2007-09-01,0,31,34,15,47,0,32,0,30,0,0,0,0,0,0,10,22,0,31,0,14,0,41,32,45,0,17,0,0,33,0,35,0,33,0,0,11,0,52,0,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,32,0,25,0,0,0,0,46,0,0,22,65,24,34,41,0,0,0,10,0,0,46,29,100,31,0,27,31,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,35,0,0,27,0,0,65,10,0,0,0
2007-10-01,0,38,0,0,0,0,33,0,14,0,0,0,0,0,0,9,40,0,43,0,6,0,0,29,41,29,15,0,0,30,0,0,0,0,0,0,40,0,0,0,0,46,0,0,0,0,28,0,0,28,0,0,0,0,0,9,0,41,0,0,0,0,0,28,0,35,0,0,0,0,0,30,0,0,58,22,0,0,25,0,30,9,0,0,41,35,0,0,0,50,28,30,0,0,47,0,0,0,0,0,0,36,0,34,0,0,23,0,0,100,31,0,0,0,0,0,0,0
2007-11-01,0,37,30,20,28,22,38,0,13,0,0,0,0,0,0,14,19,0,0,0,6,0,0,28,0,28,0,0,0,0,51,0,0,29,0,0,29,0,0,17,0,44,0,0,0,0,27,0,0,0,0,0,0,0,0,9,0,0,0,0,0,27,21,0,27,45,0,29,0,0,0,43,20,0,57,21,0,36,16,36,0,9,0,0,0,30,0,27,0,12,27,0,0,38,0,28,0,0,0,0,0,26,65,22,0,0,33,0,0,0,44,75,0,0,21,98,0,0
2007-12-01,0,35,32,44,30,48,35,0,14,0,0,0,0,0,0,10,21,78,0,55,13,0,77,30,0,30,16,0,0,0,0,100,0,32,0,0,42,0,67,18,0,0,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,0,0,49,0,0,0,0,0,63,33,21,62,0,0,39,17,0,0,19,0,0,0,48,0,30,0,33,0,32,0,42,50,0,29,0,0,0,0,42,35,24,72,0,0,0,0,0,48,0,0,0,19,0,0,0
2008-01-01,0,42,0,13,26,21,34,0,21,0,0,0,0,27,0,9,18,0,53,32,6,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,9,0,0,16,0,0,0,39,0,0,26,0,0,0,0,0,13,0,0,26,0,0,52,0,39,27,21,26,0,21,0,0,0,0,38,0,29,0,0,0,0,34,15,0,0,8,0,0,0,20,0,0,0,12,0,28,0,37,44,53,0,0,0,0,0,25,31,21,0,0,21,30,0,0,17,0,0,0,9,0,0,0
2008-02-01,0,31,0,13,27,43,30,0,52,0,0,0,0,0,0,9,0,0,0,32,12,0,0,0,37,0,14,0,0,28,24,29,0,28,0,0,28,0,29,32,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,52,0,0,27,0,26,0,0,0,28,0,0,0,0,19,19,0,0,0,52,31,0,0,25,0,0,0,29,0,0,0,23,0,28,0,37,0,0,26,0,0,0,0,37,0,21,32,0,21,0,67,92,51,0,0,0,17,0,0,0
2008-03-01,0,35,28,0,52,21,34,0,12,0,0,0,0,26,0,0,18,0,0,0,11,52,34,0,0,26,21,0,0,0,0,29,0,28,0,0,9,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,13,0,61,17,0,0,26,0,38,26,0,26,0,0,0,0,0,0,0,55,19,19,0,20,0,0,30,25,27,0,0,0,0,49,0,26,26,11,0,0,73,0,0,0,0,0,0,0,0,0,30,21,47,0,21,0,0,0,34,0,0,0,17,0,0,0
2008-04-01,0,24,0,18,24,20,37,0,18,0,0,0,0,25,0,0,29,0,0,30,11,0,0,25,0,0,13,0,0,0,0,27,0,26,0,0,17,0,27,15,0,0,16,0,0,0,24,0,0,0,49,0,0,0,0,16,0,0,24,0,0,0,25,24,0,20,0,0,0,0,0,0,24,18,50,19,0,0,29,0,0,18,0,0,35,34,0,24,0,11,0,0,0,34,0,0,24,0,35,0,64,23,0,20,29,0,0,28,0,0,53,0,0,0,8,0,0,0
2008-05-01,0,32,38,12,24,0,33,0,19,29,0,0,0,0,0,0,34,0,24,0,5,0,0,0,34,0,0,0,0,26,0,80,0,0,0,0,8,0,0,22,0,0,0,35,0,40,23,0,0,0,0,0,0,0,0,8,0,34,35,0,0,0,28,0,0,0,0,25,0,0,0,25,17,0,0,0,26,31,21,24,0,11,0,26,0,29,0,0,0,10,0,25,68,0,0,0,0,0,0,0,0,56,28,38,0,0,19,0,0,0,15,33,0,0,8,0,0,0
2008-06-01,0,18,41,13,25,20,33,0,24,0,0,0,0,26,0,8,0,0,26,0,22,0,0,0,36,26,13,0,0,0,24,0,0,45,36,40,13,0,57,0,0,0,0,0,0,0,25,0,0,0,0,0,13,0,0,0,0,0,42,0,0,0,20,38,0,21,0,26,0,0,37,0,18,18,0,20,0,0,22,25,27,8,0,0,37,20,0,25,0,17,0,27,71,35,42,0,0,100,0,0,0,24,0,20,30,0,0,28,0,0,49,0,0,0,32,0,0,0
2008-07-01,0,21,38,13,0,22,49,0,13,0,0,0,0,0,0,0,28,0,0,0,12,0,35,0,0,0,14,0,0,0,0,0,0,43,0,0,9,44,0,0,0,43,35,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,27,0,39,0,21,0,0,22,0,0,0,0,39,42,19,0,0,21,29,0,31,39,0,8,0,0,0,29,0,0,0,18,0,0,0,38,0,0,0,0,0,0,0,25,32,43,0,0,21,0,0,0,43,0,0,55,14,0,0,0
2008-08-01,0,24,0,15,30,73,37,0,29,0,0,0,0,0,0,10,0,0,0,37,6,0,39,30,42,0,16,0,0,0,0,34,0,32,0,0,10,0,50,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,20,0,43,74,0,44,30,0,0,0,36,0,64,0,55,0,31,22,22,0,23,0,39,18,30,0,14,0,0,0,14,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,28,0,24,0,0,0,34,0,0,26,0,0,0,15,0,0,0
2008-09-01,0,19,25,12,24,28,26,0,11,0,38,0,0,0,0,0,33,0,23,0,5,0,0,0,0,0,0,0,0,0,22,0,0,50,0,0,0,0,26,29,0,0,15,0,0,0,23,0,0,0,0,28,12,0,0,0,0,0,58,0,0,0,0,24,0,28,0,37,0,0,34,25,17,0,0,18,0,0,14,23,0,7,0,0,34,33,0,23,0,21,0,0,67,0,0,0,0,0,0,0,0,22,27,0,0,0,19,0,60,0,45,32,0,0,19,85,0,0
2008-10-01,58,32,22,0,21,22,38,80,24,0,34,0,0,0,64,14,22,0,0,0,11,42,27,28,30,21,17,0,0,45,19,0,0,22,0,0,33,68,23,19,0,0,14,30,0,35,20,0,0,0,0,0,0,0,0,7,0,0,21,0,0,21,16,21,0,34,0,22,0,0,0,22,15,15,0,16,0,0,12,27,0,7,0,23,30,71,0,0,0,49,21,0,0,0,35,0,0,0,0,0,0,29,74,42,25,0,17,23,0,0,40,0,0,0,13,0,0,0
2008-11-01,0,34,0,11,22,18,45,0,11,26,0,0,0,0,68,15,16,58,33,0,5,44,0,22,63,22,0,0,0,0,0,49,22,24,0,0,31,0,0,13,0,0,14,0,0,0,43,0,0,0,0,0,11,38,0,15,0,0,22,0,0,0,17,0,22,18,0,23,0,0,0,31,21,0,0,17,0,58,13,0,0,9,0,0,0,38,70,0,0,45,22,0,0,46,37,0,0,0,32,0,0,35,39,36,0,0,53,25,0,0,43,30,0,0,18,79,0,0
2008-12-01,0,47,0,11,0,55,34,0,15,27,0,0,0,0,0,11,26,0,23,0,22,0,30,0,32,0,0,0,0,0,21,0,0,0,0,0,12,0,25,27,0,0,0,33,0,0,22,0,0,0,0,0,0,0,0,8,0,0,22,0,0,23,0,45,0,56,0,24,0,0,0,48,33,16,0,0,24,0,13,0,0,0,0,0,0,28,0,0,0,10,22,24,0,32,0,0,0,0,0,72,59,43,27,18,27,0,18,0,0,0,44,0,0,0,7,81,0,0
2009-01-01,57,20,0,10,21,17,30,80,35,0,0,0,0,21,64,7,29,0,0,0,7,0,0,21,0,21,0,0,0,0,19,23,0,22,30,0,18,0,23,19,0,33,0,0,0,0,20,0,0,0,0,0,0,0,0,17,0,29,41,0,0,21,0,21,0,25,0,22,0,0,30,22,20,15,0,0,22,0,24,0,0,7,0,0,30,29,0,20,0,14,20,0,0,0,34,0,0,0,0,0,0,68,24,17,49,0,25,0,53,0,40,28,0,43,13,0,0,0
2009-02-01,0,23,23,11,22,17,36,0,21,0,0,0,0,0,0,0,23,0,0,0,9,65,28,22,0,0,11,0,0,69,0,0,0,46,31,35,8,35,0,22,0,35,14,31,0,0,42,0,0,21,0,0,0,0,0,0,36,62,21,0,0,0,0,0,0,0,0,0,0,81,31,0,16,15,45,17,0,28,13,21,0,14,0,47,0,37,0,0,0,16,21,0,0,30,0,0,0,0,31,0,0,41,25,17,0,0,17,0,0,0,49,30,0,0,7,77,0,0
2009-03-01,0,34,0,9,19,31,31,73,19,0,0,0,0,0,60,0,27,0,0,0,0,39,0,20,0,0,20,0,0,0,18,21,0,20,27,0,0,0,22,23,0,0,12,28,0,0,0,0,0,19,0,22,10,33,0,19,32,0,19,0,0,19,0,19,0,16,0,20,0,0,28,20,21,14,40,0,0,0,11,0,0,6,100,0,28,39,0,19,0,13,19,0,0,27,32,0,0,0,0,0,100,27,34,23,0,0,0,0,0,0,37,26,0,0,10,0,100,0
