date,Apple,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Broccoli,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Cherries,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Kale,Lemons,Lettuce,Mushrooms,Napa,Okra,Onion,Oranges,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon,Yams,Cassava
2005-11-01,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,85,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,50,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,100,0,0,0
2006-12-01,0,77,52,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,60,0,0,0,0,0,0,100,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,100,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,45,0,0,100,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0
2007-10-01,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
2007-12-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,45,0,0,0,0,0,0,0,0
2008-01-01,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,39,36,0,0,0,0,0,0,0
2008-02-01,31,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,27,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,0,0,0,0,0,0,0
2008-05-01,0,0,0,52,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,100,0,0
2008-07-01,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
2008-08-01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,77,0,0,0,0,0
2008-09-01,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
2008-10-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,45,0,0,0
2008-11-01,24,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,36,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,89,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,29,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,46,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,31,29,0,0,0,0,0,0,0
2009-07-01,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
2009-08-01,21,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,43,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,0,19,23,0,0,0,0,0,0,0,0,0,0
2009-11-01,21,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,0,0,0,95,0,86,0,0,0,0
2009-12-01,0,0,0,0,20,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,32,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
2010-03-01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,20,0,0,0,18,0,0,81,0,0,92,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,75,0,0
2010-05-01,0,32,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,78,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,44,0,0,0
2010-07-01,18,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,37,24,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,25,0,81,0,0,0,68,0,0
2010-09-01,0,0,0,0,0,0,0,0,46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,25,0,79,0,0,0,0,0,0
2010-10-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,27,0,0,0,0,41,73,0,0
2010-11-01,22,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,42,0,0,0,29,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,29,100,0,93,0,0,0,0
2011-01-01,0,0,0,0,10,0,0,23,0,0,0,0,0,0,0,0,0,0,0,49,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,51,0,0,0,0,0,0
2011-02-01,12,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,55,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,17,0,0,0,0,25,45,0,0
2011-03-01,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,40,0,0
2011-04-01,11,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,27,0,0,0,0,0,11,0,78,0,0,0,34,0,22,0,0,0
2011-05-01,11,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,10,0,0,14,14,0,0,43,22,40,23,0
2011-06-01,16,0,0,22,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
2011-07-01,0,0,0,0,18,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,0,0
2011-08-01,10,0,0,0,9,6,0,0,0,0,44,0,0,0,0,85,0,0,0,0,25,0,0,12,0,0,0,0,0,0,0,0,43,0,0,0,11,9,0,14,0,0,0,12,0,0,0,19,36,0,0
2011-09-01,10,0,0,19,9,0,44,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,11,9,0,9,11,0,13,0,42,0,0,39,0,0,0
2011-10-01,9,14,0,0,8,0,0,18,12,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,17,0,0,33,0,0,0,0,0,0,0,10,9,0,0,10,0,12,0,0,28,38,37,34,0,0
2011-11-01,18,14,0,0,16,6,0,18,0,0,0,0,43,0,0,0,0,0,0,0,24,0,0,0,0,0,28,0,0,0,0,0,0,0,100,0,0,0,0,18,21,0,25,0,0,0,37,0,0,20,0
2011-12-01,9,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,12,0,0,0,37,18,0,0,0
2012-01-01,25,0,0,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,17,31,0,0
2012-02-01,11,0,0,17,0,5,0,17,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,8,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,8,16,7,5,0,0,0,45,0,0,0,0,0,71,0,0,0,0,21,0,0,0,0,14,25,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,35,0,0,16,30,0,0
2012-04-01,12,0,0,16,7,0,37,16,0,0,0,0,0,0,0,0,65,0,0,34,0,0,35,0,0,15,0,43,0,32,0,0,0,0,0,0,0,8,0,8,0,0,22,10,0,0,0,0,0,0,0
2012-05-01,8,0,0,0,7,0,0,0,10,0,0,0,0,0,0,69,0,0,0,0,0,0,34,0,0,14,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11,0,0,24,0,0,58,0,0
2012-06-01,9,0,9,18,16,22,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,39,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,12,23,0,27,0,0,33,0,0
2012-07-01,0,14,9,0,8,5,0,0,0,0,0,0,0,0,0,0,0,40,0,0,23,0,39,0,0,16,0,0,32,35,0,0,0,0,0,0,0,8,0,8,10,0,12,11,39,0,36,0,0,0,0
2012-08-01,12,0,0,16,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,15,0,8,0,0,11,10,36,25,0,0,30,0,0
2012-09-01,8,0,8,0,7,10,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,11,10,0,0,0,0,0,0,0
2012-10-01,15,12,8,0,7,5,0,15,0,42,0,0,0,0,0,0,0,0,0,0,40,0,0,9,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,7,13,0,15,0,0,0,0,23,42,0,0
2012-11-01,7,0,8,15,20,9,0,0,10,0,0,0,0,0,0,67,31,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,15,17,0,0,0,0,0,62,0,56,17,0
2012-12-01,7,0,0,0,7,0,34,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,33,0,0,0,23,0,0,0,0,0,34,0,0,0,0,7,81,7,8,0,10,9,0,23,30,15,27,0,0
2013-01-01,7,0,0,27,6,4,31,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,8,0,0,0,37,0,0,0,0,0,0,0,0,0,7,0,10,0,0,14,0,30,0,0,14,26,0,0
2013-02-01,7,0,0,0,0,0,33,0,9,0,0,0,34,0,0,0,0,0,0,31,0,15,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,7,81,7,0,0,10,0,0,0,0,15,82,0,0
2013-03-01,9,0,7,13,8,4,0,26,0,0,0,0,0,0,0,56,0,0,0,27,16,0,0,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,13,23,0,0
2013-04-01,6,0,0,12,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,7,69,11,0,0,0,0,0,0,0,0,0,0,0,6,0,6,7,0,8,8,27,19,25,12,67,0,0
2013-05-01,6,0,0,18,11,4,0,0,8,0,0,0,28,0,0,54,0,28,0,26,0,13,0,0,0,0,19,0,21,24,0,78,28,0,0,0,0,0,0,12,7,0,8,0,26,0,0,12,22,0,0
2013-06-01,0,10,0,13,0,4,0,0,0,0,0,100,0,0,0,0,0,0,0,0,17,0,0,8,0,0,20,0,0,26,0,0,0,0,0,0,0,0,72,6,0,0,9,8,0,20,0,0,24,0,0
2013-07-01,12,9,0,12,5,4,0,0,0,0,27,0,28,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,21,0,0,0,0,0,65,0,7,6,0,11,0,42,11,8,0,18,24,12,44,0,100
2013-08-01,6,0,0,12,5,5,0,12,7,0,26,0,0,56,0,0,0,26,0,25,30,0,25,0,0,10,0,0,21,0,0,0,0,0,0,0,0,6,0,9,0,0,8,0,26,0,24,12,32,0,0
2013-09-01,12,0,0,0,5,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,0,0,18,0,21,0,0,0,0,0,0,56,0,6,0,8,0,0,8,0,25,0,24,12,43,0,99
2013-10-01,11,9,0,11,7,3,0,0,0,0,25,0,0,0,0,0,0,0,0,24,14,0,0,0,0,10,17,0,20,0,0,0,0,0,0,0,0,5,0,0,13,0,8,0,0,0,23,0,0,0,0
2013-11-01,12,9,0,0,5,4,0,0,0,0,27,0,0,0,0,0,0,0,0,25,0,0,26,0,0,0,0,0,0,24,0,0,0,0,0,0,7,6,0,10,7,0,8,8,0,18,74,12,22,13,0
2013-12-01,15,18,0,0,5,5,0,0,0,0,0,0,0,58,0,0,0,27,0,25,16,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,6,0,10,0,0,19,0,26,0,25,0,22,0,0
2014-01-01,8,9,6,0,8,3,0,0,0,32,0,0,0,0,0,0,0,25,0,0,0,0,0,7,0,0,0,0,0,22,0,0,26,0,0,0,0,5,0,0,6,0,10,0,25,0,23,23,42,0,0
2014-02-01,6,0,0,19,11,4,0,0,0,0,0,0,30,0,0,56,0,0,0,26,16,0,0,0,0,0,0,0,22,0,0,0,28,0,0,0,0,6,0,6,7,0,9,0,27,0,26,13,0,14,0
2014-03-01,14,8,0,11,7,7,0,11,7,0,0,0,0,0,0,0,0,24,0,0,0,0,24,7,0,0,0,0,19,21,0,0,0,13,0,0,6,0,59,5,0,0,7,7,24,0,44,22,0,0,0
2014-04-01,8,0,0,11,5,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15,0,97,0,23,11,0,12,0
2014-05-01,9,0,0,12,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,14,0,0,0,0,0,0,0,0,26,0,0,0,6,11,63,6,0,0,8,0,38,0,24,0,21,0,0
2014-06-01,13,0,7,13,12,0,0,26,8,0,0,0,0,0,0,0,26,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,13,8,28,0,0,13,48,0,0
2014-07-01,6,0,0,11,5,7,0,17,0,0,0,0,0,0,0,100,0,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,6,0,8,0,50,0,0,11,21,0,0
2014-08-01,11,0,0,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,15,0,24,0,0,22,34,0,0
2014-09-01,5,0,0,0,10,4,0,0,7,0,0,0,25,0,0,0,0,24,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,15,0,0,17,22,11,20,0,0
2014-10-01,13,0,5,10,9,3,24,21,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,16,0,19,21,0,0,0,0,0,98,0,0,0,10,6,0,14,7,23,0,22,11,0,0,0
2014-11-01,6,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,23,26,0,24,15,12,25,7,0,10,0,0,20,0,0,0,0,0,0,0,0,5,0,8,6,0,10,7,38,0,23,0,21,25,0
2014-12-01,0,9,0,0,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,52,0,0,62,8,0,0,19,0,0,0,23,12,21,12,0
2015-01-01,5,8,0,11,17,10,0,11,0,0,36,0,0,0,0,94,0,24,0,0,0,11,0,7,0,0,0,0,19,0,0,0,0,0,0,0,0,13,0,20,0,38,11,7,70,0,0,21,20,0,0
2015-02-01,6,9,12,0,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,24,15,0,0,0,0,0,0,31,20,0,0,0,0,14,0,0,0,5,0,11,0,0,12,0,0,0,0,0,0,0,0
2015-03-01,7,0,0,10,7,6,0,10,0,0,23,0,0,0,0,0,0,0,0,21,26,0,22,0,57,9,0,0,18,20,0,0,0,12,0,0,0,10,0,0,6,0,10,0,0,15,0,10,19,0,0
